Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,1.677367E+00,6.139579E-02,9.219774E+04,3.752851E+02 
00:30:00,1.677370E+00,6.018452E-02,9.219793E+04,3.586282E+02 
00:45:00,1.677373E+00,6.018452E-02,9.219809E+04,3.493752E+02 
01:00:00,1.677376E+00,6.018452E-02,9.219823E+04,3.401223E+02 
01:15:00,1.677378E+00,6.018452E-02,9.219836E+04,3.339536E+02 
01:30:00,1.677380E+00,6.018452E-02,9.219846E+04,3.277850E+02 
01:45:00,1.677382E+00,6.018452E-02,9.219856E+04,3.216163E+02 
02:00:00,1.677383E+00,6.018452E-02,9.219864E+04,3.154477E+02 
02:15:00,1.677384E+00,6.018452E-02,9.219872E+04,3.108212E+02 
02:30:00,1.677386E+00,6.018452E-02,9.219878E+04,3.061947E+02 
02:45:00,1.677387E+00,6.018452E-02,9.219884E+04,3.015682E+02 
03:00:00,1.677388E+00,6.018452E-02,9.219889E+04,2.969417E+02 
03:15:00,1.677388E+00,6.018452E-02,9.219894E+04,2.923152E+02 
03:30:00,1.677389E+00,6.018452E-02,9.219898E+04,2.876888E+02 
03:45:00,1.677390E+00,6.018452E-02,9.219902E+04,2.830623E+02 
04:00:00,1.677391E+00,6.018452E-02,9.219905E+04,2.784358E+02 
04:15:00,1.677391E+00,6.018452E-02,9.219908E+04,2.753515E+02 
04:30:00,1.677392E+00,6.018452E-02,9.219911E+04,2.722671E+02 
04:45:00,1.677392E+00,6.018452E-02,9.219914E+04,2.691828E+02 
05:00:00,1.677393E+00,6.018452E-02,9.219916E+04,2.660985E+02 
05:15:00,1.677393E+00,6.018452E-02,9.219919E+04,2.691828E+02 
05:30:00,1.677393E+00,6.018452E-02,9.219921E+04,2.722671E+02 
05:45:00,1.677394E+00,6.568925E-02,9.219922E+04,3.005363E+02 
06:00:00,1.677394E+00,8.150131E-02,9.219924E+04,3.770551E+02 
06:15:00,1.565183E+00,1.078099E-01,8.603150E+04,5.181057E+02 
06:30:00,1.452956E+00,1.414035E-01,7.986283E+04,7.049112E+02 
06:45:00,1.340728E+00,1.738365E-01,7.369416E+04,8.977735E+02 
07:00:00,1.228500E+00,2.025385E-01,6.752544E+04,1.082333E+03 
07:15:00,1.228477E+00,2.204333E-01,6.752420E+04,1.273982E+03 
07:30:00,1.228457E+00,2.358025E-01,6.752309E+04,1.465525E+03 
07:45:00,1.228420E+00,2.490930E-01,6.752102E+04,1.656632E+03 
08:00:00,1.228369E+00,2.614863E-01,6.751822E+04,1.852961E+03 
08:15:00,1.228312E+00,2.732032E-01,6.751509E+04,2.069000E+03 
08:30:00,1.228261E+00,2.841136E-01,6.751230E+04,2.289947E+03 
08:45:00,1.228220E+00,3.041335E-01,6.751005E+04,2.599376E+03 
09:00:00,1.228187E+00,3.314184E-01,6.750826E+04,2.993928E+03 
09:15:00,1.228160E+00,3.600932E-01,6.750677E+04,3.409825E+03 
09:30:00,1.228138E+00,3.871777E-01,6.750552E+04,3.834953E+03 
09:45:00,1.228119E+00,4.133971E-01,6.750447E+04,4.274732E+03 
10:00:00,1.228103E+00,4.412207E-01,6.750359E+04,4.754640E+03 
