Time,THERMAL ZONE 3:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 1:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:15:00,5.155831E+03,0.000000E+00,3.157949E-01,0.000000E+00,5.166500E+03,5.932960E+00,3.164484E-01,4.152066E-04,5.166500E+03,0.000000E+00,3.164484E-01,0.000000E+00,5.155831E+03,0.000000E+00,3.157949E-01,0.000000E+00,1.263271E+03,1.346989E+02,7.740665E-02,9.426780E-03 
00:30:00,5.155840E+03,0.000000E+00,3.157955E-01,0.000000E+00,5.166509E+03,0.000000E+00,3.164490E-01,0.000000E+00,5.166509E+03,0.000000E+00,3.164490E-01,0.000000E+00,5.155840E+03,0.000000E+00,3.157955E-01,0.000000E+00,1.263279E+03,1.125760E+02,7.740712E-02,7.878481E-03 
00:45:00,5.155848E+03,0.000000E+00,3.157960E-01,0.000000E+00,5.166517E+03,0.000000E+00,3.164495E-01,0.000000E+00,5.166517E+03,0.000000E+00,3.164495E-01,0.000000E+00,5.155848E+03,0.000000E+00,3.157960E-01,0.000000E+00,1.263286E+03,9.067432E+01,7.740753E-02,6.345703E-03 
01:00:00,5.155855E+03,0.000000E+00,3.157964E-01,0.000000E+00,5.166524E+03,0.000000E+00,3.164499E-01,0.000000E+00,5.166524E+03,0.000000E+00,3.164499E-01,0.000000E+00,5.155855E+03,0.000000E+00,3.157964E-01,0.000000E+00,1.263291E+03,6.915775E+01,7.740788E-02,4.839894E-03 
01:15:00,5.155861E+03,0.000000E+00,3.157968E-01,0.000000E+00,5.166530E+03,0.000000E+00,3.164503E-01,0.000000E+00,5.166530E+03,0.000000E+00,3.164503E-01,0.000000E+00,5.155861E+03,0.000000E+00,3.157968E-01,0.000000E+00,1.263296E+03,4.852579E+01,7.740819E-02,3.396000E-03 
01:30:00,5.155866E+03,0.000000E+00,3.157971E-01,0.000000E+00,5.166535E+03,0.000000E+00,3.164506E-01,0.000000E+00,5.166535E+03,0.000000E+00,3.164506E-01,0.000000E+00,5.155866E+03,0.000000E+00,3.157971E-01,0.000000E+00,1.263301E+03,2.867495E+01,7.740846E-02,2.006771E-03 
01:45:00,5.155871E+03,0.000000E+00,3.157974E-01,0.000000E+00,5.166540E+03,0.000000E+00,3.164509E-01,0.000000E+00,5.166540E+03,0.000000E+00,3.164509E-01,0.000000E+00,5.155871E+03,0.000000E+00,3.157974E-01,0.000000E+00,1.263304E+03,1.406059E+01,7.740869E-02,9.840089E-04 
02:00:00,5.155875E+03,0.000000E+00,3.157976E-01,0.000000E+00,5.166544E+03,0.000000E+00,3.164512E-01,0.000000E+00,5.166544E+03,0.000000E+00,3.164512E-01,0.000000E+00,5.155875E+03,0.000000E+00,3.157976E-01,0.000000E+00,1.263308E+03,4.567592E+00,7.740889E-02,3.196564E-04 
02:15:00,5.155879E+03,0.000000E+00,3.157978E-01,0.000000E+00,5.166548E+03,0.000000E+00,3.164514E-01,0.000000E+00,5.166548E+03,0.000000E+00,3.164514E-01,0.000000E+00,5.155879E+03,0.000000E+00,3.157978E-01,0.000000E+00,1.263311E+03,0.000000E+00,7.740907E-02,0.000000E+00 
02:30:00,5.155882E+03,0.000000E+00,3.157980E-01,0.000000E+00,5.166551E+03,0.000000E+00,3.164516E-01,0.000000E+00,5.166551E+03,0.000000E+00,3.164516E-01,0.000000E+00,5.155882E+03,0.000000E+00,3.157980E-01,0.000000E+00,1.263313E+03,0.000000E+00,7.740922E-02,0.000000E+00 
