Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,1.047169E+00,0.000000E+00,1.388979E+04,0.000000E+00 
00:30:00,1.047169E+00,0.000000E+00,1.388979E+04,0.000000E+00 
00:45:00,1.047169E+00,0.000000E+00,1.388979E+04,0.000000E+00 
01:00:00,1.047169E+00,0.000000E+00,1.388979E+04,0.000000E+00 
01:15:00,1.047169E+00,0.000000E+00,1.388979E+04,0.000000E+00 
01:30:00,1.047169E+00,0.000000E+00,1.388979E+04,0.000000E+00 
01:45:00,1.047169E+00,0.000000E+00,1.388979E+04,0.000000E+00 
02:00:00,1.047169E+00,0.000000E+00,1.388979E+04,0.000000E+00 
02:15:00,1.047169E+00,0.000000E+00,1.388979E+04,0.000000E+00 
02:30:00,1.047169E+00,0.000000E+00,1.388979E+04,0.000000E+00 
02:45:00,1.047169E+00,0.000000E+00,1.388979E+04,0.000000E+00 
03:00:00,1.047169E+00,0.000000E+00,1.388979E+04,0.000000E+00 
03:15:00,1.047169E+00,0.000000E+00,1.388979E+04,0.000000E+00 
03:30:00,1.047169E+00,0.000000E+00,1.388979E+04,0.000000E+00 
03:45:00,1.047169E+00,0.000000E+00,1.388979E+04,0.000000E+00 
04:00:00,1.047169E+00,0.000000E+00,1.388979E+04,0.000000E+00 
04:15:00,1.047169E+00,0.000000E+00,1.388979E+04,0.000000E+00 
04:30:00,1.047169E+00,0.000000E+00,1.388979E+04,0.000000E+00 
04:45:00,1.047169E+00,0.000000E+00,1.388979E+04,0.000000E+00 
05:00:00,1.047169E+00,0.000000E+00,1.388979E+04,0.000000E+00 
05:15:00,1.047169E+00,0.000000E+00,1.388979E+04,0.000000E+00 
05:30:00,1.047169E+00,0.000000E+00,1.388979E+04,0.000000E+00 
05:45:00,1.047169E+00,0.000000E+00,1.388979E+04,0.000000E+00 
06:00:00,1.047169E+00,0.000000E+00,1.388979E+04,0.000000E+00 
06:15:00,1.047169E+00,0.000000E+00,1.388979E+04,0.000000E+00 
06:30:00,1.047169E+00,0.000000E+00,1.388979E+04,0.000000E+00 
06:45:00,1.047169E+00,0.000000E+00,1.388979E+04,0.000000E+00 
07:00:00,1.047169E+00,0.000000E+00,1.388979E+04,0.000000E+00 
07:15:00,1.047169E+00,0.000000E+00,1.388979E+04,0.000000E+00 
07:30:00,1.047169E+00,0.000000E+00,1.388979E+04,0.000000E+00 
07:45:00,1.047169E+00,4.967434E-03,1.388979E+04,5.459154E+01 
08:00:00,1.047169E+00,1.688567E-02,1.388979E+04,1.986240E+02 
08:15:00,1.047169E+00,2.991734E-02,1.388979E+04,3.777603E+02 
08:30:00,1.047169E+00,4.675309E-02,1.388979E+04,6.307332E+02 
08:45:00,1.047169E+00,6.132955E-02,1.388979E+04,8.803646E+02 
09:00:00,1.047169E+00,7.118067E-02,1.388979E+04,1.083269E+03 
09:15:00,1.047169E+00,8.125797E-02,1.388979E+04,1.299443E+03 
09:30:00,1.047169E+00,8.845375E-02,1.388979E+04,1.482888E+03 
09:45:00,1.047169E+00,9.347774E-02,1.388979E+04,1.639370E+03 
10:00:00,1.047169E+00,9.640783E-02,1.388979E+04,1.765279E+03 
10:15:00,1.047169E+00,9.774105E-02,1.388979E+04,1.856355E+03 
10:30:00,1.047169E+00,9.756859E-02,1.388979E+04,1.919626E+03 
10:45:00,1.047169E+00,9.591873E-02,1.388979E+04,1.952587E+03 
11:00:00,1.047169E+00,9.269903E-02,1.388979E+04,1.950269E+03 
11:15:00,1.047169E+00,8.748086E-02,1.388979E+04,1.880263E+03 
11:30:00,1.047169E+00,7.969463E-02,1.388979E+04,1.749147E+03 
11:45:00,1.047169E+00,7.330693E-02,1.388979E+04,1.642282E+03 
12:00:00,1.047169E+00,6.723596E-02,1.388979E+04,1.536847E+03 
12:15:00,1.047169E+00,6.205045E-02,1.388979E+04,1.440891E+03 
12:30:00,1.047169E+00,6.048247E-02,1.388979E+04,1.426481E+03 
12:45:00,1.047169E+00,5.928666E-02,1.388979E+04,1.419844E+03 
13:00:00,1.047169E+00,6.010087E-02,1.388979E+04,1.461206E+03 
13:15:00,1.047169E+00,6.300615E-02,1.388979E+04,1.546165E+03 
13:30:00,1.047169E+00,6.594321E-02,1.388979E+04,1.633232E+03 
13:45:00,1.047169E+00,6.832156E-02,1.388979E+04,1.707670E+03 
14:00:00,1.047169E+00,7.753430E-02,1.388979E+04,1.955566E+03 
14:15:00,1.047169E+00,8.912999E-02,1.388979E+04,2.248032E+03 
14:30:00,1.047169E+00,1.036190E-01,1.388979E+04,2.613474E+03 
14:45:00,1.047169E+00,1.221081E-01,1.388979E+04,3.079805E+03 
15:00:00,1.047169E+00,1.361390E-01,1.388979E+04,3.433691E+03 
15:15:00,1.047169E+00,1.499155E-01,1.388979E+04,3.740260E+03 
15:30:00,1.047169E+00,1.624884E-01,1.388979E+04,4.009615E+03 
15:45:00,1.047169E+00,1.720965E-01,1.388979E+04,4.199757E+03 
16:00:00,1.047169E+00,1.791414E-01,1.388979E+04,4.322803E+03 
16:15:00,1.047169E+00,1.837150E-01,1.388979E+04,4.366340E+03 
16:30:00,1.047169E+00,1.865562E-01,1.388979E+04,4.366004E+03 
16:45:00,1.047169E+00,1.884286E-01,1.388979E+04,4.341282E+03 
17:00:00,1.047169E+00,1.893003E-01,1.388979E+04,4.292506E+03 
17:15:00,1.047169E+00,1.889262E-01,1.388979E+04,4.198119E+03 
17:30:00,1.047169E+00,1.872615E-01,1.388979E+04,4.075980E+03 
17:45:00,1.047169E+00,1.835678E-01,1.388979E+04,3.912113E+03 
18:00:00,1.047169E+00,1.775717E-01,1.388979E+04,3.703585E+03 
18:15:00,1.047169E+00,1.687266E-01,1.388979E+04,3.404024E+03 
18:30:00,1.047169E+00,1.558883E-01,1.388979E+04,3.038691E+03 
18:45:00,1.047169E+00,1.388876E-01,1.388979E+04,2.612573E+03 
19:00:00,1.047169E+00,1.176199E-01,1.388979E+04,2.132290E+03 
19:15:00,1.047169E+00,9.448550E-02,1.388979E+04,1.665636E+03 
19:30:00,1.047169E+00,6.924244E-02,1.388979E+04,1.186006E+03 
