Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,2.304834E+00,3.188668E-01,5.465837E+04,4.277875E+03 
00:30:00,2.304842E+00,3.141685E-01,5.465855E+04,4.170329E+03 
00:45:00,2.304849E+00,3.125500E-01,5.465872E+04,4.104562E+03 
01:00:00,2.304855E+00,3.125500E-01,5.465886E+04,4.060278E+03 
01:15:00,2.304861E+00,3.125500E-01,5.465899E+04,4.030755E+03 
01:30:00,2.304865E+00,3.125500E-01,5.465911E+04,4.001233E+03 
01:45:00,2.304870E+00,3.125500E-01,5.465921E+04,3.971711E+03 
02:00:00,2.304874E+00,3.125500E-01,5.465930E+04,3.942188E+03 
02:15:00,2.304877E+00,3.125500E-01,5.465938E+04,3.920046E+03 
02:30:00,2.304880E+00,3.125500E-01,5.465945E+04,3.897904E+03 
02:45:00,2.304883E+00,3.125500E-01,5.465952E+04,3.875763E+03 
03:00:00,2.304885E+00,3.125500E-01,5.465958E+04,3.853621E+03 
03:15:00,2.304888E+00,3.125500E-01,5.465963E+04,3.831479E+03 
03:30:00,2.304890E+00,3.125500E-01,5.465968E+04,3.809337E+03 
03:45:00,2.304892E+00,3.125500E-01,5.465973E+04,3.787195E+03 
04:00:00,2.304893E+00,3.125500E-01,5.465977E+04,3.765053E+03 
04:15:00,2.304895E+00,3.125500E-01,5.465980E+04,3.750292E+03 
04:30:00,2.304896E+00,3.125500E-01,5.465984E+04,3.735531E+03 
04:45:00,2.304898E+00,3.125500E-01,5.465987E+04,3.720770E+03 
05:00:00,2.304899E+00,3.125500E-01,5.465990E+04,3.706009E+03 
05:15:00,2.304900E+00,3.125500E-01,5.465992E+04,3.720770E+03 
05:30:00,2.304901E+00,3.125500E-01,5.465995E+04,3.735531E+03 
05:45:00,2.304902E+00,3.125500E-01,5.465997E+04,3.750292E+03 
06:00:00,2.304903E+00,3.125500E-01,5.465999E+04,3.765053E+03 
06:15:00,2.126625E+00,3.248121E-01,5.043220E+04,3.966457E+03 
06:30:00,1.948170E+00,3.495188E-01,4.620019E+04,4.325940E+03 
06:45:00,1.769734E+00,3.827639E-01,4.196864E+04,4.800679E+03 
07:00:00,1.591224E+00,4.282402E-01,3.773535E+04,5.441838E+03 
07:15:00,1.590950E+00,4.541125E-01,3.772884E+04,5.952908E+03 
07:30:00,1.590819E+00,4.804100E-01,3.772574E+04,6.490494E+03 
07:45:00,1.590639E+00,5.158464E-01,3.772147E+04,7.176333E+03 
08:00:00,1.590507E+00,5.504078E-01,3.771834E+04,7.878099E+03 
08:15:00,1.590396E+00,5.845037E-01,3.771571E+04,8.628370E+03 
08:30:00,1.590301E+00,6.187832E-01,3.771345E+04,9.412030E+03 
08:45:00,1.590219E+00,6.535953E-01,3.771151E+04,1.023479E+04 
09:00:00,1.590150E+00,6.878313E-01,3.770988E+04,1.107951E+04 
09:15:00,1.590092E+00,7.198383E-01,3.770851E+04,1.188404E+04 
09:30:00,1.590044E+00,7.490127E-01,3.770735E+04,1.266638E+04 
09:45:00,1.590002E+00,7.747343E-01,3.770637E+04,1.341236E+04 
