Time,THERMAL ZONE 2:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 1:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:15:00,5.364362E+03,2.785074E+02,3.286304E-01,1.949380E-02,5.364362E+03,4.289075E+02,3.286304E-01,3.002241E-02,5.344541E+03,2.689349E+02,3.274161E-01,1.882373E-02,8.678395E+03,2.173672E+03,5.317745E-01,1.521472E-01,5.344541E+03,2.994276E+02,3.274161E-01,2.095825E-02 
00:30:00,5.364379E+03,2.451737E+02,3.286314E-01,1.716049E-02,5.364379E+03,3.850088E+02,3.286314E-01,2.694933E-02,5.344558E+03,2.370133E+02,3.274172E-01,1.658927E-02,8.678428E+03,2.115308E+03,5.317765E-01,1.480616E-01,5.344558E+03,2.655552E+02,3.274172E-01,1.858720E-02 
00:45:00,5.364395E+03,2.131203E+02,3.286324E-01,1.491681E-02,5.364395E+03,3.431681E+02,3.286324E-01,2.402034E-02,5.344574E+03,2.061924E+02,3.274181E-01,1.443187E-02,8.678458E+03,2.058587E+03,5.317783E-01,1.440911E-01,5.344574E+03,2.329511E+02,3.274181E-01,1.630494E-02 
01:00:00,5.364408E+03,1.822952E+02,3.286332E-01,1.275914E-02,5.364408E+03,3.032959E+02,3.286332E-01,2.122918E-02,5.344587E+03,1.764426E+02,3.274190E-01,1.234947E-02,8.678483E+03,2.003453E+03,5.317799E-01,1.402316E-01,5.344587E+03,2.015712E+02,3.274190E-01,1.410841E-02 
01:15:00,5.364420E+03,1.545517E+02,3.286339E-01,1.081719E-02,5.364420E+03,2.671966E+02,3.286339E-01,1.870217E-02,5.344599E+03,1.496370E+02,3.274197E-01,1.047319E-02,8.678506E+03,1.957226E+03,5.317813E-01,1.369956E-01,5.344599E+03,1.732755E+02,3.274197E-01,1.212778E-02 
01:30:00,5.364431E+03,1.284766E+02,3.286346E-01,8.992072E-03,5.364431E+03,2.334135E+02,3.286346E-01,1.633734E-02,5.344610E+03,1.243795E+02,3.274203E-01,8.705298E-03,8.678526E+03,1.913353E+03,5.317825E-01,1.339244E-01,5.344610E+03,1.466573E+02,3.274203E-01,1.026462E-02 
01:45:00,5.364440E+03,1.040345E+02,3.286352E-01,7.281287E-03,5.364440E+03,2.018632E+02,3.286352E-01,1.412886E-02,5.344620E+03,1.006500E+02,3.274209E-01,7.044398E-03,8.678544E+03,1.871695E+03,5.317836E-01,1.310083E-01,5.344620E+03,1.216853E+02,3.274209E-01,8.516718E-03 
02:00:00,5.364449E+03,8.118862E+01,3.286357E-01,5.682259E-03,5.364449E+03,1.724640E+02,3.286357E-01,1.207099E-02,5.344628E+03,7.842498E+01,3.274215E-01,5.488828E-03,8.678559E+03,1.832157E+03,5.317845E-01,1.282406E-01,5.344628E+03,9.832548E+01,3.274215E-01,6.881697E-03 
02:15:00,5.364457E+03,5.944925E+01,3.286362E-01,4.160713E-03,5.364457E+03,1.446840E+02,3.286362E-01,1.012651E-02,5.344636E+03,5.722615E+01,3.274219E-01,4.005118E-03,8.678573E+03,1.794101E+03,5.317854E-01,1.255767E-01,5.344636E+03,7.609024E+01,3.274219E-01,5.325419E-03 
02:30:00,5.364464E+03,3.877844E+01,3.286366E-01,2.713986E-03,5.364464E+03,1.184426E+02,3.286366E-01,8.289762E-03,5.344643E+03,3.702570E+01,3.274224E-01,2.591315E-03,8.678586E+03,1.757486E+03,5.317862E-01,1.230138E-01,5.344643E+03,5.494141E+01,3.274224E-01,3.845211E-03 
