Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,1.904605E+00,1.779338E+00,1.741611E+04,3.679669E+04 
00:30:00,1.904610E+00,1.747789E+00,1.741616E+04,3.582814E+04 
00:45:00,1.904616E+00,1.717347E+00,1.741621E+04,3.489348E+04 
01:00:00,1.904621E+00,1.687940E+00,1.741626E+04,3.399066E+04 
01:15:00,1.904626E+00,1.661272E+00,1.741630E+04,3.325333E+04 
01:30:00,1.904630E+00,1.635866E+00,1.741634E+04,3.254752E+04 
01:45:00,1.904634E+00,1.611746E+00,1.741638E+04,3.187327E+04 
02:00:00,1.904638E+00,1.588887E+00,1.741642E+04,3.122962E+04 
02:15:00,1.904642E+00,1.567005E+00,1.741645E+04,3.065782E+04 
02:30:00,1.904645E+00,1.546073E+00,1.741648E+04,3.010846E+04 
02:45:00,1.904649E+00,1.526071E+00,1.741651E+04,2.958094E+04 
03:00:00,1.904652E+00,1.506981E+00,1.741654E+04,2.907462E+04 
03:15:00,1.904655E+00,1.488473E+00,1.741657E+04,2.858292E+04 
03:30:00,1.904658E+00,1.470513E+00,1.741660E+04,2.810504E+04 
03:45:00,1.904661E+00,1.453071E+00,1.741662E+04,2.764028E+04 
04:00:00,1.904663E+00,1.436122E+00,1.741665E+04,2.718799E+04 
04:15:00,1.904666E+00,1.419948E+00,1.741667E+04,2.679618E+04 
04:30:00,1.904668E+00,1.404540E+00,1.741669E+04,2.642074E+04 
04:45:00,1.904671E+00,1.389888E+00,1.741671E+04,2.606133E+04 
05:00:00,1.904673E+00,1.375983E+00,1.741673E+04,2.571763E+04 
05:15:00,1.904675E+00,1.363738E+00,1.741675E+04,2.557100E+04 
05:30:00,1.904677E+00,1.353181E+00,1.741677E+04,2.545462E+04 
05:45:00,1.904679E+00,1.345891E+00,1.741679E+04,2.539864E+04 
06:00:00,1.904681E+00,1.348032E+00,1.741681E+04,2.552032E+04 
06:15:00,1.794879E+00,1.374271E+00,1.641276E+04,2.630705E+04 
06:30:00,1.685013E+00,1.419350E+00,1.540812E+04,2.746950E+04 
06:45:00,1.575151E+00,1.482495E+00,1.440352E+04,2.900442E+04 
07:00:00,1.465257E+00,1.557328E+00,1.339862E+04,3.079712E+04 
07:15:00,1.465147E+00,1.633823E+00,1.339761E+04,3.314716E+04 
07:30:00,1.465085E+00,1.717251E+00,1.339705E+04,3.571981E+04 
07:45:00,1.465007E+00,1.805489E+00,1.339634E+04,3.848047E+04 
08:00:00,1.464950E+00,1.897301E+00,1.339581E+04,4.140960E+04 
08:15:00,1.464903E+00,1.985675E+00,1.339538E+04,4.447575E+04 
08:30:00,1.464863E+00,2.069338E+00,1.339502E+04,4.753490E+04 
08:45:00,1.464829E+00,2.148432E+00,1.339471E+04,5.058234E+04 
09:00:00,1.464800E+00,2.225137E+00,1.339445E+04,5.366275E+04 
09:15:00,1.464775E+00,2.299987E+00,1.339422E+04,5.664657E+04 
09:30:00,1.464754E+00,2.373493E+00,1.339402E+04,5.967332E+04 
09:45:00,1.464735E+00,2.446525E+00,1.339385E+04,6.276325E+04 
10:00:00,1.464719E+00,2.517599E+00,1.339370E+04,6.587680E+04 
10:15:00,1.464704E+00,2.585942E+00,1.339357E+04,6.883443E+04 
10:30:00,1.464691E+00,2.650998E+00,1.339345E+04,7.176487E+04 
10:45:00,1.464679E+00,2.711822E+00,1.339334E+04,7.463768E+04 
11:00:00,1.464669E+00,2.767975E+00,1.339325E+04,7.743484E+04 
11:15:00,1.464660E+00,2.818098E+00,1.339316E+04,7.968657E+04 
11:30:00,1.464651E+00,2.861029E+00,1.339308E+04,8.176300E+04 
11:45:00,1.464643E+00,2.894991E+00,1.339301E+04,8.360629E+04 
12:00:00,1.464636E+00,2.917761E+00,1.339294E+04,8.514347E+04 
12:15:00,1.464629E+00,2.928847E+00,1.339288E+04,8.617330E+04 
12:30:00,1.464623E+00,2.930177E+00,1.339283E+04,8.691909E+04 
12:45:00,1.464618E+00,2.929558E+00,1.339278E+04,8.760722E+04 
13:00:00,1.464612E+00,2.935664E+00,1.339273E+04,8.849781E+04 
13:15:00,1.464607E+00,2.954592E+00,1.339268E+04,8.951375E+04 
13:30:00,1.464603E+00,2.989420E+00,1.339264E+04,9.101951E+04 
13:45:00,1.464598E+00,3.035431E+00,1.339260E+04,9.287796E+04 
14:00:00,1.464594E+00,3.086460E+00,1.339256E+04,9.490453E+04 
14:15:00,1.464591E+00,3.137458E+00,1.339253E+04,9.647268E+04 
14:30:00,1.464587E+00,3.184451E+00,1.339249E+04,9.791765E+04 
14:45:00,1.464583E+00,3.225936E+00,1.339246E+04,9.919326E+04 
15:00:00,1.464580E+00,3.261320E+00,1.339243E+04,1.002813E+05 
15:15:00,1.464577E+00,3.290016E+00,1.339240E+04,1.005686E+05 
15:30:00,1.464574E+00,3.311721E+00,1.339238E+04,1.006330E+05 
15:45:00,1.464571E+00,3.326406E+00,1.339235E+04,1.004776E+05 
16:00:00,1.464568E+00,3.333685E+00,1.339233E+04,1.000945E+05 
16:15:00,1.464566E+00,3.333419E+00,1.339230E+04,9.928259E+04 
16:30:00,1.464563E+00,3.327208E+00,1.339228E+04,9.829519E+04 
16:45:00,1.464561E+00,3.316566E+00,1.339226E+04,9.718093E+04 
17:00:00,1.464559E+00,3.302628E+00,1.339224E+04,9.597605E+04 
17:15:00,1.464557E+00,3.286615E+00,1.339222E+04,9.451992E+04 
17:30:00,1.464555E+00,3.266575E+00,1.339220E+04,9.295886E+04 
17:45:00,1.464553E+00,3.239851E+00,1.339218E+04,9.122168E+04 
18:00:00,1.464551E+00,3.204112E+00,1.339216E+04,8.924952E+04 
18:15:00,1.574364E+00,3.154094E+00,1.439632E+04,8.643005E+04 
18:30:00,1.684203E+00,3.089011E+00,1.540071E+04,8.324980E+04 
18:45:00,1.794072E+00,3.008880E+00,1.640537E+04,7.972967E+04 
19:00:00,1.903973E+00,2.912441E+00,1.741033E+04,7.585724E+04 
19:15:00,1.904077E+00,2.805632E+00,1.741129E+04,7.214495E+04 
19:30:00,1.904170E+00,2.693923E+00,1.741214E+04,6.837911E+04 
19:45:00,1.904246E+00,2.585741E+00,1.741283E+04,6.477572E+04 
20:00:00,1.904300E+00,2.489255E+00,1.741332E+04,6.153319E+04 
20:15:00,1.904343E+00,2.408054E+00,1.741372E+04,5.887261E+04 
20:30:00,1.904381E+00,2.340999E+00,1.741407E+04,5.659810E+04 
20:45:00,1.904414E+00,2.283249E+00,1.741437E+04,5.458240E+04 
21:00:00,1.904442E+00,2.231789E+00,1.741463E+04,5.274670E+04 
21:15:00,1.904466E+00,2.184724E+00,1.741484E+04,5.104163E+04 
21:30:00,1.904487E+00,2.141125E+00,1.741503E+04,4.944210E+04 
21:45:00,1.904504E+00,2.100353E+00,1.741519E+04,4.793078E+04 
22:00:00,1.904520E+00,2.062007E+00,1.741534E+04,4.649625E+04 
22:15:00,1.904534E+00,2.033804E+00,1.741546E+04,4.543112E+04 
22:30:00,1.904546E+00,2.005615E+00,1.741558E+04,4.437822E+04 
22:45:00,1.904557E+00,1.977629E+00,1.741568E+04,4.334165E+04 
23:00:00,1.904567E+00,1.949611E+00,1.741577E+04,4.231620E+04 
23:15:00,1.904576E+00,1.913320E+00,1.741585E+04,4.112476E+04 
23:30:00,1.904584E+00,1.878501E+00,1.741592E+04,3.997995E+04 
23:45:00,1.904591E+00,1.844776E+00,1.741599E+04,3.887291E+04 
24:00:00,1.904598E+00,1.812129E+00,1.741605E+04,3.780258E+04 
Coinc Peak   ,1.904681E+00,3.333685E+00,1.741681E+04,1.073772E+05 
