Time,THERMAL ZONE 2:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 7:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 7:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 7:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 7:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 9:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 9:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 9:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 9:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 6:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 6:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 11:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 11:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 11:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 11:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 14:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 14:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 14:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 14:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 13:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 13:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 13:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 13:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 15:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 15:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 15:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 15:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 1:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 12:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 12:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 12:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 12:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 8:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 8:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 8:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 8:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 10:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 10:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 10:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 10:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:15:00,1.107853E+03,9.097988E+02,6.790237E-02,6.367586E-02,1.565346E+03,1.740589E+03,9.593007E-02,1.218077E-01,1.806596E+03,6.632002E+02,1.107148E-01,4.641238E-02,1.506692E+03,2.968215E+03,9.233911E-02,2.077233E-01,2.005855E+03,1.693096E+03,1.229183E-01,1.184807E-01,2.006703E+03,1.961559E+03,1.229702E-01,1.372673E-01,1.806649E+03,6.774439E+02,1.107181E-01,4.740914E-02,4.755891E+02,2.343980E+03,2.914973E-02,1.640484E-01,2.005879E+03,1.710467E+03,1.229197E-01,1.196963E-01,1.806649E+03,6.691068E+02,1.107181E-01,4.682571E-02,1.563834E+03,1.440925E+03,9.583746E-02,1.008371E-01,2.005879E+03,1.676072E+03,1.229197E-01,1.172894E-01,1.563875E+03,1.421441E+03,9.583994E-02,9.947361E-02,1.808866E+03,7.733622E+02,1.108539E-01,5.412128E-02,1.563875E+03,1.460149E+03,9.583994E-02,1.021824E-01 
00:30:00,1.107856E+03,8.946535E+02,6.790254E-02,6.261529E-02,1.565351E+03,1.698238E+03,9.593040E-02,1.188437E-01,1.806600E+03,6.429091E+02,1.107150E-01,4.499200E-02,1.506701E+03,2.945171E+03,9.233967E-02,2.061091E-01,2.005863E+03,1.662474E+03,1.229187E-01,1.163376E-01,2.006710E+03,1.917091E+03,1.229707E-01,1.341554E-01,1.806653E+03,6.567967E+02,1.107183E-01,4.596383E-02,4.755928E+02,2.331783E+03,2.914996E-02,1.631932E-01,2.005886E+03,1.679518E+03,1.229201E-01,1.175303E-01,1.806653E+03,6.485417E+02,1.107183E-01,4.538615E-02,1.563840E+03,1.414039E+03,9.583778E-02,9.895527E-02,2.005886E+03,1.646693E+03,1.229201E-01,1.152332E-01,1.563880E+03,1.396089E+03,9.584027E-02,9.769915E-02,1.808869E+03,7.506417E+02,1.108541E-01,5.253085E-02,1.563880E+03,1.432853E+03,9.584027E-02,1.002719E-01 
00:45:00,1.107859E+03,8.802284E+02,6.790270E-02,6.160522E-02,1.565356E+03,1.657747E+03,9.593071E-02,1.160100E-01,1.806603E+03,6.230660E+02,1.107152E-01,4.360314E-02,1.506709E+03,2.922485E+03,9.234019E-02,2.045206E-01,2.005870E+03,1.632819E+03,1.229191E-01,1.142623E-01,2.006717E+03,1.874414E+03,1.229711E-01,1.311689E-01,1.806656E+03,6.367145E+02,1.107184E-01,4.455823E-02,4.755963E+02,2.319882E+03,2.915017E-02,1.623591E-01,2.005893E+03,1.649554E+03,1.229206E-01,1.154334E-01,1.806656E+03,6.285707E+02,1.107184E-01,4.398834E-02,1.563845E+03,1.388150E+03,9.583809E-02,9.714340E-02,2.005893E+03,1.618232E+03,1.229206E-01,1.132415E-01,1.563885E+03,1.371649E+03,9.584058E-02,9.598867E-02,1.808872E+03,7.292102E+02,1.108543E-01,5.103078E-02,1.563885E+03,1.406566E+03,9.584058E-02,9.843214E-02 
01:00:00,1.107861E+03,8.664624E+02,6.790284E-02,6.064136E-02,1.565361E+03,1.619027E+03,9.593100E-02,1.133002E-01,1.806605E+03,6.037235E+02,1.107154E-01,4.224938E-02,1.506717E+03,2.900152E+03,9.234067E-02,2.029571E-01,2.005876E+03,1.604106E+03,1.229195E-01,1.122529E-01,2.006724E+03,1.833441E+03,1.229715E-01,1.283015E-01,1.806658E+03,6.170799E+02,1.107186E-01,4.318404E-02,4.755997E+02,2.308256E+03,2.915038E-02,1.615444E-01,2.005899E+03,1.620546E+03,1.229210E-01,1.134033E-01,1.806658E+03,6.090456E+02,1.107186E-01,4.262181E-02,1.563850E+03,1.363226E+03,9.583839E-02,9.539904E-02,2.005899E+03,1.590663E+03,1.229210E-01,1.113121E-01,1.563890E+03,1.348092E+03,9.584087E-02,9.433992E-02,1.808875E+03,7.088518E+02,1.108545E-01,4.960591E-02,1.563890E+03,1.381252E+03,9.584087E-02,9.666055E-02 
01:15:00,1.107863E+03,8.557093E+02,6.790296E-02,5.988843E-02,1.565365E+03,1.583220E+03,9.593128E-02,1.107942E-01,1.806608E+03,5.862551E+02,1.107155E-01,4.102683E-02,1.506725E+03,2.880721E+03,9.234111E-02,2.015967E-01,2.005882E+03,1.577614E+03,1.229199E-01,1.103988E-01,2.006730E+03,1.795413E+03,1.229719E-01,1.256402E-01,1.806661E+03,5.992481E+02,1.107188E-01,4.193606E-02,4.756030E+02,2.299193E+03,2.915058E-02,1.609094E-01,2.005905E+03,1.593773E+03,1.229213E-01,1.115296E-01,1.806661E+03,5.913873E+02,1.107188E-01,4.138597E-02,1.563854E+03,1.340442E+03,9.583867E-02,9.380442E-02,2.005905E+03,1.565265E+03,1.229213E-01,1.095346E-01,1.563895E+03,1.326594E+03,9.584115E-02,9.283537E-02,1.808877E+03,6.896861E+02,1.108546E-01,4.826456E-02,1.563895E+03,1.358090E+03,9.584115E-02,9.503948E-02 
01:30:00,1.107865E+03,8.456344E+02,6.790308E-02,5.918300E-02,1.565370E+03,1.549361E+03,9.593155E-02,1.084245E-01,1.806610E+03,5.697775E+02,1.107157E-01,3.987364E-02,1.506732E+03,2.861960E+03,9.234153E-02,2.002832E-01,2.005888E+03,1.552439E+03,1.229203E-01,1.086370E-01,2.006736E+03,1.759380E+03,1.229722E-01,1.231184E-01,1.806663E+03,5.823807E+02,1.107189E-01,4.075558E-02,4.756061E+02,2.290439E+03,2.915077E-02,1.602961E-01,2.005911E+03,1.568333E+03,1.229217E-01,1.097492E-01,1.806663E+03,5.747274E+02,1.107189E-01,4.022002E-02,1.563859E+03,1.318881E+03,9.583893E-02,9.229540E-02,2.005911E+03,1.541136E+03,1.229217E-01,1.078460E-01,1.563899E+03,1.306246E+03,9.584142E-02,9.141123E-02,1.808880E+03,6.701053E+02,1.108547E-01,4.689422E-02,1.563899E+03,1.336163E+03,9.584142E-02,9.350486E-02 
01:45:00,1.107867E+03,8.361449E+02,6.790318E-02,5.851859E-02,1.565374E+03,1.517366E+03,9.593180E-02,1.061854E-01,1.806612E+03,5.542826E+02,1.107158E-01,3.878924E-02,1.506738E+03,2.843843E+03,9.234193E-02,1.990149E-01,2.005893E+03,1.528561E+03,1.229206E-01,1.069659E-01,2.006741E+03,1.725274E+03,1.229725E-01,1.207316E-01,1.806665E+03,5.664884E+02,1.107190E-01,3.964338E-02,4.756092E+02,2.281950E+03,2.915096E-02,1.597014E-01,2.005917E+03,1.544204E+03,1.229220E-01,1.080605E-01,1.806665E+03,5.590613E+02,1.107190E-01,3.912365E-02,1.563863E+03,1.298506E+03,9.583919E-02,9.086946E-02,2.005917E+03,1.518256E+03,1.229220E-01,1.062447E-01,1.563903E+03,1.287015E+03,9.584167E-02,9.006528E-02,1.808882E+03,6.509006E+02,1.108549E-01,4.555026E-02,1.563903E+03,1.315435E+03,9.584167E-02,9.205415E-02 
02:00:00,1.107868E+03,8.271993E+02,6.790327E-02,5.789229E-02,1.565378E+03,1.487171E+03,9.593204E-02,1.040723E-01,1.806614E+03,5.397737E+02,1.107159E-01,3.777386E-02,1.506744E+03,2.826368E+03,9.234230E-02,1.977917E-01,2.005899E+03,1.505968E+03,1.229209E-01,1.053847E-01,2.006746E+03,1.693044E+03,1.229729E-01,1.184761E-01,1.806667E+03,5.515843E+02,1.107191E-01,3.860035E-02,4.756121E+02,2.273711E+03,2.915114E-02,1.591244E-01,2.005922E+03,1.521372E+03,1.229223E-01,1.064627E-01,1.806667E+03,5.443944E+02,1.107191E-01,3.809721E-02,1.563867E+03,1.279297E+03,9.583943E-02,8.952507E-02,2.005922E+03,1.496616E+03,1.229223E-01,1.047303E-01,1.563907E+03,1.268882E+03,9.584192E-02,8.879625E-02,1.808884E+03,6.319966E+02,1.108550E-01,4.422736E-02,1.563907E+03,1.295883E+03,9.584192E-02,9.068582E-02 
02:15:00,1.107870E+03,8.187455E+02,6.790336E-02,5.730045E-02,1.565382E+03,1.458424E+03,9.593228E-02,1.020605E-01,1.806616E+03,5.259763E+02,1.107160E-01,3.680830E-02,1.506750E+03,2.809294E+03,9.234265E-02,1.965967E-01,2.005903E+03,1.484272E+03,1.229212E-01,1.038665E-01,2.006751E+03,1.662256E+03,1.229732E-01,1.163216E-01,1.806669E+03,5.374024E+02,1.107193E-01,3.760788E-02,4.756150E+02,2.265703E+03,2.915132E-02,1.585637E-01,2.005927E+03,1.499449E+03,1.229226E-01,1.049286E-01,1.806669E+03,5.304548E+02,1.107193E-01,3.712170E-02,1.563870E+03,1.260948E+03,9.583966E-02,8.824097E-02,2.005927E+03,1.475828E+03,1.229226E-01,1.032756E-01,1.563911E+03,1.251548E+03,9.584215E-02,8.758313E-02,1.808885E+03,6.138725E+02,1.108551E-01,4.295907E-02,1.563911E+03,1.277202E+03,9.584215E-02,8.937845E-02 
02:30:00,1.107871E+03,8.107622E+02,6.790344E-02,5.674156E-02,1.565385E+03,1.431063E+03,9.593250E-02,1.001458E-01,1.806617E+03,5.128694E+02,1.107161E-01,3.589106E-02,1.506755E+03,2.792626E+03,9.234298E-02,1.954301E-01,2.005908E+03,1.463455E+03,1.229215E-01,1.024097E-01,2.006756E+03,1.632857E+03,1.229734E-01,1.142643E-01,1.806670E+03,5.239249E+02,1.107194E-01,3.666471E-02,4.756177E+02,2.257922E+03,2.915148E-02,1.580190E-01,2.005931E+03,1.478414E+03,1.229229E-01,1.034566E-01,1.806670E+03,5.172214E+02,1.107194E-01,3.619561E-02,1.563874E+03,1.243434E+03,9.583989E-02,8.701531E-02,2.005931E+03,1.455875E+03,1.229229E-01,1.018793E-01,1.563915E+03,1.234988E+03,9.584237E-02,8.642425E-02,1.808887E+03,5.965040E+02,1.108552E-01,4.174365E-02,1.563915E+03,1.259364E+03,9.584237E-02,8.813012E-02 
