Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,3.111325E+00,3.578123E-01,1.025473E+05,4.218429E+03 
00:30:00,3.111335E+00,3.578123E-01,1.025476E+05,4.161800E+03 
00:45:00,3.111344E+00,3.578123E-01,1.025479E+05,4.105171E+03 
01:00:00,3.111352E+00,3.578123E-01,1.025482E+05,4.048542E+03 
01:15:00,3.111358E+00,3.578123E-01,1.025484E+05,4.010789E+03 
01:30:00,3.111365E+00,3.578123E-01,1.025486E+05,3.973036E+03 
01:45:00,3.111370E+00,3.578123E-01,1.025488E+05,3.935283E+03 
02:00:00,3.111375E+00,3.578123E-01,1.025489E+05,3.897530E+03 
02:15:00,3.111379E+00,3.578123E-01,1.025491E+05,3.869216E+03 
02:30:00,3.111383E+00,3.578123E-01,1.025492E+05,3.840901E+03 
02:45:00,3.111387E+00,3.578123E-01,1.025493E+05,3.812586E+03 
03:00:00,3.111390E+00,3.578123E-01,1.025494E+05,3.784272E+03 
03:15:00,3.111393E+00,3.578123E-01,1.025495E+05,3.755957E+03 
03:30:00,3.111396E+00,3.578123E-01,1.025496E+05,3.727643E+03 
03:45:00,3.111398E+00,3.578123E-01,1.025497E+05,3.699328E+03 
04:00:00,3.111400E+00,3.578123E-01,1.025498E+05,3.671013E+03 
04:15:00,3.111402E+00,3.578123E-01,1.025498E+05,3.652137E+03 
04:30:00,3.111404E+00,3.578123E-01,1.025499E+05,3.633260E+03 
04:45:00,3.111406E+00,3.578123E-01,1.025499E+05,3.614384E+03 
05:00:00,3.111407E+00,3.578123E-01,1.025500E+05,3.595508E+03 
05:15:00,3.111409E+00,3.578123E-01,1.025500E+05,3.614384E+03 
05:30:00,3.111410E+00,3.578123E-01,1.025501E+05,3.633260E+03 
05:45:00,3.111411E+00,3.578123E-01,1.025501E+05,3.652137E+03 
06:00:00,3.111412E+00,3.578123E-01,1.025502E+05,3.671013E+03 
06:15:00,2.852520E+00,3.848961E-01,9.401724E+04,4.019951E+03 
06:30:00,2.593383E+00,4.126481E-01,8.547625E+04,4.385992E+03 
06:45:00,2.334280E+00,4.443337E-01,7.693637E+04,4.804818E+03 
07:00:00,2.075083E+00,4.872266E-01,6.839340E+04,5.358605E+03 
07:15:00,2.074724E+00,5.127473E-01,6.838156E+04,5.869211E+03 
07:30:00,2.074565E+00,5.356846E-01,6.837635E+04,6.371976E+03 
07:45:00,2.074334E+00,5.580481E-01,6.836874E+04,6.888229E+03 
08:00:00,2.074163E+00,5.792115E-01,6.836309E+04,7.409186E+03 
08:15:00,2.074017E+00,6.084281E-01,6.835829E+04,8.087849E+03 
08:30:00,2.073891E+00,6.432108E-01,6.835414E+04,8.872577E+03 
08:45:00,2.073784E+00,6.782542E-01,6.835061E+04,9.695895E+03 
09:00:00,2.073695E+00,7.124585E-01,6.834766E+04,1.054192E+04 
09:15:00,2.073620E+00,7.441337E-01,6.834521E+04,1.134429E+04 
09:30:00,2.073558E+00,7.721586E-01,6.834315E+04,1.211778E+04 
09:45:00,2.073505E+00,7.960431E-01,6.834141E+04,1.284957E+04 
10:00:00,2.073461E+00,8.174443E-01,6.833994E+04,1.356158E+04 
10:15:00,2.073423E+00,8.370614E-01,6.833868E+04,1.421822E+04 
10:30:00,2.073390E+00,8.555698E-01,6.833761E+04,1.487112E+04 
10:45:00,2.073362E+00,8.732417E-01,6.833669E+04,1.552380E+04 
11:00:00,2.073338E+00,8.879268E-01,6.833590E+04,1.613618E+04 
11:15:00,2.073318E+00,8.984117E-01,6.833522E+04,1.656370E+04 
11:30:00,2.073300E+00,9.041548E-01,6.833464E+04,1.690807E+04 
11:45:00,2.073284E+00,9.067389E-01,6.833413E+04,1.719557E+04 
12:00:00,2.073271E+00,9.063796E-01,6.833369E+04,1.742784E+04 
12:15:00,2.073259E+00,9.075877E-01,6.833330E+04,1.764259E+04 
12:30:00,2.073249E+00,9.131406E-01,6.833296E+04,1.794322E+04 
12:45:00,2.073240E+00,9.228521E-01,6.833267E+04,1.832879E+04 
13:00:00,2.073232E+00,9.372434E-01,6.833241E+04,1.881240E+04 
