Time,THERMAL ZONE 5:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 1:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:15:00,1.260416E+04,2.410682E+03,7.722895E-01,1.687361E-01,6.987893E+03,1.095136E+02,4.280567E-01,7.664770E-03,7.012515E+03,1.458319E+02,4.295649E-01,1.020680E-02,7.012515E+03,1.253040E+02,4.295649E-01,8.769982E-03,7.012824E+03,3.079127E+02,4.295839E-01,2.155214E-02 
00:30:00,1.260421E+04,2.339222E+03,7.722921E-01,1.637339E-01,6.987915E+03,7.420076E+01,4.280580E-01,5.193195E-03,7.012537E+03,1.080765E+02,4.295663E-01,7.564206E-03,7.012537E+03,8.803449E+01,4.295663E-01,6.161430E-03,7.012846E+03,2.575969E+02,4.295852E-01,1.803007E-02 
00:45:00,1.260425E+04,2.269602E+03,7.722944E-01,1.588604E-01,6.987935E+03,4.226682E+01,4.280592E-01,2.958159E-03,7.012556E+03,7.167501E+01,4.295675E-01,5.016426E-03,7.012556E+03,5.192774E+01,4.295675E-01,3.634325E-03,7.012865E+03,2.096331E+02,4.295864E-01,1.467270E-02 
01:00:00,1.260428E+04,2.201763E+03,7.722965E-01,1.541116E-01,6.987952E+03,1.909718E+01,4.280603E-01,1.336554E-03,7.012573E+03,3.977194E+01,4.295685E-01,2.783546E-03,7.012573E+03,2.510060E+01,4.295685E-01,1.756724E-03,7.012882E+03,1.639058E+02,4.295874E-01,1.147196E-02 
01:15:00,1.260431E+04,2.144881E+03,7.722983E-01,1.501298E-01,6.987967E+03,5.566972E+00,4.280612E-01,3.896103E-04,7.012589E+03,1.808947E+01,4.295695E-01,1.266025E-03,7.012589E+03,8.367766E+00,4.295695E-01,5.856304E-04,7.012897E+03,1.224326E+02,4.295884E-01,8.569061E-03 
01:30:00,1.260433E+04,2.090819E+03,7.722999E-01,1.463454E-01,6.987981E+03,0.000000E+00,4.280620E-01,0.000000E+00,7.012602E+03,4.901378E+00,4.295703E-01,3.430278E-04,7.012602E+03,0.000000E+00,4.295703E-01,0.000000E+00,7.012911E+03,8.361058E+01,4.295892E-01,5.851817E-03 
01:45:00,1.260436E+04,2.039329E+03,7.723013E-01,1.427410E-01,6.987993E+03,0.000000E+00,4.280628E-01,0.000000E+00,7.012614E+03,0.000000E+00,4.295710E-01,0.000000E+00,7.012614E+03,0.000000E+00,4.295710E-01,0.000000E+00,7.012923E+03,4.825465E+01,4.295899E-01,3.377250E-03 
02:00:00,1.260438E+04,1.990166E+03,7.723026E-01,1.392997E-01,6.988003E+03,0.000000E+00,4.280634E-01,0.000000E+00,7.012625E+03,0.000000E+00,4.295717E-01,0.000000E+00,7.012625E+03,0.000000E+00,4.295717E-01,0.000000E+00,7.012934E+03,2.332196E+01,4.295906E-01,1.632239E-03 
02:15:00,1.260440E+04,1.942318E+03,7.723037E-01,1.359503E-01,6.988013E+03,0.000000E+00,4.280640E-01,0.000000E+00,7.012635E+03,0.000000E+00,4.295723E-01,0.000000E+00,7.012635E+03,0.000000E+00,4.295723E-01,0.000000E+00,7.012943E+03,7.357857E+00,4.295912E-01,5.149498E-04 
02:30:00,1.260441E+04,1.895595E+03,7.723047E-01,1.326798E-01,6.988022E+03,0.000000E+00,4.280645E-01,0.000000E+00,7.012643E+03,0.000000E+00,4.295728E-01,0.000000E+00,7.012643E+03,0.000000E+00,4.295728E-01,0.000000E+00,7.012952E+03,0.000000E+00,4.295917E-01,0.000000E+00 
