Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,7.737268E+00,1.065229E+01,7.075123E+04,2.202892E+05 
00:30:00,7.737286E+00,1.052979E+01,7.075139E+04,2.158513E+05 
00:45:00,7.737302E+00,1.041125E+01,7.075154E+04,2.115382E+05 
01:00:00,7.737318E+00,1.029641E+01,7.075168E+04,2.073425E+05 
01:15:00,7.737332E+00,1.019612E+01,7.075181E+04,2.040934E+05 
01:30:00,7.737346E+00,1.010088E+01,7.075194E+04,2.009692E+05 
01:45:00,7.737359E+00,1.001058E+01,7.075206E+04,1.979653E+05 
02:00:00,7.737371E+00,9.925122E+00,7.075217E+04,1.950786E+05 
02:15:00,7.737383E+00,9.843257E+00,7.075228E+04,1.925794E+05 
02:30:00,7.737394E+00,9.764868E+00,7.075238E+04,1.901626E+05 
02:45:00,7.737405E+00,9.689869E+00,7.075248E+04,1.878257E+05 
03:00:00,7.737415E+00,9.618172E+00,7.075257E+04,1.855661E+05 
03:15:00,7.737425E+00,9.548569E+00,7.075266E+04,1.833597E+05 
03:30:00,7.737434E+00,9.480932E+00,7.075275E+04,1.812035E+05 
03:45:00,7.737443E+00,9.415153E+00,7.075283E+04,1.790948E+05 
04:00:00,7.737452E+00,9.351134E+00,7.075291E+04,1.770313E+05 
04:15:00,7.737460E+00,9.289906E+00,7.075299E+04,1.753121E+05 
04:30:00,7.737468E+00,9.231444E+00,7.075306E+04,1.736523E+05 
04:45:00,7.737476E+00,9.175728E+00,7.075313E+04,1.720510E+05 
05:00:00,7.737483E+00,9.122667E+00,7.075320E+04,1.705060E+05 
05:15:00,7.737491E+00,9.075549E+00,7.075326E+04,1.701725E+05 
05:30:00,7.737497E+00,9.034480E+00,7.075333E+04,1.699472E+05 
05:45:00,7.737504E+00,9.005288E+00,7.075339E+04,1.699410E+05 
06:00:00,7.737510E+00,9.010753E+00,7.075344E+04,1.705874E+05 
06:15:00,7.352714E+00,9.196612E+00,6.723478E+04,1.760467E+05 
06:30:00,6.967630E+00,9.456819E+00,6.371350E+04,1.830233E+05 
06:45:00,6.582594E+00,9.788938E+00,6.019264E+04,1.915166E+05 
07:00:00,6.197442E+00,1.017082E+01,5.667073E+04,2.011343E+05 
07:15:00,6.197024E+00,1.047337E+01,5.666691E+04,2.124848E+05 
07:30:00,6.196841E+00,1.080095E+01,5.666523E+04,2.246659E+05 
07:45:00,6.196568E+00,1.114468E+01,5.666274E+04,2.375271E+05 
08:00:00,6.196374E+00,1.149822E+01,5.666096E+04,2.509548E+05 
08:15:00,6.196219E+00,1.183577E+01,5.665955E+04,2.651010E+05 
08:30:00,6.196090E+00,1.215388E+01,5.665837E+04,2.791875E+05 
08:45:00,6.195982E+00,1.245354E+01,5.665738E+04,2.932041E+05 
09:00:00,6.195890E+00,1.274363E+01,5.665654E+04,3.073331E+05 
09:15:00,6.195812E+00,1.302662E+01,5.665582E+04,3.208338E+05 
09:30:00,6.195745E+00,1.330457E+01,5.665521E+04,3.344976E+05 
09:45:00,6.195686E+00,1.358059E+01,5.665468E+04,3.483969E+05 
10:00:00,6.195636E+00,1.384858E+01,5.665421E+04,3.623692E+05 
10:15:00,6.195591E+00,1.410561E+01,5.665380E+04,3.754731E+05 
10:30:00,6.195551E+00,1.434974E+01,5.665344E+04,3.884603E+05 
10:45:00,6.195515E+00,1.457820E+01,5.665311E+04,4.012369E+05 
11:00:00,6.195483E+00,1.478845E+01,5.665282E+04,4.137107E+05 
11:15:00,6.195454E+00,1.497551E+01,5.665256E+04,4.234583E+05 
11:30:00,6.195428E+00,1.513507E+01,5.665231E+04,4.325327E+05 
11:45:00,6.195403E+00,1.525988E+01,5.665209E+04,4.406998E+05 
