Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,3.572311E-01,0.000000E+00,4.738361E+03,0.000000E+00 
00:30:00,3.572311E-01,0.000000E+00,4.738361E+03,0.000000E+00 
00:45:00,3.572311E-01,0.000000E+00,4.738361E+03,0.000000E+00 
01:00:00,3.572311E-01,0.000000E+00,4.738361E+03,0.000000E+00 
01:15:00,3.572311E-01,0.000000E+00,4.738361E+03,0.000000E+00 
01:30:00,3.572311E-01,0.000000E+00,4.738361E+03,0.000000E+00 
01:45:00,3.572311E-01,0.000000E+00,4.738361E+03,0.000000E+00 
02:00:00,3.572311E-01,0.000000E+00,4.738361E+03,0.000000E+00 
02:15:00,3.572311E-01,0.000000E+00,4.738361E+03,0.000000E+00 
02:30:00,3.572311E-01,0.000000E+00,4.738361E+03,0.000000E+00 
02:45:00,3.572311E-01,0.000000E+00,4.738361E+03,0.000000E+00 
03:00:00,3.572311E-01,0.000000E+00,4.738361E+03,0.000000E+00 
03:15:00,3.572311E-01,0.000000E+00,4.738361E+03,0.000000E+00 
03:30:00,3.572311E-01,0.000000E+00,4.738361E+03,0.000000E+00 
03:45:00,3.572311E-01,0.000000E+00,4.738361E+03,0.000000E+00 
04:00:00,3.572311E-01,0.000000E+00,4.738361E+03,0.000000E+00 
04:15:00,3.572311E-01,0.000000E+00,4.738361E+03,0.000000E+00 
04:30:00,3.572311E-01,0.000000E+00,4.738361E+03,0.000000E+00 
04:45:00,3.572311E-01,0.000000E+00,4.738361E+03,0.000000E+00 
05:00:00,3.572311E-01,0.000000E+00,4.738361E+03,0.000000E+00 
05:15:00,3.572311E-01,0.000000E+00,4.738361E+03,0.000000E+00 
05:30:00,3.572311E-01,0.000000E+00,4.738361E+03,0.000000E+00 
05:45:00,3.572311E-01,0.000000E+00,4.738361E+03,0.000000E+00 
06:00:00,3.572311E-01,0.000000E+00,4.738361E+03,0.000000E+00 
06:15:00,3.572311E-01,0.000000E+00,4.738361E+03,0.000000E+00 
06:30:00,3.572311E-01,0.000000E+00,4.738361E+03,0.000000E+00 
06:45:00,3.572311E-01,0.000000E+00,4.738361E+03,0.000000E+00 
07:00:00,3.572311E-01,0.000000E+00,4.738361E+03,0.000000E+00 
07:15:00,3.572311E-01,0.000000E+00,4.738361E+03,0.000000E+00 
07:30:00,3.572311E-01,0.000000E+00,4.738361E+03,0.000000E+00 
07:45:00,3.572311E-01,0.000000E+00,4.738361E+03,0.000000E+00 
08:00:00,3.572311E-01,1.906275E-03,4.738361E+03,2.242328E+01 
08:15:00,3.572311E-01,6.032360E-03,4.738361E+03,7.616941E+01 
08:30:00,3.572311E-01,1.000432E-02,4.738361E+03,1.349656E+02 
08:45:00,3.572311E-01,1.534730E-02,4.738361E+03,2.203052E+02 
09:00:00,3.572311E-01,1.981337E-02,4.738361E+03,3.015314E+02 
09:15:00,3.572311E-01,2.278179E-02,4.738361E+03,3.643165E+02 
09:30:00,3.572311E-01,2.647003E-02,4.738361E+03,4.437584E+02 
09:45:00,3.572311E-01,2.920664E-02,4.738361E+03,5.122128E+02 
10:00:00,3.572311E-01,3.117959E-02,4.738361E+03,5.709149E+02 
10:15:00,3.572311E-01,3.254576E-02,4.738361E+03,6.181280E+02 
10:30:00,3.572311E-01,3.333417E-02,4.738361E+03,6.558375E+02 
10:45:00,3.572311E-01,3.355023E-02,4.738361E+03,6.829712E+02 
11:00:00,3.572311E-01,3.315370E-02,4.738361E+03,6.975116E+02 
11:15:00,3.572311E-01,3.198003E-02,4.738361E+03,6.873603E+02 
11:30:00,3.572311E-01,2.982343E-02,4.738361E+03,6.545682E+02 
11:45:00,3.572311E-01,2.693382E-02,4.738361E+03,6.033935E+02 
12:00:00,3.572311E-01,2.537058E-02,4.738361E+03,5.799085E+02 
12:15:00,3.572311E-01,2.342324E-02,4.738361E+03,5.439175E+02 
12:30:00,3.572311E-01,2.301959E-02,4.738361E+03,5.429177E+02 
12:45:00,3.572311E-01,2.398226E-02,4.738361E+03,5.743463E+02 
13:00:00,3.572311E-01,2.450103E-02,4.738361E+03,5.956826E+02 
13:15:00,3.572311E-01,2.654126E-02,4.738361E+03,6.513199E+02 
13:30:00,3.572311E-01,2.844634E-02,4.738361E+03,7.045377E+02 
13:45:00,3.572311E-01,3.020547E-02,4.738361E+03,7.549736E+02 
14:00:00,3.572311E-01,3.418558E-02,4.738361E+03,8.622269E+02 
14:15:00,3.572311E-01,3.946102E-02,4.738361E+03,9.952840E+02 
14:30:00,3.572311E-01,4.590432E-02,4.738361E+03,1.157796E+03 
14:45:00,3.572311E-01,5.413043E-02,4.738361E+03,1.365275E+03 
15:00:00,3.572311E-01,6.129440E-02,4.738361E+03,1.545964E+03 
15:15:00,3.572311E-01,6.817699E-02,4.738361E+03,1.700957E+03 
15:30:00,3.572311E-01,7.447780E-02,4.738361E+03,1.837837E+03 
15:45:00,3.572311E-01,7.930175E-02,4.738361E+03,1.935240E+03 
16:00:00,3.572311E-01,8.278912E-02,4.738361E+03,1.997757E+03 
16:15:00,3.572311E-01,8.496562E-02,4.738361E+03,2.019371E+03 
16:30:00,3.572311E-01,8.630718E-02,4.738361E+03,2.019860E+03 
16:45:00,3.572311E-01,8.706439E-02,4.738361E+03,2.005911E+03 
17:00:00,3.572311E-01,8.730770E-02,4.738361E+03,1.979758E+03 
17:15:00,3.572311E-01,8.711671E-02,4.738361E+03,1.935815E+03 
17:30:00,3.572311E-01,8.623864E-02,4.738361E+03,1.877091E+03 
17:45:00,3.572311E-01,8.445377E-02,4.738361E+03,1.799840E+03 
18:00:00,3.572311E-01,8.253378E-02,4.738361E+03,1.721394E+03 
18:15:00,3.572311E-01,7.923534E-02,4.738361E+03,1.598557E+03 
18:30:00,3.572311E-01,7.443567E-02,4.738361E+03,1.450956E+03 
18:45:00,3.572311E-01,6.810086E-02,4.738361E+03,1.281025E+03 
19:00:00,3.572311E-01,5.887100E-02,4.738361E+03,1.067252E+03 
19:15:00,3.572311E-01,4.859292E-02,4.738361E+03,8.566196E+02 
19:30:00,3.572311E-01,3.762730E-02,4.738361E+03,6.444922E+02 
19:45:00,3.572311E-01,2.739617E-02,4.738361E+03,4.555476E+02 
20:00:00,3.572311E-01,1.915896E-02,4.738361E+03,3.089954E+02 
20:15:00,3.572311E-01,1.264632E-02,4.738361E+03,1.987844E+02 
20:30:00,3.572311E-01,8.045232E-03,4.738361E+03,1.231687E+02 
20:45:00,3.572311E-01,4.460918E-03,4.738361E+03,6.646899E+01 
21:00:00,3.572311E-01,2.068911E-03,4.738361E+03,2.998073E+01 
21:15:00,3.572311E-01,6.346389E-04,4.738361E+03,8.936882E+00 
21:30:00,3.572311E-01,0.000000E+00,4.738361E+03,0.000000E+00 
21:45:00,3.572311E-01,0.000000E+00,4.738361E+03,0.000000E+00 
22:00:00,3.572311E-01,0.000000E+00,4.738361E+03,0.000000E+00 
22:15:00,3.572311E-01,0.000000E+00,4.738361E+03,0.000000E+00 
22:30:00,3.572311E-01,0.000000E+00,4.738361E+03,0.000000E+00 
22:45:00,3.572311E-01,0.000000E+00,4.738361E+03,0.000000E+00 
23:00:00,3.572311E-01,0.000000E+00,4.738361E+03,0.000000E+00 
23:15:00,3.572311E-01,0.000000E+00,4.738361E+03,0.000000E+00 
23:30:00,3.572311E-01,0.000000E+00,4.738361E+03,0.000000E+00 
23:45:00,3.572311E-01,0.000000E+00,4.738361E+03,0.000000E+00 
24:00:00,3.572311E-01,0.000000E+00,4.738361E+03,0.000000E+00 
Coinc Peak   ,3.572311E-01,8.730770E-02,4.738361E+03,3.161249E+03 
NonCoinc Peak,3.572311E-01,1.435857E-01,4.738361E+03,3.161249E+03 
