Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,1.422527E+01,1.091404E+01,3.373475E+05,1.464213E+05 
00:30:00,1.422533E+01,1.082341E+01,3.373488E+05,1.436720E+05 
00:45:00,1.422538E+01,1.074105E+01,3.373501E+05,1.410568E+05 
01:00:00,1.422543E+01,1.066080E+01,3.373513E+05,1.384925E+05 
01:15:00,1.422548E+01,1.059703E+01,3.373524E+05,1.366631E+05 
01:30:00,1.422552E+01,1.053660E+01,3.373535E+05,1.348885E+05 
01:45:00,1.422556E+01,1.047927E+01,3.373545E+05,1.331648E+05 
02:00:00,1.422561E+01,1.042494E+01,3.373554E+05,1.314896E+05 
02:15:00,1.422564E+01,1.037273E+01,3.373563E+05,1.300962E+05 
02:30:00,1.422568E+01,1.032259E+01,3.373572E+05,1.287361E+05 
02:45:00,1.422572E+01,1.027448E+01,3.373581E+05,1.274083E+05 
03:00:00,1.422575E+01,1.022837E+01,3.373589E+05,1.261119E+05 
03:15:00,1.422578E+01,1.018339E+01,3.373596E+05,1.248358E+05 
03:30:00,1.422581E+01,1.013950E+01,3.373604E+05,1.235795E+05 
03:45:00,1.422584E+01,1.009665E+01,3.373611E+05,1.223420E+05 
04:00:00,1.422587E+01,1.005485E+01,3.373618E+05,1.211232E+05 
04:15:00,1.422590E+01,1.001488E+01,3.373625E+05,1.201687E+05 
04:30:00,1.422593E+01,9.976661E+00,3.373631E+05,1.192389E+05 
04:45:00,1.422595E+01,9.940064E+00,3.373637E+05,1.183321E+05 
05:00:00,1.422598E+01,9.906656E+00,3.373643E+05,1.174665E+05 
05:15:00,1.422600E+01,9.884411E+00,3.373649E+05,1.176696E+05 
05:30:00,1.422603E+01,9.880331E+00,3.373654E+05,1.180876E+05 
05:45:00,1.422605E+01,9.899988E+00,3.373660E+05,1.187901E+05 
06:00:00,1.422607E+01,9.945752E+00,3.373665E+05,1.198090E+05 
06:15:00,1.322373E+01,1.040507E+01,3.135963E+05,1.270620E+05 
06:30:00,1.221980E+01,1.090403E+01,2.897884E+05,1.349574E+05 
06:45:00,1.121633E+01,1.142777E+01,2.659916E+05,1.433288E+05 
07:00:00,1.021244E+01,1.195695E+01,2.421845E+05,1.519423E+05 
07:15:00,1.021069E+01,1.213583E+01,2.421430E+05,1.590871E+05 
07:30:00,1.021036E+01,1.231199E+01,2.421353E+05,1.663389E+05 
07:45:00,1.020944E+01,1.248437E+01,2.421135E+05,1.736796E+05 
08:00:00,1.020884E+01,1.265976E+01,2.420991E+05,1.812017E+05 
08:15:00,1.020835E+01,1.283541E+01,2.420876E+05,1.894747E+05 
08:30:00,1.020795E+01,1.301516E+01,2.420780E+05,1.979676E+05 
08:45:00,1.020760E+01,1.320152E+01,2.420698E+05,2.067254E+05 
09:00:00,1.020730E+01,1.339037E+01,2.420627E+05,2.156906E+05 
09:15:00,1.020705E+01,1.357662E+01,2.420567E+05,2.241408E+05 
09:30:00,1.020683E+01,1.375756E+01,2.420515E+05,2.326508E+05 
09:45:00,1.020664E+01,1.392975E+01,2.420470E+05,2.411547E+05 
10:00:00,1.020647E+01,1.408988E+01,2.420430E+05,2.495832E+05 
10:15:00,1.020632E+01,1.423932E+01,2.420395E+05,2.572740E+05 
10:30:00,1.020619E+01,1.437605E+01,2.420364E+05,2.648366E+05 
10:45:00,1.020607E+01,1.450102E+01,2.420336E+05,2.722753E+05 
11:00:00,1.020597E+01,1.461339E+01,2.420310E+05,2.795614E+05 
11:15:00,1.020587E+01,1.470664E+01,2.420287E+05,2.848183E+05 
11:30:00,1.020578E+01,1.477721E+01,2.420267E+05,2.896744E+05 
11:45:00,1.020570E+01,1.482143E+01,2.420248E+05,2.940412E+05 
12:00:00,1.020563E+01,1.484170E+01,2.420230E+05,2.979482E+05 
12:15:00,1.020556E+01,1.485192E+01,2.420214E+05,3.009589E+05 
12:30:00,1.020550E+01,1.487331E+01,2.420199E+05,3.042023E+05 
12:45:00,1.020544E+01,1.492095E+01,2.420185E+05,3.079953E+05 
13:00:00,1.020538E+01,1.500028E+01,2.420172E+05,3.124666E+05 
13:15:00,1.020533E+01,1.510687E+01,2.420159E+05,3.164707E+05 
13:30:00,1.020528E+01,1.522721E+01,2.420148E+05,3.207895E+05 
13:45:00,1.020523E+01,1.535124E+01,2.420137E+05,3.252151E+05 
14:00:00,1.020519E+01,1.547379E+01,2.420126E+05,3.296381E+05 
14:15:00,1.020515E+01,1.558877E+01,2.420116E+05,3.320877E+05 
14:30:00,1.020511E+01,1.569278E+01,2.420107E+05,3.343033E+05 
14:45:00,1.020507E+01,1.578299E+01,2.420098E+05,3.362251E+05 
15:00:00,1.020503E+01,1.585792E+01,2.420090E+05,3.378213E+05 
15:15:00,1.020500E+01,1.591602E+01,2.420081E+05,3.368040E+05 
15:30:00,1.020497E+01,1.595456E+01,2.420074E+05,3.353590E+05 
15:45:00,1.020494E+01,1.597232E+01,2.420066E+05,3.334693E+05 
16:00:00,1.020491E+01,1.596911E+01,2.420059E+05,3.311396E+05 
16:15:00,1.020488E+01,1.594791E+01,2.420052E+05,3.276873E+05 
16:30:00,1.020485E+01,1.591098E+01,2.420046E+05,3.239227E+05 
16:45:00,1.020482E+01,1.586492E+01,2.420040E+05,3.199878E+05 
17:00:00,1.020480E+01,1.581393E+01,2.420034E+05,3.159720E+05 
17:15:00,1.020477E+01,1.575817E+01,2.420028E+05,3.111366E+05 
17:30:00,1.020475E+01,1.569679E+01,2.420022E+05,3.062181E+05 
17:45:00,1.020473E+01,1.562217E+01,2.420017E+05,3.010733E+05 
18:00:00,1.020471E+01,1.552694E+01,2.420012E+05,2.955714E+05 
18:15:00,1.120729E+01,1.539903E+01,2.657772E+05,2.876820E+05 
18:30:00,1.221061E+01,1.523786E+01,2.895704E+05,2.792736E+05 
