Time,THERMAL ZONE 9:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 9:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 9:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 9:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 8:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 8:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 8:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 8:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 15:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 15:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 15:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 15:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 14:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 14:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 14:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 14:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 11:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 11:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 11:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 11:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 7:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 7:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 7:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 7:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 12:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 12:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 12:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 12:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 10:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 10:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 10:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 10:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 13:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 13:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 13:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 13:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 1:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 6:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 6:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6:PHILADELPHIA INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:15:00,8.691765E+03,7.624205E+02,5.325711E-01,5.336383E-02,1.084378E+04,3.744735E+03,6.643119E-01,2.621729E-01,7.988994E+03,4.152554E+03,4.895090E-01,2.906891E-01,1.091778E+04,4.501433E+03,6.688453E-01,3.151513E-01,1.084378E+04,3.869225E+03,6.643119E-01,2.708888E-01,8.691765E+03,6.823253E+02,5.325711E-01,4.775738E-02,4.280443E+04,4.465516E+04,2.622839E+00,3.125998E+00,1.091778E+04,3.606770E+03,6.688453E-01,2.525138E-01,7.923623E+03,3.464861E+03,4.855035E-01,2.425505E-01,1.727158E+04,1.575045E+04,1.058607E+00,1.102383E+00,6.544971E+03,4.096184E+04,4.011533E-01,2.866868E+00,8.731203E+03,1.147444E+03,5.349876E-01,8.031531E-02,7.988994E+03,3.186880E+03,4.895090E-01,2.230926E-01,8.731203E+03,6.459018E+02,5.349876E-01,4.520782E-02,7.923623E+03,3.326479E+03,4.855035E-01,2.328640E-01 
00:30:00,8.691786E+03,7.053314E+02,5.325724E-01,4.936779E-02,1.084384E+04,3.668749E+03,6.643156E-01,2.568539E-01,7.989035E+03,4.047345E+03,4.895115E-01,2.833248E-01,1.091784E+04,4.388413E+03,6.688490E-01,3.072392E-01,1.084384E+04,3.788188E+03,6.643156E-01,2.652161E-01,8.691786E+03,6.290554E+02,5.325724E-01,4.402870E-02,4.280466E+04,4.440687E+04,2.622853E+00,3.108619E+00,1.091784E+04,3.536828E+03,6.688490E-01,2.476179E-01,7.923664E+03,3.396611E+03,4.855060E-01,2.377735E-01,1.727160E+04,1.565565E+04,1.058608E+00,1.095738E+00,6.545037E+03,4.088490E+04,4.011573E-01,2.861442E+00,8.731223E+03,1.067303E+03,5.349888E-01,7.470550E-02,7.989035E+03,3.132975E+03,4.895115E-01,2.193197E-01,8.731223E+03,5.933299E+02,5.349888E-01,4.152801E-02,7.923664E+03,3.264811E+03,4.855060E-01,2.285478E-01 
00:45:00,8.691805E+03,6.505892E+02,5.325735E-01,4.553602E-02,1.084390E+04,3.595021E+03,6.643191E-01,2.516923E-01,7.989074E+03,3.946654E+03,4.895139E-01,2.762764E-01,1.091790E+04,4.279435E+03,6.688524E-01,2.996094E-01,1.084390E+04,3.709622E+03,6.643191E-01,2.597157E-01,8.691805E+03,5.778723E+02,5.325735E-01,4.044609E-02,4.280487E+04,4.416131E+04,2.622866E+00,3.091429E+00,1.091790E+04,3.468915E+03,6.688524E-01,2.428635E-01,7.923703E+03,3.331097E+03,4.855084E-01,2.331877E-01,1.727162E+04,1.556305E+04,1.058609E+00,1.089248E+00,6.545101E+03,4.080677E+04,4.011613E-01,2.855944E+00,8.731242E+03,9.909912E+02,5.349900E-01,6.936369E-02,7.989074E+03,3.081243E+03,4.895139E-01,2.156989E-01,8.731242E+03,5.429063E+02,5.349900E-01,3.799860E-02,7.923703E+03,3.205624E+03,4.855084E-01,2.244049E-01 
01:00:00,8.691822E+03,5.980898E+02,5.325746E-01,4.186125E-02,1.084395E+04,3.523515E+03,6.643223E-01,2.466859E-01,7.989112E+03,3.850335E+03,4.895161E-01,2.695338E-01,1.091795E+04,4.174435E+03,6.688557E-01,2.922578E-01,1.084395E+04,3.633487E+03,6.643223E-01,2.543852E-01,8.691822E+03,5.286913E+02,5.325746E-01,3.700364E-02,4.280508E+04,4.391858E+04,2.622878E+00,3.074435E+00,1.091795E+04,3.403001E+03,6.688557E-01,2.382487E-01,7.923740E+03,3.268244E+03,4.855106E-01,2.287880E-01,1.727164E+04,1.547262E+04,1.058611E+00,1.082910E+00,6.545163E+03,4.072770E+04,4.011651E-01,2.850385E+00,8.731259E+03,9.183352E+02,5.349910E-01,6.427781E-02,7.989112E+03,3.031658E+03,4.895161E-01,2.122280E-01,8.731259E+03,4.945308E+02,5.349910E-01,3.461254E-02,7.923740E+03,3.148865E+03,4.855106E-01,2.204318E-01 
01:15:00,8.691837E+03,5.519314E+02,5.325755E-01,3.863032E-02,1.084400E+04,3.458539E+03,6.643254E-01,2.421367E-01,7.989147E+03,3.762301E+03,4.895183E-01,2.633711E-01,1.091800E+04,4.077683E+03,6.688587E-01,2.854836E-01,1.084400E+04,3.564086E+03,6.643254E-01,2.495261E-01,8.691837E+03,4.856303E+02,5.325755E-01,3.398956E-02,4.280527E+04,4.372893E+04,2.622890E+00,3.061156E+00,1.091800E+04,3.343394E+03,6.688587E-01,2.340754E-01,7.923776E+03,3.212028E+03,4.855128E-01,2.248528E-01,1.727166E+04,1.543344E+04,1.058612E+00,1.080161E+00,6.545225E+03,4.069368E+04,4.011689E-01,2.847984E+00,8.731275E+03,8.533370E+02,5.349920E-01,5.972796E-02,7.989147E+03,2.988219E+03,4.895183E-01,2.091874E-01,8.731275E+03,4.523098E+02,5.349920E-01,3.165728E-02,7.923776E+03,3.098519E+03,4.855128E-01,2.169075E-01 
01:30:00,8.691852E+03,5.087176E+02,5.325764E-01,3.560555E-02,1.084405E+04,3.396795E+03,6.643283E-01,2.378137E-01,7.989181E+03,3.679122E+03,4.895204E-01,2.575483E-01,1.091805E+04,3.985807E+03,6.688616E-01,2.790508E-01,1.084405E+04,3.498117E+03,6.643283E-01,2.449073E-01,8.691852E+03,4.453052E+02,5.325764E-01,3.116701E-02,4.280546E+04,4.354744E+04,2.622902E+00,3.048448E+00,1.091805E+04,3.286800E+03,6.688616E-01,2.301130E-01,7.923810E+03,3.159109E+03,4.855149E-01,2.211483E-01,1.727167E+04,1.539834E+04,1.058613E+00,1.077697E+00,6.545286E+03,4.066014E+04,4.011726E-01,2.845618E+00,8.731289E+03,7.925263E+02,5.349929E-01,5.547129E-02,7.989181E+03,2.947622E+03,4.895204E-01,2.063457E-01,8.731289E+03,4.128473E+02,5.349929E-01,2.889513E-02,7.923810E+03,3.051257E+03,4.855149E-01,2.135992E-01 
01:45:00,8.691865E+03,4.683361E+02,5.325773E-01,3.277905E-02,1.084409E+04,3.338255E+03,6.643310E-01,2.337151E-01,7.989214E+03,3.600628E+03,4.895224E-01,2.520535E-01,1.091809E+04,3.898691E+03,6.688644E-01,2.729514E-01,1.084409E+04,3.435545E+03,6.643310E-01,2.405264E-01,8.691865E+03,4.076194E+02,5.325773E-01,2.852923E-02,4.280564E+04,4.337393E+04,2.622913E+00,3.036299E+00,1.091809E+04,3.233200E+03,6.688644E-01,2.263602E-01,7.923842E+03,3.109414E+03,4.855169E-01,2.176697E-01,1.727169E+04,1.536552E+04,1.058614E+00,1.075394E+00,6.545346E+03,4.062675E+04,4.011763E-01,2.843268E+00,8.731303E+03,7.357070E+02,5.349937E-01,5.149405E-02,7.989214E+03,2.909845E+03,4.895224E-01,2.037015E-01,8.731303E+03,3.760376E+02,5.349937E-01,2.631869E-02,7.923842E+03,3.007026E+03,4.855169E-01,2.105031E-01 
02:00:00,8.691878E+03,4.306972E+02,5.325780E-01,3.014453E-02,1.084414E+04,3.282897E+03,6.643336E-01,2.298393E-01,7.989245E+03,3.526676E+03,4.895243E-01,2.468766E-01,1.091814E+04,3.816233E+03,6.688670E-01,2.671782E-01,1.084414E+04,3.376340E+03,6.643336E-01,2.363812E-01,8.691878E+03,3.724966E+02,5.325780E-01,2.607085E-02,4.280581E+04,4.320835E+04,2.622923E+00,3.024705E+00,1.091814E+04,3.182578E+03,6.688670E-01,2.228161E-01,7.923874E+03,3.062893E+03,4.855188E-01,2.144132E-01,1.727170E+04,1.533448E+04,1.058615E+00,1.073216E+00,6.545404E+03,4.059306E+04,4.011799E-01,2.840898E+00,8.731315E+03,6.827126E+02,5.349945E-01,4.778457E-02,7.989245E+03,2.874897E+03,4.895243E-01,2.012553E-01,8.731315E+03,3.417966E+02,5.349945E-01,2.392206E-02,7.923874E+03,2.965792E+03,4.855188E-01,2.076168E-01 
02:15:00,8.691890E+03,3.950105E+02,5.325787E-01,2.764669E-02,1.084418E+04,3.229769E+03,6.643361E-01,2.261197E-01,7.989275E+03,3.456491E+03,4.895262E-01,2.419637E-01,1.091818E+04,3.737410E+03,6.688694E-01,2.616596E-01,1.084418E+04,3.319542E+03,6.643361E-01,2.324047E-01,8.691890E+03,3.391595E+02,5.325787E-01,2.373749E-02,4.280598E+04,4.304669E+04,2.622933E+00,3.013388E+00,1.091818E+04,3.133990E+03,6.688694E-01,2.194143E-01,7.923904E+03,3.018858E+03,4.855207E-01,2.113309E-01,1.727172E+04,1.530498E+04,1.058615E+00,1.071146E+00,6.545462E+03,4.055899E+04,4.011834E-01,2.838506E+00,8.731327E+03,6.326832E+02,5.349952E-01,4.428266E-02,7.989275E+03,2.842171E+03,4.895262E-01,1.989648E-01,8.731327E+03,3.093404E+02,5.349952E-01,2.165037E-02,7.923904E+03,2.926891E+03,4.855207E-01,2.048940E-01 
02:30:00,8.691900E+03,3.611845E+02,5.325794E-01,2.527909E-02,1.084421E+04,3.178837E+03,6.643384E-01,2.225539E-01,7.989304E+03,3.389926E+03,4.895279E-01,2.373042E-01,1.091821E+04,3.662098E+03,6.688718E-01,2.563868E-01,1.084421E+04,3.265105E+03,6.643384E-01,2.285935E-01,8.691900E+03,3.075313E+02,5.325794E-01,2.152375E-02,4.280614E+04,4.288908E+04,2.622943E+00,3.002355E+00,1.091821E+04,3.087409E+03,6.688718E-01,2.161532E-01,7.923933E+03,2.977255E+03,4.855224E-01,2.084189E-01,1.727173E+04,1.527685E+04,1.058616E+00,1.069173E+00,6.545518E+03,4.052445E+04,4.011869E-01,2.836082E+00,8.731338E+03,5.854562E+02,5.349959E-01,4.097694E-02,7.989304E+03,2.811760E+03,4.895279E-01,1.968366E-01,8.731338E+03,2.785867E+02,5.349959E-01,1.949786E-02,7.923933E+03,2.890304E+03,4.855224E-01,2.023331E-01 
