Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,3.989414E+00,3.424499E-01,2.192812E+05,2.093244E+03 
00:30:00,3.989426E+00,3.424499E-01,2.192819E+05,2.040594E+03 
00:45:00,3.989437E+00,3.424499E-01,2.192825E+05,1.987945E+03 
01:00:00,3.989447E+00,3.424499E-01,2.192830E+05,1.935296E+03 
01:15:00,3.989455E+00,3.424499E-01,2.192835E+05,1.900196E+03 
01:30:00,3.989463E+00,3.424499E-01,2.192839E+05,1.865096E+03 
01:45:00,3.989470E+00,3.424499E-01,2.192843E+05,1.829997E+03 
02:00:00,3.989476E+00,3.424499E-01,2.192846E+05,1.794897E+03 
02:15:00,3.989481E+00,3.424499E-01,2.192849E+05,1.768573E+03 
02:30:00,3.989486E+00,3.424499E-01,2.192852E+05,1.742248E+03 
02:45:00,3.989491E+00,3.424499E-01,2.192854E+05,1.715923E+03 
03:00:00,3.989495E+00,3.424499E-01,2.192856E+05,1.689598E+03 
03:15:00,3.989499E+00,3.424499E-01,2.192859E+05,1.663274E+03 
03:30:00,3.989502E+00,3.424499E-01,2.192860E+05,1.636949E+03 
03:45:00,3.989505E+00,3.424499E-01,2.192862E+05,1.610624E+03 
04:00:00,3.989508E+00,3.424499E-01,2.192864E+05,1.584300E+03 
04:15:00,3.989511E+00,3.424499E-01,2.192865E+05,1.566750E+03 
04:30:00,3.989513E+00,3.424499E-01,2.192866E+05,1.549200E+03 
04:45:00,3.989515E+00,3.424499E-01,2.192868E+05,1.531650E+03 
05:00:00,3.989517E+00,3.424499E-01,2.192869E+05,1.514100E+03 
05:15:00,3.989519E+00,3.424499E-01,2.192870E+05,1.531650E+03 
05:30:00,3.989521E+00,3.424499E-01,2.192871E+05,1.549200E+03 
05:45:00,3.989523E+00,3.424499E-01,2.192872E+05,1.566750E+03 
06:00:00,3.989524E+00,3.424499E-01,2.192872E+05,1.584300E+03 
06:15:00,3.579207E+00,3.424499E-01,1.967339E+05,1.645724E+03 
06:30:00,3.168576E+00,3.424499E-01,1.741632E+05,1.707148E+03 
06:45:00,2.758016E+00,3.424499E-01,1.515964E+05,1.768573E+03 
07:00:00,2.347349E+00,3.424499E-01,1.290238E+05,1.829997E+03 
07:15:00,2.346936E+00,3.424499E-01,1.290011E+05,1.979170E+03 
07:30:00,2.346788E+00,3.533089E-01,1.289930E+05,2.195832E+03 
07:45:00,2.346523E+00,3.632346E-01,1.289784E+05,2.415748E+03 
08:00:00,2.346325E+00,3.712312E-01,1.289676E+05,2.630642E+03 
08:15:00,2.346158E+00,3.785384E-01,1.289584E+05,2.866716E+03 
08:30:00,2.346014E+00,3.847907E-01,1.289505E+05,3.101402E+03 
08:45:00,2.345893E+00,3.902695E-01,1.289438E+05,3.335565E+03 
09:00:00,2.345792E+00,3.950497E-01,1.289383E+05,3.568752E+03 
09:15:00,2.345708E+00,3.991355E-01,1.289337E+05,3.779527E+03 
09:30:00,2.345638E+00,4.025060E-01,1.289298E+05,3.986778E+03 
09:45:00,2.345578E+00,4.053365E-01,1.289265E+05,4.191381E+03 
10:00:00,2.345528E+00,4.077281E-01,1.289237E+05,4.393720E+03 
10:15:00,2.345484E+00,4.167321E-01,1.289213E+05,4.650923E+03 
10:30:00,2.345447E+00,4.273378E-01,1.289193E+05,4.933538E+03 
10:45:00,2.345415E+00,4.366983E-01,1.289175E+05,5.209452E+03 
11:00:00,2.345388E+00,4.451789E-01,1.289160E+05,5.481727E+03 
11:15:00,2.345364E+00,4.527664E-01,1.289147E+05,5.691172E+03 
11:30:00,2.345343E+00,4.594579E-01,1.289136E+05,5.893013E+03 
11:45:00,2.345325E+00,4.652040E-01,1.289126E+05,6.085917E+03 
12:00:00,2.345310E+00,4.722617E-01,1.289117E+05,6.299259E+03 
12:15:00,2.345296E+00,4.784432E-01,1.289110E+05,6.479788E+03 
12:30:00,2.345284E+00,4.830040E-01,1.289103E+05,6.640569E+03 
12:45:00,2.345273E+00,4.856234E-01,1.289097E+05,6.776130E+03 
13:00:00,2.345264E+00,4.870674E-01,1.289092E+05,6.896123E+03 
13:15:00,2.345255E+00,4.882408E-01,1.289088E+05,6.975289E+03 
13:30:00,2.345248E+00,4.898720E-01,1.289083E+05,7.061356E+03 
13:45:00,2.345241E+00,4.951876E-01,1.289080E+05,7.201422E+03 
14:00:00,2.345235E+00,5.064086E-01,1.289077E+05,7.429488E+03 
14:15:00,2.345230E+00,5.194530E-01,1.289074E+05,7.620861E+03 
14:30:00,2.345225E+00,5.322466E-01,1.289071E+05,7.808555E+03 
14:45:00,2.345221E+00,5.441809E-01,1.289069E+05,7.983642E+03 
15:00:00,2.345217E+00,5.550700E-01,1.289066E+05,8.143396E+03 
15:15:00,2.345213E+00,5.648479E-01,1.289064E+05,8.200006E+03 
15:30:00,2.345210E+00,5.735104E-01,1.289063E+05,8.237587E+03 
15:45:00,2.345207E+00,5.810324E-01,1.289061E+05,8.256300E+03 
16:00:00,2.345204E+00,5.873428E-01,1.289059E+05,8.255668E+03 
16:15:00,2.345202E+00,5.925334E-01,1.289058E+05,8.207163E+03 
16:30:00,2.345199E+00,5.964540E-01,1.289057E+05,8.139200E+03 
16:45:00,2.345197E+00,5.994160E-01,1.289055E+05,8.056743E+03 
17:00:00,2.345195E+00,6.014245E-01,1.289054E+05,7.960454E+03 
17:15:00,2.345193E+00,6.025888E-01,1.289053E+05,7.821457E+03 
17:30:00,2.345191E+00,6.028430E-01,1.289052E+05,7.670285E+03 
17:45:00,2.345190E+00,6.017250E-01,1.289052E+05,7.501874E+03 
18:00:00,2.345188E+00,5.992276E-01,1.289051E+05,7.317194E+03 
18:15:00,2.755676E+00,5.953379E-01,1.514679E+05,7.040872E+03 
