Time,THERMAL ZONE 5:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 1:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:15:00,1.696300E+04,1.488690E+03,1.039301E+00,1.041869E-01,8.781915E+03,0.000000E+00,5.378940E-01,0.000000E+00,8.781915E+03,0.000000E+00,5.378940E-01,0.000000E+00,8.787255E+03,1.418279E+02,5.382211E-01,9.925562E-03,8.787255E+03,0.000000E+00,5.382211E-01,0.000000E+00 
00:30:00,1.696305E+04,1.418467E+03,1.039304E+00,9.927157E-02,8.781943E+03,0.000000E+00,5.378958E-01,0.000000E+00,8.781943E+03,0.000000E+00,5.378958E-01,0.000000E+00,8.787283E+03,8.346195E+01,5.382229E-01,5.840928E-03,8.787283E+03,0.000000E+00,5.382229E-01,0.000000E+00 
00:45:00,1.696309E+04,1.348132E+03,1.039306E+00,9.434856E-02,8.781968E+03,0.000000E+00,5.378973E-01,0.000000E+00,8.781968E+03,0.000000E+00,5.378973E-01,0.000000E+00,8.787308E+03,4.032262E+01,5.382244E-01,2.821906E-03,8.787308E+03,0.000000E+00,5.382244E-01,0.000000E+00 
01:00:00,1.696313E+04,1.277674E+03,1.039309E+00,8.941716E-02,8.781990E+03,0.000000E+00,5.378986E-01,0.000000E+00,8.781990E+03,0.000000E+00,5.378986E-01,0.000000E+00,8.787331E+03,1.221105E+01,5.382258E-01,8.545703E-04,8.787331E+03,0.000000E+00,5.382258E-01,0.000000E+00 
01:15:00,1.696317E+04,1.215721E+03,1.039311E+00,8.508104E-02,8.782010E+03,0.000000E+00,5.378998E-01,0.000000E+00,8.782010E+03,0.000000E+00,5.378998E-01,0.000000E+00,8.787350E+03,0.000000E+00,5.382270E-01,0.000000E+00,8.787350E+03,0.000000E+00,5.382270E-01,0.000000E+00 
01:30:00,1.696320E+04,1.154764E+03,1.039312E+00,8.081478E-02,8.782027E+03,0.000000E+00,5.379009E-01,0.000000E+00,8.782027E+03,0.000000E+00,5.379009E-01,0.000000E+00,8.787368E+03,0.000000E+00,5.382280E-01,0.000000E+00,8.787368E+03,0.000000E+00,5.382280E-01,0.000000E+00 
01:45:00,1.696322E+04,1.094625E+03,1.039314E+00,7.660583E-02,8.782043E+03,0.000000E+00,5.379019E-01,0.000000E+00,8.782043E+03,0.000000E+00,5.379019E-01,0.000000E+00,8.787383E+03,0.000000E+00,5.382290E-01,0.000000E+00,8.787383E+03,0.000000E+00,5.382290E-01,0.000000E+00 
02:00:00,1.696325E+04,1.035249E+03,1.039316E+00,7.245034E-02,8.782057E+03,0.000000E+00,5.379027E-01,0.000000E+00,8.782057E+03,0.000000E+00,5.379027E-01,0.000000E+00,8.787398E+03,0.000000E+00,5.382299E-01,0.000000E+00,8.787398E+03,0.000000E+00,5.382299E-01,0.000000E+00 
02:15:00,1.696327E+04,9.758880E+02,1.039317E+00,6.829592E-02,8.782070E+03,0.000000E+00,5.379035E-01,0.000000E+00,8.782070E+03,0.000000E+00,5.379035E-01,0.000000E+00,8.787410E+03,0.000000E+00,5.382306E-01,0.000000E+00,8.787410E+03,0.000000E+00,5.382306E-01,0.000000E+00 
02:30:00,1.696329E+04,9.166096E+02,1.039318E+00,6.414734E-02,8.782081E+03,0.000000E+00,5.379042E-01,0.000000E+00,8.782081E+03,0.000000E+00,5.379042E-01,0.000000E+00,8.787422E+03,0.000000E+00,5.382314E-01,0.000000E+00,8.787422E+03,0.000000E+00,5.382314E-01,0.000000E+00 
