Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,5.833583E-01,4.111262E-01,5.334352E+03,8.502086E+03 
00:30:00,5.833609E-01,4.016531E-01,5.334377E+03,8.233532E+03 
00:45:00,5.833634E-01,3.925460E-01,5.334400E+03,7.975844E+03 
01:00:00,5.833657E-01,3.838110E-01,5.334421E+03,7.728944E+03 
01:15:00,5.833679E-01,3.757365E-01,5.334440E+03,7.521036E+03 
01:30:00,5.833698E-01,3.680521E-01,5.334458E+03,7.322838E+03 
01:45:00,5.833717E-01,3.607050E-01,5.334475E+03,7.133165E+03 
02:00:00,5.833734E-01,3.536744E-01,5.334491E+03,6.951483E+03 
02:15:00,5.833751E-01,3.468776E-01,5.334506E+03,6.786520E+03 
02:30:00,5.833766E-01,3.403402E-01,5.334520E+03,6.627840E+03 
02:45:00,5.833780E-01,3.340567E-01,5.334533E+03,6.475263E+03 
03:00:00,5.833794E-01,3.280247E-01,5.334545E+03,6.328675E+03 
03:15:00,5.833806E-01,3.221382E-01,5.334557E+03,6.185971E+03 
03:30:00,5.833818E-01,3.164085E-01,5.334568E+03,6.047329E+03 
03:45:00,5.833830E-01,3.108235E-01,5.334578E+03,5.912477E+03 
04:00:00,5.833840E-01,3.053795E-01,5.334588E+03,5.781302E+03 
04:15:00,5.833851E-01,3.001762E-01,5.334597E+03,5.664698E+03 
04:30:00,5.833860E-01,2.952173E-01,5.334606E+03,5.553319E+03 
04:45:00,5.833870E-01,2.905025E-01,5.334615E+03,5.447114E+03 
05:00:00,5.833878E-01,2.860304E-01,5.334623E+03,5.346015E+03 
05:15:00,5.833887E-01,2.820981E-01,5.334630E+03,5.289527E+03 
05:30:00,5.833895E-01,2.787130E-01,5.334638E+03,5.242856E+03 
05:45:00,5.833902E-01,2.762811E-01,5.334644E+03,5.213768E+03 
06:00:00,5.833909E-01,2.763928E-01,5.334651E+03,5.232541E+03 
06:15:00,5.451452E-01,2.784128E-01,4.984924E+03,5.329532E+03 
06:30:00,5.068842E-01,2.853507E-01,4.635057E+03,5.522557E+03 
06:45:00,4.686227E-01,2.971886E-01,4.285186E+03,5.814374E+03 
07:00:00,4.303520E-01,3.123026E-01,3.935230E+03,6.175976E+03 
07:15:00,4.303216E-01,3.326133E-01,3.934952E+03,6.748090E+03 
07:30:00,4.303013E-01,3.551918E-01,3.934767E+03,7.388193E+03 
07:45:00,4.302770E-01,3.794254E-01,3.934544E+03,8.086713E+03 
08:00:00,4.302576E-01,4.051326E-01,3.934367E+03,8.842234E+03 
08:15:00,4.302406E-01,4.304196E-01,3.934211E+03,9.640666E+03 
08:30:00,4.302252E-01,4.548599E-01,3.934071E+03,1.044862E+04 
08:45:00,4.302115E-01,4.785249E-01,3.933946E+03,1.126631E+04 
09:00:00,4.301995E-01,5.018028E-01,3.933836E+03,1.210178E+04 
09:15:00,4.301889E-01,5.248536E-01,3.933739E+03,1.292666E+04 
09:30:00,4.301796E-01,5.479285E-01,3.933654E+03,1.377578E+04 
09:45:00,4.301714E-01,5.711074E-01,3.933579E+03,1.465121E+04 
10:00:00,4.301642E-01,5.939314E-01,3.933513E+03,1.554112E+04 
10:15:00,4.301577E-01,6.160848E-01,3.933453E+03,1.639938E+04 
10:30:00,4.301519E-01,6.373053E-01,3.933400E+03,1.725242E+04 
10:45:00,4.301466E-01,6.573158E-01,3.933353E+03,1.809135E+04 
11:00:00,4.301419E-01,6.759424E-01,3.933310E+03,1.890967E+04 
11:15:00,4.301377E-01,6.928107E-01,3.933271E+03,1.959041E+04 
11:30:00,4.301338E-01,7.075784E-01,3.933235E+03,2.022130E+04 
11:45:00,4.301303E-01,7.197887E-01,3.933203E+03,2.078724E+04 
12:00:00,4.301271E-01,7.288472E-01,3.933174E+03,2.126856E+04 
12:15:00,4.301242E-01,7.345765E-01,3.933147E+03,2.161290E+04 
12:30:00,4.301215E-01,7.375218E-01,3.933122E+03,2.187742E+04 
12:45:00,4.301190E-01,7.395154E-01,3.933099E+03,2.211491E+04 
13:00:00,4.301166E-01,7.429865E-01,3.933078E+03,2.239789E+04 
13:15:00,4.301145E-01,7.496316E-01,3.933059E+03,2.271120E+04 
13:30:00,4.301125E-01,7.601186E-01,3.933040E+03,2.314349E+04 
13:45:00,4.301107E-01,7.736361E-01,3.933024E+03,2.367167E+04 
14:00:00,4.301089E-01,7.884918E-01,3.933008E+03,2.424508E+04 
14:15:00,4.301073E-01,8.033269E-01,3.932993E+03,2.470124E+04 
14:30:00,4.301058E-01,8.172496E-01,3.932979E+03,2.512934E+04 
14:45:00,4.301043E-01,8.297050E-01,3.932966E+03,2.551233E+04 
15:00:00,4.301030E-01,8.405055E-01,3.932953E+03,2.584443E+04 
15:15:00,4.301017E-01,8.494447E-01,3.932942E+03,2.596565E+04 
15:30:00,4.301005E-01,8.564442E-01,3.932931E+03,2.602470E+04 
15:45:00,4.300994E-01,8.613388E-01,3.932920E+03,2.601764E+04 
16:00:00,4.300983E-01,8.640624E-01,3.932910E+03,2.594362E+04 
16:15:00,4.300973E-01,8.645707E-01,3.932901E+03,2.575038E+04 
16:30:00,4.300963E-01,8.632250E-01,3.932892E+03,2.550212E+04 
16:45:00,4.300954E-01,8.605468E-01,3.932884E+03,2.521546E+04 
17:00:00,4.300945E-01,8.567818E-01,3.932876E+03,2.489852E+04 
17:15:00,4.300937E-01,8.522849E-01,3.932868E+03,2.451091E+04 
17:30:00,4.300929E-01,8.465551E-01,3.932861E+03,2.409092E+04 
17:45:00,4.300921E-01,8.388863E-01,3.932854E+03,2.361980E+04 
18:00:00,4.300914E-01,8.286405E-01,3.932847E+03,2.308152E+04 
18:15:00,4.683420E-01,8.143630E-01,4.282619E+03,2.231558E+04 
18:30:00,5.065985E-01,7.957829E-01,4.632445E+03,2.144659E+04 
18:45:00,5.448640E-01,7.728263E-01,4.982353E+03,2.047844E+04 
19:00:00,5.831374E-01,7.451040E-01,5.332332E+03,1.940693E+04 
19:15:00,5.831639E-01,7.141317E-01,5.332575E+03,1.836342E+04 
19:30:00,5.831887E-01,6.814103E-01,5.332802E+03,1.729605E+04 
19:45:00,5.832091E-01,6.492388E-01,5.332988E+03,1.626416E+04 
20:00:00,5.832260E-01,6.198987E-01,5.333143E+03,1.532360E+04 
20:15:00,5.832424E-01,5.945393E-01,5.333292E+03,1.453542E+04 
20:30:00,5.832579E-01,5.729710E-01,5.333434E+03,1.385266E+04 
20:45:00,5.832717E-01,5.540436E-01,5.333561E+03,1.324474E+04 
21:00:00,5.832838E-01,5.370031E-01,5.333671E+03,1.269168E+04 
21:15:00,5.832942E-01,5.213496E-01,5.333767E+03,1.218027E+04 
21:30:00,5.833034E-01,5.068006E-01,5.333850E+03,1.170286E+04 
21:45:00,5.833114E-01,4.931683E-01,5.333924E+03,1.125427E+04 
22:00:00,5.833186E-01,4.803175E-01,5.333990E+03,1.083069E+04 
22:15:00,5.833250E-01,4.760224E-01,5.334049E+03,1.063339E+04 
22:30:00,5.833308E-01,4.718817E-01,5.334101E+03,1.044132E+04 
22:45:00,5.833360E-01,4.679204E-01,5.334148E+03,1.025493E+04 
23:00:00,5.833406E-01,4.641140E-01,5.334191E+03,1.007357E+04 
23:15:00,5.833448E-01,4.525630E-01,5.334229E+03,9.727355E+03 
23:30:00,5.833487E-01,4.415825E-01,5.334264E+03,9.398159E+03 
23:45:00,5.833521E-01,4.310843E-01,5.334296E+03,9.083759E+03 
24:00:00,5.833553E-01,4.209937E-01,5.334325E+03,8.782293E+03 
Coinc Peak   ,5.833909E-01,8.645707E-01,5.334651E+03,2.785503E+04 
NonCoinc Peak,5.833909E-01,9.644329E-01,5.334651E+03,2.785503E+04 
