Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,2.125197E+00,1.104261E+00,1.921970E+04,9.323633E+03 
00:30:00,2.125204E+00,1.083758E+00,1.921976E+04,9.011670E+03 
00:45:00,2.125210E+00,1.064177E+00,1.921982E+04,8.712506E+03 
01:00:00,2.125216E+00,1.045463E+00,1.921987E+04,8.425350E+03 
01:15:00,2.125221E+00,1.028771E+00,1.921992E+04,8.202957E+03 
01:30:00,2.125227E+00,1.012919E+00,1.921997E+04,7.990048E+03 
01:45:00,2.125231E+00,9.978902E-01,1.922001E+04,7.786265E+03 
02:00:00,2.125236E+00,9.836477E-01,1.922006E+04,7.591118E+03 
02:15:00,2.125240E+00,9.699986E-01,1.922009E+04,7.423646E+03 
02:30:00,2.125244E+00,9.569404E-01,1.922013E+04,7.262407E+03 
02:45:00,2.125248E+00,9.443970E-01,1.922017E+04,7.106714E+03 
03:00:00,2.125252E+00,9.323635E-01,1.922020E+04,6.956434E+03 
03:15:00,2.125256E+00,9.205310E-01,1.922023E+04,6.809182E+03 
03:30:00,2.125259E+00,9.088943E-01,1.922026E+04,6.664881E+03 
03:45:00,2.125262E+00,8.974027E-01,1.922029E+04,6.523127E+03 
04:00:00,2.125265E+00,8.860453E-01,1.922032E+04,6.383811E+03 
04:15:00,2.125268E+00,8.750962E-01,1.922035E+04,6.267552E+03 
04:30:00,2.125271E+00,8.644233E-01,1.922037E+04,6.154196E+03 
04:45:00,2.125274E+00,8.540019E-01,1.922040E+04,6.043529E+03 
05:00:00,2.125276E+00,8.446916E-01,1.922042E+04,5.941569E+03 
05:15:00,2.125279E+00,8.361672E-01,1.922044E+04,5.917318E+03 
05:30:00,2.125281E+00,8.285975E-01,1.922046E+04,5.899136E+03 
05:45:00,2.125283E+00,8.271649E-01,1.922048E+04,5.924262E+03 
06:00:00,2.125286E+00,8.357887E-01,1.922050E+04,6.021720E+03 
06:15:00,2.000080E+00,9.150488E-01,1.808818E+04,6.729552E+03 
06:30:00,1.874790E+00,1.009313E+00,1.695509E+04,7.573666E+03 
06:45:00,1.749508E+00,1.132050E+00,1.582207E+04,8.663866E+03 
07:00:00,1.624188E+00,1.264422E+00,1.468871E+04,9.865938E+03 
07:15:00,1.624050E+00,1.336374E+00,1.468747E+04,1.091247E+04 
07:30:00,1.623980E+00,1.408998E+00,1.468683E+04,1.201697E+04 
07:45:00,1.623885E+00,1.480421E+00,1.468598E+04,1.316352E+04 
08:00:00,1.623816E+00,1.550473E+00,1.468535E+04,1.434924E+04 
08:15:00,1.623760E+00,1.619767E+00,1.468485E+04,1.564769E+04 
08:30:00,1.623713E+00,1.691652E+00,1.468442E+04,1.702846E+04 
08:45:00,1.623673E+00,1.773178E+00,1.468406E+04,1.856851E+04 
09:00:00,1.623639E+00,1.852205E+00,1.468375E+04,2.014753E+04 
09:15:00,1.623610E+00,1.931105E+00,1.468348E+04,2.170678E+04 
09:30:00,1.623584E+00,2.008551E+00,1.468325E+04,2.330643E+04 
09:45:00,1.623562E+00,2.082680E+00,1.468305E+04,2.492262E+04 
10:00:00,1.623543E+00,2.152403E+00,1.468288E+04,2.653830E+04 
10:15:00,1.623526E+00,2.217878E+00,1.468272E+04,2.805597E+04 
10:30:00,1.623510E+00,2.278826E+00,1.468259E+04,2.955685E+04 
10:45:00,1.623497E+00,2.333858E+00,1.468246E+04,3.101816E+04 
11:00:00,1.623485E+00,2.382401E+00,1.468235E+04,3.242641E+04 
11:15:00,1.623474E+00,2.422818E+00,1.468225E+04,3.349387E+04 
11:30:00,1.623464E+00,2.452967E+00,1.468216E+04,3.443444E+04 
11:45:00,1.623454E+00,2.470575E+00,1.468208E+04,3.520917E+04 
12:00:00,1.623446E+00,2.475325E+00,1.468200E+04,3.580543E+04 
