Time,THERMAL ZONE 9:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 9:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 9:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 9:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 14:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 14:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 14:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 14:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 15:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 15:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 15:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 15:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 1:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 11:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 11:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 11:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 11:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 6:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 6:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 8:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 8:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 8:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 8:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 10:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 10:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 10:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 10:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 12:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 12:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 12:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 12:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 7:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 7:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 7:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 7:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 13:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 13:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 13:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 13:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:15:00,2.197717E+03,6.536667E+02,1.346737E-01,4.574516E-02,1.359219E+03,8.959709E+02,8.330905E-02,6.270835E-02,1.706797E+03,8.169758E+02,1.045978E-01,5.717460E-02,1.974834E+03,0.000000E+00,1.210240E-01,0.000000E+00,1.976355E+03,4.067020E+01,1.211173E-01,2.846282E-03,1.885619E+03,2.643718E+03,1.155612E-01,1.850195E-01,5.621554E+02,2.710840E+03,3.445554E-02,1.897264E-01,1.974834E+03,0.000000E+00,1.210240E-01,0.000000E+00,1.976355E+03,0.000000E+00,1.211173E-01,0.000000E+00,2.196694E+03,9.637223E+02,1.346110E-01,6.744301E-02,2.197717E+03,7.687626E+02,1.346737E-01,5.379965E-02,1.706797E+03,6.932681E+02,1.045978E-01,4.851737E-02,2.196694E+03,5.842579E+02,1.346110E-01,4.088786E-02,1.706729E+03,1.036635E+03,1.045937E-01,7.254661E-02,1.706729E+03,6.321419E+02,1.045937E-01,4.423973E-02 
00:30:00,2.197725E+03,6.296890E+02,1.346742E-01,4.406692E-02,1.359223E+03,8.797240E+02,8.330925E-02,6.157076E-02,1.706803E+03,7.886770E+02,1.045982E-01,5.519385E-02,1.974838E+03,0.000000E+00,1.210243E-01,0.000000E+00,1.976359E+03,1.901273E+01,1.211175E-01,1.330592E-03,1.885631E+03,2.620361E+03,1.155619E-01,1.833831E-01,5.621598E+02,2.700012E+03,3.445581E-02,1.889663E-01,1.974838E+03,0.000000E+00,1.210243E-01,0.000000E+00,1.976359E+03,0.000000E+00,1.211175E-01,0.000000E+00,2.196702E+03,9.213540E+02,1.346115E-01,6.447780E-02,2.197725E+03,7.379395E+02,1.346742E-01,5.164237E-02,1.706803E+03,6.741973E+02,1.045982E-01,4.718239E-02,2.196702E+03,5.655063E+02,1.346115E-01,3.957534E-02,1.706735E+03,9.947646E+02,1.045941E-01,6.961614E-02,1.706735E+03,6.168204E+02,1.045941E-01,4.316711E-02 
00:45:00,2.197733E+03,6.068296E+02,1.346747E-01,4.246704E-02,1.359225E+03,8.637721E+02,8.330943E-02,6.045389E-02,1.706809E+03,7.618393E+02,1.045986E-01,5.331548E-02,1.974841E+03,0.000000E+00,1.210245E-01,0.000000E+00,1.976363E+03,5.576137E+00,1.211177E-01,3.902411E-04,1.885641E+03,2.597425E+03,1.155626E-01,1.817767E-01,5.621641E+02,2.689697E+03,3.445607E-02,1.882427E-01,1.974841E+03,0.000000E+00,1.210245E-01,0.000000E+00,1.976363E+03,0.000000E+00,1.211177E-01,0.000000E+00,2.196710E+03,8.809320E+02,1.346120E-01,6.164892E-02,2.197733E+03,7.084374E+02,1.346747E-01,4.957763E-02,1.706809E+03,6.565427E+02,1.045986E-01,4.594664E-02,2.196710E+03,5.481591E+02,1.346120E-01,3.836119E-02,1.706741E+03,9.549861E+02,1.045944E-01,6.683219E-02,1.706741E+03,6.012255E+02,1.045944E-01,4.207549E-02 
01:00:00,2.197740E+03,5.851411E+02,1.346751E-01,4.094914E-02,1.359228E+03,8.480225E+02,8.330959E-02,5.935124E-02,1.706814E+03,7.364403E+02,1.045989E-01,5.153785E-02,1.974845E+03,0.000000E+00,1.210247E-01,0.000000E+00,1.976366E+03,0.000000E+00,1.211179E-01,0.000000E+00,1.885651E+03,2.574905E+03,1.155632E-01,1.801998E-01,5.621682E+02,2.679842E+03,3.445633E-02,1.875517E-01,1.974845E+03,0.000000E+00,1.210247E-01,0.000000E+00,1.976366E+03,0.000000E+00,1.211179E-01,0.000000E+00,2.196718E+03,8.423700E+02,1.346125E-01,5.895023E-02,2.197740E+03,6.802300E+02,1.346751E-01,4.760355E-02,1.706814E+03,6.400286E+02,1.045989E-01,4.479075E-02,2.196718E+03,5.318059E+02,1.346125E-01,3.721664E-02,1.706747E+03,9.172122E+02,1.045948E-01,6.418857E-02,1.706747E+03,5.856163E+02,1.045948E-01,4.098296E-02 
01:15:00,2.197747E+03,5.660308E+02,1.346756E-01,3.961170E-02,1.359231E+03,8.354170E+02,8.330974E-02,5.846868E-02,1.706819E+03,7.137048E+02,1.045992E-01,4.994664E-02,1.974847E+03,0.000000E+00,1.210248E-01,0.000000E+00,1.976368E+03,0.000000E+00,1.211180E-01,0.000000E+00,1.885661E+03,2.555946E+03,1.155637E-01,1.788722E-01,5.621722E+02,2.673258E+03,3.445657E-02,1.870898E-01,1.974847E+03,0.000000E+00,1.210248E-01,0.000000E+00,1.976368E+03,0.000000E+00,1.211180E-01,0.000000E+00,2.196725E+03,8.069080E+02,1.346129E-01,5.646849E-02,2.197747E+03,6.546132E+02,1.346756E-01,4.581079E-02,1.706819E+03,6.252442E+02,1.045992E-01,4.375596E-02,2.196725E+03,5.169734E+02,1.346129E-01,3.617855E-02,1.706752E+03,8.825952E+02,1.045951E-01,6.176589E-02,1.706752E+03,5.709445E+02,1.045951E-01,3.995607E-02 
01:30:00,2.197754E+03,5.485208E+02,1.346760E-01,3.838625E-02,1.359233E+03,8.229454E+02,8.330988E-02,5.759554E-02,1.706824E+03,6.926759E+02,1.045995E-01,4.847489E-02,1.974850E+03,0.000000E+00,1.210250E-01,0.000000E+00,1.976371E+03,0.000000E+00,1.211182E-01,0.000000E+00,1.885669E+03,2.537696E+03,1.155643E-01,1.775944E-01,5.621760E+02,2.666918E+03,3.445680E-02,1.866450E-01,1.974850E+03,0.000000E+00,1.210250E-01,0.000000E+00,1.976371E+03,0.000000E+00,1.211182E-01,0.000000E+00,2.196731E+03,7.734961E+02,1.346133E-01,5.413023E-02,2.197754E+03,6.305943E+02,1.346760E-01,4.412986E-02,1.706824E+03,6.105624E+02,1.045995E-01,4.272839E-02,2.196731E+03,5.023618E+02,1.346133E-01,3.515595E-02,1.706757E+03,8.500751E+02,1.045954E-01,5.948997E-02,1.706757E+03,5.563875E+02,1.045954E-01,3.893726E-02 
01:45:00,2.197760E+03,5.328736E+02,1.346763E-01,3.729117E-02,1.359235E+03,8.105367E+02,8.331000E-02,5.672683E-02,1.706829E+03,6.734814E+02,1.045998E-01,4.713153E-02,1.974852E+03,0.000000E+00,1.210251E-01,0.000000E+00,1.976373E+03,0.000000E+00,1.211183E-01,0.000000E+00,1.885678E+03,2.520140E+03,1.155648E-01,1.763653E-01,5.621798E+02,2.660891E+03,3.445703E-02,1.862224E-01,1.974852E+03,0.000000E+00,1.210251E-01,0.000000E+00,1.976373E+03,0.000000E+00,1.211183E-01,0.000000E+00,2.196737E+03,7.420871E+02,1.346137E-01,5.193215E-02,2.197760E+03,6.081828E+02,1.346763E-01,4.256143E-02,1.706829E+03,5.957312E+02,1.045998E-01,4.169040E-02,2.196737E+03,4.874328E+02,1.346137E-01,3.411117E-02,1.706762E+03,8.196069E+02,1.045957E-01,5.735767E-02,1.706762E+03,5.421436E+02,1.045957E-01,3.794038E-02 
02:00:00,2.197766E+03,5.183828E+02,1.346767E-01,3.627703E-02,1.359237E+03,7.981526E+02,8.331011E-02,5.585988E-02,1.706834E+03,6.561622E+02,1.046001E-01,4.591942E-02,1.974854E+03,0.000000E+00,1.210253E-01,0.000000E+00,1.976375E+03,0.000000E+00,1.211185E-01,0.000000E+00,1.885685E+03,2.503278E+03,1.155652E-01,1.751849E-01,5.621834E+02,2.655138E+03,3.445725E-02,1.858191E-01,1.974854E+03,0.000000E+00,1.210253E-01,0.000000E+00,1.976375E+03,0.000000E+00,1.211185E-01,0.000000E+00,2.196743E+03,7.126405E+02,1.346140E-01,4.987142E-02,2.197766E+03,5.874073E+02,1.346767E-01,4.110750E-02,1.706834E+03,5.807968E+02,1.046001E-01,4.064523E-02,2.196743E+03,4.723862E+02,1.346140E-01,3.305820E-02,1.706766E+03,7.911464E+02,1.045959E-01,5.536590E-02,1.706766E+03,5.282781E+02,1.045959E-01,3.697001E-02 
02:15:00,2.197772E+03,5.039262E+02,1.346770E-01,3.526532E-02,1.359238E+03,7.857879E+02,8.331021E-02,5.499433E-02,1.706838E+03,6.402477E+02,1.046004E-01,4.480563E-02,1.974856E+03,0.000000E+00,1.210254E-01,0.000000E+00,1.976377E+03,0.000000E+00,1.211186E-01,0.000000E+00,1.885693E+03,2.486875E+03,1.155657E-01,1.740367E-01,5.621869E+02,2.649607E+03,3.445747E-02,1.854315E-01,1.974856E+03,0.000000E+00,1.210254E-01,0.000000E+00,1.976377E+03,0.000000E+00,1.211186E-01,0.000000E+00,2.196749E+03,6.848080E+02,1.346144E-01,4.792366E-02,2.197771E+03,5.680185E+02,1.346770E-01,3.975063E-02,1.706838E+03,5.660140E+02,1.046004E-01,3.961070E-02,2.196749E+03,4.574910E+02,1.346144E-01,3.201584E-02,1.706770E+03,7.644236E+02,1.045962E-01,5.349575E-02,1.706770E+03,5.146204E+02,1.045962E-01,3.601420E-02 
02:30:00,2.197777E+03,4.892259E+02,1.346774E-01,3.423659E-02,1.359240E+03,7.734915E+02,8.331031E-02,5.413358E-02,1.706842E+03,6.254946E+02,1.046006E-01,4.377314E-02,1.974858E+03,0.000000E+00,1.210255E-01,0.000000E+00,1.976379E+03,0.000000E+00,1.211187E-01,0.000000E+00,1.885700E+03,2.470948E+03,1.155661E-01,1.729219E-01,5.621903E+02,2.644160E+03,3.445767E-02,1.850500E-01,1.974858E+03,0.000000E+00,1.210255E-01,0.000000E+00,1.976379E+03,0.000000E+00,1.211187E-01,0.000000E+00,2.196754E+03,6.585654E+02,1.346147E-01,4.608718E-02,2.197777E+03,5.501120E+02,1.346774E-01,3.849750E-02,1.706842E+03,5.518000E+02,1.046006E-01,3.861598E-02,2.196754E+03,4.428370E+02,1.346147E-01,3.099036E-02,1.706775E+03,7.394244E+02,1.045965E-01,5.174624E-02,1.706775E+03,5.012161E+02,1.045965E-01,3.507613E-02 
