Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,1.514016E+00,6.620297E-02,8.321904E+04,4.046693E+02 
00:30:00,1.514020E+00,6.620297E-02,8.321928E+04,3.944910E+02 
00:45:00,1.514024E+00,6.620297E-02,8.321949E+04,3.843127E+02 
01:00:00,1.514027E+00,6.620297E-02,8.321967E+04,3.741345E+02 
01:15:00,1.514030E+00,6.620297E-02,8.321983E+04,3.673490E+02 
01:30:00,1.514033E+00,6.620297E-02,8.321998E+04,3.605635E+02 
01:45:00,1.514035E+00,6.620297E-02,8.322011E+04,3.537779E+02 
02:00:00,1.514037E+00,6.620297E-02,8.322022E+04,3.469924E+02 
02:15:00,1.514039E+00,6.620297E-02,8.322032E+04,3.419033E+02 
02:30:00,1.514041E+00,6.620297E-02,8.322041E+04,3.368142E+02 
02:45:00,1.514042E+00,6.620297E-02,8.322049E+04,3.317250E+02 
03:00:00,1.514044E+00,6.620297E-02,8.322056E+04,3.266359E+02 
03:15:00,1.514045E+00,6.620297E-02,8.322063E+04,3.215468E+02 
03:30:00,1.514046E+00,6.620297E-02,8.322069E+04,3.164576E+02 
03:45:00,1.514047E+00,6.620297E-02,8.322074E+04,3.113685E+02 
04:00:00,1.514048E+00,6.620297E-02,8.322079E+04,3.062794E+02 
04:15:00,1.514048E+00,6.620297E-02,8.322083E+04,3.028866E+02 
04:30:00,1.514049E+00,6.620297E-02,8.322087E+04,2.994939E+02 
04:45:00,1.514050E+00,6.620297E-02,8.322091E+04,2.961011E+02 
05:00:00,1.514051E+00,6.620297E-02,8.322095E+04,2.927083E+02 
05:15:00,1.514051E+00,6.620297E-02,8.322098E+04,2.961011E+02 
05:30:00,1.514052E+00,6.620297E-02,8.322101E+04,2.994939E+02 
05:45:00,1.514052E+00,6.620297E-02,8.322103E+04,3.028866E+02 
06:00:00,1.514053E+00,6.620297E-02,8.322106E+04,3.062794E+02 
06:15:00,1.394156E+00,7.587117E-02,7.663085E+04,3.646168E+02 
06:30:00,1.274230E+00,9.203941E-02,7.003903E+04,4.588260E+02 
06:45:00,1.154303E+00,1.083717E-01,6.344716E+04,5.596827E+02 
07:00:00,1.034363E+00,1.294253E-01,5.685455E+04,6.916280E+02 
07:15:00,1.034309E+00,1.418774E-01,5.685159E+04,8.199724E+02 
07:30:00,1.034269E+00,1.523038E-01,5.684941E+04,9.465757E+02 
07:45:00,1.034213E+00,1.611630E-01,5.684633E+04,1.071840E+03 
08:00:00,1.034156E+00,1.691131E-01,5.684317E+04,1.198380E+03 
08:15:00,1.034097E+00,1.769228E-01,5.683994E+04,1.339857E+03 
08:30:00,1.034044E+00,1.848461E-01,5.683704E+04,1.489854E+03 
08:45:00,1.034001E+00,1.925158E-01,5.683464E+04,1.645399E+03 
09:00:00,1.033965E+00,2.064393E-01,5.683269E+04,1.864906E+03 
09:15:00,1.033936E+00,2.248090E-01,5.683107E+04,2.128781E+03 
09:30:00,1.033911E+00,2.415913E-01,5.682969E+04,2.392935E+03 
09:45:00,1.033889E+00,2.582158E-01,5.682852E+04,2.670080E+03 
10:00:00,1.033871E+00,2.739657E-01,5.682752E+04,2.952282E+03 
10:15:00,1.033856E+00,2.888908E-01,5.682668E+04,3.224155E+03 
10:30:00,1.033843E+00,3.039689E-01,5.682595E+04,3.509266E+03 
10:45:00,1.033831E+00,3.202149E-01,5.682533E+04,3.819901E+03 
11:00:00,1.033822E+00,3.347504E-01,5.682479E+04,4.121962E+03 
11:15:00,1.033813E+00,3.475894E-01,5.682433E+04,4.369121E+03 
11:30:00,1.033806E+00,3.586320E-01,5.682393E+04,4.599819E+03 
11:45:00,1.033800E+00,3.676837E-01,5.682359E+04,4.810132E+03 
12:00:00,1.033794E+00,3.743780E-01,5.682329E+04,4.993639E+03 
12:15:00,1.033789E+00,3.782449E-01,5.682303E+04,5.122754E+03 
12:30:00,1.033785E+00,3.789065E-01,5.682280E+04,5.209387E+03 
12:45:00,1.033782E+00,3.766184E-01,5.682260E+04,5.255133E+03 
13:00:00,1.033778E+00,3.734071E-01,5.682242E+04,5.286869E+03 
13:15:00,1.033776E+00,3.710233E-01,5.682226E+04,5.300653E+03 
13:30:00,1.033773E+00,3.713863E-01,5.682213E+04,5.353420E+03 
13:45:00,1.033771E+00,3.748574E-01,5.682201E+04,5.451482E+03 
14:00:00,1.033769E+00,3.822525E-01,5.682190E+04,5.608002E+03 
14:15:00,1.033767E+00,3.919903E-01,5.682180E+04,5.750864E+03 
14:30:00,1.033766E+00,4.027280E-01,5.682171E+04,5.908396E+03 
14:45:00,1.033764E+00,4.140781E-01,5.682164E+04,6.074914E+03 
15:00:00,1.033763E+00,4.236608E-01,5.682157E+04,6.215500E+03 
15:15:00,1.033762E+00,4.317401E-01,5.682150E+04,6.267653E+03 
15:30:00,1.033761E+00,4.383141E-01,5.682144E+04,6.295702E+03 
15:45:00,1.033760E+00,4.434019E-01,5.682139E+04,6.300610E+03 
16:00:00,1.033759E+00,4.469614E-01,5.682135E+04,6.282472E+03 
16:15:00,1.033758E+00,4.490712E-01,5.682130E+04,6.220072E+03 
16:30:00,1.033757E+00,4.496190E-01,5.682126E+04,6.135491E+03 
