Time,THERMAL ZONE 5:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 1:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:15:00,4.597360E+03,0.000000E+00,2.815872E-01,0.000000E+00,4.597360E+03,3.916543E+01,2.815872E-01,2.740893E-03,1.398766E+03,1.404967E+02,8.570784E-02,9.832588E-03,4.590470E+03,0.000000E+00,2.811652E-01,0.000000E+00,4.590470E+03,0.000000E+00,2.811652E-01,0.000000E+00 
00:30:00,4.597372E+03,0.000000E+00,2.815879E-01,0.000000E+00,4.597372E+03,1.491340E+01,2.815879E-01,1.043679E-03,1.398775E+03,1.225413E+02,8.570843E-02,8.575935E-03,4.590482E+03,0.000000E+00,2.811659E-01,0.000000E+00,4.590482E+03,0.000000E+00,2.811659E-01,0.000000E+00 
00:45:00,4.597382E+03,0.000000E+00,2.815886E-01,0.000000E+00,4.597382E+03,2.018305E+00,2.815886E-01,1.412472E-04,1.398783E+03,1.049449E+02,8.570894E-02,7.344439E-03,4.590492E+03,0.000000E+00,2.811666E-01,0.000000E+00,4.590492E+03,0.000000E+00,2.811666E-01,0.000000E+00 
01:00:00,4.597391E+03,0.000000E+00,2.815891E-01,0.000000E+00,4.597391E+03,0.000000E+00,2.815891E-01,0.000000E+00,1.398791E+03,8.772845E+01,8.570938E-02,6.139551E-03,4.590501E+03,0.000000E+00,2.811671E-01,0.000000E+00,4.590501E+03,0.000000E+00,2.811671E-01,0.000000E+00 
01:15:00,4.597399E+03,0.000000E+00,2.815896E-01,0.000000E+00,4.597399E+03,0.000000E+00,2.815896E-01,0.000000E+00,1.398797E+03,7.140900E+01,8.570977E-02,4.997452E-03,4.590509E+03,0.000000E+00,2.811676E-01,0.000000E+00,4.590509E+03,0.000000E+00,2.811676E-01,0.000000E+00 
01:30:00,4.597406E+03,0.000000E+00,2.815901E-01,0.000000E+00,4.597406E+03,0.000000E+00,2.815901E-01,0.000000E+00,1.398803E+03,5.548274E+01,8.571011E-02,3.882875E-03,4.590517E+03,0.000000E+00,2.811681E-01,0.000000E+00,4.590517E+03,0.000000E+00,2.811681E-01,0.000000E+00 
01:45:00,4.597412E+03,0.000000E+00,2.815905E-01,0.000000E+00,4.597412E+03,0.000000E+00,2.815905E-01,0.000000E+00,1.398808E+03,3.990874E+01,8.571041E-02,2.792953E-03,4.590523E+03,0.000000E+00,2.811684E-01,0.000000E+00,4.590523E+03,0.000000E+00,2.811684E-01,0.000000E+00 
02:00:00,4.597418E+03,0.000000E+00,2.815908E-01,0.000000E+00,4.597418E+03,0.000000E+00,2.815908E-01,0.000000E+00,1.398812E+03,2.466337E+01,8.571067E-02,1.726030E-03,4.590529E+03,0.000000E+00,2.811688E-01,0.000000E+00,4.590529E+03,0.000000E+00,2.811688E-01,0.000000E+00 
02:15:00,4.597423E+03,0.000000E+00,2.815911E-01,0.000000E+00,4.597423E+03,0.000000E+00,2.815911E-01,0.000000E+00,1.398816E+03,1.279508E+01,8.571090E-02,8.954456E-04,4.590534E+03,0.000000E+00,2.811691E-01,0.000000E+00,4.590534E+03,0.000000E+00,2.811691E-01,0.000000E+00 
02:30:00,4.597428E+03,0.000000E+00,2.815914E-01,0.000000E+00,4.597428E+03,0.000000E+00,2.815914E-01,0.000000E+00,1.398819E+03,4.765005E+00,8.571111E-02,3.334725E-04,4.590538E+03,0.000000E+00,2.811694E-01,0.000000E+00,4.590538E+03,0.000000E+00,2.811694E-01,0.000000E+00 
02:45:00,4.597432E+03,0.000000E+00,2.815916E-01,0.000000E+00,4.597432E+03,0.000000E+00,2.815916E-01,0.000000E+00,1.398822E+03,5.183924E-01,8.571129E-02,3.627907E-05,4.590542E+03,0.000000E+00,2.811696E-01,0.000000E+00,4.590542E+03,0.000000E+00,2.811696E-01,0.000000E+00 
03:00:00,4.597435E+03,0.000000E+00,2.815919E-01,0.000000E+00,4.597435E+03,0.000000E+00,2.815919E-01,0.000000E+00,1.398824E+03,0.000000E+00,8.571144E-02,0.000000E+00,4.590546E+03,0.000000E+00,2.811698E-01,0.000000E+00,4.590546E+03,0.000000E+00,2.811698E-01,0.000000E+00 
03:15:00,4.597439E+03,0.000000E+00,2.815921E-01,0.000000E+00,4.597439E+03,0.000000E+00,2.815921E-01,0.000000E+00,1.398827E+03,0.000000E+00,8.571159E-02,0.000000E+00,4.590549E+03,0.000000E+00,2.811700E-01,0.000000E+00,4.590549E+03,0.000000E+00,2.811700E-01,0.000000E+00 
03:30:00,4.597442E+03,0.000000E+00,2.815922E-01,0.000000E+00,4.597442E+03,0.000000E+00,2.815922E-01,0.000000E+00,1.398829E+03,0.000000E+00,8.571171E-02,0.000000E+00,4.590552E+03,0.000000E+00,2.811702E-01,0.000000E+00,4.590552E+03,0.000000E+00,2.811702E-01,0.000000E+00 
03:45:00,4.597444E+03,0.000000E+00,2.815924E-01,0.000000E+00,4.597444E+03,0.000000E+00,2.815924E-01,0.000000E+00,1.398831E+03,0.000000E+00,8.571182E-02,0.000000E+00,4.590555E+03,0.000000E+00,2.811704E-01,0.000000E+00,4.590555E+03,0.000000E+00,2.811704E-01,0.000000E+00 
04:00:00,4.597447E+03,0.000000E+00,2.815926E-01,0.000000E+00,4.597447E+03,0.000000E+00,2.815926E-01,0.000000E+00,1.398832E+03,0.000000E+00,8.571192E-02,0.000000E+00,4.590557E+03,0.000000E+00,2.811706E-01,0.000000E+00,4.590557E+03,0.000000E+00,2.811706E-01,0.000000E+00 
