Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,2.430856E+00,2.239615E+00,2.222827E+04,4.631522E+04 
00:30:00,2.430864E+00,2.206991E+00,2.222834E+04,4.524136E+04 
00:45:00,2.430871E+00,2.175092E+00,2.222840E+04,4.419405E+04 
01:00:00,2.430878E+00,2.144117E+00,2.222846E+04,4.317687E+04 
01:15:00,2.430884E+00,2.116868E+00,2.222852E+04,4.237289E+04 
01:30:00,2.430890E+00,2.091001E+00,2.222858E+04,4.160297E+04 
01:45:00,2.430895E+00,2.066455E+00,2.222863E+04,4.086543E+04 
02:00:00,2.430901E+00,2.043223E+00,2.222867E+04,4.015961E+04 
02:15:00,2.430906E+00,2.020927E+00,2.222872E+04,3.953863E+04 
02:30:00,2.430910E+00,1.999549E+00,2.222876E+04,3.893953E+04 
02:45:00,2.430915E+00,1.979068E+00,2.222880E+04,3.836171E+04 
03:00:00,2.430919E+00,1.959469E+00,2.222884E+04,3.780460E+04 
03:15:00,2.430923E+00,1.940358E+00,2.222888E+04,3.726041E+04 
03:30:00,2.430927E+00,1.921711E+00,2.222892E+04,3.672852E+04 
03:45:00,2.430931E+00,1.903503E+00,2.222895E+04,3.620839E+04 
04:00:00,2.430935E+00,1.885716E+00,2.222898E+04,3.569951E+04 
04:15:00,2.430938E+00,1.868710E+00,2.222902E+04,3.526488E+04 
04:30:00,2.430941E+00,1.852478E+00,2.222905E+04,3.484687E+04 
04:45:00,2.430944E+00,1.837014E+00,2.222907E+04,3.444523E+04 
05:00:00,2.430947E+00,1.822313E+00,2.222910E+04,3.405971E+04 
05:15:00,2.430950E+00,1.809535E+00,2.222913E+04,3.392997E+04 
05:30:00,2.430953E+00,1.798695E+00,2.222915E+04,3.383516E+04 
05:45:00,2.430956E+00,1.791177E+00,2.222918E+04,3.380174E+04 
06:00:00,2.430958E+00,1.792508E+00,2.222920E+04,3.393493E+04 
06:15:00,2.275990E+00,1.828243E+00,2.081214E+04,3.499725E+04 
06:30:00,2.120896E+00,1.881009E+00,1.939393E+04,3.640424E+04 
06:45:00,1.965832E+00,1.949235E+00,1.797599E+04,3.813599E+04 
07:00:00,1.810725E+00,2.026983E+00,1.655765E+04,4.008485E+04 
07:15:00,1.810562E+00,2.089660E+00,1.655616E+04,4.239522E+04 
07:30:00,1.810504E+00,2.153967E+00,1.655563E+04,4.480374E+04 
07:45:00,1.810399E+00,2.221126E+00,1.655468E+04,4.733898E+04 
08:00:00,1.810324E+00,2.290498E+00,1.655399E+04,4.999134E+04 
08:15:00,1.810262E+00,2.358766E+00,1.655343E+04,5.283235E+04 
08:30:00,1.810210E+00,2.425559E+00,1.655294E+04,5.571768E+04 
08:45:00,1.810164E+00,2.488922E+00,1.655253E+04,5.859876E+04 
09:00:00,1.810125E+00,2.550431E+00,1.655217E+04,6.150775E+04 
09:15:00,1.810091E+00,2.610235E+00,1.655186E+04,6.428770E+04 
09:30:00,1.810061E+00,2.668997E+00,1.655158E+04,6.710275E+04 
09:45:00,1.810035E+00,2.727007E+00,1.655135E+04,6.995875E+04 
10:00:00,1.810012E+00,2.782889E+00,1.655114E+04,7.281852E+04 
10:15:00,1.809992E+00,2.835827E+00,1.655095E+04,7.548603E+04 
10:30:00,1.809974E+00,2.885683E+00,1.655078E+04,7.811802E+04 
10:45:00,1.809957E+00,2.932205E+00,1.655064E+04,8.070332E+04 
11:00:00,1.809943E+00,2.975134E+00,1.655050E+04,8.323016E+04 
