Time,THERMAL ZONE 8:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 8:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 8:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 8:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 9:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 9:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 9:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 9:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 6:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 6:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 7:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 7:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 7:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 7:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 1:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 10:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 10:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 10:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 10:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:15:00,3.015816E+03,2.601036E+03,1.848092E-01,1.820176E-01,2.697053E+03,1.003492E+03,1.652863E-01,7.022752E-02,2.699529E+03,1.199974E+03,1.654380E-01,8.397704E-02,3.015842E+03,2.563064E+03,1.848109E-01,1.793604E-01,3.596400E+03,3.282044E+03,2.204299E-01,2.297100E-01,2.697086E+03,1.018341E+03,1.652883E-01,7.126670E-02,3.017491E+03,2.976999E+03,1.849119E-01,2.083269E-01,2.697086E+03,1.004327E+03,1.652883E-01,7.028598E-02,5.280372E+03,9.566550E+03,3.236111E-01,6.694955E-01,3.015842E+03,2.612560E+03,1.848109E-01,1.828240E-01 
00:30:00,3.015827E+03,2.556908E+03,1.848099E-01,1.789291E-01,2.697058E+03,9.743197E+02,1.652866E-01,6.818538E-02,2.699535E+03,1.164852E+03,1.654384E-01,8.151848E-02,3.015854E+03,2.521362E+03,1.848116E-01,1.764417E-01,3.596408E+03,3.253634E+03,2.204305E-01,2.277194E-01,2.697092E+03,9.888256E+02,1.652886E-01,6.920049E-02,3.017502E+03,2.913563E+03,1.849126E-01,2.038875E-01,2.697092E+03,9.751785E+02,1.652886E-01,6.824547E-02,5.280397E+03,9.506077E+03,3.236126E-01,6.652565E-01,3.015854E+03,2.568479E+03,1.848116E-01,1.797388E-01 
00:45:00,3.015838E+03,2.514084E+03,1.848106E-01,1.759322E-01,2.697063E+03,9.460415E+02,1.652869E-01,6.620602E-02,2.699540E+03,1.128340E+03,1.654387E-01,7.896289E-02,3.015865E+03,2.480844E+03,1.848122E-01,1.736060E-01,3.596416E+03,3.226270E+03,2.204310E-01,2.258023E-01,2.697097E+03,9.601045E+02,1.652890E-01,6.719014E-02,3.017513E+03,2.852501E+03,1.849132E-01,1.996143E-01,2.697097E+03,9.468978E+02,1.652890E-01,6.626594E-02,5.280420E+03,9.446177E+03,3.236140E-01,6.610602E-01,3.015865E+03,2.525694E+03,1.848122E-01,1.767446E-01 
01:00:00,3.015848E+03,2.472544E+03,1.848112E-01,1.730250E-01,2.697068E+03,9.187836E+02,1.652872E-01,6.429820E-02,2.699544E+03,1.092647E+03,1.654390E-01,7.646485E-02,3.015875E+03,2.441491E+03,1.848128E-01,1.708519E-01,3.596424E+03,3.199837E+03,2.204314E-01,2.239505E-01,2.697101E+03,9.323931E+02,1.652892E-01,6.525058E-02,3.017523E+03,2.793721E+03,1.849138E-01,1.955007E-01,2.697101E+03,9.196413E+02,1.652892E-01,6.435822E-02,5.280441E+03,9.386918E+03,3.236153E-01,6.569100E-01,3.015875E+03,2.484183E+03,1.848128E-01,1.738395E-01 
01:15:00,3.015858E+03,2.434405E+03,1.848118E-01,1.703558E-01,2.697072E+03,8.945160E+02,1.652874E-01,6.259972E-02,2.699549E+03,1.059734E+03,1.654392E-01,7.416143E-02,3.015885E+03,2.405426E+03,1.848134E-01,1.683279E-01,3.596431E+03,3.183306E+03,2.204319E-01,2.227920E-01,2.697105E+03,9.076803E+02,1.652895E-01,6.352095E-02,3.017533E+03,2.739291E+03,1.849144E-01,1.916914E-01,2.697105E+03,8.953894E+02,1.652895E-01,6.266084E-02,5.280461E+03,9.337842E+03,3.236166E-01,6.534730E-01,3.015885E+03,2.446066E+03,1.848134E-01,1.711718E-01 
01:30:00,3.015867E+03,2.398125E+03,1.848123E-01,1.678167E-01,2.697076E+03,8.716889E+02,1.652877E-01,6.100210E-02,2.699553E+03,1.028373E+03,1.654395E-01,7.196663E-02,3.015894E+03,2.371115E+03,1.848140E-01,1.659266E-01,3.596438E+03,3.167938E+03,2.204323E-01,2.217150E-01,2.697109E+03,8.844251E+02,1.652897E-01,6.189336E-02,3.017542E+03,2.687614E+03,1.849150E-01,1.880749E-01,2.697109E+03,8.725944E+02,1.652897E-01,6.106546E-02,5.280480E+03,9.290637E+03,3.236177E-01,6.501672E-01,3.015894E+03,2.409802E+03,1.848140E-01,1.686339E-01 
01:45:00,3.015875E+03,2.363665E+03,1.848129E-01,1.654050E-01,2.697079E+03,8.502378E+02,1.652879E-01,5.950081E-02,2.699556E+03,9.986283E+02,1.654397E-01,6.988497E-02,3.015902E+03,2.338524E+03,1.848145E-01,1.636457E-01,3.596444E+03,3.153371E+03,2.204327E-01,2.206943E-01,2.697113E+03,8.625661E+02,1.652900E-01,6.036354E-02,3.017550E+03,2.638594E+03,1.849155E-01,1.846443E-01,2.697113E+03,8.511915E+02,1.652900E-01,5.956755E-02,5.280498E+03,9.245239E+03,3.236188E-01,6.469884E-01,3.015902E+03,2.375354E+03,1.848145E-01,1.662230E-01 
02:00:00,3.015883E+03,2.331016E+03,1.848134E-01,1.631202E-01,2.697083E+03,8.301523E+02,1.652881E-01,5.809513E-02,2.699560E+03,9.705680E+02,1.654399E-01,6.792125E-02,3.015910E+03,2.307649E+03,1.848150E-01,1.614850E-01,3.596450E+03,3.139514E+03,2.204330E-01,2.197234E-01,2.697116E+03,8.420955E+02,1.652902E-01,5.893091E-02,3.017558E+03,2.592178E+03,1.849160E-01,1.813960E-01,2.697116E+03,8.311697E+02,1.652902E-01,5.816632E-02,5.280514E+03,9.201678E+03,3.236198E-01,6.439387E-01,3.015910E+03,2.342713E+03,1.848150E-01,1.639387E-01 
02:15:00,3.015891E+03,2.299619E+03,1.848138E-01,1.609230E-01,2.697086E+03,8.110452E+02,1.652883E-01,5.675795E-02,2.699563E+03,9.438655E+02,1.654401E-01,6.605256E-02,3.015918E+03,2.277934E+03,1.848155E-01,1.594055E-01,3.596456E+03,3.126312E+03,2.204334E-01,2.187985E-01,2.697120E+03,8.226295E+02,1.652904E-01,5.756861E-02,3.017566E+03,2.547755E+03,1.849165E-01,1.782873E-01,2.697120E+03,8.121419E+02,1.652904E-01,5.683469E-02,5.280530E+03,9.159103E+03,3.236208E-01,6.409584E-01,3.015918E+03,2.311317E+03,1.848155E-01,1.617416E-01 
02:30:00,3.015898E+03,2.269457E+03,1.848143E-01,1.588123E-01,2.697089E+03,7.928822E+02,1.652885E-01,5.548685E-02,2.699566E+03,9.185005E+02,1.654403E-01,6.427750E-02,3.015925E+03,2.249366E+03,1.848159E-01,1.574063E-01,3.596461E+03,3.113706E+03,2.204337E-01,2.179155E-01,2.697123E+03,8.041324E+02,1.652906E-01,5.627413E-02,3.017573E+03,2.505270E+03,1.849169E-01,1.753142E-01,2.697123E+03,7.940709E+02,1.652906E-01,5.557004E-02,5.280545E+03,9.117559E+03,3.236217E-01,6.380506E-01,3.015925E+03,2.281151E+03,1.848159E-01,1.596306E-01 
