Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,1.385951E+00,6.176337E-01,1.253416E+04,5.214882E+03 
00:30:00,1.385956E+00,6.044858E-01,1.253421E+04,5.026423E+03 
00:45:00,1.385961E+00,5.918876E-01,1.253425E+04,4.845835E+03 
01:00:00,1.385965E+00,5.798446E-01,1.253429E+04,4.672948E+03 
01:15:00,1.385969E+00,5.690777E-01,1.253433E+04,4.537571E+03 
01:30:00,1.385973E+00,5.589187E-01,1.253436E+04,4.408829E+03 
01:45:00,1.385977E+00,5.493190E-01,1.253440E+04,4.286186E+03 
02:00:00,1.385980E+00,5.402122E-01,1.253443E+04,4.168987E+03 
02:15:00,1.385984E+00,5.315138E-01,1.253446E+04,4.067810E+03 
02:30:00,1.385987E+00,5.231787E-01,1.253449E+04,3.970505E+03 
02:45:00,1.385990E+00,5.151779E-01,1.253451E+04,3.876783E+03 
03:00:00,1.385993E+00,5.075146E-01,1.253454E+04,3.786604E+03 
03:15:00,1.385995E+00,4.999984E-01,1.253456E+04,3.698496E+03 
03:30:00,1.385998E+00,4.925947E-01,1.253459E+04,3.612175E+03 
03:45:00,1.386000E+00,4.852953E-01,1.253461E+04,3.527561E+03 
04:00:00,1.386003E+00,4.780755E-01,1.253463E+04,3.444456E+03 
04:15:00,1.386005E+00,4.710625E-01,1.253465E+04,3.373811E+03 
04:30:00,1.386007E+00,4.642173E-01,1.253467E+04,3.304960E+03 
04:45:00,1.386009E+00,4.575306E-01,1.253469E+04,3.237815E+03 
05:00:00,1.386011E+00,4.509513E-01,1.253470E+04,3.171996E+03 
05:15:00,1.386013E+00,4.451521E-01,1.253472E+04,3.150215E+03 
05:30:00,1.386015E+00,4.402120E-01,1.253474E+04,3.134056E+03 
05:45:00,1.386016E+00,4.389715E-01,1.253475E+04,3.143971E+03 
06:00:00,1.386018E+00,4.435484E-01,1.253477E+04,3.195693E+03 
06:15:00,1.297440E+00,4.935230E-01,1.173370E+04,3.629520E+03 
06:30:00,1.208806E+00,5.509397E-01,1.093211E+04,4.134131E+03 
06:45:00,1.120177E+00,6.187817E-01,1.013058E+04,4.735694E+03 
07:00:00,1.031523E+00,6.975010E-01,9.328809E+03,5.442410E+03 
07:15:00,1.031430E+00,7.378420E-01,9.327972E+03,6.025020E+03 
07:30:00,1.031382E+00,7.767581E-01,9.327538E+03,6.624766E+03 
07:45:00,1.031317E+00,8.146632E-01,9.326945E+03,7.243775E+03 
08:00:00,1.031268E+00,8.521462E-01,9.326507E+03,7.886398E+03 
08:15:00,1.031228E+00,8.902633E-01,9.326146E+03,8.600352E+03 
08:30:00,1.031194E+00,9.295986E-01,9.325840E+03,9.357498E+03 
08:45:00,1.031165E+00,9.759813E-01,9.325576E+03,1.022036E+04 
