Time,THERMAL ZONE 11:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 11:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 11:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 11:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 13:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 13:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 13:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 13:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 1:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 15:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 15:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 15:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 15:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 6:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 6:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 9:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 9:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 9:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 9:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 7:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 7:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 7:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 7:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 12:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 12:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 12:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 12:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 14:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 14:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 14:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 14:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 8:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 8:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 8:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 8:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 10:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 10:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 10:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 10:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:15:00,3.757623E+02,1.695920E+02,2.303116E-02,1.186942E-02,1.307057E+03,4.411657E+02,8.009472E-02,3.087367E-02,1.183910E+03,0.000000E+00,7.255309E-02,0.000000E+00,1.021032E+03,4.030700E+02,6.257150E-02,2.820816E-02,1.021043E+03,5.857893E+02,6.257216E-02,4.099508E-02,1.183138E+03,0.000000E+00,7.250579E-02,0.000000E+00,1.021032E+03,4.739224E+02,6.257150E-02,3.316650E-02,1.183910E+03,3.140486E+01,7.255309E-02,2.197849E-03,1.183138E+03,0.000000E+00,7.250579E-02,0.000000E+00,4.818278E+02,6.063823E+02,2.952936E-02,4.243725E-02,1.021043E+03,3.722607E+02,6.257216E-02,2.605208E-02,1.804363E+02,6.235712E+02,1.105927E-02,4.364193E-02,1.306616E+03,3.428402E+02,8.006768E-02,2.399277E-02,1.306616E+03,5.401225E+02,8.006768E-02,3.779871E-02,1.307057E+03,3.763745E+02,8.009472E-02,2.633954E-02 
00:30:00,3.757642E+02,1.634698E+02,2.303128E-02,1.144086E-02,1.307063E+03,4.231771E+02,8.009508E-02,2.961468E-02,1.183913E+03,0.000000E+00,7.255327E-02,0.000000E+00,1.021036E+03,3.914348E+02,6.257177E-02,2.739371E-02,1.021047E+03,5.622669E+02,6.257243E-02,3.934877E-02,1.183141E+03,0.000000E+00,7.250597E-02,0.000000E+00,1.021036E+03,4.573702E+02,6.257177E-02,3.200796E-02,1.183913E+03,1.601999E+01,7.255327E-02,1.121146E-03,1.183141E+03,0.000000E+00,7.250597E-02,0.000000E+00,4.818321E+02,5.992770E+02,2.952963E-02,4.193966E-02,1.021047E+03,3.638470E+02,6.257243E-02,2.546305E-02,1.804383E+02,6.189289E+02,1.105940E-02,4.331661E-02,1.306622E+03,3.310943E+02,8.006805E-02,2.317064E-02,1.306622E+03,5.161408E+02,8.006805E-02,3.612033E-02,1.307063E+03,3.622286E+02,8.009508E-02,2.534946E-02 
00:45:00,3.757659E+02,1.574878E+02,2.303138E-02,1.102214E-02,1.307069E+03,4.059465E+02,8.009542E-02,2.840879E-02,1.183915E+03,0.000000E+00,7.255344E-02,0.000000E+00,1.021041E+03,3.806354E+02,6.257203E-02,2.663781E-02,1.021051E+03,5.398925E+02,6.257268E-02,3.778287E-02,1.183144E+03,0.000000E+00,7.250613E-02,0.000000E+00,1.021041E+03,4.416345E+02,6.257203E-02,3.090663E-02,1.183915E+03,5.727587E+00,7.255344E-02,4.008399E-04,1.183144E+03,0.000000E+00,7.250613E-02,0.000000E+00,4.818361E+02,5.923354E+02,2.952987E-02,4.145363E-02,1.021051E+03,3.556184E+02,6.257268E-02,2.488706E-02,1.804403E+02,6.144348E+02,1.105952E-02,4.300179E-02,1.306628E+03,3.200065E+02,8.006838E-02,2.239462E-02,1.306628E+03,4.932433E+02,8.006838E-02,3.451788E-02,1.307069E+03,3.487162E+02,8.009542E-02,2.440377E-02 
01:00:00,3.757674E+02,1.515933E+02,2.303148E-02,1.060954E-02,1.307074E+03,3.894522E+02,8.009573E-02,2.725446E-02,1.183918E+03,0.000000E+00,7.255359E-02,0.000000E+00,1.021044E+03,3.707529E+02,6.257227E-02,2.594612E-02,1.021055E+03,5.186070E+02,6.257292E-02,3.629321E-02,1.183146E+03,0.000000E+00,7.250628E-02,0.000000E+00,1.021044E+03,4.266898E+02,6.257227E-02,2.986070E-02,1.183918E+03,2.982542E-01,7.255359E-02,2.087303E-05,1.183146E+03,0.000000E+00,7.250628E-02,0.000000E+00,4.818398E+02,5.855484E+02,2.953010E-02,4.097849E-02,1.021055E+03,3.471188E+02,6.257292E-02,2.429214E-02,1.804422E+02,6.100793E+02,1.105964E-02,4.269673E-02,1.306633E+03,3.097426E+02,8.006870E-02,2.167629E-02,1.306633E+03,4.713760E+02,8.006870E-02,3.298754E-02,1.307074E+03,3.358539E+02,8.009573E-02,2.350359E-02 
01:15:00,3.757688E+02,1.464083E+02,2.303156E-02,1.024661E-02,1.307079E+03,3.744579E+02,8.009603E-02,2.620510E-02,1.183920E+03,0.000000E+00,7.255372E-02,0.000000E+00,1.021048E+03,3.622500E+02,6.257249E-02,2.535098E-02,1.021059E+03,4.991018E+02,6.257315E-02,3.492814E-02,1.183148E+03,0.000000E+00,7.250642E-02,0.000000E+00,1.021048E+03,4.132542E+02,6.257249E-02,2.892038E-02,1.183920E+03,0.000000E+00,7.255372E-02,0.000000E+00,1.183148E+03,0.000000E+00,7.250642E-02,0.000000E+00,4.818432E+02,5.796028E+02,2.953031E-02,4.056226E-02,1.021059E+03,3.390901E+02,6.257315E-02,2.373022E-02,1.804440E+02,6.064964E+02,1.105975E-02,4.244578E-02,1.306638E+03,3.007915E+02,8.006899E-02,2.104982E-02,1.306638E+03,4.512767E+02,8.006899E-02,3.158093E-02,1.307079E+03,3.244537E+02,8.009603E-02,2.270575E-02 
01:30:00,3.757701E+02,1.412712E+02,2.303164E-02,9.887048E-03,1.307083E+03,3.603925E+02,8.009631E-02,2.522075E-02,1.183922E+03,0.000000E+00,7.255385E-02,0.000000E+00,1.021052E+03,3.541687E+02,6.257271E-02,2.478536E-02,1.021062E+03,4.807764E+02,6.257337E-02,3.364564E-02,1.183150E+03,0.000000E+00,7.250655E-02,0.000000E+00,1.021052E+03,4.007623E+02,6.257271E-02,2.804612E-02,1.183922E+03,0.000000E+00,7.255385E-02,0.000000E+00,1.183150E+03,0.000000E+00,7.250655E-02,0.000000E+00,4.818464E+02,5.738741E+02,2.953050E-02,4.016123E-02,1.021062E+03,3.311782E+02,6.257337E-02,2.317649E-02,1.804457E+02,6.030628E+02,1.105985E-02,4.220531E-02,1.306642E+03,2.924696E+02,8.006927E-02,2.046740E-02,1.306642E+03,4.323473E+02,8.006927E-02,3.025621E-02,1.307083E+03,3.140530E+02,8.009631E-02,2.197786E-02 
01:45:00,3.757712E+02,1.361470E+02,2.303171E-02,9.528390E-03,1.307088E+03,3.472551E+02,8.009657E-02,2.430136E-02,1.183924E+03,0.000000E+00,7.255396E-02,0.000000E+00,1.021055E+03,3.462360E+02,6.257291E-02,2.423017E-02,1.021066E+03,4.635958E+02,6.257357E-02,3.244327E-02,1.183152E+03,0.000000E+00,7.250666E-02,0.000000E+00,1.021055E+03,3.892321E+02,6.257291E-02,2.723916E-02,1.183924E+03,0.000000E+00,7.255396E-02,0.000000E+00,1.183152E+03,0.000000E+00,7.250666E-02,0.000000E+00,4.818494E+02,5.683541E+02,2.953069E-02,3.977484E-02,1.021066E+03,3.232149E+02,6.257357E-02,2.261917E-02,1.804474E+02,5.997746E+02,1.105995E-02,4.197505E-02,1.306646E+03,2.844722E+02,8.006953E-02,1.990770E-02,1.306646E+03,4.145561E+02,8.006953E-02,2.901113E-02,1.307088E+03,3.047420E+02,8.009657E-02,2.132623E-02 
02:00:00,3.757723E+02,1.310179E+02,2.303177E-02,9.169396E-03,1.307092E+03,3.350584E+02,8.009682E-02,2.344781E-02,1.183926E+03,0.000000E+00,7.255407E-02,0.000000E+00,1.021058E+03,3.380992E+02,6.257311E-02,2.366072E-02,1.021069E+03,4.475357E+02,6.257377E-02,3.131933E-02,1.183154E+03,0.000000E+00,7.250677E-02,0.000000E+00,1.021058E+03,3.787348E+02,6.257311E-02,2.650451E-02,1.183926E+03,0.000000E+00,7.255407E-02,0.000000E+00,1.183154E+03,0.000000E+00,7.250677E-02,0.000000E+00,4.818522E+02,5.630400E+02,2.953086E-02,3.940287E-02,1.021069E+03,3.152763E+02,6.257377E-02,2.206360E-02,1.804489E+02,5.966352E+02,1.106005E-02,4.175523E-02,1.306650E+03,2.763612E+02,8.006978E-02,1.934008E-02,1.306650E+03,3.978800E+02,8.006978E-02,2.784411E-02,1.307092E+03,2.962320E+02,8.009682E-02,2.073066E-02 
02:15:00,3.757732E+02,1.258792E+02,2.303183E-02,8.809741E-03,1.307095E+03,3.236452E+02,8.009705E-02,2.264909E-02,1.183927E+03,0.000000E+00,7.255417E-02,0.000000E+00,1.021061E+03,3.297413E+02,6.257330E-02,2.307582E-02,1.021072E+03,4.324399E+02,6.257396E-02,3.026289E-02,1.183155E+03,0.000000E+00,7.250686E-02,0.000000E+00,1.021061E+03,3.691546E+02,6.257330E-02,2.583404E-02,1.183927E+03,0.000000E+00,7.255417E-02,0.000000E+00,1.183155E+03,0.000000E+00,7.250686E-02,0.000000E+00,4.818548E+02,5.578779E+02,2.953102E-02,3.904157E-02,1.021072E+03,3.073623E+02,6.257396E-02,2.150977E-02,1.804505E+02,5.936522E+02,1.106014E-02,4.154639E-02,1.306654E+03,2.680823E+02,8.007001E-02,1.876072E-02,1.306654E+03,3.821157E+02,8.007001E-02,2.674091E-02,1.307095E+03,2.881286E+02,8.009705E-02,2.016356E-02 
02:30:00,3.757741E+02,1.207349E+02,2.303188E-02,8.449688E-03,1.307099E+03,3.130743E+02,8.009727E-02,2.190931E-02,1.183929E+03,0.000000E+00,7.255426E-02,0.000000E+00,1.021064E+03,3.214414E+02,6.257348E-02,2.249499E-02,1.021075E+03,4.182951E+02,6.257413E-02,2.927299E-02,1.183157E+03,0.000000E+00,7.250695E-02,0.000000E+00,1.021064E+03,3.605763E+02,6.257348E-02,2.523368E-02,1.183929E+03,0.000000E+00,7.255426E-02,0.000000E+00,1.183157E+03,0.000000E+00,7.250695E-02,0.000000E+00,4.818573E+02,5.528685E+02,2.953117E-02,3.869096E-02,1.021075E+03,2.995159E+02,6.257413E-02,2.096067E-02,1.804519E+02,5.908379E+02,1.106023E-02,4.134937E-02,1.306658E+03,2.596102E+02,8.007023E-02,1.816785E-02,1.306658E+03,3.672476E+02,8.007023E-02,2.570042E-02,1.307099E+03,2.798924E+02,8.009727E-02,1.958717E-02 
