Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,4.171726E+00,3.249964E-01,2.293021E+05,1.986558E+03 
00:30:00,4.171738E+00,3.249964E-01,2.293028E+05,1.936592E+03 
00:45:00,4.171747E+00,3.249964E-01,2.293033E+05,1.886626E+03 
01:00:00,4.171756E+00,3.249964E-01,2.293038E+05,1.836660E+03 
01:15:00,4.171764E+00,3.249964E-01,2.293042E+05,1.803349E+03 
01:30:00,4.171771E+00,3.249964E-01,2.293046E+05,1.770039E+03 
01:45:00,4.171777E+00,3.249964E-01,2.293049E+05,1.736728E+03 
02:00:00,4.171782E+00,3.249964E-01,2.293052E+05,1.703417E+03 
02:15:00,4.171787E+00,3.249964E-01,2.293055E+05,1.678434E+03 
02:30:00,4.171791E+00,3.249964E-01,2.293057E+05,1.653451E+03 
02:45:00,4.171795E+00,3.249964E-01,2.293059E+05,1.628468E+03 
03:00:00,4.171799E+00,3.249964E-01,2.293061E+05,1.603485E+03 
03:15:00,4.171802E+00,3.249964E-01,2.293063E+05,1.578502E+03 
03:30:00,4.171805E+00,3.249964E-01,2.293064E+05,1.553519E+03 
03:45:00,4.171808E+00,3.249964E-01,2.293066E+05,1.528536E+03 
04:00:00,4.171810E+00,3.249964E-01,2.293067E+05,1.503553E+03 
04:15:00,4.171812E+00,3.249964E-01,2.293069E+05,1.486898E+03 
04:30:00,4.171814E+00,3.249964E-01,2.293070E+05,1.470243E+03 
04:45:00,4.171816E+00,3.249964E-01,2.293071E+05,1.453587E+03 
05:00:00,4.171818E+00,3.249964E-01,2.293072E+05,1.436932E+03 
05:15:00,4.171820E+00,3.249964E-01,2.293073E+05,1.453587E+03 
05:30:00,4.171821E+00,3.249964E-01,2.293073E+05,1.470243E+03 
05:45:00,4.171823E+00,3.249964E-01,2.293074E+05,1.486898E+03 
06:00:00,4.171824E+00,3.249964E-01,2.293075E+05,1.503553E+03 
06:15:00,3.778276E+00,3.249964E-01,2.076758E+05,1.561847E+03 
06:30:00,3.384466E+00,3.313041E-01,1.860298E+05,1.651585E+03 
06:45:00,2.990702E+00,3.571632E-01,1.643862E+05,1.844559E+03 
07:00:00,2.596845E+00,3.830736E-01,1.427376E+05,2.047083E+03 
07:15:00,2.596482E+00,3.963546E-01,1.427176E+05,2.290709E+03 
07:30:00,2.596332E+00,4.090645E-01,1.427094E+05,2.542356E+03 
07:45:00,2.596092E+00,4.211896E-01,1.426962E+05,2.801187E+03 
08:00:00,2.595906E+00,4.335622E-01,1.426859E+05,3.072336E+03 
08:15:00,2.595742E+00,4.456870E-01,1.426769E+05,3.375240E+03 
08:30:00,2.595600E+00,4.568336E-01,1.426691E+05,3.682065E+03 
08:45:00,2.595481E+00,4.668229E-01,1.426626E+05,3.989853E+03 
09:00:00,2.595384E+00,4.755965E-01,1.426572E+05,4.296386E+03 
09:15:00,2.595303E+00,4.888521E-01,1.426528E+05,4.629080E+03 
09:30:00,2.595236E+00,5.140384E-01,1.426491E+05,5.091495E+03 
09:45:00,2.595180E+00,5.330988E-01,1.426460E+05,5.512506E+03 
10:00:00,2.595132E+00,5.530316E-01,1.426434E+05,5.959526E+03 
10:15:00,2.595091E+00,5.713340E-01,1.426412E+05,6.376352E+03 
10:30:00,2.595056E+00,5.868478E-01,1.426393E+05,6.775052E+03 
10:45:00,2.595027E+00,6.034475E-01,1.426376E+05,7.198633E+03 
11:00:00,2.595001E+00,6.198999E-01,1.426362E+05,7.633160E+03 
11:15:00,2.594979E+00,6.356880E-01,1.426350E+05,7.990455E+03 
11:30:00,2.594961E+00,6.509963E-01,1.426340E+05,8.349689E+03 
11:45:00,2.594944E+00,6.661352E-01,1.426331E+05,8.714550E+03 
12:00:00,2.594930E+00,6.806886E-01,1.426323E+05,9.079360E+03 
12:15:00,2.594918E+00,6.923534E-01,1.426316E+05,9.376878E+03 
