Time,THERMAL ZONE 2:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 1:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:15:00,9.598948E+03,0.000000E+00,5.879407E-01,0.000000E+00,9.588745E+03,0.000000E+00,5.873158E-01,0.000000E+00,1.610719E+04,1.460057E+03,9.868682E-01,1.021828E-01,9.588745E+03,0.000000E+00,5.873158E-01,0.000000E+00,9.598948E+03,1.149584E+02,5.879407E-01,8.045129E-03 
00:30:00,9.598973E+03,0.000000E+00,5.879423E-01,0.000000E+00,9.588770E+03,0.000000E+00,5.873173E-01,0.000000E+00,1.610724E+04,1.374777E+03,9.868710E-01,9.621364E-02,9.588770E+03,0.000000E+00,5.873173E-01,0.000000E+00,9.598973E+03,5.725738E+01,5.879423E-01,4.007042E-03 
00:45:00,9.598995E+03,0.000000E+00,5.879436E-01,0.000000E+00,9.588792E+03,0.000000E+00,5.873186E-01,0.000000E+00,1.610728E+04,1.290872E+03,9.868734E-01,9.034101E-02,9.588792E+03,0.000000E+00,5.873186E-01,0.000000E+00,9.598995E+03,1.814969E+01,5.879436E-01,1.270171E-03 
01:00:00,9.599014E+03,0.000000E+00,5.879448E-01,0.000000E+00,9.588811E+03,0.000000E+00,5.873198E-01,0.000000E+00,1.610731E+04,1.208233E+03,9.868756E-01,8.455716E-02,9.588811E+03,0.000000E+00,5.873198E-01,0.000000E+00,9.599014E+03,0.000000E+00,5.879448E-01,0.000000E+00 
01:15:00,9.599032E+03,0.000000E+00,5.879459E-01,0.000000E+00,9.588829E+03,0.000000E+00,5.873209E-01,0.000000E+00,1.610734E+04,1.134748E+03,9.868775E-01,7.941409E-02,9.588829E+03,0.000000E+00,5.873209E-01,0.000000E+00,9.599032E+03,0.000000E+00,5.879459E-01,0.000000E+00 
01:30:00,9.599047E+03,0.000000E+00,5.879468E-01,0.000000E+00,9.588844E+03,0.000000E+00,5.873218E-01,0.000000E+00,1.610737E+04,1.063262E+03,9.868791E-01,7.441103E-02,9.588844E+03,0.000000E+00,5.873218E-01,0.000000E+00,9.599047E+03,0.000000E+00,5.879468E-01,0.000000E+00 
01:45:00,9.599061E+03,0.000000E+00,5.879477E-01,0.000000E+00,9.588858E+03,0.000000E+00,5.873227E-01,0.000000E+00,1.610739E+04,9.934655E+02,9.868806E-01,6.952622E-02,9.588858E+03,0.000000E+00,5.873227E-01,0.000000E+00,9.599061E+03,0.000000E+00,5.879477E-01,0.000000E+00 
02:00:00,9.599073E+03,0.000000E+00,5.879484E-01,0.000000E+00,9.588870E+03,0.000000E+00,5.873234E-01,0.000000E+00,1.610742E+04,9.252075E+02,9.868819E-01,6.474917E-02,9.588870E+03,0.000000E+00,5.873234E-01,0.000000E+00,9.599073E+03,0.000000E+00,5.879484E-01,0.000000E+00 
02:15:00,9.599084E+03,0.000000E+00,5.879491E-01,0.000000E+00,9.588881E+03,0.000000E+00,5.873241E-01,0.000000E+00,1.610744E+04,8.577355E+02,9.868831E-01,6.002718E-02,9.588881E+03,0.000000E+00,5.873241E-01,0.000000E+00,9.599084E+03,0.000000E+00,5.879491E-01,0.000000E+00 
02:30:00,9.599094E+03,0.000000E+00,5.879497E-01,0.000000E+00,9.588891E+03,0.000000E+00,5.873247E-01,0.000000E+00,1.610745E+04,7.910785E+02,9.868841E-01,5.536226E-02,9.588891E+03,0.000000E+00,5.873247E-01,0.000000E+00,9.599094E+03,0.000000E+00,5.879497E-01,0.000000E+00 
02:45:00,9.599103E+03,0.000000E+00,5.879503E-01,0.000000E+00,9.588900E+03,0.000000E+00,5.873253E-01,0.000000E+00,1.610747E+04,7.253070E+02,9.868851E-01,5.075933E-02,9.588900E+03,0.000000E+00,5.873253E-01,0.000000E+00,9.599103E+03,0.000000E+00,5.879503E-01,0.000000E+00 
03:00:00,9.599111E+03,0.000000E+00,5.879508E-01,0.000000E+00,9.588908E+03,0.000000E+00,5.873258E-01,0.000000E+00,1.610748E+04,6.605088E+02,9.868859E-01,4.622454E-02,9.588908E+03,0.000000E+00,5.873258E-01,0.000000E+00,9.599111E+03,0.000000E+00,5.879508E-01,0.000000E+00 
