Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,1.826524E+00,2.555141E-01,4.294832E+04,3.436159E+03 
00:30:00,1.826531E+00,2.489972E-01,4.294848E+04,3.310239E+03 
00:45:00,1.826537E+00,2.454179E-01,4.294863E+04,3.224922E+03 
01:00:00,1.826542E+00,2.419262E-01,4.294876E+04,3.141845E+03 
01:15:00,1.826547E+00,2.390245E-01,4.294887E+04,3.079662E+03 
01:30:00,1.826552E+00,2.390245E-01,4.294897E+04,3.055164E+03 
01:45:00,1.826555E+00,2.390245E-01,4.294906E+04,3.030665E+03 
02:00:00,1.826559E+00,2.390245E-01,4.294914E+04,3.006166E+03 
02:15:00,1.826562E+00,2.390245E-01,4.294921E+04,2.987791E+03 
02:30:00,1.826565E+00,2.390245E-01,4.294928E+04,2.969417E+03 
02:45:00,1.826567E+00,2.390245E-01,4.294933E+04,2.951043E+03 
03:00:00,1.826569E+00,2.390245E-01,4.294939E+04,2.932669E+03 
03:15:00,1.826571E+00,2.390245E-01,4.294943E+04,2.914295E+03 
03:30:00,1.826573E+00,2.390245E-01,4.294948E+04,2.895920E+03 
03:45:00,1.826575E+00,2.390245E-01,4.294952E+04,2.877546E+03 
04:00:00,1.826576E+00,2.390245E-01,4.294955E+04,2.859172E+03 
04:15:00,1.826578E+00,2.390245E-01,4.294959E+04,2.846922E+03 
04:30:00,1.826579E+00,2.390245E-01,4.294962E+04,2.834673E+03 
04:45:00,1.826580E+00,2.390245E-01,4.294964E+04,2.822423E+03 
05:00:00,1.826581E+00,2.390245E-01,4.294967E+04,2.810174E+03 
05:15:00,1.826582E+00,2.390245E-01,4.294969E+04,2.822423E+03 
05:30:00,1.826583E+00,2.390245E-01,4.294971E+04,2.834673E+03 
05:45:00,1.826584E+00,2.390245E-01,4.294973E+04,2.846922E+03 
06:00:00,1.826585E+00,2.390245E-01,4.294975E+04,2.859172E+03 
06:15:00,1.683738E+00,2.574727E-01,3.959090E+04,3.126029E+03 
06:30:00,1.540757E+00,2.770204E-01,3.622889E+04,3.413050E+03 
06:45:00,1.397790E+00,3.037595E-01,3.286721E+04,3.796976E+03 
07:00:00,1.254765E+00,3.405364E-01,2.950416E+04,4.317765E+03 
07:15:00,1.254553E+00,3.579800E-01,2.949916E+04,4.694877E+03 
07:30:00,1.254447E+00,3.762320E-01,2.949667E+04,5.098138E+03 
07:45:00,1.254303E+00,4.017171E-01,2.949330E+04,5.618466E+03 
08:00:00,1.254197E+00,4.265124E-01,2.949080E+04,6.151047E+03 
08:15:00,1.254107E+00,4.507340E-01,2.948870E+04,6.719806E+03 
08:30:00,1.254030E+00,4.744430E-01,2.948687E+04,7.304258E+03 
08:45:00,1.253963E+00,4.980021E-01,2.948531E+04,7.909415E+03 
09:00:00,1.253907E+00,5.214327E-01,2.948398E+04,8.535409E+03 
09:15:00,1.253859E+00,5.438962E-01,2.948286E+04,9.140041E+03 
09:30:00,1.253819E+00,5.646184E-01,2.948191E+04,9.734224E+03 
09:45:00,1.253785E+00,5.831372E-01,2.948110E+04,1.030751E+04 
10:00:00,1.253755E+00,5.992692E-01,2.948041E+04,1.085371E+04 
10:15:00,1.253730E+00,6.131402E-01,2.947982E+04,1.134060E+04 
10:30:00,1.253708E+00,6.251405E-01,2.947931E+04,1.180283E+04 
10:45:00,1.253689E+00,6.353890E-01,2.947886E+04,1.224054E+04 
11:00:00,1.253673E+00,6.438625E-01,2.947848E+04,1.265126E+04 
11:15:00,1.253659E+00,6.498022E-01,2.947815E+04,1.293447E+04 
11:30:00,1.253647E+00,6.529864E-01,2.947786E+04,1.316517E+04 
11:45:00,1.253636E+00,6.542232E-01,2.947761E+04,1.335775E+04 
12:00:00,1.253627E+00,6.542400E-01,2.947739E+04,1.352573E+04 
12:15:00,1.253619E+00,6.561734E-01,2.947720E+04,1.370021E+04 
12:30:00,1.253612E+00,6.616241E-01,2.947703E+04,1.394964E+04 
12:45:00,1.253605E+00,6.703127E-01,2.947689E+04,1.427024E+04 
13:00:00,1.253600E+00,6.826229E-01,2.947676E+04,1.467225E+04 
13:15:00,1.253595E+00,6.971693E-01,2.947664E+04,1.507422E+04 
13:30:00,1.253590E+00,7.129142E-01,2.947654E+04,1.550600E+04 
13:45:00,1.253586E+00,7.295302E-01,2.947644E+04,1.596087E+04 
14:00:00,1.253583E+00,7.461135E-01,2.947636E+04,1.641927E+04 
14:15:00,1.253580E+00,7.614474E-01,2.947629E+04,1.675672E+04 
14:30:00,1.253577E+00,7.751717E-01,2.947622E+04,1.705874E+04 
14:45:00,1.253575E+00,7.872149E-01,2.947616E+04,1.732377E+04 
15:00:00,1.253572E+00,7.970624E-01,2.947611E+04,1.754048E+04 
15:15:00,1.253570E+00,8.043803E-01,2.947606E+04,1.757785E+04 
15:30:00,1.253568E+00,8.089722E-01,2.947602E+04,1.755382E+04 
15:45:00,1.253567E+00,8.108672E-01,2.947598E+04,1.747028E+04 
16:00:00,1.253565E+00,8.108612E-01,2.947594E+04,1.734548E+04 
16:15:00,1.253564E+00,8.098385E-01,2.947591E+04,1.715759E+04 
16:30:00,1.253562E+00,8.076099E-01,2.947588E+04,1.694482E+04 
16:45:00,1.253561E+00,8.042390E-01,2.947585E+04,1.670924E+04 
17:00:00,1.253560E+00,7.992783E-01,2.947582E+04,1.644232E+04 
17:15:00,1.253559E+00,7.919923E-01,2.947580E+04,1.608950E+04 
17:30:00,1.253558E+00,7.821875E-01,2.947578E+04,1.568989E+04 
17:45:00,1.253557E+00,7.690774E-01,2.947576E+04,1.522985E+04 
18:00:00,1.253557E+00,7.513340E-01,2.947574E+04,1.468596E+04 
18:15:00,1.396446E+00,7.289394E-01,3.283560E+04,1.396805E+04 
18:30:00,1.539385E+00,7.032354E-01,3.619662E+04,1.320521E+04 
18:45:00,1.682373E+00,6.732312E-01,3.955880E+04,1.238303E+04 
19:00:00,1.825411E+00,6.416007E-01,4.292215E+04,1.155464E+04 
19:15:00,1.825585E+00,6.115301E-01,4.292624E+04,1.084072E+04 
19:30:00,1.825733E+00,5.835637E-01,4.292973E+04,1.018047E+04 
19:45:00,1.825856E+00,5.603510E-01,4.293262E+04,9.617577E+03 
20:00:00,1.825953E+00,5.412464E-01,4.293488E+04,9.137118E+03 
20:15:00,1.826041E+00,5.242669E-01,4.293696E+04,8.729573E+03 
20:30:00,1.826121E+00,5.084030E-01,4.293884E+04,8.348178E+03 
20:45:00,1.826189E+00,4.932776E-01,4.294044E+04,7.986055E+03 
21:00:00,1.826245E+00,4.787207E-01,4.294176E+04,7.639982E+03 
21:15:00,1.826292E+00,4.645362E-01,4.294286E+04,7.306480E+03 
21:30:00,1.826331E+00,4.508777E-01,4.294377E+04,6.987672E+03 
21:45:00,1.826364E+00,4.376587E-01,4.294456E+04,6.681875E+03 
22:00:00,1.826392E+00,4.249445E-01,4.294522E+04,6.389765E+03 
22:15:00,1.826417E+00,3.963739E-01,4.294580E+04,5.889060E+03 
22:30:00,1.826438E+00,3.668958E-01,4.294629E+04,5.385286E+03 
22:45:00,1.826456E+00,3.365883E-01,4.294672E+04,4.880060E+03 
23:00:00,1.826471E+00,3.054914E-01,4.294708E+04,4.374404E+03 
23:15:00,1.826485E+00,2.899450E-01,4.294740E+04,4.099784E+03 
23:30:00,1.826497E+00,2.766300E-01,4.294768E+04,3.861894E+03 
23:45:00,1.826507E+00,2.693174E-01,4.294792E+04,3.711499E+03 
24:00:00,1.826516E+00,2.625287E-01,4.294814E+04,3.570853E+03 
Coinc Peak   ,1.826585E+00,8.108672E-01,4.294975E+04,1.933643E+04 
NonCoinc Peak,1.826585E+00,9.658685E-01,4.294975E+04,1.933643E+04 
