Time,THERMAL ZONE 4:NASHVILLE INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:NASHVILLE INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:NASHVILLE INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:NASHVILLE INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:NASHVILLE INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:NASHVILLE INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:NASHVILLE INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:NASHVILLE INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:NASHVILLE INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:NASHVILLE INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:NASHVILLE INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:NASHVILLE INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 1:NASHVILLE INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:NASHVILLE INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:NASHVILLE INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:NASHVILLE INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:NASHVILLE INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:NASHVILLE INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:NASHVILLE INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:NASHVILLE INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:15:00,4.423397E+03,2.898239E+02,2.709872E-01,2.028624E-02,6.143820E+03,1.622934E+03,3.764698E-01,1.135978E-01,4.427800E+03,2.829156E+02,2.712569E-01,1.980263E-02,4.427729E+03,4.143635E+02,2.712526E-01,2.900472E-02,4.427729E+03,2.728907E+02,2.712526E-01,1.910087E-02 
00:30:00,4.423413E+03,2.600157E+02,2.709882E-01,1.819965E-02,6.143847E+03,1.577364E+03,3.764714E-01,1.104079E-01,4.427816E+03,2.531870E+02,2.712579E-01,1.772162E-02,4.427745E+03,3.756018E+02,2.712536E-01,2.629120E-02,4.427745E+03,2.443160E+02,2.712536E-01,1.710065E-02 
00:45:00,4.423427E+03,2.311813E+02,2.709890E-01,1.618123E-02,6.143870E+03,1.532901E+03,3.764729E-01,1.072954E-01,4.427830E+03,2.244516E+02,2.712588E-01,1.571015E-02,4.427760E+03,3.384029E+02,2.712545E-01,2.368709E-02,4.427760E+03,2.166160E+02,2.712545E-01,1.516166E-02 
01:00:00,4.423439E+03,2.032992E+02,2.709898E-01,1.422950E-02,6.143891E+03,1.489528E+03,3.764742E-01,1.042591E-01,4.427842E+03,1.966832E+02,2.712595E-01,1.376639E-02,4.427772E+03,3.027319E+02,2.712552E-01,2.118997E-02,4.427772E+03,1.897761E+02,2.712552E-01,1.328290E-02 
01:15:00,4.423451E+03,1.780122E+02,2.709905E-01,1.245945E-02,6.143909E+03,1.452477E+03,3.764753E-01,1.016655E-01,4.427854E+03,1.715210E+02,2.712602E-01,1.200508E-02,4.427783E+03,2.702081E+02,2.712559E-01,1.891320E-02,4.427783E+03,1.654458E+02,2.712559E-01,1.157983E-02 
01:30:00,4.423461E+03,1.541163E+02,2.709911E-01,1.078680E-02,6.143925E+03,1.417139E+03,3.764763E-01,9.919177E-02,4.427863E+03,1.477573E+02,2.712608E-01,1.034170E-02,4.427793E+03,2.396021E+02,2.712565E-01,1.677072E-02,4.427793E+03,1.424266E+02,2.712565E-01,9.968569E-03 
01:45:00,4.423469E+03,1.315969E+02,2.709916E-01,9.210535E-03,6.143939E+03,1.383434E+03,3.764771E-01,9.683243E-02,4.427872E+03,1.253750E+02,2.712614E-01,8.775039E-03,4.427802E+03,2.108682E+02,2.712571E-01,1.475934E-02,4.427802E+03,1.207104E+02,2.712571E-01,8.448536E-03 
02:00:00,4.423477E+03,1.104365E+02,2.709921E-01,7.729423E-03,6.143952E+03,1.351315E+03,3.764779E-01,9.458408E-02,4.427880E+03,1.043545E+02,2.712619E-01,7.303725E-03,4.427810E+03,1.839578E+02,2.712576E-01,1.287564E-02,4.427810E+03,1.002852E+02,2.712576E-01,7.018902E-03 
02:15:00,4.423484E+03,9.021145E+01,2.709926E-01,6.313812E-03,6.143963E+03,1.320316E+03,3.764786E-01,9.241415E-02,4.427887E+03,8.427045E+01,2.712623E-01,5.897989E-03,4.427817E+03,1.584167E+02,2.712580E-01,1.108782E-02,4.427817E+03,8.073301E+01,2.712580E-01,5.650396E-03 
02:30:00,4.423491E+03,7.090199E+01,2.709930E-01,4.962310E-03,6.143974E+03,1.290418E+03,3.764792E-01,9.032133E-02,4.427894E+03,6.510203E+01,2.712627E-01,4.556366E-03,4.427824E+03,1.341939E+02,2.712584E-01,9.392323E-03,4.427824E+03,6.203943E+01,2.712584E-01,4.342013E-03 
02:45:00,4.423497E+03,5.248637E+01,2.709933E-01,3.673394E-03,6.143983E+03,1.261603E+03,3.764798E-01,8.830426E-02,4.427900E+03,4.682645E+01,2.712631E-01,3.277260E-03,4.427829E+03,1.112379E+02,2.712587E-01,7.785525E-03,4.427829E+03,4.418757E+01,2.712587E-01,3.092567E-03 
03:00:00,4.423502E+03,3.494695E+01,2.709936E-01,2.445830E-03,6.143991E+03,1.233852E+03,3.764803E-01,8.636175E-02,4.427905E+03,2.942522E+01,2.712634E-01,2.059377E-03,4.427835E+03,8.950257E+01,2.712591E-01,6.264202E-03,4.427835E+03,2.716426E+01,2.712591E-01,1.901137E-03 
