Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,8.172618E-01,6.304881E-02,2.586882E+04,8.395823E+02 
00:30:00,8.172657E-01,6.129527E-02,2.586895E+04,8.081012E+02 
00:45:00,8.172693E-01,5.990699E-02,2.586906E+04,7.818523E+02 
01:00:00,8.172724E-01,5.984174E-02,2.586916E+04,7.730632E+02 
01:15:00,8.172751E-01,5.984174E-02,2.586925E+04,7.677715E+02 
01:30:00,8.172776E-01,5.984174E-02,2.586933E+04,7.624799E+02 
01:45:00,8.172798E-01,5.984174E-02,2.586940E+04,7.571882E+02 
02:00:00,8.172818E-01,5.984174E-02,2.586946E+04,7.518966E+02 
02:15:00,8.172836E-01,5.984174E-02,2.586951E+04,7.479278E+02 
02:30:00,8.172852E-01,5.984174E-02,2.586956E+04,7.439591E+02 
02:45:00,8.172866E-01,5.984174E-02,2.586961E+04,7.399903E+02 
03:00:00,8.172879E-01,5.984174E-02,2.586965E+04,7.360216E+02 
03:15:00,8.172891E-01,5.984174E-02,2.586969E+04,7.320528E+02 
03:30:00,8.172902E-01,5.984174E-02,2.586972E+04,7.280841E+02 
03:45:00,8.172911E-01,5.984174E-02,2.586975E+04,7.241154E+02 
04:00:00,8.172920E-01,5.984174E-02,2.586978E+04,7.201466E+02 
04:15:00,8.172928E-01,5.984174E-02,2.586981E+04,7.175008E+02 
04:30:00,8.172935E-01,5.984174E-02,2.586983E+04,7.148550E+02 
04:45:00,8.172942E-01,5.984174E-02,2.586985E+04,7.122091E+02 
05:00:00,8.172948E-01,5.984174E-02,2.586987E+04,7.095633E+02 
05:15:00,8.172954E-01,5.984174E-02,2.586989E+04,7.122091E+02 
05:30:00,8.172959E-01,5.984174E-02,2.586990E+04,7.148550E+02 
05:45:00,8.172964E-01,5.984174E-02,2.586992E+04,7.175008E+02 
06:00:00,8.172968E-01,6.535837E-02,2.586993E+04,7.865349E+02 
06:15:00,7.515772E-01,7.297316E-02,2.378971E+04,8.894651E+02 
06:30:00,6.858215E-01,8.383199E-02,2.170834E+04,1.034796E+03 
06:45:00,6.200646E-01,9.460338E-02,1.962693E+04,1.182394E+03 
07:00:00,5.542879E-01,1.047414E-01,1.754490E+04,1.325312E+03 
07:15:00,5.542189E-01,1.111263E-01,1.754272E+04,1.447864E+03 
07:30:00,5.541749E-01,1.200284E-01,1.754132E+04,1.608958E+03 
07:45:00,5.541209E-01,1.296184E-01,1.753961E+04,1.786223E+03 
