Time,THERMAL ZONE 5:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 1:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:15:00,2.480789E+03,1.176230E+02,1.519636E-01,8.233084E-03,2.489317E+03,1.921486E+02,1.524860E-01,1.345056E-02,2.489317E+03,1.290232E+02,1.524860E-01,9.031145E-03,7.329021E+02,1.227501E+02,4.491024E-02,8.591623E-03,2.480789E+03,1.356078E+02,1.519636E-01,9.492110E-03 
00:30:00,2.480800E+03,1.047220E+02,1.519643E-01,7.329993E-03,2.489328E+03,1.741655E+02,1.524867E-01,1.219157E-02,2.489328E+03,1.150919E+02,1.524867E-01,8.055919E-03,7.329099E+02,1.164773E+02,4.491072E-02,8.152546E-03,2.480800E+03,1.215513E+02,1.519643E-01,8.508107E-03 
00:45:00,2.480810E+03,9.229117E+01,1.519649E-01,6.459827E-03,2.489338E+03,1.569220E+02,1.524873E-01,1.098436E-02,2.489338E+03,1.017171E+02,1.524873E-01,7.119657E-03,7.329167E+02,1.104721E+02,4.491114E-02,7.732202E-03,2.480810E+03,1.080446E+02,1.519649E-01,7.562608E-03 
01:00:00,2.480819E+03,8.030912E+01,1.519654E-01,5.621085E-03,2.489347E+03,1.404132E+02,1.524878E-01,9.828612E-03,2.489347E+03,8.887100E+01,1.524878E-01,6.220420E-03,7.329228E+02,1.047177E+02,4.491151E-02,7.329413E-03,2.480819E+03,9.506276E+01,1.519654E-01,6.653852E-03 
01:15:00,2.480826E+03,6.943687E+01,1.519659E-01,4.860039E-03,2.489354E+03,1.253042E+02,1.524883E-01,8.770877E-03,2.489354E+03,7.720918E+01,1.524883E-01,5.404092E-03,7.329281E+02,9.962228E+01,4.491184E-02,6.972746E-03,2.480826E+03,8.326318E+01,1.519659E-01,5.827870E-03 
01:30:00,2.480833E+03,5.917601E+01,1.519663E-01,4.141807E-03,2.489361E+03,1.110965E+02,1.524887E-01,7.776269E-03,2.489361E+03,6.622832E+01,1.524887E-01,4.635449E-03,7.329329E+02,9.480286E+01,4.491213E-02,6.635405E-03,2.480833E+03,7.214499E+01,1.519663E-01,5.049605E-03 
01:45:00,2.480840E+03,4.951741E+01,1.519667E-01,3.465746E-03,2.489367E+03,9.777201E+01,1.524891E-01,6.843515E-03,2.489367E+03,5.591404E+01,1.524891E-01,3.913482E-03,7.329371E+02,9.024673E+01,4.491239E-02,6.316494E-03,2.480840E+03,6.169518E+01,1.519667E-01,4.318142E-03 
02:00:00,2.480845E+03,4.045023E+01,1.519670E-01,2.831095E-03,2.489373E+03,8.530774E+01,1.524894E-01,5.970998E-03,2.489373E+03,4.625049E+01,1.524894E-01,3.237079E-03,7.329408E+02,8.594235E+01,4.491262E-02,6.015207E-03,2.480845E+03,5.189902E+01,1.519670E-01,3.632447E-03 
02:15:00,2.480850E+03,3.180521E+01,1.519673E-01,2.226008E-03,2.489378E+03,7.352034E+01,1.524897E-01,5.145884E-03,2.489378E+03,3.706362E+01,1.524897E-01,2.594057E-03,7.329442E+02,8.184869E+01,4.491282E-02,5.728670E-03,2.480850E+03,4.258319E+01,1.519673E-01,2.980390E-03 
02:30:00,2.480854E+03,2.357129E+01,1.519676E-01,1.649707E-03,2.489382E+03,6.238246E+01,1.524900E-01,4.366255E-03,2.489382E+03,2.833773E+01,1.524900E-01,1.983315E-03,7.329471E+02,7.795612E+01,4.491300E-02,5.456211E-03,2.480854E+03,3.373204E+01,1.519676E-01,2.360871E-03 
