Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,1.559401E+00,6.050334E-01,2.068411E+04,6.071523E+03 
00:30:00,1.559408E+00,5.824916E-01,2.068420E+04,5.686400E+03 
00:45:00,1.559415E+00,5.608278E-01,2.068428E+04,5.321909E+03 
01:00:00,1.559421E+00,5.405948E-01,2.068436E+04,4.982426E+03 
01:15:00,1.559426E+00,5.219815E-01,2.068444E+04,4.715938E+03 
01:30:00,1.559431E+00,5.044311E-01,2.068451E+04,4.465629E+03 
01:45:00,1.559436E+00,4.879421E-01,2.068457E+04,4.230909E+03 
02:00:00,1.559441E+00,4.725173E-01,2.068463E+04,4.011221E+03 
02:15:00,1.559445E+00,4.579446E-01,2.068469E+04,3.825045E+03 
02:30:00,1.559449E+00,4.442184E-01,2.068474E+04,3.649798E+03 
02:45:00,1.559453E+00,4.313086E-01,2.068479E+04,3.484895E+03 
03:00:00,1.559457E+00,4.191913E-01,2.068484E+04,3.329807E+03 
03:15:00,1.559460E+00,4.076103E-01,2.068489E+04,3.182213E+03 
03:30:00,1.559464E+00,3.964224E-01,2.068493E+04,3.040793E+03 
03:45:00,1.559467E+00,3.855856E-01,2.068497E+04,2.905071E+03 
04:00:00,1.559470E+00,3.750280E-01,2.068501E+04,2.774371E+03 
04:15:00,1.559473E+00,3.649678E-01,2.068505E+04,2.666757E+03 
04:30:00,1.559475E+00,3.554398E-01,2.068509E+04,2.564814E+03 
04:45:00,1.559478E+00,3.462610E-01,2.068512E+04,2.467093E+03 
05:00:00,1.559480E+00,3.374393E-01,2.068516E+04,2.373552E+03 
05:15:00,1.559483E+00,3.335914E-01,2.068519E+04,2.376822E+03 
05:30:00,1.559485E+00,3.376641E-01,2.068522E+04,2.436547E+03 
05:45:00,1.559487E+00,3.516147E-01,2.068525E+04,2.569189E+03 
06:00:00,1.559489E+00,3.775069E-01,2.068528E+04,2.792709E+03 
06:15:00,1.468173E+00,4.519719E-01,1.947404E+04,3.487441E+03 
06:30:00,1.376802E+00,5.404359E-01,1.826208E+04,4.342049E+03 
06:45:00,1.285423E+00,6.375481E-01,1.705003E+04,5.325207E+03 
07:00:00,1.194011E+00,7.390273E-01,1.583752E+04,6.408050E+03 
07:15:00,1.193896E+00,8.014510E-01,1.583600E+04,7.568833E+03 
07:30:00,1.193820E+00,8.613825E-01,1.583499E+04,8.800658E+03 
07:45:00,1.193737E+00,9.187051E-01,1.583389E+04,1.009647E+04 
08:00:00,1.193676E+00,9.722357E-01,1.583308E+04,1.143629E+04 
08:15:00,1.193625E+00,1.023693E+00,1.583240E+04,1.292597E+04 
08:30:00,1.193581E+00,1.081224E+00,1.583182E+04,1.458650E+04 
08:45:00,1.193543E+00,1.139632E+00,1.583131E+04,1.635903E+04 
09:00:00,1.193510E+00,1.198752E+00,1.583088E+04,1.824331E+04 
09:15:00,1.193482E+00,1.257481E+00,1.583050E+04,2.010909E+04 
09:30:00,1.193457E+00,1.314876E+00,1.583018E+04,2.204332E+04 
09:45:00,1.193436E+00,1.371603E+00,1.582989E+04,2.405454E+04 
10:00:00,1.193417E+00,1.427091E+00,1.582964E+04,2.613079E+04 
10:15:00,1.193400E+00,1.481306E+00,1.582942E+04,2.813383E+04 
