Time,THERMAL ZONE 4:SACRAMENTO EXECUTIVE ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:SACRAMENTO EXECUTIVE ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:SACRAMENTO EXECUTIVE ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:SACRAMENTO EXECUTIVE ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:SACRAMENTO EXECUTIVE ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:SACRAMENTO EXECUTIVE ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:SACRAMENTO EXECUTIVE ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:SACRAMENTO EXECUTIVE ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:SACRAMENTO EXECUTIVE ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:SACRAMENTO EXECUTIVE ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:SACRAMENTO EXECUTIVE ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:SACRAMENTO EXECUTIVE ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 1:SACRAMENTO EXECUTIVE ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:SACRAMENTO EXECUTIVE ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:SACRAMENTO EXECUTIVE ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:SACRAMENTO EXECUTIVE ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 6:SACRAMENTO EXECUTIVE ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6:SACRAMENTO EXECUTIVE ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 6:SACRAMENTO EXECUTIVE ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6:SACRAMENTO EXECUTIVE ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 10:SACRAMENTO EXECUTIVE ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 10:SACRAMENTO EXECUTIVE ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 10:SACRAMENTO EXECUTIVE ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 10:SACRAMENTO EXECUTIVE ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 11:SACRAMENTO EXECUTIVE ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 11:SACRAMENTO EXECUTIVE ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 11:SACRAMENTO EXECUTIVE ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 11:SACRAMENTO EXECUTIVE ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 12:SACRAMENTO EXECUTIVE ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 12:SACRAMENTO EXECUTIVE ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 12:SACRAMENTO EXECUTIVE ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 12:SACRAMENTO EXECUTIVE ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 7:SACRAMENTO EXECUTIVE ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 7:SACRAMENTO EXECUTIVE ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 7:SACRAMENTO EXECUTIVE ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 7:SACRAMENTO EXECUTIVE ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 9:SACRAMENTO EXECUTIVE ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 9:SACRAMENTO EXECUTIVE ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 9:SACRAMENTO EXECUTIVE ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 9:SACRAMENTO EXECUTIVE ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 14:SACRAMENTO EXECUTIVE ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 14:SACRAMENTO EXECUTIVE ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 14:SACRAMENTO EXECUTIVE ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 14:SACRAMENTO EXECUTIVE ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 8:SACRAMENTO EXECUTIVE ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 8:SACRAMENTO EXECUTIVE ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 8:SACRAMENTO EXECUTIVE ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 8:SACRAMENTO EXECUTIVE ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 13:SACRAMENTO EXECUTIVE ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 13:SACRAMENTO EXECUTIVE ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 13:SACRAMENTO EXECUTIVE ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 13:SACRAMENTO EXECUTIVE ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 15:SACRAMENTO EXECUTIVE ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 15:SACRAMENTO EXECUTIVE ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 15:SACRAMENTO EXECUTIVE ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 15:SACRAMENTO EXECUTIVE ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:SACRAMENTO EXECUTIVE ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:SACRAMENTO EXECUTIVE ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:SACRAMENTO EXECUTIVE ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:SACRAMENTO EXECUTIVE ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:15:00,1.426325E+03,5.408695E+02,8.740257E-02,3.785365E-02,1.552902E+03,1.759855E+02,9.515911E-02,1.231655E-02,1.785007E+03,6.102118E+02,1.093713E-01,4.270683E-02,1.426325E+03,5.863178E+02,8.740257E-02,4.103437E-02,1.781125E+03,5.751684E+02,1.091334E-01,4.025426E-02,1.422289E+03,8.470582E+02,8.715529E-02,5.928248E-02,2.486197E+02,6.902997E+02,1.523836E-02,4.831160E-02,1.556515E+03,5.472379E+01,9.538051E-02,3.829866E-03,1.422289E+03,5.475157E+02,8.715529E-02,3.831879E-02,6.299329E+02,7.381657E+02,3.860438E-02,5.166174E-02,4.319320E+02,2.233928E+02,2.647391E-02,1.563474E-02,1.781125E+03,8.421753E+02,1.091334E-01,5.894121E-02,1.785007E+03,5.704632E+02,1.093713E-01,3.992496E-02,1.552902E+03,4.646605E+01,9.515911E-02,3.251942E-03,1.556515E+03,2.960935E+01,9.538051E-02,2.072217E-03 
00:30:00,1.426331E+03,5.164053E+02,8.740298E-02,3.614137E-02,1.552906E+03,1.470457E+02,9.515936E-02,1.029111E-02,1.785016E+03,5.797253E+02,1.093718E-01,4.057309E-02,1.426331E+03,5.593544E+02,8.740298E-02,3.914719E-02,1.781134E+03,5.463843E+02,1.091340E-01,3.823966E-02,1.422296E+03,8.044630E+02,8.715569E-02,5.630132E-02,2.486229E+02,6.825714E+02,1.523856E-02,4.777035E-02,1.556519E+03,3.142901E+01,9.538076E-02,2.199561E-03,1.422296E+03,5.227824E+02,8.715569E-02,3.658767E-02,6.299393E+02,7.258759E+02,3.860477E-02,5.080138E-02,4.319346E+02,2.139917E+02,2.647407E-02,1.497667E-02,1.781134E+03,7.980027E+02,1.091340E-01,5.584964E-02,1.785016E+03,5.420273E+02,1.093718E-01,3.793473E-02,1.552906E+03,2.519696E+01,9.515936E-02,1.763409E-03,1.556519E+03,1.373428E+01,9.538076E-02,9.611917E-04 
00:45:00,1.426337E+03,4.929453E+02,8.740335E-02,3.449941E-02,1.552910E+03,1.178417E+02,9.515958E-02,8.247205E-03,1.785024E+03,5.502826E+02,1.093723E-01,3.851244E-02,1.426337E+03,5.334854E+02,8.740335E-02,3.733664E-02,1.781142E+03,5.185919E+02,1.091345E-01,3.629450E-02,1.422302E+03,7.637868E+02,8.715607E-02,5.345450E-02,2.486259E+02,6.750815E+02,1.523874E-02,4.724590E-02,1.556523E+03,1.459382E+01,9.538099E-02,1.021345E-03,1.422302E+03,4.990581E+02,8.715607E-02,3.492723E-02,6.299453E+02,7.138669E+02,3.860513E-02,4.996076E-02,4.319370E+02,2.051195E+02,2.647421E-02,1.435564E-02,1.781142E+03,7.556739E+02,1.091345E-01,5.288714E-02,1.785024E+03,5.145374E+02,1.093723E-01,3.601075E-02,1.552910E+03,1.042621E+01,9.515958E-02,7.296751E-04,1.556523E+03,3.913099E+00,9.538099E-02,2.738566E-04 
01:00:00,1.426343E+03,4.704876E+02,8.740371E-02,3.292763E-02,1.552913E+03,8.888589E+01,9.515979E-02,6.220693E-03,1.785032E+03,5.218725E+02,1.093728E-01,3.652406E-02,1.426343E+03,5.086970E+02,8.740371E-02,3.560174E-02,1.781149E+03,4.917793E+02,1.091349E-01,3.441793E-02,1.422308E+03,7.249577E+02,8.715643E-02,5.073695E-02,2.486288E+02,6.678143E+02,1.523892E-02,4.673710E-02,1.556526E+03,4.058109E+00,9.538119E-02,2.840049E-04,1.422308E+03,4.763360E+02,8.715643E-02,3.333693E-02,6.299508E+02,7.021268E+02,3.860547E-02,4.913901E-02,4.319391E+02,1.967215E+02,2.647434E-02,1.376782E-02,1.781149E+03,7.151206E+02,1.091349E-01,5.004890E-02,1.785032E+03,4.879910E+02,1.093728E-01,3.415281E-02,1.552913E+03,1.972650E+00,9.515979E-02,1.380548E-04,1.556526E+03,0.000000E+00,9.538119E-02,0.000000E+00 
01:15:00,1.426349E+03,4.499121E+02,8.740405E-02,3.148758E-02,1.552916E+03,6.202748E+01,9.515997E-02,4.340988E-03,1.785039E+03,4.954792E+02,1.093733E-01,3.467683E-02,1.426349E+03,4.858644E+02,8.740405E-02,3.400373E-02,1.781156E+03,4.669229E+02,1.091354E-01,3.267827E-02,1.422313E+03,6.888042E+02,8.715677E-02,4.820665E-02,2.486315E+02,6.613983E+02,1.523908E-02,4.628790E-02,1.556529E+03,0.000000E+00,9.538138E-02,0.000000E+00,1.422313E+03,4.554916E+02,8.715677E-02,3.187807E-02,6.299558E+02,6.914025E+02,3.860578E-02,4.838836E-02,4.319410E+02,1.893822E+02,2.647446E-02,1.325411E-02,1.781156E+03,6.772791E+02,1.091354E-01,4.740043E-02,1.785039E+03,4.633720E+02,1.093733E-01,3.242975E-02,1.552916E+03,0.000000E+00,9.515997E-02,0.000000E+00,1.556529E+03,0.000000E+00,9.538138E-02,0.000000E+00 
01:30:00,1.426354E+03,4.306920E+02,8.740437E-02,3.014240E-02,1.552919E+03,3.637457E+01,9.516014E-02,2.545664E-03,1.785045E+03,4.705590E+02,1.093737E-01,3.293271E-02,1.426354E+03,4.644433E+02,8.740437E-02,3.250450E-02,1.781163E+03,4.434848E+02,1.091358E-01,3.103788E-02,1.422318E+03,6.547309E+02,8.715709E-02,4.582194E-02,2.486341E+02,6.551999E+02,1.523924E-02,4.585396E-02,1.556532E+03,0.000000E+00,9.538155E-02,0.000000E+00,1.422318E+03,4.359934E+02,8.715709E-02,3.051342E-02,6.299606E+02,6.810667E+02,3.860607E-02,4.766490E-02,4.319428E+02,1.823799E+02,2.647457E-02,1.276400E-02,1.781163E+03,6.415564E+02,1.091358E-01,4.490025E-02,1.785045E+03,4.401484E+02,1.093737E-01,3.080437E-02,1.552919E+03,0.000000E+00,9.516014E-02,0.000000E+00,1.556532E+03,0.000000E+00,9.538155E-02,0.000000E+00 
01:45:00,1.426359E+03,4.128526E+02,8.740468E-02,2.889386E-02,1.552921E+03,1.775980E+01,9.516030E-02,1.242912E-03,1.785052E+03,4.471209E+02,1.093740E-01,3.129232E-02,1.426359E+03,4.444400E+02,8.740468E-02,3.110452E-02,1.781169E+03,4.214759E+02,1.091362E-01,2.949752E-02,1.422323E+03,6.226932E+02,8.715740E-02,4.357970E-02,2.486366E+02,6.492053E+02,1.523939E-02,4.543431E-02,1.556535E+03,0.000000E+00,9.538171E-02,0.000000E+00,1.422323E+03,4.178596E+02,8.715740E-02,2.924427E-02,6.299650E+02,6.711107E+02,3.860634E-02,4.696805E-02,4.319443E+02,1.756048E+02,2.647466E-02,1.228980E-02,1.781169E+03,6.079145E+02,1.091362E-01,4.254573E-02,1.785052E+03,4.183365E+02,1.093740E-01,2.927780E-02,1.552921E+03,0.000000E+00,9.516030E-02,0.000000E+00,1.556535E+03,0.000000E+00,9.538171E-02,0.000000E+00 
02:00:00,1.426364E+03,3.964350E+02,8.740497E-02,2.774484E-02,1.552924E+03,5.893805E+00,9.516044E-02,4.124745E-04,1.785058E+03,4.251738E+02,1.093744E-01,2.975630E-02,1.426364E+03,4.258654E+02,8.740497E-02,2.980453E-02,1.781175E+03,4.009081E+02,1.091365E-01,2.805803E-02,1.422328E+03,5.926505E+02,8.715769E-02,4.147711E-02,2.486389E+02,6.434080E+02,1.523954E-02,4.502850E-02,1.556537E+03,0.000000E+00,9.538185E-02,0.000000E+00,1.422328E+03,4.011189E+02,8.715769E-02,2.807264E-02,6.299692E+02,6.615327E+02,3.860660E-02,4.629768E-02,4.319457E+02,1.689670E+02,2.647475E-02,1.182521E-02,1.781175E+03,5.763188E+02,1.091365E-01,4.033443E-02,1.785058E+03,3.979528E+02,1.093744E-01,2.785120E-02,1.552924E+03,0.000000E+00,9.516044E-02,0.000000E+00,1.556537E+03,0.000000E+00,9.538185E-02,0.000000E+00 
02:15:00,1.426368E+03,3.812422E+02,8.740525E-02,2.668155E-02,1.552926E+03,0.000000E+00,9.516058E-02,0.000000E+00,1.785063E+03,4.043418E+02,1.093748E-01,2.829832E-02,1.426368E+03,4.084575E+02,8.740525E-02,2.858622E-02,1.781181E+03,3.814176E+02,1.091369E-01,2.669394E-02,1.422333E+03,5.642833E+02,8.715797E-02,3.949179E-02,2.486412E+02,6.378044E+02,1.523967E-02,4.463627E-02,1.556539E+03,0.000000E+00,9.538198E-02,0.000000E+00,1.422333E+03,3.855470E+02,8.715797E-02,2.698282E-02,6.299731E+02,6.522209E+02,3.860683E-02,4.564596E-02,4.319470E+02,1.624008E+02,2.647483E-02,1.136566E-02,1.781181E+03,5.463507E+02,1.091369E-01,3.823705E-02,1.785063E+03,3.786380E+02,1.093748E-01,2.649941E-02,1.552926E+03,0.000000E+00,9.516058E-02,0.000000E+00,1.556539E+03,0.000000E+00,9.538198E-02,0.000000E+00 
02:30:00,1.426372E+03,3.673854E+02,8.740551E-02,2.571177E-02,1.552928E+03,0.000000E+00,9.516070E-02,0.000000E+00,1.785069E+03,3.845919E+02,1.093751E-01,2.691609E-02,1.426372E+03,3.922039E+02,8.740551E-02,2.744869E-02,1.781186E+03,3.629715E+02,1.091372E-01,2.540296E-02,1.422337E+03,5.375056E+02,8.715823E-02,3.761773E-02,2.486433E+02,6.323910E+02,1.523981E-02,4.425737E-02,1.556541E+03,0.000000E+00,9.538210E-02,0.000000E+00,1.422337E+03,3.712352E+02,8.715823E-02,2.598119E-02,6.299767E+02,6.431757E+02,3.860706E-02,4.501292E-02,4.319482E+02,1.558612E+02,2.647490E-02,1.090795E-02,1.781186E+03,5.179340E+02,1.091372E-01,3.624825E-02,1.785069E+03,3.603642E+02,1.093751E-01,2.522048E-02,1.552928E+03,0.000000E+00,9.516070E-02,0.000000E+00,1.556541E+03,0.000000E+00,9.538210E-02,0.000000E+00 
