Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,9.870354E+00,4.308316E+00,2.340721E+05,5.779980E+04 
00:30:00,9.870419E+00,4.216996E+00,2.340736E+05,5.597717E+04 
00:45:00,9.870480E+00,4.129135E+00,2.340751E+05,5.422585E+04 
01:00:00,9.870537E+00,4.044598E+00,2.340765E+05,5.254262E+04 
01:15:00,9.870591E+00,3.968194E+00,2.340777E+05,5.117523E+04 
01:30:00,9.870642E+00,3.896314E+00,2.340789E+05,4.988021E+04 
01:45:00,9.870690E+00,3.828247E+00,2.340801E+05,4.864723E+04 
02:00:00,9.870736E+00,3.763912E+00,2.340812E+05,4.747417E+04 
02:15:00,9.870779E+00,3.702470E+00,2.340822E+05,4.643690E+04 
02:30:00,9.870820E+00,3.643829E+00,2.340832E+05,4.544329E+04 
02:45:00,9.870860E+00,3.587909E+00,2.340841E+05,4.449172E+04 
03:00:00,9.870897E+00,3.534641E+00,2.340850E+05,4.358076E+04 
03:15:00,9.870933E+00,3.483181E+00,2.340858E+05,4.269952E+04 
03:30:00,9.870967E+00,3.433452E+00,2.340867E+05,4.184667E+04 
03:45:00,9.871000E+00,3.385384E+00,2.340874E+05,4.102100E+04 
04:00:00,9.871031E+00,3.338917E+00,2.340882E+05,4.022141E+04 
04:15:00,9.871061E+00,3.294781E+00,2.340889E+05,3.953413E+04 
04:30:00,9.871090E+00,3.252949E+00,2.340896E+05,3.887856E+04 
04:45:00,9.871118E+00,3.213404E+00,2.340902E+05,3.825416E+04 
05:00:00,9.871144E+00,3.178857E+00,2.340908E+05,3.769276E+04 
05:15:00,9.871169E+00,3.160559E+00,2.340914E+05,3.762506E+04 
05:30:00,9.871194E+00,3.170516E+00,2.340920E+05,3.789334E+04 
05:45:00,9.871217E+00,3.216322E+00,2.340926E+05,3.859270E+04 
06:00:00,9.871239E+00,3.300340E+00,2.340931E+05,3.975670E+04 
06:15:00,9.191488E+00,3.557936E+00,2.179730E+05,4.344789E+04 
06:30:00,8.511256E+00,3.845963E+00,2.018416E+05,4.760089E+04 
06:45:00,7.831005E+00,4.156171E+00,1.857096E+05,5.212729E+04 
07:00:00,7.150489E+00,4.479157E+00,1.695714E+05,5.691862E+04 
07:15:00,7.149584E+00,4.674808E+00,1.695500E+05,6.128151E+04 
07:30:00,7.149037E+00,4.870384E+00,1.695370E+05,6.580047E+04 
07:45:00,7.148399E+00,5.063574E+00,1.695219E+05,7.044324E+04 
08:00:00,7.147928E+00,5.258878E+00,1.695107E+05,7.527140E+04 
08:15:00,7.147532E+00,5.455787E+00,1.695013E+05,8.053764E+04 
08:30:00,7.147185E+00,5.657505E+00,1.694931E+05,8.605373E+04 
08:45:00,7.146882E+00,5.867335E+00,1.694859E+05,9.187785E+04 
09:00:00,7.146618E+00,6.082277E+00,1.694796E+05,9.797261E+04 
09:15:00,7.146389E+00,6.299385E+00,1.694742E+05,1.039986E+05 
09:30:00,7.146189E+00,6.515779E+00,1.694695E+05,1.101868E+05 
09:45:00,7.146014E+00,6.727446E+00,1.694653E+05,1.164669E+05 
10:00:00,7.145858E+00,6.931275E+00,1.694616E+05,1.227782E+05 
10:15:00,7.145718E+00,7.124581E+00,1.694583E+05,1.287259E+05 
10:30:00,7.145593E+00,7.305551E+00,1.694553E+05,1.345834E+05 
10:45:00,7.145479E+00,7.472405E+00,1.694526E+05,1.403040E+05 
11:00:00,7.145376E+00,7.622530E+00,1.694502E+05,1.458228E+05 
11:15:00,7.145281E+00,7.751072E+00,1.694479E+05,1.501122E+05 
11:30:00,7.145194E+00,7.853042E+00,1.694459E+05,1.539415E+05 
11:45:00,7.145114E+00,7.924379E+00,1.694440E+05,1.572111E+05 
12:00:00,7.145040E+00,7.966036E+00,1.694422E+05,1.599187E+05 
12:15:00,7.144970E+00,7.993174E+00,1.694406E+05,1.619735E+05 
12:30:00,7.144906E+00,8.027875E+00,1.694390E+05,1.641933E+05 
12:45:00,7.144845E+00,8.088683E+00,1.694376E+05,1.669650E+05 
13:00:00,7.144788E+00,8.185087E+00,1.694362E+05,1.705012E+05 
13:15:00,7.144735E+00,8.310848E+00,1.694350E+05,1.741022E+05 
13:30:00,7.144684E+00,8.451707E+00,1.694338E+05,1.780509E+05 
13:45:00,7.144636E+00,8.595155E+00,1.694326E+05,1.820878E+05 
14:00:00,7.144591E+00,8.733411E+00,1.694316E+05,1.860479E+05 
14:15:00,7.144548E+00,8.861245E+00,1.694305E+05,1.887711E+05 
14:30:00,7.144507E+00,8.975783E+00,1.694296E+05,1.912111E+05 
14:45:00,7.144467E+00,9.075131E+00,1.694286E+05,1.933275E+05 
15:00:00,7.144430E+00,9.157259E+00,1.694278E+05,1.950771E+05 
15:15:00,7.144395E+00,9.219464E+00,1.694269E+05,1.950960E+05 
15:30:00,7.144361E+00,9.259773E+00,1.694261E+05,1.946370E+05 
15:45:00,7.144328E+00,9.276691E+00,1.694253E+05,1.936783E+05 
16:00:00,7.144297E+00,9.270156E+00,1.694246E+05,1.922284E+05 
16:15:00,7.144267E+00,9.243990E+00,1.694239E+05,1.899395E+05 
16:30:00,7.144239E+00,9.199248E+00,1.694232E+05,1.872823E+05 
16:45:00,7.144212E+00,9.142978E+00,1.694226E+05,1.844095E+05 
17:00:00,7.144185E+00,9.080093E+00,1.694219E+05,1.814258E+05 
17:15:00,7.144160E+00,9.011323E+00,1.694214E+05,1.779238E+05 
17:30:00,7.144136E+00,8.936290E+00,1.694208E+05,1.743320E+05 
17:45:00,7.144113E+00,8.846928E+00,1.694202E+05,1.704996E+05 
18:00:00,7.144091E+00,8.735277E+00,1.694197E+05,1.662851E+05 
18:15:00,7.824022E+00,8.587514E+00,1.855440E+05,1.604305E+05 
18:30:00,8.504129E+00,8.401470E+00,2.016726E+05,1.539789E+05 
18:45:00,9.184506E+00,8.178251E+00,2.178075E+05,1.469910E+05 
19:00:00,9.865100E+00,7.913335E+00,2.339475E+05,1.394266E+05 
19:15:00,9.865850E+00,7.624889E+00,2.339653E+05,1.323638E+05 
19:30:00,9.866517E+00,7.333016E+00,2.339811E+05,1.253922E+05 
19:45:00,9.867019E+00,7.055210E+00,2.339930E+05,1.188092E+05 
20:00:00,9.867406E+00,6.810710E+00,2.340022E+05,1.129227E+05 
20:15:00,9.867774E+00,6.603595E+00,2.340109E+05,1.080853E+05 
20:30:00,9.868125E+00,6.424195E+00,2.340193E+05,1.037836E+05 
20:45:00,9.868438E+00,6.263144E+00,2.340267E+05,9.985070E+04 
21:00:00,9.868705E+00,6.115643E+00,2.340330E+05,9.619941E+04 
