Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,2.013846E+00,2.821270E-01,4.735295E+04,3.661657E+03 
00:30:00,2.013853E+00,2.779588E-01,4.735312E+04,3.563986E+03 
00:45:00,2.013860E+00,2.768820E-01,4.735328E+04,3.506776E+03 
01:00:00,2.013866E+00,2.768820E-01,4.735342E+04,3.463373E+03 
01:15:00,2.013871E+00,2.768820E-01,4.735354E+04,3.434437E+03 
01:30:00,2.013876E+00,2.768820E-01,4.735365E+04,3.405501E+03 
01:45:00,2.013880E+00,2.768820E-01,4.735375E+04,3.376566E+03 
02:00:00,2.013884E+00,2.768820E-01,4.735384E+04,3.347630E+03 
02:15:00,2.013887E+00,2.768820E-01,4.735392E+04,3.325928E+03 
02:30:00,2.013890E+00,2.768820E-01,4.735399E+04,3.304227E+03 
02:45:00,2.013893E+00,2.768820E-01,4.735405E+04,3.282525E+03 
03:00:00,2.013895E+00,2.768820E-01,4.735411E+04,3.260823E+03 
03:15:00,2.013897E+00,2.768820E-01,4.735416E+04,3.239122E+03 
03:30:00,2.013899E+00,2.768820E-01,4.735421E+04,3.217420E+03 
03:45:00,2.013901E+00,2.768820E-01,4.735425E+04,3.195718E+03 
04:00:00,2.013903E+00,2.768820E-01,4.735429E+04,3.174016E+03 
04:15:00,2.013905E+00,2.768820E-01,4.735433E+04,3.159549E+03 
04:30:00,2.013906E+00,2.768820E-01,4.735436E+04,3.145081E+03 
04:45:00,2.013907E+00,2.768820E-01,4.735439E+04,3.130613E+03 
05:00:00,2.013908E+00,2.768820E-01,4.735442E+04,3.116145E+03 
05:15:00,2.013910E+00,2.768820E-01,4.735445E+04,3.130613E+03 
05:30:00,2.013911E+00,2.768820E-01,4.735447E+04,3.145081E+03 
05:45:00,2.013911E+00,2.768820E-01,4.735449E+04,3.159549E+03 
06:00:00,2.013912E+00,2.768820E-01,4.735451E+04,3.174016E+03 
06:15:00,1.853119E+00,2.768820E-01,4.357367E+04,3.224654E+03 
06:30:00,1.692164E+00,2.877522E-01,3.978903E+04,3.403877E+03 
06:45:00,1.531230E+00,3.098785E-01,3.600488E+04,3.722285E+03 
07:00:00,1.370230E+00,3.416778E-01,3.221916E+04,4.166748E+03 
07:15:00,1.369984E+00,3.612337E-01,3.221337E+04,4.565673E+03 
07:30:00,1.369868E+00,3.791340E-01,3.221066E+04,4.960308E+03 
07:45:00,1.369705E+00,3.954168E-01,3.220683E+04,5.348964E+03 
08:00:00,1.369585E+00,4.140856E-01,3.220400E+04,5.785419E+03 
08:15:00,1.369485E+00,4.403425E-01,3.220165E+04,6.370856E+03 
08:30:00,1.369399E+00,4.670628E-01,3.219962E+04,6.989294E+03 
