Time,THERMAL ZONE 5:BALTIMORE BLT WASHNGTN INTL ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:BALTIMORE BLT WASHNGTN INTL ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:BALTIMORE BLT WASHNGTN INTL ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:BALTIMORE BLT WASHNGTN INTL ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:BALTIMORE BLT WASHNGTN INTL ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:BALTIMORE BLT WASHNGTN INTL ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:BALTIMORE BLT WASHNGTN INTL ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:BALTIMORE BLT WASHNGTN INTL ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:BALTIMORE BLT WASHNGTN INTL ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:BALTIMORE BLT WASHNGTN INTL ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:BALTIMORE BLT WASHNGTN INTL ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:BALTIMORE BLT WASHNGTN INTL ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:BALTIMORE BLT WASHNGTN INTL ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:BALTIMORE BLT WASHNGTN INTL ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:BALTIMORE BLT WASHNGTN INTL ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:BALTIMORE BLT WASHNGTN INTL ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 1:BALTIMORE BLT WASHNGTN INTL ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:BALTIMORE BLT WASHNGTN INTL ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:BALTIMORE BLT WASHNGTN INTL ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:BALTIMORE BLT WASHNGTN INTL ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:15:00,4.738375E+03,2.510066E+02,2.902823E-01,1.756874E-02,7.355770E+03,1.841985E+03,4.507315E-01,1.289296E-01,4.731974E+03,2.421646E+02,2.898902E-01,1.694981E-02,4.731974E+03,2.689358E+02,2.898902E-01,1.882379E-02,4.738375E+03,3.964807E+02,2.902823E-01,2.775232E-02 
00:30:00,4.738392E+03,2.195011E+02,2.902834E-01,1.536342E-02,7.355800E+03,1.790208E+03,4.507334E-01,1.253050E-01,4.731991E+03,2.115393E+02,2.898912E-01,1.480612E-02,4.731991E+03,2.365073E+02,2.898912E-01,1.655384E-02,4.738392E+03,3.545606E+02,2.902834E-01,2.481779E-02 
00:45:00,4.738407E+03,1.890842E+02,2.902843E-01,1.323433E-02,7.355827E+03,1.739715E+03,4.507350E-01,1.217705E-01,4.732006E+03,1.818888E+02,2.898922E-01,1.273068E-02,4.732006E+03,2.052028E+02,2.898922E-01,1.436260E-02,4.738407E+03,3.144429E+02,2.902843E-01,2.200946E-02 
01:00:00,4.738421E+03,1.597192E+02,2.902851E-01,1.117890E-02,7.355850E+03,1.690476E+03,4.507364E-01,1.183237E-01,4.732019E+03,1.531908E+02,2.898930E-01,1.072193E-02,4.732019E+03,1.749878E+02,2.898930E-01,1.224764E-02,4.738421E+03,2.760634E+02,2.902851E-01,1.932284E-02 
01:15:00,4.738433E+03,1.331795E+02,2.902859E-01,9.321242E-03,7.355871E+03,1.648808E+03,4.507377E-01,1.154069E-01,4.732031E+03,1.272302E+02,2.898937E-01,8.904827E-03,4.732031E+03,1.476363E+02,2.898937E-01,1.033314E-02,4.738433E+03,2.411602E+02,2.902859E-01,1.687959E-02 
01:30:00,4.738443E+03,1.081570E+02,2.902865E-01,7.569831E-03,7.355889E+03,1.609150E+03,4.507388E-01,1.126307E-01,4.732042E+03,1.027086E+02,2.898944E-01,7.188484E-03,4.732042E+03,1.218408E+02,2.898944E-01,8.527606E-03,4.738443E+03,2.083903E+02,2.902865E-01,1.458573E-02 
01:45:00,4.738453E+03,8.462937E+01,2.902871E-01,5.923081E-03,7.355906E+03,1.571401E+03,4.507398E-01,1.099883E-01,4.732052E+03,7.961311E+01,2.898950E-01,5.571987E-03,4.732052E+03,9.757865E+01,2.898950E-01,6.829425E-03,4.738453E+03,1.776913E+02,2.902871E-01,1.243688E-02 
02:00:00,4.738461E+03,6.257187E+01,2.902876E-01,4.379264E-03,7.355920E+03,1.535499E+03,4.507407E-01,1.074751E-01,4.732060E+03,5.792708E+01,2.898955E-01,4.054176E-03,4.732060E+03,7.482446E+01,2.898955E-01,5.236826E-03,4.738461E+03,1.489999E+02,2.902876E-01,1.042859E-02 
02:15:00,4.738469E+03,4.151347E+01,2.902881E-01,2.905407E-03,7.355933E+03,1.500859E+03,4.507415E-01,1.050504E-01,4.732068E+03,3.718710E+01,2.898960E-01,2.602612E-03,4.732068E+03,5.310639E+01,2.898960E-01,3.716781E-03,4.738469E+03,1.218080E+02,2.902881E-01,8.525319E-03 
02:30:00,4.738476E+03,2.321958E+01,2.902885E-01,1.625058E-03,7.355944E+03,1.467460E+03,4.507422E-01,1.027125E-01,4.732075E+03,2.009052E+01,2.898964E-01,1.406063E-03,4.732075E+03,3.239728E+01,2.898964E-01,2.267384E-03,4.738476E+03,9.605285E+01,2.902885E-01,6.722639E-03 
