Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,1.751002E+00,3.007142E-01,3.712565E+04,4.568286E+03 
00:30:00,1.751009E+00,2.871946E-01,3.712579E+04,4.323078E+03 
00:45:00,1.751014E+00,2.741300E-01,3.712591E+04,4.088406E+03 
01:00:00,1.751019E+00,2.655822E-01,3.712602E+04,3.924094E+03 
01:15:00,1.751024E+00,2.601099E-01,3.712611E+04,3.819191E+03 
01:30:00,1.751028E+00,2.549234E-01,3.712620E+04,3.719472E+03 
01:45:00,1.751031E+00,2.500136E-01,3.712627E+04,3.624722E+03 
02:00:00,1.751035E+00,2.471445E-01,3.712634E+04,3.560278E+03 
02:15:00,1.751037E+00,2.447156E-01,3.712640E+04,3.508320E+03 
02:30:00,1.751040E+00,2.423754E-01,3.712645E+04,3.457965E+03 
02:45:00,1.751042E+00,2.409908E-01,3.712650E+04,3.421503E+03 
03:00:00,1.751044E+00,2.409908E-01,3.712655E+04,3.404794E+03 
03:15:00,1.751046E+00,2.409908E-01,3.712659E+04,3.388085E+03 
03:30:00,1.751048E+00,2.409908E-01,3.712662E+04,3.371376E+03 
03:45:00,1.751050E+00,2.409908E-01,3.712666E+04,3.354666E+03 
04:00:00,1.751051E+00,2.409908E-01,3.712669E+04,3.337957E+03 
04:15:00,1.751052E+00,2.409908E-01,3.712672E+04,3.326818E+03 
04:30:00,1.751054E+00,2.409908E-01,3.712674E+04,3.315678E+03 
04:45:00,1.751055E+00,2.409908E-01,3.712676E+04,3.304539E+03 
05:00:00,1.751056E+00,2.409908E-01,3.712678E+04,3.293399E+03 
05:15:00,1.751057E+00,2.409908E-01,3.712680E+04,3.304539E+03 
05:30:00,1.751057E+00,2.409908E-01,3.712682E+04,3.315678E+03 
05:45:00,1.751058E+00,2.409908E-01,3.712684E+04,3.326818E+03 
06:00:00,1.751059E+00,2.422428E-01,3.712686E+04,3.355298E+03 
06:15:00,1.617690E+00,2.614464E-01,3.429910E+04,3.663584E+03 
06:30:00,1.484195E+00,2.906192E-01,3.146867E+04,4.119393E+03 
06:45:00,1.350712E+00,3.251832E-01,2.863850E+04,4.661929E+03 
07:00:00,1.217174E+00,3.654828E-01,2.580716E+04,5.298807E+03 
07:15:00,1.216973E+00,3.935408E-01,2.580289E+04,5.860216E+03 
07:30:00,1.216871E+00,4.226146E-01,2.580073E+04,6.459198E+03 
07:45:00,1.216735E+00,4.519539E-01,2.579785E+04,7.085190E+03 
08:00:00,1.216634E+00,4.798755E-01,2.579571E+04,7.711454E+03 
08:15:00,1.216550E+00,5.059403E-01,2.579392E+04,8.352478E+03 
08:30:00,1.216477E+00,5.302029E-01,2.579238E+04,8.985850E+03 
08:45:00,1.216415E+00,5.533998E-01,2.579105E+04,9.621999E+03 
09:00:00,1.216361E+00,5.761791E-01,2.578992E+04,1.027108E+04 
09:15:00,1.216316E+00,5.983052E-01,2.578897E+04,1.090058E+04 
09:30:00,1.216278E+00,6.190854E-01,2.578816E+04,1.152241E+04 
09:45:00,1.216246E+00,6.381109E-01,2.578747E+04,1.212723E+04 
