Time,THERMAL ZONE 1:MEMPHIS ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:MEMPHIS ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:MEMPHIS ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:MEMPHIS ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:MEMPHIS ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:MEMPHIS ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:MEMPHIS ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:MEMPHIS ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:MEMPHIS ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:MEMPHIS ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:MEMPHIS ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:MEMPHIS ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:MEMPHIS ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:MEMPHIS ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:MEMPHIS ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:MEMPHIS ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:MEMPHIS ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:MEMPHIS ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:MEMPHIS ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:MEMPHIS ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:15:00,4.244903E+03,4.541728E+02,2.600595E-01,3.179316E-02,4.252185E+03,4.381445E+02,2.605056E-01,3.067095E-02,4.252306E+03,4.515834E+02,2.605130E-01,3.161185E-02,5.862184E+03,1.805677E+03,3.592179E-01,1.263938E-01,4.252185E+03,5.859592E+02,2.605056E-01,4.102081E-02 
00:30:00,4.244918E+03,4.255024E+02,2.600604E-01,2.978598E-02,4.252200E+03,4.105717E+02,2.605065E-01,2.874063E-02,4.252321E+03,4.225431E+02,2.605140E-01,2.957877E-02,5.862209E+03,1.760937E+03,3.592194E-01,1.232620E-01,4.252200E+03,5.480582E+02,2.605065E-01,3.836712E-02 
00:45:00,4.244931E+03,3.978213E+02,2.600612E-01,2.784802E-02,4.252213E+03,3.839009E+02,2.605073E-01,2.687341E-02,4.252334E+03,3.945543E+02,2.605148E-01,2.761928E-02,5.862232E+03,1.717399E+03,3.592208E-01,1.202142E-01,4.252213E+03,5.116656E+02,2.605073E-01,3.581902E-02 
01:00:00,4.244942E+03,3.710835E+02,2.600619E-01,2.597609E-02,4.252224E+03,3.580922E+02,2.605081E-01,2.506655E-02,4.252345E+03,3.675617E+02,2.605155E-01,2.572951E-02,5.862251E+03,1.674985E+03,3.592220E-01,1.172451E-01,4.252224E+03,4.767560E+02,2.605081E-01,3.337476E-02 
01:15:00,4.244953E+03,3.468832E+02,2.600626E-01,2.428180E-02,4.252235E+03,3.347452E+02,2.605087E-01,2.343202E-02,4.252356E+03,3.431514E+02,2.605161E-01,2.402053E-02,5.862268E+03,1.638850E+03,3.592231E-01,1.147154E-01,4.252235E+03,4.449216E+02,2.605087E-01,3.114583E-02 
01:30:00,4.244962E+03,3.240189E+02,2.600631E-01,2.268108E-02,4.252244E+03,3.126625E+02,2.605093E-01,2.188602E-02,4.252365E+03,3.201151E+02,2.605167E-01,2.240777E-02,5.862284E+03,1.604397E+03,3.592240E-01,1.123037E-01,4.252244E+03,4.149540E+02,2.605093E-01,2.904765E-02 
01:45:00,4.244970E+03,3.024752E+02,2.600636E-01,2.117283E-02,4.252252E+03,2.918335E+02,2.605098E-01,2.042783E-02,4.252373E+03,2.984314E+02,2.605172E-01,2.088973E-02,5.862297E+03,1.571550E+03,3.592248E-01,1.100042E-01,4.252252E+03,3.868163E+02,2.605098E-01,2.707764E-02 
02:00:00,4.244978E+03,2.822323E+02,2.600641E-01,1.975567E-02,4.252260E+03,2.722436E+02,2.605102E-01,1.905639E-02,4.252380E+03,2.780758E+02,2.605176E-01,1.946468E-02,5.862309E+03,1.540253E+03,3.592256E-01,1.078133E-01,4.252260E+03,3.604634E+02,2.605102E-01,2.523261E-02 
02:15:00,4.244984E+03,2.629021E+02,2.600645E-01,1.840242E-02,4.252266E+03,2.535090E+02,2.605106E-01,1.774485E-02,4.252387E+03,2.586557E+02,2.605180E-01,1.810515E-02,5.862320E+03,1.510081E+03,3.592262E-01,1.057012E-01,4.252266E+03,3.354796E+02,2.605106E-01,2.348348E-02 
02:30:00,4.244990E+03,2.444618E+02,2.600649E-01,1.711149E-02,4.252272E+03,2.356122E+02,2.605110E-01,1.649198E-02,4.252393E+03,2.401456E+02,2.605184E-01,1.680933E-02,5.862329E+03,1.481011E+03,3.592268E-01,1.036662E-01,4.252272E+03,3.118122E+02,2.605110E-01,2.182653E-02 
