Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,1.046709E+00,2.505219E-01,5.679692E+03,3.470475E+03 
00:30:00,1.046711E+00,2.460934E-01,5.679701E+03,3.377969E+03 
00:45:00,1.046712E+00,2.434054E-01,5.679709E+03,3.310254E+03 
01:00:00,1.046714E+00,2.434054E-01,5.679716E+03,3.279435E+03 
01:15:00,1.046715E+00,2.434054E-01,5.679722E+03,3.258890E+03 
01:30:00,1.046716E+00,2.434054E-01,5.679727E+03,3.238345E+03 
01:45:00,1.046717E+00,2.434054E-01,5.679732E+03,3.217799E+03 
02:00:00,1.046718E+00,2.434054E-01,5.679737E+03,3.197254E+03 
02:15:00,1.046718E+00,2.434054E-01,5.679741E+03,3.181845E+03 
02:30:00,1.046719E+00,2.434054E-01,5.679744E+03,3.166436E+03 
02:45:00,1.046719E+00,2.434054E-01,5.679747E+03,3.151027E+03 
03:00:00,1.046720E+00,2.434054E-01,5.679750E+03,3.135618E+03 
03:15:00,1.046721E+00,2.434054E-01,5.679753E+03,3.120209E+03 
03:30:00,1.046721E+00,2.434054E-01,5.679755E+03,3.104800E+03 
03:45:00,1.046721E+00,2.434054E-01,5.679757E+03,3.089391E+03 
04:00:00,1.046722E+00,2.434054E-01,5.679759E+03,3.073982E+03 
04:15:00,1.046722E+00,2.434054E-01,5.679761E+03,3.063709E+03 
04:30:00,1.046722E+00,2.434054E-01,5.679763E+03,3.053436E+03 
04:45:00,1.046723E+00,2.434054E-01,5.679764E+03,3.043164E+03 
05:00:00,1.046723E+00,2.434054E-01,5.679766E+03,3.032891E+03 
05:15:00,1.046723E+00,2.434054E-01,5.679767E+03,3.043164E+03 
05:30:00,1.046723E+00,2.434054E-01,5.679768E+03,3.053436E+03 
05:45:00,1.046724E+00,2.434054E-01,5.679769E+03,3.063709E+03 
06:00:00,1.046724E+00,2.434054E-01,5.679770E+03,3.073982E+03 
06:15:00,9.812718E-01,2.434054E-01,5.324613E+03,3.109936E+03 
06:30:00,9.157932E-01,2.434054E-01,4.969310E+03,3.145890E+03 
06:45:00,8.503172E-01,2.434054E-01,4.614022E+03,3.181845E+03 
07:00:00,7.848286E-01,2.613083E-01,4.258665E+03,3.454474E+03 
07:15:00,7.847839E-01,2.832883E-01,4.258423E+03,3.846673E+03 
07:30:00,7.847593E-01,3.023062E-01,4.258290E+03,4.213359E+03 
07:45:00,7.847268E-01,3.251724E-01,4.258113E+03,4.648704E+03 
08:00:00,7.847021E-01,3.465566E-01,4.257979E+03,5.078737E+03 
08:15:00,7.846815E-01,3.736688E-01,4.257867E+03,5.625881E+03 
08:30:00,7.846639E-01,4.050300E-01,4.257772E+03,6.260441E+03 
08:45:00,7.846487E-01,4.368867E-01,4.257689E+03,6.928006E+03 
09:00:00,7.846357E-01,4.678063E-01,4.257619E+03,7.605882E+03 
09:15:00,7.846244E-01,4.974273E-01,4.257558E+03,8.265922E+03 
09:30:00,7.846148E-01,5.253606E-01,4.257505E+03,8.918564E+03 
09:45:00,7.846064E-01,5.511226E-01,4.257460E+03,9.553608E+03 
10:00:00,7.845992E-01,5.742354E-01,4.257421E+03,1.016026E+04 
10:15:00,7.845930E-01,5.944249E-01,4.257387E+03,1.070564E+04 
10:30:00,7.845876E-01,6.116221E-01,4.257358E+03,1.120896E+04 
10:45:00,7.845829E-01,6.261271E-01,4.257332E+03,1.167298E+04 
11:00:00,7.845787E-01,6.384024E-01,4.257310E+03,1.210390E+04 
11:15:00,7.845752E-01,6.483422E-01,4.257290E+03,1.242917E+04 
11:30:00,7.845720E-01,6.560648E-01,4.257273E+03,1.271566E+04 
11:45:00,7.845693E-01,6.607257E-01,4.257258E+03,1.294542E+04 
12:00:00,7.845669E-01,6.617045E-01,4.257245E+03,1.310423E+04 
12:15:00,7.845647E-01,6.605647E-01,4.257234E+03,1.319317E+04 
12:30:00,7.845629E-01,6.576338E-01,4.257224E+03,1.324566E+04 
12:45:00,7.845612E-01,6.566114E-01,4.257215E+03,1.333591E+04 
13:00:00,7.845598E-01,6.598124E-01,4.257207E+03,1.351231E+04 
13:15:00,7.845585E-01,6.667115E-01,4.257200E+03,1.372394E+04 
13:30:00,7.845573E-01,6.781420E-01,4.257193E+03,1.403078E+04 
13:45:00,7.845563E-01,6.930472E-01,4.257188E+03,1.441230E+04 
14:00:00,7.845554E-01,7.095146E-01,4.257183E+03,1.482961E+04 
14:15:00,7.845546E-01,7.269009E-01,4.257178E+03,1.519300E+04 
14:30:00,7.845538E-01,7.442734E-01,4.257175E+03,1.555610E+04 
14:45:00,7.845532E-01,7.598519E-01,4.257171E+03,1.588171E+04 
15:00:00,7.845526E-01,7.738449E-01,4.257168E+03,1.617418E+04 
15:15:00,7.845520E-01,7.860361E-01,4.257165E+03,1.632947E+04 
15:30:00,7.845516E-01,7.958818E-01,4.257162E+03,1.643324E+04 
15:45:00,7.845511E-01,8.030140E-01,4.257160E+03,1.647883E+04 
