Time,THERMAL ZONE 4:MIAMI KENDALL TAMIA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:MIAMI KENDALL TAMIA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:MIAMI KENDALL TAMIA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:MIAMI KENDALL TAMIA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:MIAMI KENDALL TAMIA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:MIAMI KENDALL TAMIA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:MIAMI KENDALL TAMIA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:MIAMI KENDALL TAMIA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:MIAMI KENDALL TAMIA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:MIAMI KENDALL TAMIA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:MIAMI KENDALL TAMIA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:MIAMI KENDALL TAMIA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:MIAMI KENDALL TAMIA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:MIAMI KENDALL TAMIA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:MIAMI KENDALL TAMIA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:MIAMI KENDALL TAMIA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 1:MIAMI KENDALL TAMIA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:MIAMI KENDALL TAMIA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:MIAMI KENDALL TAMIA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:MIAMI KENDALL TAMIA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:15:00,2.442111E+03,2.599275E+02,1.496654E-01,1.819434E-02,3.894919E+03,1.552192E+03,2.387133E-01,1.086507E-01,2.442110E+03,2.691250E+02,1.496653E-01,1.883824E-02,2.442110E+03,4.009622E+02,1.496653E-01,2.806847E-02,2.441990E+03,2.853538E+02,1.496580E-01,1.997439E-02 
00:30:00,2.442115E+03,2.347433E+02,1.496656E-01,1.643135E-02,3.894926E+03,1.511843E+03,2.387137E-01,1.058264E-01,2.442114E+03,2.440363E+02,1.496656E-01,1.708193E-02,2.442114E+03,3.655506E+02,1.496656E-01,2.558929E-02,2.441994E+03,2.588697E+02,1.496582E-01,1.812038E-02 
00:45:00,2.442118E+03,2.104251E+02,1.496658E-01,1.472898E-02,3.894932E+03,1.472598E+03,2.387141E-01,1.030792E-01,2.442117E+03,2.197753E+02,1.496658E-01,1.538355E-02,2.442117E+03,3.317446E+02,1.496658E-01,2.322250E-02,2.441997E+03,2.333380E+02,1.496584E-01,1.633303E-02 
01:00:00,2.442121E+03,1.869480E+02,1.496660E-01,1.308551E-02,3.894938E+03,1.434422E+03,2.387144E-01,1.004068E-01,2.442120E+03,1.963222E+02,1.496659E-01,1.374174E-02,2.442120E+03,2.994810E+02,1.496659E-01,2.096370E-02,2.442000E+03,2.087283E+02,1.496586E-01,1.461023E-02 
01:15:00,2.442124E+03,1.658826E+02,1.496662E-01,1.161087E-02,3.894942E+03,1.402435E+03,2.387147E-01,9.816754E-02,2.442122E+03,1.752523E+02,1.496661E-01,1.226677E-02,2.442122E+03,2.702845E+02,1.496661E-01,1.891965E-02,2.442002E+03,1.866054E+02,1.496587E-01,1.306153E-02 
01:30:00,2.442126E+03,1.460175E+02,1.496663E-01,1.022029E-02,3.894947E+03,1.372016E+03,2.387150E-01,9.603813E-02,2.442125E+03,1.553598E+02,1.496662E-01,1.087426E-02,2.442125E+03,2.429026E+02,1.496662E-01,1.700269E-02,2.442005E+03,1.657545E+02,1.496589E-01,1.160191E-02 
01:45:00,2.442128E+03,1.273384E+02,1.496664E-01,8.912757E-03,3.894950E+03,1.343083E+03,2.387152E-01,9.401278E-02,2.442127E+03,1.366341E+02,1.496664E-01,9.563455E-03,2.442127E+03,2.172764E+02,1.496664E-01,1.520868E-02,2.442007E+03,1.461562E+02,1.496590E-01,1.023000E-02 
02:00:00,2.442130E+03,1.098225E+02,1.496666E-01,7.686679E-03,3.894954E+03,1.315572E+03,2.387154E-01,9.208696E-02,2.442129E+03,1.190562E+02,1.496665E-01,8.333017E-03,2.442129E+03,1.933422E+02,1.496665E-01,1.353317E-02,2.442009E+03,1.277836E+02,1.496591E-01,8.943922E-03 
02:15:00,2.442131E+03,9.310565E+01,1.496667E-01,6.516553E-03,3.894956E+03,1.289082E+03,2.387156E-01,9.023255E-02,2.442130E+03,1.022646E+02,1.496666E-01,7.157648E-03,2.442130E+03,1.706971E+02,1.496666E-01,1.194793E-02,2.442010E+03,1.102682E+02,1.496592E-01,7.717877E-03 
02:30:00,2.442133E+03,7.716699E+01,1.496667E-01,5.400924E-03,3.894959E+03,1.263585E+03,2.387157E-01,8.844771E-02,2.442132E+03,8.624040E+01,1.496667E-01,6.036015E-03,2.442132E+03,1.492822E+02,1.496667E-01,1.044884E-02,2.442012E+03,9.358445E+01,1.496593E-01,6.550068E-03 
