Time,THERMAL ZONE 10:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 10:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 10:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 10:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 9:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 9:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 9:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 9:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 6:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 6:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 8:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 8:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 8:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 8:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 1:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 7:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 7:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 7:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 7:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:15:00,1.009722E+03,3.944979E+02,6.187880E-02,2.760751E-02,1.111460E+03,8.879378E+02,6.810958E-02,6.213655E-02,1.111486E+03,9.013473E+02,6.811120E-02,6.307492E-02,2.268869E+02,1.511427E+02,1.390632E-02,1.057810E-02,1.009757E+03,4.036930E+02,6.188096E-02,2.825094E-02,1.111486E+03,8.860374E+02,6.811120E-02,6.200356E-02,1.010689E+03,4.496003E+02,6.193808E-02,3.146343E-02,1.009757E+03,4.008965E+02,6.188096E-02,2.805525E-02,2.796325E+02,4.588713E+02,1.713780E-02,3.211301E-02,1.112097E+03,1.023386E+03,6.814865E-02,7.161497E-02 
00:30:00,1.009725E+03,3.831322E+02,6.187897E-02,2.681193E-02,1.111465E+03,8.709964E+02,6.810988E-02,6.095093E-02,1.111491E+03,8.839995E+02,6.811150E-02,6.186087E-02,2.268884E+02,1.465243E+02,1.390641E-02,1.025479E-02,1.009760E+03,3.924856E+02,6.188113E-02,2.746643E-02,1.111491E+03,8.694438E+02,6.811150E-02,6.084228E-02,1.010692E+03,4.357356E+02,6.193825E-02,3.049298E-02,1.009760E+03,3.892923E+02,6.188113E-02,2.724298E-02,2.796353E+02,4.536682E+02,1.713797E-02,3.174873E-02,1.112102E+03,9.991564E+02,6.814896E-02,6.991942E-02 
00:45:00,1.009727E+03,3.718819E+02,6.187913E-02,2.602453E-02,1.111469E+03,8.545800E+02,6.811016E-02,5.980211E-02,1.111495E+03,8.671969E+02,6.811178E-02,6.068502E-02,2.268898E+02,1.420885E+02,1.390649E-02,9.944277E-03,1.009763E+03,3.812039E+02,6.188129E-02,2.667685E-02,1.111495E+03,8.533591E+02,6.811178E-02,5.971667E-02,1.010695E+03,4.223692E+02,6.193841E-02,2.955749E-02,1.009763E+03,3.778686E+02,6.188129E-02,2.644346E-02,2.796378E+02,4.485852E+02,1.713812E-02,3.139293E-02,1.112107E+03,9.758887E+02,6.814924E-02,6.829116E-02 
01:00:00,1.009730E+03,3.608970E+02,6.187927E-02,2.525576E-02,1.111473E+03,8.386756E+02,6.811043E-02,5.868908E-02,1.111500E+03,8.509241E+02,6.811204E-02,5.954622E-02,2.268910E+02,1.378292E+02,1.390657E-02,9.646133E-03,1.009765E+03,3.700262E+02,6.188143E-02,2.589457E-02,1.111500E+03,8.377695E+02,6.811204E-02,5.862568E-02,1.010697E+03,4.098232E+02,6.193855E-02,2.867946E-02,1.009765E+03,3.667208E+02,6.188143E-02,2.566329E-02,2.796401E+02,4.436163E+02,1.713827E-02,3.104512E-02,1.112111E+03,9.535396E+02,6.814950E-02,6.672714E-02 
01:15:00,1.009732E+03,3.507940E+02,6.187940E-02,2.454871E-02,1.111477E+03,8.239566E+02,6.811067E-02,5.765899E-02,1.111504E+03,8.358537E+02,6.811229E-02,5.849153E-02,2.268921E+02,1.340698E+02,1.390664E-02,9.382983E-03,1.009767E+03,3.597273E+02,6.188156E-02,2.517383E-02,1.111504E+03,8.233488E+02,6.811229E-02,5.761646E-02,1.010699E+03,3.989197E+02,6.193868E-02,2.791637E-02,1.009767E+03,3.564657E+02,6.188156E-02,2.494560E-02,2.796423E+02,4.391151E+02,1.713840E-02,3.073005E-02,1.112115E+03,9.327591E+02,6.814975E-02,6.527286E-02 
01:30:00,1.009734E+03,3.411030E+02,6.187952E-02,2.387051E-02,1.111481E+03,8.099527E+02,6.811091E-02,5.667893E-02,1.111508E+03,8.215144E+02,6.811252E-02,5.748801E-02,2.268932E+02,1.304883E+02,1.390670E-02,9.132291E-03,1.009769E+03,3.498528E+02,6.188167E-02,2.448279E-02,1.111508E+03,8.096272E+02,6.811252E-02,5.665616E-02,1.010701E+03,3.887100E+02,6.193880E-02,2.720183E-02,1.009769E+03,3.466524E+02,6.188167E-02,2.425884E-02,2.796443E+02,4.347648E+02,1.713852E-02,3.042555E-02,1.112119E+03,9.130518E+02,6.814998E-02,6.389367E-02 
01:45:00,1.009736E+03,3.318314E+02,6.187963E-02,2.322167E-02,1.111485E+03,7.966591E+02,6.811112E-02,5.574861E-02,1.111511E+03,8.079006E+02,6.811274E-02,5.653527E-02,2.268941E+02,1.270800E+02,1.390676E-02,8.893729E-03,1.009771E+03,3.403876E+02,6.188178E-02,2.382040E-02,1.111511E+03,7.966004E+02,6.811274E-02,5.574450E-02,1.010703E+03,3.790699E+02,6.193890E-02,2.652718E-02,1.009771E+03,3.372536E+02,6.188178E-02,2.360110E-02,2.796462E+02,4.305623E+02,1.713864E-02,3.013140E-02,1.112122E+03,8.943911E+02,6.815020E-02,6.258776E-02 
02:00:00,1.009737E+03,3.230485E+02,6.187973E-02,2.260704E-02,1.111488E+03,7.840715E+02,6.811133E-02,5.486772E-02,1.111514E+03,7.950071E+02,6.811294E-02,5.563298E-02,2.268950E+02,1.238384E+02,1.390681E-02,8.666842E-03,1.009772E+03,3.313600E+02,6.188189E-02,2.318865E-02,1.111514E+03,7.842644E+02,6.811294E-02,5.488121E-02,1.010705E+03,3.696291E+02,6.193901E-02,2.586650E-02,1.009772E+03,3.283144E+02,6.188189E-02,2.297553E-02,2.796479E+02,4.265059E+02,1.713874E-02,2.984749E-02,1.112126E+03,8.767503E+02,6.815040E-02,6.135326E-02 
02:15:00,1.009739E+03,3.146422E+02,6.187982E-02,2.201877E-02,1.111491E+03,7.719820E+02,6.811152E-02,5.402170E-02,1.111518E+03,7.826246E+02,6.811314E-02,5.476645E-02,2.268958E+02,1.207578E+02,1.390686E-02,8.451228E-03,1.009774E+03,3.226906E+02,6.188198E-02,2.258197E-02,1.111518E+03,7.724115E+02,6.811314E-02,5.405176E-02,1.010706E+03,3.598984E+02,6.193910E-02,2.518557E-02,1.009774E+03,3.197417E+02,6.188198E-02,2.237562E-02,2.796496E+02,4.225605E+02,1.713884E-02,2.957137E-02,1.112129E+03,8.598980E+02,6.815059E-02,6.017395E-02 
02:30:00,1.009740E+03,3.066162E+02,6.187991E-02,2.145712E-02,1.111494E+03,7.603823E+02,6.811170E-02,5.320997E-02,1.111521E+03,7.707433E+02,6.811332E-02,5.393501E-02,2.268965E+02,1.178333E+02,1.390691E-02,8.246539E-03,1.009775E+03,3.143915E+02,6.188207E-02,2.200121E-02,1.111521E+03,7.610335E+02,6.811332E-02,5.325554E-02,1.010707E+03,3.502617E+02,6.193919E-02,2.451124E-02,1.009775E+03,3.115441E+02,6.188207E-02,2.180196E-02,2.796511E+02,4.187253E+02,1.713894E-02,2.930297E-02,1.112132E+03,8.438057E+02,6.815078E-02,5.904783E-02 
