Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,9.961822E-01,4.332537E-01,9.109302E+03,8.959681E+03 
00:30:00,9.961847E-01,4.221578E-01,9.109325E+03,8.653861E+03 
00:45:00,9.961869E-01,4.112465E-01,9.109346E+03,8.355806E+03 
01:00:00,9.961889E-01,4.004519E-01,9.109364E+03,8.064046E+03 
01:15:00,9.961907E-01,3.905271E-01,9.109380E+03,7.817096E+03 
01:30:00,9.961923E-01,3.808889E-01,9.109394E+03,7.578241E+03 
01:45:00,9.961937E-01,3.716306E-01,9.109407E+03,7.349224E+03 
02:00:00,9.961949E-01,3.627579E-01,9.109419E+03,7.130020E+03 
02:15:00,9.961961E-01,3.541633E-01,9.109429E+03,6.929062E+03 
02:30:00,9.961971E-01,3.458912E-01,9.109438E+03,6.735940E+03 
02:45:00,9.961980E-01,3.379506E-01,9.109447E+03,6.550740E+03 
03:00:00,9.961988E-01,3.303465E-01,9.109454E+03,6.373469E+03 
03:15:00,9.961996E-01,3.229289E-01,9.109461E+03,6.201155E+03 
03:30:00,9.962002E-01,3.156923E-01,9.109467E+03,6.033640E+03 
03:45:00,9.962009E-01,3.086302E-01,9.109473E+03,5.870756E+03 
04:00:00,9.962014E-01,3.017363E-01,9.109478E+03,5.712331E+03 
04:15:00,9.962019E-01,2.951597E-01,9.109483E+03,5.570032E+03 
04:30:00,9.962024E-01,2.888998E-01,9.109487E+03,5.434481E+03 
04:45:00,9.962028E-01,2.829553E-01,9.109491E+03,5.305600E+03 
05:00:00,9.962032E-01,2.773248E-01,9.109495E+03,5.183304E+03 
05:15:00,9.962036E-01,2.724900E-01,9.109498E+03,5.109368E+03 
05:30:00,9.962039E-01,2.684615E-01,9.109501E+03,5.050017E+03 
05:45:00,9.962042E-01,2.658533E-01,9.109504E+03,5.016982E+03 
06:00:00,9.962045E-01,2.671835E-01,9.109507E+03,5.058193E+03 
06:15:00,9.317627E-01,2.750379E-01,8.520237E+03,5.264928E+03 
06:30:00,8.672841E-01,2.900333E-01,7.930631E+03,5.613182E+03 
06:45:00,8.028072E-01,3.112443E-01,7.341040E+03,6.089368E+03 
07:00:00,7.383117E-01,3.353992E-01,6.751279E+03,6.632727E+03 
07:15:00,7.382461E-01,3.594278E-01,6.750680E+03,7.292105E+03 
07:30:00,7.382079E-01,3.850915E-01,6.750331E+03,8.010125E+03 
07:45:00,7.381600E-01,4.119320E-01,6.749892E+03,8.779529E+03 
08:00:00,7.381238E-01,4.403210E-01,6.749561E+03,9.610239E+03 
08:15:00,7.380935E-01,4.696929E-01,6.749284E+03,1.052032E+04 
08:30:00,7.380675E-01,4.970459E-01,6.749046E+03,1.141768E+04 
08:45:00,7.380450E-01,5.226931E-01,6.748841E+03,1.230620E+04 
09:00:00,7.380257E-01,5.470614E-01,6.748665E+03,1.319326E+04 
09:15:00,7.380092E-01,5.702540E-01,6.748513E+03,1.404483E+04 
09:30:00,7.379950E-01,5.925370E-01,6.748384E+03,1.489730E+04 
09:45:00,7.379828E-01,6.140446E-01,6.748272E+03,1.575272E+04 
10:00:00,7.379723E-01,6.344023E-01,6.748176E+03,1.660010E+04 
10:15:00,7.379632E-01,6.536051E-01,6.748093E+03,1.739812E+04 
10:30:00,7.379553E-01,6.716339E-01,6.748020E+03,1.818173E+04 
10:45:00,7.379484E-01,6.884698E-01,6.747957E+03,1.894881E+04 
11:00:00,7.379424E-01,7.039419E-01,6.747903E+03,1.969296E+04 
11:15:00,7.379372E-01,7.176521E-01,6.747855E+03,2.029285E+04 
11:30:00,7.379326E-01,7.293044E-01,6.747813E+03,2.084219E+04 
11:45:00,7.379286E-01,7.382464E-01,6.747777E+03,2.132029E+04 
12:00:00,7.379251E-01,7.439024E-01,6.747745E+03,2.170789E+04 
12:15:00,7.379220E-01,7.461331E-01,6.747716E+03,2.195292E+04 
12:30:00,7.379193E-01,7.463666E-01,6.747692E+03,2.213979E+04 
12:45:00,7.379169E-01,7.461719E-01,6.747670E+03,2.231397E+04 
13:00:00,7.379148E-01,7.486293E-01,6.747650E+03,2.256800E+04 
13:15:00,7.379129E-01,7.553371E-01,6.747633E+03,2.288406E+04 
13:30:00,7.379112E-01,7.658080E-01,6.747617E+03,2.331672E+04 
13:45:00,7.379097E-01,7.806686E-01,6.747604E+03,2.388685E+04 
14:00:00,7.379084E-01,7.973672E-01,6.747592E+03,2.451798E+04 
14:15:00,7.379072E-01,8.143933E-01,6.747581E+03,2.504151E+04 
14:30:00,7.379061E-01,8.310105E-01,6.747571E+03,2.555247E+04 
14:45:00,7.379051E-01,8.455607E-01,6.747562E+03,2.599987E+04 
15:00:00,7.379043E-01,8.581243E-01,6.747554E+03,2.638618E+04 
15:15:00,7.379035E-01,8.685646E-01,6.747547E+03,2.655011E+04 
15:30:00,7.379028E-01,8.769879E-01,6.747540E+03,2.664896E+04 
15:45:00,7.379021E-01,8.829783E-01,6.747534E+03,2.667129E+04 
16:00:00,7.379015E-01,8.864384E-01,6.747529E+03,2.661547E+04 
16:15:00,7.379010E-01,8.872713E-01,6.747524E+03,2.642650E+04 
16:30:00,7.379005E-01,8.857480E-01,6.747519E+03,2.616751E+04 
16:45:00,7.379001E-01,8.827285E-01,6.747515E+03,2.586543E+04 
17:00:00,7.378996E-01,8.784780E-01,6.747512E+03,2.552902E+04 
17:15:00,7.378993E-01,8.733785E-01,6.747508E+03,2.511754E+04 
17:30:00,7.378989E-01,8.667908E-01,6.747505E+03,2.466678E+04 
17:45:00,7.378986E-01,8.578446E-01,6.747502E+03,2.415359E+04 
18:00:00,7.378983E-01,8.458233E-01,6.747499E+03,2.356014E+04 
18:15:00,8.023479E-01,8.290738E-01,7.336841E+03,2.271869E+04 
18:30:00,8.668114E-01,8.074691E-01,7.926308E+03,2.176154E+04 
18:45:00,9.312924E-01,7.811506E-01,8.515936E+03,2.069902E+04 
19:00:00,9.957922E-01,7.500815E-01,9.105736E+03,1.953657E+04 
