Time,THERMAL ZONE 1:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:15:00,2.478807E+03,9.667738E+02,1.519009E-01,6.765444E-02,3.095502E+03,1.755885E+03,1.897099E-01,1.228858E-01,2.476781E+03,8.791828E+02,1.517767E-01,6.152521E-02,2.476821E+03,8.907550E+02,1.517792E-01,6.233496E-02,2.476821E+03,8.908536E+02,1.517792E-01,6.234187E-02 
00:30:00,2.478813E+03,9.388622E+02,1.519012E-01,6.570080E-02,3.095511E+03,1.720205E+03,1.897104E-01,1.203874E-01,2.476787E+03,8.546939E+02,1.517771E-01,5.981109E-02,2.476827E+03,8.657375E+02,1.517795E-01,6.058386E-02,2.476827E+03,8.661194E+02,1.517795E-01,6.061058E-02 
00:45:00,2.478819E+03,9.122496E+02,1.519015E-01,6.383822E-02,3.095520E+03,1.685277E+03,1.897109E-01,1.179420E-01,2.476792E+03,8.302032E+02,1.517774E-01,5.809709E-02,2.476832E+03,8.408404E+02,1.517798E-01,5.884142E-02,2.476832E+03,8.414916E+02,1.517798E-01,5.888698E-02 
01:00:00,2.478823E+03,8.866784E+02,1.519018E-01,6.204863E-02,3.095527E+03,1.651120E+03,1.897114E-01,1.155508E-01,2.476797E+03,8.054547E+02,1.517777E-01,5.636515E-02,2.476837E+03,8.158857E+02,1.517801E-01,5.709504E-02,2.476837E+03,8.168059E+02,1.517801E-01,5.715943E-02 
01:15:00,2.478827E+03,8.628890E+02,1.519021E-01,6.038380E-02,3.095534E+03,1.621378E+03,1.897118E-01,1.134688E-01,2.476801E+03,7.824500E+02,1.517779E-01,5.475530E-02,2.476841E+03,7.924214E+02,1.517804E-01,5.545303E-02,2.476841E+03,7.934909E+02,1.517804E-01,5.552787E-02 
01:30:00,2.478831E+03,8.385923E+02,1.519023E-01,5.868351E-02,3.095539E+03,1.592885E+03,1.897121E-01,1.114743E-01,2.476805E+03,7.603962E+02,1.517782E-01,5.321198E-02,2.476845E+03,7.699049E+02,1.517806E-01,5.387735E-02,2.476845E+03,7.710949E+02,1.517806E-01,5.396061E-02 
01:45:00,2.478834E+03,8.147266E+02,1.519025E-01,5.701350E-02,3.095544E+03,1.565591E+03,1.897125E-01,1.095638E-01,2.476808E+03,7.393740E+02,1.517784E-01,5.174087E-02,2.476848E+03,7.484312E+02,1.517808E-01,5.237464E-02,2.476848E+03,7.497116E+02,1.517808E-01,5.246424E-02 
02:00:00,2.478837E+03,7.912312E+02,1.519027E-01,5.536940E-02,3.095549E+03,1.539462E+03,1.897127E-01,1.077349E-01,2.476811E+03,7.194322E+02,1.517785E-01,5.034538E-02,2.476851E+03,7.280574E+02,1.517810E-01,5.094893E-02,2.476851E+03,7.294032E+02,1.517810E-01,5.104310E-02 
02:15:00,2.478840E+03,7.680588E+02,1.519029E-01,5.374792E-02,3.095553E+03,1.514173E+03,1.897130E-01,1.059649E-01,2.476814E+03,7.002418E+02,1.517787E-01,4.900248E-02,2.476854E+03,7.084624E+02,1.517812E-01,4.957772E-02,2.476854E+03,7.098533E+02,1.517812E-01,4.967505E-02 
02:30:00,2.478842E+03,7.456969E+02,1.519030E-01,5.218316E-02,3.095556E+03,1.489739E+03,1.897132E-01,1.042548E-01,2.476816E+03,6.818186E+02,1.517789E-01,4.771327E-02,2.476856E+03,6.896629E+02,1.517813E-01,4.826218E-02,2.476856E+03,6.910826E+02,1.517813E-01,4.836153E-02 
02:45:00,2.478845E+03,7.242245E+02,1.519031E-01,5.068062E-02,3.095560E+03,1.466167E+03,1.897134E-01,1.026051E-01,2.476818E+03,6.641697E+02,1.517790E-01,4.647826E-02,2.476858E+03,6.716665E+02,1.517814E-01,4.700285E-02,2.476858E+03,6.731014E+02,1.517814E-01,4.710326E-02 
03:00:00,2.478847E+03,7.036932E+02,1.519033E-01,4.924393E-02,3.095563E+03,1.443457E+03,1.897136E-01,1.010157E-01,2.476820E+03,6.472983E+02,1.517791E-01,4.529765E-02,2.476860E+03,6.544762E+02,1.517816E-01,4.579993E-02,2.476860E+03,6.559152E+02,1.517816E-01,4.590063E-02 
03:15:00,2.478848E+03,6.837441E+02,1.519034E-01,4.784797E-02,3.095565E+03,1.421269E+03,1.897137E-01,9.946290E-02,2.476822E+03,6.308149E+02,1.517792E-01,4.414419E-02,2.476862E+03,6.377026E+02,1.517817E-01,4.462616E-02,2.476862E+03,6.391368E+02,1.517817E-01,4.472653E-02 
03:30:00,2.478850E+03,6.643699E+02,1.519035E-01,4.649224E-02,3.095567E+03,1.399596E+03,1.897139E-01,9.794614E-02,2.476824E+03,6.147023E+02,1.517793E-01,4.301667E-02,2.476864E+03,6.213265E+02,1.517818E-01,4.348021E-02,2.476864E+03,6.227487E+02,1.517818E-01,4.357974E-02 
03:45:00,2.478852E+03,6.455556E+02,1.519036E-01,4.517567E-02,3.095570E+03,1.378426E+03,1.897140E-01,9.646461E-02,2.476825E+03,5.989439E+02,1.517794E-01,4.191394E-02,2.476865E+03,6.053298E+02,1.517819E-01,4.236081E-02,2.476865E+03,6.067342E+02,1.517819E-01,4.245909E-02 
04:00:00,2.478853E+03,6.272816E+02,1.519037E-01,4.389692E-02,3.095571E+03,1.357745E+03,1.897141E-01,9.501731E-02,2.476827E+03,5.835243E+02,1.517795E-01,4.083492E-02,2.476867E+03,5.896952E+02,1.517819E-01,4.126674E-02,2.476867E+03,5.910773E+02,1.517819E-01,4.136346E-02 
04:15:00,2.478854E+03,6.099250E+02,1.519037E-01,4.268236E-02,3.095573E+03,1.337879E+03,1.897142E-01,9.362700E-02,2.476828E+03,5.688296E+02,1.517796E-01,3.980663E-02,2.476868E+03,5.748065E+02,1.517820E-01,4.022488E-02,2.476868E+03,5.761625E+02,1.517820E-01,4.031977E-02 
04:30:00,2.478855E+03,5.934800E+02,1.519038E-01,4.153159E-02,3.095575E+03,1.318815E+03,1.897143E-01,9.229288E-02,2.476829E+03,5.548625E+02,1.517796E-01,3.882924E-02,2.476869E+03,5.606656E+02,1.517821E-01,3.923533E-02,2.476869E+03,5.619926E+02,1.517821E-01,3.932819E-02 
04:45:00,2.478856E+03,5.779383E+02,1.519039E-01,4.044403E-02,3.095576E+03,1.300545E+03,1.897144E-01,9.101430E-02,2.476830E+03,5.416246E+02,1.517797E-01,3.790289E-02,2.476870E+03,5.472725E+02,1.517822E-01,3.829811E-02,2.476870E+03,5.485684E+02,1.517822E-01,3.838880E-02 
05:00:00,2.478857E+03,5.632899E+02,1.519039E-01,3.941898E-02,3.095577E+03,1.283061E+03,1.897145E-01,8.979074E-02,2.476831E+03,5.291165E+02,1.517798E-01,3.702761E-02,2.476871E+03,5.346262E+02,1.517822E-01,3.741316E-02,2.476871E+03,5.358893E+02,1.517822E-01,3.750155E-02 
05:15:00,2.478858E+03,5.507583E+02,1.519040E-01,3.854204E-02,3.095579E+03,1.267436E+03,1.897145E-01,8.869730E-02,2.476832E+03,5.185693E+02,1.517798E-01,3.628954E-02,2.476872E+03,5.239556E+02,1.517823E-01,3.666646E-02,2.476872E+03,5.251849E+02,1.517823E-01,3.675248E-02 
05:30:00,2.478859E+03,5.403726E+02,1.519040E-01,3.781528E-02,3.095580E+03,1.253657E+03,1.897146E-01,8.773302E-02,2.476833E+03,5.100214E+02,1.517799E-01,3.569137E-02,2.476873E+03,5.153002E+02,1.517823E-01,3.606077E-02,2.476873E+03,5.164947E+02,1.517823E-01,3.614436E-02 
05:45:00,2.478860E+03,5.335300E+02,1.519041E-01,3.733646E-02,3.095581E+03,1.241674E+03,1.897147E-01,8.689443E-02,2.476834E+03,5.062304E+02,1.517799E-01,3.542609E-02,2.476874E+03,5.107563E+02,1.517824E-01,3.574281E-02,2.476874E+03,5.112446E+02,1.517824E-01,3.577698E-02 
06:00:00,2.478860E+03,5.323558E+02,1.519041E-01,3.725429E-02,3.095582E+03,1.231667E+03,1.897147E-01,8.619416E-02,2.476834E+03,5.249115E+02,1.517800E-01,3.673340E-02,2.476874E+03,5.194385E+02,1.517824E-01,3.635039E-02,2.476874E+03,5.115910E+02,1.517824E-01,3.580122E-02 
06:15:00,2.316545E+03,5.324173E+02,1.419575E-01,3.725859E-02,2.903581E+03,1.258108E+03,1.779478E-01,8.804454E-02,2.314519E+03,5.723373E+02,1.418333E-01,4.005215E-02,2.314559E+03,5.415303E+02,1.418358E-01,3.789632E-02,2.314559E+03,5.131709E+02,1.418358E-01,3.591177E-02 
06:30:00,2.154131E+03,5.412260E+02,1.320059E-01,3.787497E-02,2.711409E+03,1.289959E+03,1.661713E-01,9.027342E-02,2.152105E+03,6.624868E+02,1.318817E-01,4.636043E-02,2.152145E+03,5.866531E+02,1.318842E-01,4.105385E-02,2.152145E+03,5.235809E+02,1.318842E-01,3.664021E-02 
06:45:00,1.991703E+03,5.579349E+02,1.220541E-01,3.904437E-02,2.519271E+03,1.327321E+03,1.543969E-01,9.288829E-02,1.989676E+03,7.892522E+02,1.219299E-01,5.523119E-02,1.989716E+03,6.508935E+02,1.219324E-01,4.554937E-02,1.989716E+03,5.420671E+02,1.219324E-01,3.793397E-02 
07:00:00,1.829216E+03,5.807993E+02,1.120995E-01,4.064481E-02,2.327070E+03,1.370998E+03,1.426191E-01,9.594564E-02,1.827189E+03,9.265639E+02,1.119753E-01,6.484066E-02,1.827229E+03,7.222388E+02,1.119777E-01,5.054253E-02,1.827229E+03,5.669816E+02,1.119777E-01,3.967786E-02 
07:15:00,1.829005E+03,6.147644E+02,1.120897E-01,4.302246E-02,2.326828E+03,1.386923E+03,1.426058E-01,9.706153E-02,1.826979E+03,1.062468E+03,1.119655E-01,7.435294E-02,1.827019E+03,7.985838E+02,1.119680E-01,5.588625E-02,1.827019E+03,6.033364E+02,1.119680E-01,4.222270E-02 
07:30:00,1.828866E+03,6.521315E+02,1.120835E-01,4.563858E-02,2.326719E+03,1.407143E+03,1.426001E-01,9.847866E-02,1.826840E+03,1.217056E+03,1.119593E-01,8.517467E-02,1.826880E+03,8.650534E+02,1.119617E-01,6.053966E-02,1.826880E+03,6.434451E+02,1.119617E-01,4.503065E-02 
07:45:00,1.828719E+03,6.926299E+02,1.120763E-01,4.847406E-02,2.326546E+03,1.432408E+03,1.425904E-01,1.002491E-01,1.826693E+03,1.386268E+03,1.119521E-01,9.702122E-02,1.826733E+03,9.198494E+02,1.119546E-01,6.437665E-02,1.826733E+03,6.870107E+02,1.119546E-01,4.808075E-02 
08:00:00,1.828613E+03,7.358024E+02,1.120710E-01,5.149676E-02,2.326408E+03,1.462176E+03,1.425827E-01,1.023345E-01,1.826587E+03,1.576404E+03,1.119468E-01,1.103326E-01,1.826627E+03,9.628802E+02,1.119493E-01,6.739034E-02,1.826627E+03,7.334729E+02,1.119493E-01,5.133368E-02 
08:15:00,1.828531E+03,7.795396E+02,1.120666E-01,5.455897E-02,2.326287E+03,1.494875E+03,1.425759E-01,1.046249E-01,1.826505E+03,1.787975E+03,1.119425E-01,1.251438E-01,1.826545E+03,9.926284E+02,1.119449E-01,6.947419E-02,1.826545E+03,7.805075E+02,1.119449E-01,5.462668E-02 
08:30:00,1.828465E+03,8.235274E+02,1.120629E-01,5.763869E-02,2.326181E+03,1.529359E+03,1.425699E-01,1.070401E-01,1.826439E+03,1.982294E+03,1.119388E-01,1.387468E-01,1.826479E+03,1.012755E+03,1.119412E-01,7.088424E-02,1.826479E+03,8.273180E+02,1.119412E-01,5.790399E-02 
08:45:00,1.828411E+03,8.666797E+02,1.120598E-01,6.065988E-02,2.326087E+03,1.564512E+03,1.425645E-01,1.095020E-01,1.826385E+03,2.161840E+03,1.119356E-01,1.513150E-01,1.826425E+03,1.027404E+03,1.119381E-01,7.191059E-02,1.826425E+03,8.733714E+02,1.119381E-01,6.112828E-02 
09:00:00,1.828366E+03,9.086291E+02,1.120571E-01,6.359686E-02,2.326004E+03,1.599507E+03,1.425597E-01,1.119527E-01,1.826340E+03,2.326764E+03,1.119329E-01,1.628589E-01,1.826380E+03,1.042355E+03,1.119354E-01,7.295766E-02,1.826380E+03,9.192384E+02,1.119354E-01,6.433950E-02 
09:15:00,1.828329E+03,9.485820E+02,1.120549E-01,6.639405E-02,2.325932E+03,1.633614E+03,1.425555E-01,1.143412E-01,1.826302E+03,2.474196E+03,1.119307E-01,1.731778E-01,1.826342E+03,1.060423E+03,1.119331E-01,7.422279E-02,1.826342E+03,9.677708E+02,1.119331E-01,6.773724E-02 
09:30:00,1.828297E+03,9.866434E+02,1.120530E-01,6.905879E-02,2.325869E+03,1.666754E+03,1.425518E-01,1.166618E-01,1.826271E+03,2.602263E+03,1.119288E-01,1.821410E-01,1.826311E+03,1.083212E+03,1.119312E-01,7.581833E-02,1.826311E+03,1.022514E+03,1.119312E-01,7.156963E-02 
09:45:00,1.828270E+03,1.023545E+03,1.120513E-01,7.164226E-02,2.325813E+03,1.699080E+03,1.425486E-01,1.189254E-01,1.826244E+03,2.710011E+03,1.119272E-01,1.896818E-01,1.826284E+03,1.110998E+03,1.119296E-01,7.776354E-02,1.826284E+03,1.084927E+03,1.119296E-01,7.593886E-02 
10:00:00,1.828247E+03,1.059200E+03,1.120499E-01,7.413826E-02,2.325766E+03,1.730848E+03,1.425457E-01,1.211498E-01,1.826220E+03,2.793584E+03,1.119258E-01,1.955305E-01,1.826261E+03,1.141448E+03,1.119282E-01,7.989510E-02,1.826261E+03,1.156374E+03,1.119282E-01,8.094046E-02 
10:15:00,1.828227E+03,1.093160E+03,1.120487E-01,7.651555E-02,2.325724E+03,1.762264E+03,1.425433E-01,1.233495E-01,1.826201E+03,2.853533E+03,1.119245E-01,1.997258E-01,1.826241E+03,1.173239E+03,1.119270E-01,8.212047E-02,1.826241E+03,1.237808E+03,1.119270E-01,8.664101E-02 
10:30:00,1.828210E+03,1.125731E+03,1.120477E-01,7.879565E-02,2.325688E+03,1.793433E+03,1.425411E-01,1.255318E-01,1.826184E+03,2.891310E+03,1.119235E-01,2.023692E-01,1.826224E+03,1.206191E+03,1.119259E-01,8.442687E-02,1.826224E+03,1.327309E+03,1.119259E-01,9.290595E-02 
10:45:00,1.828195E+03,1.157790E+03,1.120468E-01,8.103975E-02,2.325657E+03,1.824348E+03,1.425393E-01,1.276962E-01,1.826169E+03,2.908291E+03,1.119226E-01,2.035572E-01,1.826209E+03,1.239260E+03,1.119250E-01,8.674137E-02,1.826209E+03,1.423440E+03,1.119250E-01,9.963484E-02 
