Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,3.439536E+00,1.255525E+00,8.087619E+04,1.688432E+04 
00:30:00,3.439551E+00,1.228090E+00,8.087655E+04,1.632658E+04 
00:45:00,3.439566E+00,1.201691E+00,8.087688E+04,1.579086E+04 
01:00:00,3.439579E+00,1.178241E+00,8.087720E+04,1.530157E+04 
01:15:00,3.439592E+00,1.157315E+00,8.087749E+04,1.491119E+04 
01:30:00,3.439603E+00,1.137489E+00,8.087777E+04,1.453916E+04 
01:45:00,3.439614E+00,1.118737E+00,8.087803E+04,1.418481E+04 
02:00:00,3.439625E+00,1.101417E+00,8.087828E+04,1.385231E+04 
02:15:00,3.439635E+00,1.085179E+00,8.087851E+04,1.356467E+04 
02:30:00,3.439644E+00,1.069716E+00,8.087873E+04,1.328916E+04 
02:45:00,3.439653E+00,1.055011E+00,8.087894E+04,1.302538E+04 
03:00:00,3.439662E+00,1.041052E+00,8.087914E+04,1.277301E+04 
03:15:00,3.439670E+00,1.027618E+00,8.087933E+04,1.252918E+04 
03:30:00,3.439678E+00,1.014701E+00,8.087951E+04,1.229370E+04 
03:45:00,3.439685E+00,1.002304E+00,8.087969E+04,1.206644E+04 
04:00:00,3.439692E+00,9.904027E-01,8.087985E+04,1.184704E+04 
04:15:00,3.439699E+00,9.791817E-01,8.088001E+04,1.166263E+04 
04:30:00,3.439705E+00,9.686241E-01,8.088016E+04,1.148724E+04 
04:45:00,3.439711E+00,9.586506E-01,8.088031E+04,1.131984E+04 
05:00:00,3.439717E+00,9.509409E-01,8.088045E+04,1.118006E+04 
05:15:00,3.439723E+00,9.502571E-01,8.088058E+04,1.122073E+04 
05:30:00,3.439728E+00,9.604114E-01,8.088071E+04,1.138985E+04 
05:45:00,3.439733E+00,9.857685E-01,8.088083E+04,1.174108E+04 
06:00:00,3.439738E+00,1.041475E+00,8.088095E+04,1.245795E+04 
