Time,THERMAL ZONE 15:NASHVILLE INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 15:NASHVILLE INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 15:NASHVILLE INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 15:NASHVILLE INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 14:NASHVILLE INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 14:NASHVILLE INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 14:NASHVILLE INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 14:NASHVILLE INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:NASHVILLE INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:NASHVILLE INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:NASHVILLE INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:NASHVILLE INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 9:NASHVILLE INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 9:NASHVILLE INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 9:NASHVILLE INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 9:NASHVILLE INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 7:NASHVILLE INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 7:NASHVILLE INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 7:NASHVILLE INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 7:NASHVILLE INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:NASHVILLE INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:NASHVILLE INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:NASHVILLE INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:NASHVILLE INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 11:NASHVILLE INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 11:NASHVILLE INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 11:NASHVILLE INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 11:NASHVILLE INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 12:NASHVILLE INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 12:NASHVILLE INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 12:NASHVILLE INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 12:NASHVILLE INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 10:NASHVILLE INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 10:NASHVILLE INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 10:NASHVILLE INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 10:NASHVILLE INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:NASHVILLE INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:NASHVILLE INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:NASHVILLE INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:NASHVILLE INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 6:NASHVILLE INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6:NASHVILLE INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 6:NASHVILLE INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6:NASHVILLE INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 1:NASHVILLE INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:NASHVILLE INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:NASHVILLE INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:NASHVILLE INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:NASHVILLE INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:NASHVILLE INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:NASHVILLE INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:NASHVILLE INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 8:NASHVILLE INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 8:NASHVILLE INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 8:NASHVILLE INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 8:NASHVILLE INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 13:NASHVILLE INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 13:NASHVILLE INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 13:NASHVILLE INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 13:NASHVILLE INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:15:00,3.831032E+03,1.042770E+03,2.346961E-01,7.300467E-02,2.613238E+03,2.538631E+03,1.601310E-01,1.777043E-01,1.339425E+03,7.900869E+02,8.209584E-02,5.529734E-02,3.035099E+03,1.006406E+03,1.859662E-01,7.045151E-02,3.174550E+03,3.488251E+02,1.945109E-01,2.441648E-02,3.830534E+03,1.367661E+03,2.346655E-01,9.575139E-02,3.830534E+03,1.064420E+03,2.346655E-01,7.452047E-02,3.166927E+03,2.134903E+02,1.940438E-01,1.494276E-02,3.174550E+03,1.903548E+02,1.945109E-01,1.332333E-02,7.733333E+02,2.261253E+03,4.739902E-02,1.582591E-01,3.052462E+03,9.461403E+02,1.870300E-01,6.623279E-02,3.809593E+03,1.099094E+03,2.333827E-01,7.694807E-02,3.174729E+03,1.948102E+02,1.945219E-01,1.363519E-02,3.052049E+03,1.306515E+03,1.870047E-01,9.145991E-02,3.052049E+03,9.664007E+02,1.870047E-01,6.765104E-02 
00:30:00,3.831051E+03,1.014133E+03,2.346972E-01,7.099994E-02,2.613261E+03,2.513822E+03,1.601324E-01,1.759677E-01,1.339432E+03,7.753966E+02,8.209622E-02,5.426873E-02,3.035113E+03,9.788000E+02,1.859670E-01,6.851913E-02,3.174557E+03,3.185571E+02,1.945114E-01,2.229761E-02,3.830553E+03,1.322008E+03,2.346667E-01,9.255517E-02,3.830553E+03,1.034729E+03,2.346667E-01,7.244192E-02,3.166934E+03,1.906553E+02,1.940443E-01,1.334438E-02,3.174557E+03,1.688056E+02,1.945114E-01,1.181497E-02,7.733431E+02,2.247669E+03,4.739962E-02,1.573067E-01,3.052476E+03,9.216882E+02,1.870309E-01,6.452123E-02,3.809613E+03,1.067953E+03,2.333838E-01,7.476804E-02,3.174737E+03,1.724725E+02,1.945224E-01,1.207163E-02,3.052063E+03,1.262036E+03,1.870056E-01,8.834629E-02,3.052063E+03,9.406519E+02,1.870056E-01,6.584870E-02 
00:45:00,3.831069E+03,9.864476E+02,2.346983E-01,6.906163E-02,2.613282E+03,2.489485E+03,1.601336E-01,1.742641E-01,1.339437E+03,7.615282E+02,8.209657E-02,5.329773E-02,3.035126E+03,9.523216E+02,1.859678E-01,6.666562E-02,3.174564E+03,2.895869E+02,1.945118E-01,2.026963E-02,3.830571E+03,1.278130E+03,2.346678E-01,8.948305E-02,3.830571E+03,1.006020E+03,2.346678E-01,7.043192E-02,3.166941E+03,1.688180E+02,1.940447E-01,1.181585E-02,3.174564E+03,1.481699E+02,1.945118E-01,1.037056E-02,7.733524E+02,2.234454E+03,4.740019E-02,1.563806E-01,3.052489E+03,8.982279E+02,1.870317E-01,6.287901E-02,3.809630E+03,1.037857E+03,2.333849E-01,7.266094E-02,3.174744E+03,1.511499E+02,1.945228E-01,1.057915E-02,3.052076E+03,1.219523E+03,1.870064E-01,8.537025E-02,3.052076E+03,9.159613E+02,1.870064E-01,6.412036E-02 
01:00:00,3.831086E+03,9.596926E+02,2.346993E-01,6.718842E-02,2.613301E+03,2.465606E+03,1.601348E-01,1.725925E-01,1.339442E+03,7.484021E+02,8.209688E-02,5.237874E-02,3.035139E+03,9.269395E+02,1.859686E-01,6.488879E-02,3.174570E+03,2.619192E+02,1.945122E-01,1.833286E-02,3.830588E+03,1.236004E+03,2.346688E-01,8.653351E-02,3.830588E+03,9.782740E+02,2.346688E-01,6.848934E-02,3.166947E+03,1.479325E+02,1.940451E-01,1.035395E-02,3.174570E+03,1.284047E+02,1.945122E-01,8.987098E-03,7.733614E+02,2.221592E+03,4.740074E-02,1.554795E-01,3.052501E+03,8.757345E+02,1.870324E-01,6.130443E-02,3.809647E+03,1.008785E+03,2.333859E-01,7.062546E-02,3.174750E+03,1.307882E+02,1.945232E-01,9.153930E-03,3.052089E+03,1.178917E+03,1.870071E-01,8.252764E-02,3.052089E+03,8.923014E+02,1.870071E-01,6.246411E-02 
01:15:00,3.831101E+03,9.351150E+02,2.347003E-01,6.546762E-02,2.613320E+03,2.444685E+03,1.601360E-01,1.711279E-01,1.339447E+03,7.383083E+02,8.209716E-02,5.167201E-02,3.035151E+03,9.038017E+02,1.859693E-01,6.326906E-02,3.174576E+03,2.367329E+02,1.945125E-01,1.656980E-02,3.830603E+03,1.196848E+03,2.346698E-01,8.379198E-02,3.830603E+03,9.527409E+02,2.346698E-01,6.670164E-02,3.166953E+03,1.291776E+02,1.940454E-01,9.041190E-03,3.174576E+03,1.106944E+02,1.945125E-01,7.747476E-03,7.733699E+02,2.211352E+03,4.740127E-02,1.547621E-01,3.052513E+03,8.553625E+02,1.870332E-01,5.987832E-02,3.809663E+03,9.819824E+02,2.333869E-01,6.874888E-02,3.174755E+03,1.125607E+02,1.945235E-01,7.878103E-03,3.052100E+03,1.141330E+03,1.870079E-01,7.989634E-02,3.052100E+03,8.708237E+02,1.870079E-01,6.096059E-02 
01:30:00,3.831116E+03,9.118117E+02,2.347012E-01,6.383605E-02,2.613337E+03,2.424482E+03,1.601370E-01,1.697135E-01,1.339451E+03,7.289103E+02,8.209741E-02,5.101403E-02,3.035162E+03,8.819931E+02,1.859700E-01,6.174237E-02,3.174581E+03,2.131073E+02,1.945128E-01,1.491602E-02,3.830618E+03,1.159728E+03,2.346707E-01,8.119304E-02,3.830618E+03,9.285184E+02,2.346707E-01,6.500571E-02,3.166958E+03,1.116266E+02,1.940457E-01,7.812724E-03,3.174581E+03,9.411548E+01,1.945128E-01,6.587065E-03,7.733782E+02,2.201483E+03,4.740177E-02,1.540707E-01,3.052525E+03,8.362021E+02,1.870339E-01,5.853703E-02,3.809677E+03,9.565472E+02,2.333878E-01,6.696804E-02,3.174761E+03,9.553465E+01,1.945238E-01,6.686395E-03,3.052112E+03,1.105812E+03,1.870086E-01,7.740991E-02,3.052112E+03,8.506153E+02,1.870086E-01,5.954594E-02 
01:45:00,3.831130E+03,8.897773E+02,2.347020E-01,6.229334E-02,2.613353E+03,2.404978E+03,1.601380E-01,1.683481E-01,1.339455E+03,7.201119E+02,8.209763E-02,5.039803E-02,3.035173E+03,8.614941E+02,1.859707E-01,6.030738E-02,3.174586E+03,1.910091E+02,1.945131E-01,1.336918E-02,3.830632E+03,1.124602E+03,2.346715E-01,7.873366E-02,3.830632E+03,9.056010E+02,2.346715E-01,6.340117E-02,3.166963E+03,9.525086E+01,1.940460E-01,6.666533E-03,3.174586E+03,7.864326E+01,1.945131E-01,5.504130E-03,7.733862E+02,2.191953E+03,4.740226E-02,1.534032E-01,3.052535E+03,8.182416E+02,1.870345E-01,5.727976E-02,3.809691E+03,9.324711E+02,2.333886E-01,6.528238E-02,3.174765E+03,7.967711E+01,1.945241E-01,5.576490E-03,3.052122E+03,1.072305E+03,1.870092E-01,7.506429E-02,3.052122E+03,8.316612E+02,1.870092E-01,5.821911E-02 
02:00:00,3.831143E+03,8.690069E+02,2.347028E-01,6.083915E-02,2.613369E+03,2.386169E+03,1.601390E-01,1.670315E-01,1.339458E+03,7.118551E+02,8.209784E-02,4.981998E-02,3.035183E+03,8.422893E+02,1.859713E-01,5.896302E-02,3.174590E+03,1.703991E+02,1.945134E-01,1.192654E-02,3.830645E+03,1.091426E+03,2.346723E-01,7.641091E-02,3.830645E+03,8.839841E+02,2.346723E-01,6.188771E-02,3.166967E+03,8.002259E+01,1.940463E-01,5.600672E-03,3.174590E+03,6.425422E+01,1.945134E-01,4.497024E-03,7.733939E+02,2.182751E+03,4.740273E-02,1.527588E-01,3.052545E+03,8.014740E+02,1.870351E-01,5.610602E-02,3.809704E+03,9.097469E+02,2.333894E-01,6.369138E-02,3.174770E+03,6.495703E+01,1.945244E-01,4.546214E-03,3.052133E+03,1.040756E+03,1.870098E-01,7.285573E-02,3.052133E+03,8.139512E+02,1.870098E-01,5.697940E-02 
02:15:00,3.831155E+03,8.491567E+02,2.347036E-01,5.944940E-02,2.613383E+03,2.367840E+03,1.601399E-01,1.657484E-01,1.339461E+03,7.040951E+02,8.209803E-02,4.927673E-02,3.035193E+03,8.241082E+02,1.859719E-01,5.769033E-02,3.174594E+03,1.509522E+02,1.945136E-01,1.056532E-02,3.830657E+03,1.059825E+03,2.346731E-01,7.419841E-02,3.830657E+03,8.633234E+02,2.346731E-01,6.044122E-02,3.166971E+03,6.562779E+01,1.940465E-01,4.593162E-03,3.174594E+03,5.063845E+01,1.945136E-01,3.544056E-03,7.734013E+02,2.173870E+03,4.740319E-02,1.521369E-01,3.052555E+03,7.856384E+02,1.870357E-01,5.499755E-02,3.809716E+03,8.880277E+02,2.333902E-01,6.217078E-02,3.174774E+03,5.105773E+01,1.945246E-01,3.573400E-03,3.052142E+03,1.010857E+03,1.870104E-01,7.076275E-02,3.052142E+03,7.972206E+02,1.870104E-01,5.580827E-02 
02:30:00,3.831167E+03,8.302116E+02,2.347043E-01,5.812304E-02,2.613397E+03,2.349990E+03,1.601407E-01,1.644989E-01,1.339464E+03,6.967912E+02,8.209821E-02,4.876541E-02,3.035202E+03,8.069280E+02,1.859725E-01,5.648772E-02,3.174598E+03,1.326123E+02,1.945138E-01,9.281614E-03,3.830669E+03,1.029739E+03,2.346738E-01,7.209208E-02,3.830669E+03,8.436026E+02,2.346738E-01,5.906054E-02,3.166975E+03,5.202804E+01,1.940468E-01,3.641313E-03,3.174598E+03,3.776240E+01,1.945138E-01,2.642873E-03,7.734085E+02,2.165306E+03,4.740363E-02,1.515374E-01,3.052565E+03,7.707253E+02,1.870363E-01,5.395367E-02,3.809728E+03,8.672927E+02,2.333909E-01,6.071909E-02,3.174777E+03,3.793959E+01,1.945248E-01,2.655274E-03,3.052152E+03,9.825422E+02,1.870110E-01,6.878064E-02,3.052152E+03,7.814558E+02,1.870110E-01,5.470475E-02 
