Time,THERMAL ZONE 6:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 6:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 9:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 9:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 9:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 9:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 7:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 7:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 7:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 7:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 10:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 10:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 10:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 10:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 8:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 8:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 8:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 8:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 1:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:15:00,1.253958E+03,1.049638E+03,7.684201E-02,7.345217E-02,1.135923E+03,5.109108E+02,6.961310E-02,3.575424E-02,3.753582E+02,2.672270E+02,2.300640E-02,1.870273E-02,1.254527E+03,1.184691E+03,7.687687E-02,8.290300E-02,1.253958E+03,1.032077E+03,7.684201E-02,7.222325E-02,1.135050E+03,4.433341E+02,6.955954E-02,3.102541E-02,1.135075E+03,4.538519E+02,6.956111E-02,3.176142E-02,1.253938E+03,1.037832E+03,7.684078E-02,7.262599E-02,1.135075E+03,4.492509E+02,6.956111E-02,3.143946E-02,4.840132E+02,8.339807E+02,2.966348E-02,5.836420E-02 
00:30:00,1.253964E+03,1.030707E+03,7.684235E-02,7.212726E-02,1.135927E+03,4.958095E+02,6.961328E-02,3.469718E-02,3.753603E+02,2.610080E+02,2.300652E-02,1.826732E-02,1.254532E+03,1.158311E+03,7.687722E-02,8.105690E-02,1.253964E+03,1.014005E+03,7.684235E-02,7.095852E-02,1.135053E+03,4.302320E+02,6.955972E-02,3.010827E-02,1.135078E+03,4.404485E+02,6.956129E-02,3.082320E-02,1.253943E+03,1.019191E+03,7.684112E-02,7.132141E-02,1.135078E+03,4.359341E+02,6.956129E-02,3.050729E-02,4.840173E+02,8.261297E+02,2.966373E-02,5.781440E-02 
00:45:00,1.253969E+03,1.012337E+03,7.684268E-02,7.084172E-02,1.135929E+03,4.819932E+02,6.961345E-02,3.373016E-02,3.753622E+02,2.550593E+02,2.300664E-02,1.785086E-02,1.254538E+03,1.132927E+03,7.687754E-02,7.928052E-02,1.253969E+03,9.964536E+02,7.684268E-02,6.973024E-02,1.135055E+03,4.174861E+02,6.955990E-02,2.921617E-02,1.135081E+03,4.274109E+02,6.956147E-02,2.991068E-02,1.253949E+03,1.001100E+03,7.684145E-02,7.005539E-02,1.135081E+03,4.230013E+02,6.956147E-02,2.960211E-02,4.840211E+02,8.184173E+02,2.966396E-02,5.727445E-02 
01:00:00,1.253974E+03,9.945168E+02,7.684298E-02,6.959464E-02,1.135932E+03,4.688899E+02,6.961361E-02,3.281307E-02,3.753639E+02,2.493648E+02,2.300674E-02,1.745222E-02,1.254543E+03,1.108499E+03,7.687784E-02,7.757101E-02,1.253974E+03,9.794124E+02,7.684298E-02,6.853765E-02,1.135058E+03,4.050456E+02,6.956005E-02,2.834549E-02,1.135084E+03,4.147232E+02,6.956162E-02,2.902270E-02,1.253954E+03,9.835493E+02,7.684175E-02,6.882715E-02,1.135084E+03,4.104282E+02,6.956162E-02,2.872215E-02,4.840246E+02,8.108402E+02,2.966417E-02,5.674402E-02 
01:15:00,1.253978E+03,9.780632E+02,7.684326E-02,6.844314E-02,1.135934E+03,4.566567E+02,6.961375E-02,3.195690E-02,3.753655E+02,2.445726E+02,2.300684E-02,1.711674E-02,1.254547E+03,1.085823E+03,7.687812E-02,7.598409E-02,1.253978E+03,9.636987E+02,7.684326E-02,6.743793E-02,1.135060E+03,3.937133E+02,6.956020E-02,2.755240E-02,1.135086E+03,4.031103E+02,6.956177E-02,2.820997E-02,1.253958E+03,9.673547E+02,7.684203E-02,6.769378E-02,1.135086E+03,3.989354E+02,6.956177E-02,2.791782E-02,4.840279E+02,8.041081E+02,2.966437E-02,5.627276E-02 
01:30:00,1.253983E+03,9.624020E+02,7.684352E-02,6.734710E-02,1.135936E+03,4.444790E+02,6.961389E-02,3.110466E-02,3.753669E+02,2.400380E+02,2.300693E-02,1.679930E-02,1.254551E+03,1.064301E+03,7.687838E-02,7.447785E-02,1.253983E+03,9.487406E+02,7.684352E-02,6.639108E-02,1.135062E+03,3.829607E+02,6.956033E-02,2.679988E-02,1.135088E+03,3.920467E+02,6.956190E-02,2.743569E-02,1.253963E+03,9.519426E+02,7.684229E-02,6.661516E-02,1.135088E+03,3.880067E+02,6.956190E-02,2.715299E-02,4.840309E+02,7.975991E+02,2.966456E-02,5.581711E-02 
01:45:00,1.253987E+03,9.475215E+02,7.684377E-02,6.630570E-02,1.135938E+03,4.320421E+02,6.961401E-02,3.023432E-02,3.753683E+02,2.357382E+02,2.300701E-02,1.649831E-02,1.254556E+03,1.043896E+03,7.687863E-02,7.304984E-02,1.253987E+03,9.345278E+02,7.684377E-02,6.539642E-02,1.135064E+03,3.727987E+02,6.956045E-02,2.608871E-02,1.135090E+03,3.815600E+02,6.956202E-02,2.670180E-02,1.253967E+03,9.373015E+02,7.684254E-02,6.559052E-02,1.135090E+03,3.776619E+02,6.956202E-02,2.642903E-02,4.840338E+02,7.913062E+02,2.966473E-02,5.537662E-02 
02:00:00,1.253991E+03,9.334167E+02,7.684401E-02,6.531863E-02,1.135940E+03,4.197673E+02,6.961412E-02,2.937536E-02,3.753695E+02,2.316617E+02,2.300709E-02,1.621295E-02,1.254559E+03,1.024581E+03,7.687887E-02,7.169821E-02,1.253991E+03,9.210574E+02,7.684401E-02,6.445374E-02,1.135066E+03,3.632365E+02,6.956056E-02,2.541953E-02,1.135092E+03,3.716692E+02,6.956213E-02,2.600963E-02,1.253970E+03,9.234271E+02,7.684278E-02,6.461957E-02,1.135092E+03,3.679157E+02,6.956213E-02,2.574697E-02,4.840364E+02,7.852293E+02,2.966490E-02,5.495127E-02 
02:15:00,1.253994E+03,9.198475E+02,7.684423E-02,6.436906E-02,1.135942E+03,4.079236E+02,6.961423E-02,2.854656E-02,3.753707E+02,2.277922E+02,2.300716E-02,1.594210E-02,1.254563E+03,1.006094E+03,7.687909E-02,7.040451E-02,1.253994E+03,9.080912E+02,7.684423E-02,6.354637E-02,1.135068E+03,3.541092E+02,6.956067E-02,2.478079E-02,1.135094E+03,3.622170E+02,6.956224E-02,2.534816E-02,1.253974E+03,9.100804E+02,7.684300E-02,6.368557E-02,1.135094E+03,3.586082E+02,6.956224E-02,2.509562E-02,4.840390E+02,7.792996E+02,2.966505E-02,5.453625E-02 
02:30:00,1.253998E+03,9.068064E+02,7.684444E-02,6.345646E-02,1.135944E+03,3.965173E+02,6.961433E-02,2.774838E-02,3.753718E+02,2.241226E+02,2.300723E-02,1.568525E-02,1.254566E+03,9.884094E+02,7.687930E-02,6.916695E-02,1.253998E+03,8.956232E+02,7.684444E-02,6.267387E-02,1.135070E+03,3.454098E+02,6.956077E-02,2.417200E-02,1.135095E+03,3.532004E+02,6.956234E-02,2.471717E-02,1.253977E+03,8.972547E+02,7.684321E-02,6.278804E-02,1.135095E+03,3.497347E+02,6.956234E-02,2.447466E-02,4.840413E+02,7.735184E+02,2.966520E-02,5.413165E-02 
