Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,4.854684E+00,3.838677E+00,4.390444E+04,3.241120E+04 
00:30:00,4.854697E+00,3.793195E+00,4.390456E+04,3.154120E+04 
00:45:00,4.854709E+00,3.749292E+00,4.390467E+04,3.069577E+04 
01:00:00,4.854721E+00,3.708931E+00,4.390477E+04,2.989015E+04 
01:15:00,4.854732E+00,3.675511E+00,4.390487E+04,2.930688E+04 
01:30:00,4.854742E+00,3.643797E+00,4.390496E+04,2.874278E+04 
01:45:00,4.854751E+00,3.613614E+00,4.390505E+04,2.819604E+04 
02:00:00,4.854761E+00,3.585082E+00,4.390513E+04,2.766720E+04 
02:15:00,4.854769E+00,3.557695E+00,4.390521E+04,2.722794E+04 
02:30:00,4.854777E+00,3.531295E+00,4.390528E+04,2.679968E+04 
02:45:00,4.854785E+00,3.505904E+00,4.390535E+04,2.638240E+04 
03:00:00,4.854793E+00,3.481395E+00,4.390542E+04,2.597495E+04 
03:15:00,4.854800E+00,3.457350E+00,4.390548E+04,2.557407E+04 
03:30:00,4.854807E+00,3.433667E+00,4.390555E+04,2.517892E+04 
03:45:00,4.854813E+00,3.410324E+00,4.390561E+04,2.478929E+04 
04:00:00,4.854819E+00,3.387313E+00,4.390566E+04,2.440504E+04 
04:15:00,4.854825E+00,3.365030E+00,4.390572E+04,2.410078E+04 
04:30:00,4.854831E+00,3.343676E+00,4.390577E+04,2.380504E+04 
04:45:00,4.854837E+00,3.322996E+00,4.390582E+04,2.351590E+04 
05:00:00,4.854842E+00,3.302884E+00,4.390587E+04,2.323252E+04 
05:15:00,4.854847E+00,3.284710E+00,4.390591E+04,2.324496E+04 
05:30:00,4.854852E+00,3.268421E+00,4.390596E+04,2.326927E+04 
05:45:00,4.854857E+00,3.265317E+00,4.390600E+04,2.338662E+04 
06:00:00,4.854862E+00,3.282375E+00,4.390604E+04,2.364898E+04 
06:15:00,4.571222E+00,3.484878E+00,4.134089E+04,2.562887E+04 
06:30:00,4.287316E+00,3.722503E+00,3.877332E+04,2.793285E+04 
06:45:00,4.003478E+00,4.029741E+00,3.620636E+04,3.084063E+04 
07:00:00,3.734014E+00,4.359525E+00,3.376941E+04,3.401619E+04 
07:15:00,3.733780E+00,4.493311E+00,3.376729E+04,3.669118E+04 
07:30:00,3.733651E+00,4.624696E+00,3.376612E+04,3.944282E+04 
07:45:00,3.733486E+00,4.751926E+00,3.376463E+04,4.225290E+04 
08:00:00,3.733366E+00,4.876718E+00,3.376354E+04,4.513279E+04 
08:15:00,3.733270E+00,5.000287E+00,3.376268E+04,4.830507E+04 
08:30:00,3.733191E+00,5.130406E+00,3.376196E+04,5.164354E+04 
08:45:00,3.733125E+00,5.272802E+00,3.376137E+04,5.521616E+04 
09:00:00,3.733070E+00,5.414025E+00,3.376087E+04,5.889156E+04 
09:15:00,3.733023E+00,5.549205E+00,3.376044E+04,6.237639E+04 
09:30:00,3.732983E+00,5.685724E+00,3.376008E+04,6.597490E+04 
09:45:00,3.732949E+00,5.812917E+00,3.375978E+04,6.956091E+04 
10:00:00,3.732920E+00,5.931144E+00,3.375951E+04,7.312872E+04 
10:15:00,3.732894E+00,6.041871E+00,3.375928E+04,7.642914E+04 
10:30:00,3.732872E+00,6.144706E+00,3.375907E+04,7.969814E+04 
10:45:00,3.732852E+00,6.238842E+00,3.375889E+04,8.291740E+04 
11:00:00,3.732834E+00,6.322234E+00,3.375873E+04,8.605072E+04 
11:15:00,3.732818E+00,6.391896E+00,3.375859E+04,8.836376E+04 
11:30:00,3.732803E+00,6.444025E+00,3.375846E+04,9.046041E+04 
11:45:00,3.732790E+00,6.474695E+00,3.375834E+04,9.227351E+04 
12:00:00,3.732778E+00,6.483861E+00,3.375823E+04,9.378866E+04 
12:15:00,3.732767E+00,6.479997E+00,3.375813E+04,9.483972E+04 
