Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,1.986619E+00,2.444406E-01,4.890864E+04,3.070230E+03 
00:30:00,1.986626E+00,2.432368E-01,4.890881E+04,3.017347E+03 
00:45:00,1.986632E+00,2.432368E-01,4.890896E+04,2.979584E+03 
01:00:00,1.986637E+00,2.432368E-01,4.890910E+04,2.941822E+03 
01:15:00,1.986642E+00,2.432368E-01,4.890921E+04,2.916647E+03 
01:30:00,1.986646E+00,2.432368E-01,4.890932E+04,2.891471E+03 
01:45:00,1.986650E+00,2.432368E-01,4.890941E+04,2.866296E+03 
02:00:00,1.986653E+00,2.432368E-01,4.890949E+04,2.841121E+03 
02:15:00,1.986656E+00,2.432368E-01,4.890957E+04,2.822240E+03 
02:30:00,1.986659E+00,2.432368E-01,4.890963E+04,2.803359E+03 
02:45:00,1.986662E+00,2.432368E-01,4.890969E+04,2.784477E+03 
03:00:00,1.986664E+00,2.432368E-01,4.890975E+04,2.765596E+03 
03:15:00,1.986666E+00,2.432368E-01,4.890979E+04,2.746715E+03 
03:30:00,1.986668E+00,2.432368E-01,4.890984E+04,2.727833E+03 
03:45:00,1.986669E+00,2.432368E-01,4.890988E+04,2.708952E+03 
04:00:00,1.986671E+00,2.432368E-01,4.890991E+04,2.690071E+03 
04:15:00,1.986672E+00,2.432368E-01,4.890995E+04,2.677483E+03 
04:30:00,1.986673E+00,2.432368E-01,4.890998E+04,2.664895E+03 
04:45:00,1.986674E+00,2.432368E-01,4.891001E+04,2.652308E+03 
05:00:00,1.986675E+00,2.432368E-01,4.891003E+04,2.639720E+03 
05:15:00,1.986676E+00,2.432368E-01,4.891006E+04,2.652308E+03 
05:30:00,1.986677E+00,2.432368E-01,4.891008E+04,2.664895E+03 
05:45:00,1.986678E+00,2.432368E-01,4.891010E+04,2.677483E+03 
06:00:00,1.986679E+00,2.432368E-01,4.891012E+04,2.690071E+03 
06:15:00,1.836072E+00,2.493161E-01,4.520232E+04,2.802462E+03 
06:30:00,1.685330E+00,2.736309E-01,4.149119E+04,3.125337E+03 
06:45:00,1.534596E+00,3.008496E-01,3.778028E+04,3.490713E+03 
07:00:00,1.383802E+00,3.362728E-01,3.406788E+04,3.962631E+03 
07:15:00,1.383581E+00,3.625667E-01,3.406242E+04,4.431962E+03 
07:30:00,1.383466E+00,3.878111E-01,3.405961E+04,4.911136E+03 
07:45:00,1.383318E+00,4.129022E-01,3.405595E+04,5.410508E+03 
08:00:00,1.383208E+00,4.470528E-01,3.405324E+04,6.054653E+03 
08:15:00,1.383114E+00,4.808796E-01,3.405094E+04,6.749199E+03 
08:30:00,1.383033E+00,5.146767E-01,3.404894E+04,7.476574E+03 
08:45:00,1.382963E+00,5.481252E-01,3.404722E+04,8.231945E+03 
09:00:00,1.382904E+00,5.808300E-01,3.404577E+04,9.008669E+03 
09:15:00,1.382855E+00,6.112791E-01,3.404456E+04,9.749822E+03 
09:30:00,1.382814E+00,6.385629E-01,3.404354E+04,1.046588E+04 
09:45:00,1.382778E+00,6.626958E-01,3.404267E+04,1.115292E+04 
10:00:00,1.382748E+00,6.850463E-01,3.404193E+04,1.183041E+04 
10:15:00,1.382722E+00,7.059368E-01,3.404129E+04,1.246517E+04 
10:30:00,1.382700E+00,7.256907E-01,3.404075E+04,1.309563E+04 
10:45:00,1.382681E+00,7.438814E-01,3.404028E+04,1.371262E+04 
