Time,THERMAL ZONE 4:PHILADELPHIA NE PHILADELPHIA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:PHILADELPHIA NE PHILADELPHIA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:PHILADELPHIA NE PHILADELPHIA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:PHILADELPHIA NE PHILADELPHIA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:PHILADELPHIA NE PHILADELPHIA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:PHILADELPHIA NE PHILADELPHIA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:PHILADELPHIA NE PHILADELPHIA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:PHILADELPHIA NE PHILADELPHIA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:PHILADELPHIA NE PHILADELPHIA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:PHILADELPHIA NE PHILADELPHIA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:PHILADELPHIA NE PHILADELPHIA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:PHILADELPHIA NE PHILADELPHIA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:PHILADELPHIA NE PHILADELPHIA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:PHILADELPHIA NE PHILADELPHIA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:PHILADELPHIA NE PHILADELPHIA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:PHILADELPHIA NE PHILADELPHIA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 1:PHILADELPHIA NE PHILADELPHIA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:PHILADELPHIA NE PHILADELPHIA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:PHILADELPHIA NE PHILADELPHIA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:PHILADELPHIA NE PHILADELPHIA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:15:00,4.891728E+03,1.765204E+02,2.996725E-01,1.235510E-02,4.891728E+03,3.110425E+02,2.996725E-01,2.177195E-02,4.877306E+03,1.901744E+02,2.987890E-01,1.331086E-02,6.403403E+03,1.494034E+03,3.923723E-01,1.045756E-01,4.877306E+03,1.634168E+02,2.987890E-01,1.143788E-02 
00:30:00,4.891744E+03,1.444234E+02,2.996735E-01,1.010842E-02,4.891744E+03,2.691666E+02,2.996735E-01,1.884052E-02,4.877322E+03,1.573170E+02,2.987899E-01,1.101094E-02,6.403430E+03,1.447187E+03,3.923740E-01,1.012963E-01,4.877322E+03,1.326871E+02,2.987899E-01,9.286922E-03 
00:45:00,4.891758E+03,1.135646E+02,2.996743E-01,7.948457E-03,4.891758E+03,2.292207E+02,2.996743E-01,1.604423E-02,4.877335E+03,1.256995E+02,2.987908E-01,8.797845E-03,6.403454E+03,1.401742E+03,3.923754E-01,9.811517E-02,4.877335E+03,1.030194E+02,2.987908E-01,7.210352E-03 
01:00:00,4.891770E+03,8.388973E+01,2.996751E-01,5.871407E-03,4.891770E+03,1.911233E+02,2.996751E-01,1.337739E-02,4.877348E+03,9.527616E+01,2.987915E-01,6.668380E-03,6.403475E+03,1.357638E+03,3.923767E-01,9.502787E-02,4.877348E+03,7.438228E+01,2.987915E-01,5.205958E-03 
01:15:00,4.891781E+03,5.706004E+01,2.996757E-01,3.993551E-03,4.891781E+03,1.564997E+02,2.996757E-01,1.095378E-02,4.877359E+03,6.771391E+01,2.987922E-01,4.739227E-03,6.403493E+03,1.320087E+03,3.923779E-01,9.239927E-02,4.877359E+03,4.845609E+01,2.987922E-01,3.391358E-03 
01:30:00,4.891791E+03,3.267213E+01,2.996763E-01,2.286650E-03,4.891791E+03,1.240892E+02,2.996763E-01,8.685147E-03,4.877368E+03,4.179157E+01,2.987928E-01,2.924913E-03,6.403510E+03,1.284443E+03,3.923789E-01,8.990414E-02,4.877368E+03,2.654820E+01,2.987928E-01,1.858042E-03 
01:45:00,4.891799E+03,1.530126E+01,2.996768E-01,1.070889E-03,4.891799E+03,9.382117E+01,2.996768E-01,6.566545E-03,4.877377E+03,2.166960E+01,2.987933E-01,1.516596E-03,6.403524E+03,1.250603E+03,3.923797E-01,8.753536E-02,4.877377E+03,1.141824E+01,2.987933E-01,7.991241E-04 
02:00:00,4.891807E+03,4.768910E+00,2.996773E-01,3.337575E-04,4.891807E+03,6.562264E+01,2.996773E-01,4.592861E-03,4.877385E+03,8.566690E+00,2.987938E-01,5.995518E-04,6.403537E+03,1.218488E+03,3.923805E-01,8.528732E-02,4.877385E+03,2.918033E+00,2.987938E-01,2.042206E-04 
02:15:00,4.891814E+03,0.000000E+00,2.996777E-01,0.000000E+00,4.891814E+03,3.872526E+01,2.996777E-01,2.710311E-03,4.877392E+03,1.402768E+00,2.987942E-01,9.817335E-05,6.403548E+03,1.187568E+03,3.923812E-01,8.312292E-02,4.877392E+03,0.000000E+00,2.987942E-01,0.000000E+00 
02:30:00,4.891820E+03,0.000000E+00,2.996781E-01,0.000000E+00,4.891820E+03,1.900933E+01,2.996781E-01,1.330413E-03,4.877398E+03,0.000000E+00,2.987946E-01,0.000000E+00,6.403558E+03,1.157737E+03,3.923818E-01,8.103479E-02,4.877398E+03,0.000000E+00,2.987946E-01,0.000000E+00 
02:45:00,4.891826E+03,0.000000E+00,2.996785E-01,0.000000E+00,4.891826E+03,6.187246E+00,2.996785E-01,4.330239E-04,4.877404E+03,0.000000E+00,2.987950E-01,0.000000E+00,6.403567E+03,1.128860E+03,3.923824E-01,7.901344E-02,4.877404E+03,0.000000E+00,2.987950E-01,0.000000E+00 
03:00:00,4.891831E+03,0.000000E+00,2.996788E-01,0.000000E+00,4.891831E+03,0.000000E+00,2.996788E-01,0.000000E+00,4.877409E+03,0.000000E+00,2.987953E-01,0.000000E+00,6.403576E+03,1.100791E+03,3.923829E-01,7.704862E-02,4.877409E+03,0.000000E+00,2.987953E-01,0.000000E+00 
03:15:00,4.891835E+03,0.000000E+00,2.996791E-01,0.000000E+00,4.891835E+03,0.000000E+00,2.996791E-01,0.000000E+00,4.877413E+03,0.000000E+00,2.987956E-01,0.000000E+00,6.403583E+03,1.072935E+03,3.923833E-01,7.509876E-02,4.877413E+03,0.000000E+00,2.987956E-01,0.000000E+00 
