Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,9.786070E+00,6.866959E+00,2.320733E+05,9.212622E+04 
00:30:00,9.786111E+00,6.789992E+00,2.320743E+05,9.013158E+04 
00:45:00,9.786151E+00,6.717723E+00,2.320753E+05,8.822048E+04 
01:00:00,9.786188E+00,6.649216E+00,2.320761E+05,8.637871E+04 
01:15:00,9.786223E+00,6.590741E+00,2.320770E+05,8.499653E+04 
01:30:00,9.786256E+00,6.535250E+00,2.320778E+05,8.366361E+04 
01:45:00,9.786287E+00,6.482602E+00,2.320785E+05,8.237728E+04 
02:00:00,9.786317E+00,6.432711E+00,2.320792E+05,8.113568E+04 
02:15:00,9.786346E+00,6.384916E+00,2.320799E+05,8.008053E+04 
02:30:00,9.786373E+00,6.339177E+00,2.320805E+05,7.905777E+04 
02:45:00,9.786399E+00,6.295417E+00,2.320812E+05,7.806605E+04 
03:00:00,9.786424E+00,6.253588E+00,2.320817E+05,7.710433E+04 
03:15:00,9.786448E+00,6.213048E+00,2.320823E+05,7.616434E+04 
03:30:00,9.786470E+00,6.173718E+00,2.320828E+05,7.524484E+04 
03:45:00,9.786492E+00,6.136341E+00,2.320834E+05,7.435458E+04 
04:00:00,9.786513E+00,6.100226E+00,2.320839E+05,7.348482E+04 
04:15:00,9.786533E+00,6.065778E+00,2.320843E+05,7.278337E+04 
04:30:00,9.786553E+00,6.033022E+00,2.320848E+05,7.210540E+04 
04:45:00,9.786571E+00,6.001798E+00,2.320852E+05,7.144876E+04 
05:00:00,9.786589E+00,5.974100E+00,2.320857E+05,7.083689E+04 
05:15:00,9.786606E+00,5.958599E+00,2.320861E+05,7.093449E+04 
05:30:00,9.786623E+00,5.963989E+00,2.320865E+05,7.128034E+04 
05:45:00,9.786639E+00,5.996875E+00,2.320868E+05,7.195660E+04 
06:00:00,9.786654E+00,6.059284E+00,2.320872E+05,7.299162E+04 
06:15:00,9.159710E+00,6.360944E+00,2.172194E+05,7.767694E+04 
06:30:00,8.532086E+00,6.700859E+00,2.023356E+05,8.293548E+04 
06:45:00,7.904556E+00,7.059930E+00,1.874539E+05,8.854664E+04 
07:00:00,7.276757E+00,7.428369E+00,1.725658E+05,9.439556E+04 
07:15:00,7.275763E+00,7.605905E+00,1.725423E+05,9.970491E+04 
07:30:00,7.275337E+00,7.780527E+00,1.725322E+05,1.051174E+05 
07:45:00,7.274727E+00,7.951235E+00,1.725177E+05,1.106157E+05 
08:00:00,7.274309E+00,8.122165E+00,1.725078E+05,1.162542E+05 
08:15:00,7.273977E+00,8.293207E+00,1.724999E+05,1.224233E+05 
08:30:00,7.273700E+00,8.467984E+00,1.724934E+05,1.288026E+05 
08:45:00,7.273465E+00,8.649119E+00,1.724878E+05,1.354384E+05 
09:00:00,7.273266E+00,8.833177E+00,1.724831E+05,1.422838E+05 
09:15:00,7.273096E+00,9.016555E+00,1.724790E+05,1.488572E+05 
09:30:00,7.272951E+00,9.196175E+00,1.724756E+05,1.555144E+05 
09:45:00,7.272825E+00,9.368456E+00,1.724726E+05,1.621886E+05 
10:00:00,7.272714E+00,9.531524E+00,1.724700E+05,1.688380E+05 
10:15:00,7.272616E+00,9.683958E+00,1.724676E+05,1.749684E+05 
10:30:00,7.272529E+00,9.825252E+00,1.724656E+05,1.810015E+05 
10:45:00,7.272451E+00,9.954597E+00,1.724637E+05,1.869103E+05 
11:00:00,7.272380E+00,1.006954E+01,1.724620E+05,1.926353E+05 
11:15:00,7.272316E+00,1.016560E+01,1.724605E+05,1.968735E+05 
11:30:00,7.272257E+00,1.023769E+01,1.724591E+05,2.006871E+05 
11:45:00,7.272203E+00,1.028266E+01,1.724578E+05,2.039969E+05 
12:00:00,7.272153E+00,1.030302E+01,1.724566E+05,2.068337E+05 
12:15:00,7.272106E+00,1.031234E+01,1.724555E+05,2.089691E+05 
12:30:00,7.272063E+00,1.033161E+01,1.724545E+05,2.113113E+05 
12:45:00,7.272022E+00,1.037677E+01,1.724535E+05,2.141953E+05 
13:00:00,7.271984E+00,1.045488E+01,1.724526E+05,2.177826E+05 
13:15:00,7.271948E+00,1.056014E+01,1.724518E+05,2.212221E+05 
13:30:00,7.271914E+00,1.068045E+01,1.724510E+05,2.250035E+05 
13:45:00,7.271882E+00,1.080406E+01,1.724502E+05,2.288832E+05 
14:00:00,7.271851E+00,1.092378E+01,1.724495E+05,2.327093E+05 
14:15:00,7.271822E+00,1.103517E+01,1.724488E+05,2.350822E+05 
14:30:00,7.271794E+00,1.113372E+01,1.724482E+05,2.371816E+05 
14:45:00,7.271768E+00,1.121848E+01,1.724475E+05,2.389873E+05 
15:00:00,7.271743E+00,1.128771E+01,1.724469E+05,2.404621E+05 
15:15:00,7.271719E+00,1.133923E+01,1.724464E+05,2.399531E+05 
15:30:00,7.271696E+00,1.137189E+01,1.724458E+05,2.390330E+05 
15:45:00,7.271674E+00,1.138401E+01,1.724453E+05,2.376747E+05 
16:00:00,7.271653E+00,1.137564E+01,1.724448E+05,2.358883E+05 
16:15:00,7.271633E+00,1.135024E+01,1.724443E+05,2.332172E+05 
16:30:00,7.271613E+00,1.130844E+01,1.724439E+05,2.302221E+05 
16:45:00,7.271595E+00,1.125730E+01,1.724434E+05,2.270543E+05 
17:00:00,7.271577E+00,1.120128E+01,1.724430E+05,2.238085E+05 
17:15:00,7.271559E+00,1.114083E+01,1.724426E+05,2.199698E+05 
17:30:00,7.271543E+00,1.107532E+01,1.724422E+05,2.160609E+05 
17:45:00,7.271527E+00,1.099707E+01,1.724418E+05,2.119376E+05 
18:00:00,7.271512E+00,1.089880E+01,1.724415E+05,2.074699E+05 
18:15:00,7.898614E+00,1.076830E+01,1.873130E+05,2.011715E+05 
18:30:00,8.525993E+00,1.060413E+01,2.021911E+05,1.943484E+05 
18:45:00,9.153591E+00,1.040859E+01,2.170743E+05,1.870778E+05 
19:00:00,9.781445E+00,1.017811E+01,2.319637E+05,1.793301E+05 
19:15:00,9.782315E+00,9.928829E+00,2.319843E+05,1.723589E+05 
19:30:00,9.783002E+00,9.678601E+00,2.320006E+05,1.655010E+05 
19:45:00,9.783556E+00,9.442252E+00,2.320137E+05,1.590068E+05 
20:00:00,9.783933E+00,9.236536E+00,2.320227E+05,1.531433E+05 
20:15:00,9.784247E+00,9.064867E+00,2.320301E+05,1.483705E+05 
20:30:00,9.784523E+00,8.918012E+00,2.320367E+05,1.440715E+05 
20:45:00,9.784760E+00,8.787115E+00,2.320423E+05,1.400893E+05 
21:00:00,9.784959E+00,8.667694E+00,2.320470E+05,1.363433E+05 
21:15:00,9.785124E+00,8.556872E+00,2.320509E+05,1.327815E+05 
21:30:00,9.785264E+00,8.453201E+00,2.320542E+05,1.293763E+05 
21:45:00,9.785384E+00,8.355524E+00,2.320571E+05,1.261055E+05 
22:00:00,9.785490E+00,8.263056E+00,2.320596E+05,1.229538E+05 
22:15:00,9.785583E+00,8.017247E+00,2.320618E+05,1.179710E+05 
22:30:00,9.785666E+00,7.768392E+00,2.320638E+05,1.130250E+05 
22:45:00,9.785740E+00,7.517624E+00,2.320655E+05,1.081339E+05 
23:00:00,9.785807E+00,7.271063E+00,2.320671E+05,1.033854E+05 
23:15:00,9.785869E+00,7.181584E+00,2.320686E+05,1.009260E+05 
23:30:00,9.785925E+00,7.100002E+00,2.320699E+05,9.860590E+04 
