Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,1.426565E+00,6.503154E-01,1.304481E+04,1.344852E+04 
00:30:00,1.426568E+00,6.344908E-01,1.304484E+04,1.300650E+04 
00:45:00,1.426571E+00,6.189736E-01,1.304487E+04,1.257645E+04 
01:00:00,1.426574E+00,6.036331E-01,1.304490E+04,1.215558E+04 
01:15:00,1.426576E+00,5.897005E-01,1.304492E+04,1.180391E+04 
01:30:00,1.426578E+00,5.762890E-01,1.304494E+04,1.146596E+04 
01:45:00,1.426580E+00,5.634325E-01,1.304495E+04,1.114223E+04 
02:00:00,1.426582E+00,5.511975E-01,1.304497E+04,1.083381E+04 
02:15:00,1.426583E+00,5.393973E-01,1.304498E+04,1.055309E+04 
02:30:00,1.426585E+00,5.280427E-01,1.304500E+04,1.028319E+04 
02:45:00,1.426586E+00,5.171384E-01,1.304501E+04,1.002407E+04 
03:00:00,1.426587E+00,5.066862E-01,1.304502E+04,9.775640E+03 
03:15:00,1.426588E+00,4.964715E-01,1.304503E+04,9.533666E+03 
03:30:00,1.426589E+00,4.864865E-01,1.304503E+04,9.297929E+03 
03:45:00,1.426590E+00,4.767232E-01,1.304504E+04,9.068216E+03 
04:00:00,1.426591E+00,4.671738E-01,1.304505E+04,8.844318E+03 
04:15:00,1.426591E+00,4.580492E-01,1.304506E+04,8.643959E+03 
04:30:00,1.426592E+00,4.493485E-01,1.304506E+04,8.452674E+03 
04:45:00,1.426593E+00,4.410939E-01,1.304507E+04,8.270802E+03 
05:00:00,1.426593E+00,4.332792E-01,1.304507E+04,8.098148E+03 
05:15:00,1.426594E+00,4.265511E-01,1.304508E+04,7.998116E+03 
05:30:00,1.426594E+00,4.209218E-01,1.304508E+04,7.917940E+03 
05:45:00,1.426595E+00,4.170871E-01,1.304508E+04,7.870953E+03 
06:00:00,1.426595E+00,4.179718E-01,1.304509E+04,7.912847E+03 
06:15:00,1.331785E+00,4.290205E-01,1.217812E+04,8.212549E+03 
06:30:00,1.236913E+00,4.487748E-01,1.131060E+04,8.685397E+03 
06:45:00,1.142048E+00,4.762224E-01,1.044313E+04,9.317100E+03 
07:00:00,1.047156E+00,5.075031E-01,9.575416E+03,1.003619E+04 
07:15:00,1.047056E+00,5.371767E-01,9.574503E+03,1.089829E+04 
07:30:00,1.047003E+00,5.659219E-01,9.574023E+03,1.177150E+04 
07:45:00,1.046932E+00,5.956167E-01,9.573372E+03,1.269441E+04 
08:00:00,1.046879E+00,6.265545E-01,9.572882E+03,1.367488E+04 
08:15:00,1.046834E+00,6.575006E-01,9.572474E+03,1.472689E+04 
08:30:00,1.046796E+00,6.887059E-01,9.572125E+03,1.582031E+04 
08:45:00,1.046763E+00,7.181074E-01,9.571824E+03,1.690700E+04 
09:00:00,1.046735E+00,7.465094E-01,9.571567E+03,1.800327E+04 
09:15:00,1.046711E+00,7.738976E-01,9.571347E+03,1.906039E+04 
