Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,5.033822E-01,1.371214E-01,4.552451E+03,1.157761E+03 
00:30:00,5.033851E-01,1.328672E-01,4.552478E+03,1.104818E+03 
00:45:00,5.033879E-01,1.288067E-01,4.552502E+03,1.054551E+03 
01:00:00,5.033904E-01,1.249417E-01,4.552525E+03,1.006901E+03 
01:15:00,5.033927E-01,1.214638E-01,4.552547E+03,9.684981E+02 
01:30:00,5.033949E-01,1.182092E-01,4.552567E+03,9.324511E+02 
01:45:00,5.033970E-01,1.151595E-01,4.552585E+03,8.985581E+02 
02:00:00,5.033989E-01,1.122916E-01,4.552602E+03,8.665894E+02 
02:15:00,5.034007E-01,1.095518E-01,4.552619E+03,8.384281E+02 
02:30:00,5.034024E-01,1.069342E-01,4.552634E+03,8.115448E+02 
02:45:00,5.034040E-01,1.044109E-01,4.552649E+03,7.857062E+02 
03:00:00,5.034055E-01,1.019727E-01,4.552662E+03,7.608259E+02 
03:15:00,5.034069E-01,9.956126E-02,4.552675E+03,7.364562E+02 
03:30:00,5.034083E-01,9.717235E-02,4.552687E+03,7.125605E+02 
03:45:00,5.034096E-01,9.478626E-02,4.552699E+03,6.889914E+02 
04:00:00,5.034108E-01,9.238463E-02,4.552710E+03,6.656161E+02 
04:15:00,5.034119E-01,9.012280E-02,4.552720E+03,6.454711E+02 
04:30:00,5.034130E-01,8.823180E-02,4.552730E+03,6.281595E+02 
04:45:00,5.034141E-01,8.644499E-02,4.552739E+03,6.117467E+02 
05:00:00,5.034150E-01,8.467353E-02,4.552748E+03,5.955945E+02 
05:15:00,5.034160E-01,8.325653E-02,4.552757E+03,5.891829E+02 
05:30:00,5.034169E-01,8.203274E-02,4.552765E+03,5.840258E+02 
05:45:00,5.034177E-01,8.136629E-02,4.552773E+03,5.827559E+02 
06:00:00,5.034186E-01,8.160062E-02,4.552780E+03,5.879191E+02 
06:15:00,4.638295E-01,9.478535E-02,4.194748E+03,6.970807E+02 
06:30:00,4.242184E-01,1.126487E-01,3.836515E+03,8.452915E+02 
06:45:00,3.846111E-01,1.311753E-01,3.478318E+03,1.003918E+03 
07:00:00,3.449938E-01,1.499126E-01,3.120030E+03,1.169727E+03 
07:15:00,3.449598E-01,1.547135E-01,3.119722E+03,1.263349E+03 
07:30:00,3.449426E-01,1.620894E-01,3.119567E+03,1.382418E+03 
07:45:00,3.449166E-01,1.708428E-01,3.119332E+03,1.519090E+03 
08:00:00,3.448965E-01,1.791207E-01,3.119150E+03,1.657717E+03 
08:15:00,3.448790E-01,1.876341E-01,3.118991E+03,1.812631E+03 
08:30:00,3.448634E-01,1.960501E-01,3.118850E+03,1.973474E+03 
08:45:00,3.448495E-01,2.044467E-01,3.118724E+03,2.140942E+03 
09:00:00,3.448371E-01,2.128454E-01,3.118613E+03,2.315246E+03 
09:15:00,3.448262E-01,2.211182E-01,3.118514E+03,2.485502E+03 
09:30:00,3.448165E-01,2.309961E-01,3.118427E+03,2.680388E+03 
