Time,THERMAL ZONE 13:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 13:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 13:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 13:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 9:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 9:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 9:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 9:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 10:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 10:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 10:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 10:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 1:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 14:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 14:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 14:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 14:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 8:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 8:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 8:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 8:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 6:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 6:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 12:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 12:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 12:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 12:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 15:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 15:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 15:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 15:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 11:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 11:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 11:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 11:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 7:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 7:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 7:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 7:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:15:00,6.001401E+02,2.000224E+02,3.677533E-02,1.399790E-02,4.775437E+02,1.600706E+02,2.926446E-02,1.120217E-02,5.567358E+02,1.187472E+01,3.411746E-02,8.310412E-04,1.229029E+01,7.391247E+00,7.532696E-04,5.172670E-04,4.775834E+02,1.518548E+02,2.926690E-02,1.062720E-02,5.567358E+02,0.000000E+00,3.411746E-02,0.000000E+00,4.775437E+02,1.851808E+02,2.926446E-02,1.295941E-02,6.001499E+02,1.476348E+02,3.677593E-02,1.033178E-02,5.566214E+02,0.000000E+00,3.411045E-02,0.000000E+00,4.775834E+02,2.176751E+02,2.926690E-02,1.523339E-02,5.566214E+02,0.000000E+00,3.411045E-02,0.000000E+00,1.270525E+01,0.000000E+00,7.787281E-04,0.000000E+00,9.017688E+00,7.287346E+00,5.527107E-04,5.100008E-04,6.001401E+02,1.391986E+02,3.677533E-02,9.741403E-03,6.001499E+02,1.708227E+02,3.677593E-02,1.195449E-02 
00:30:00,6.001439E+02,1.907240E+02,3.677556E-02,1.334715E-02,4.775468E+02,1.551556E+02,2.926465E-02,1.085814E-02,5.567383E+02,5.536606E+00,3.411761E-02,3.874737E-04,1.229060E+01,7.145227E+00,7.532886E-04,5.000490E-04,4.775865E+02,1.478901E+02,2.926708E-02,1.034968E-02,5.567383E+02,0.000000E+00,3.411761E-02,0.000000E+00,4.775468E+02,1.785013E+02,2.926465E-02,1.249191E-02,6.001537E+02,1.416631E+02,3.677616E-02,9.913832E-03,5.566239E+02,0.000000E+00,3.411060E-02,0.000000E+00,4.775865E+02,2.088315E+02,2.926708E-02,1.461445E-02,5.566239E+02,0.000000E+00,3.411060E-02,0.000000E+00,1.270548E+01,0.000000E+00,7.787422E-04,0.000000E+00,9.017909E+00,7.057109E+00,5.527242E-04,4.938872E-04,6.001439E+02,1.338963E+02,3.677556E-02,9.370303E-03,6.001537E+02,1.634180E+02,3.677616E-02,1.143626E-02 
00:45:00,6.001475E+02,1.818142E+02,3.677578E-02,1.272362E-02,4.775496E+02,1.505708E+02,2.926482E-02,1.053725E-02,5.567406E+02,1.599954E+00,3.411775E-02,1.119710E-04,1.229089E+01,6.905378E+00,7.533062E-04,4.832632E-04,4.775894E+02,1.441128E+02,2.926726E-02,1.008529E-02,5.567406E+02,0.000000E+00,3.411775E-02,0.000000E+00,4.775496E+02,1.721284E+02,2.926482E-02,1.204589E-02,6.001573E+02,1.359400E+02,3.677638E-02,9.513303E-03,5.566262E+02,0.000000E+00,3.411074E-02,0.000000E+00,4.775894E+02,2.003917E+02,2.926726E-02,1.402379E-02,5.566262E+02,0.000000E+00,3.411074E-02,0.000000E+00,1.270569E+01,0.000000E+00,7.787552E-04,0.000000E+00,9.018116E+00,6.833662E+00,5.527369E-04,4.782490E-04,6.001475E+02,1.288294E+02,3.677578E-02,9.015694E-03,6.001573E+02,1.563046E+02,3.677638E-02,1.093844E-02 
01:00:00,6.001508E+02,1.732842E+02,3.677599E-02,1.212667E-02,4.775523E+02,1.463353E+02,2.926499E-02,1.024081E-02,5.567427E+02,0.000000E+00,3.411788E-02,0.000000E+00,1.229115E+01,6.671542E+00,7.533225E-04,4.668983E-04,4.775921E+02,1.404997E+02,2.926743E-02,9.832408E-03,5.567427E+02,0.000000E+00,3.411788E-02,0.000000E+00,4.775523E+02,1.660608E+02,2.926499E-02,1.162124E-02,6.001606E+02,1.304783E+02,3.677659E-02,9.131075E-03,5.566283E+02,0.000000E+00,3.411087E-02,0.000000E+00,4.775921E+02,1.923463E+02,2.926743E-02,1.346074E-02,5.566283E+02,0.000000E+00,3.411087E-02,0.000000E+00,1.270589E+01,0.000000E+00,7.787671E-04,0.000000E+00,9.018309E+00,6.616794E+00,5.527488E-04,4.630714E-04,6.001508E+02,1.240346E+02,3.677599E-02,8.680131E-03,6.001606E+02,1.494812E+02,3.677659E-02,1.046091E-02 
01:15:00,6.001539E+02,1.654596E+02,3.677618E-02,1.157908E-02,4.775549E+02,1.426895E+02,2.926515E-02,9.985639E-03,5.567446E+02,0.000000E+00,3.411800E-02,0.000000E+00,1.229140E+01,6.448902E+00,7.533376E-04,4.513168E-04,4.775946E+02,1.372072E+02,2.926758E-02,9.601966E-03,5.567446E+02,0.000000E+00,3.411800E-02,0.000000E+00,4.775549E+02,1.606128E+02,2.926515E-02,1.123996E-02,6.001637E+02,1.256323E+02,3.677677E-02,8.791931E-03,5.566301E+02,0.000000E+00,3.411098E-02,0.000000E+00,4.775946E+02,1.849999E+02,2.926758E-02,1.294661E-02,5.566301E+02,0.000000E+00,3.411098E-02,0.000000E+00,1.270606E+01,0.000000E+00,7.787779E-04,0.000000E+00,9.018489E+00,6.411232E+00,5.527598E-04,4.486849E-04,6.001539E+02,1.198534E+02,3.677618E-02,8.387510E-03,6.001637E+02,1.432808E+02,3.677677E-02,1.002700E-02 
01:30:00,6.001568E+02,1.580934E+02,3.677635E-02,1.106358E-02,4.775573E+02,1.392512E+02,2.926529E-02,9.745000E-03,5.567463E+02,0.000000E+00,3.411810E-02,0.000000E+00,1.229163E+01,6.232587E+00,7.533515E-04,4.361780E-04,4.775970E+02,1.340787E+02,2.926773E-02,9.383017E-03,5.567463E+02,0.000000E+00,3.411810E-02,0.000000E+00,4.775573E+02,1.555501E+02,2.926529E-02,1.088565E-02,6.001666E+02,1.212184E+02,3.677695E-02,8.483033E-03,5.566319E+02,0.000000E+00,3.411109E-02,0.000000E+00,4.775970E+02,1.781040E+02,2.926773E-02,1.246401E-02,5.566319E+02,0.000000E+00,3.411109E-02,0.000000E+00,1.270622E+01,0.000000E+00,7.787879E-04,0.000000E+00,9.018658E+00,6.212085E+00,5.527701E-04,4.347475E-04,6.001568E+02,1.159506E+02,3.677635E-02,8.114376E-03,6.001666E+02,1.374659E+02,3.677695E-02,9.620051E-03 
01:45:00,6.001595E+02,1.511780E+02,3.677652E-02,1.057963E-02,4.775596E+02,1.359691E+02,2.926543E-02,9.515293E-03,5.567479E+02,0.000000E+00,3.411820E-02,0.000000E+00,1.229184E+01,6.022521E+00,7.533645E-04,4.214766E-04,4.775993E+02,1.310118E+02,2.926787E-02,9.168378E-03,5.567479E+02,0.000000E+00,3.411820E-02,0.000000E+00,4.775596E+02,1.508868E+02,2.926543E-02,1.055929E-02,6.001693E+02,1.171806E+02,3.677712E-02,8.200446E-03,5.566335E+02,0.000000E+00,3.411119E-02,0.000000E+00,4.775993E+02,1.716495E+02,2.926787E-02,1.201230E-02,5.566335E+02,0.000000E+00,3.411119E-02,0.000000E+00,1.270637E+01,0.000000E+00,7.787969E-04,0.000000E+00,9.018815E+00,6.019300E+00,5.527798E-04,4.212553E-04,6.001595E+02,1.123053E+02,3.677652E-02,7.859264E-03,6.001693E+02,1.320402E+02,3.677712E-02,9.240348E-03 
02:00:00,6.001620E+02,1.447092E+02,3.677668E-02,1.012693E-02,4.775617E+02,1.327037E+02,2.926557E-02,9.286772E-03,5.567493E+02,0.000000E+00,3.411829E-02,0.000000E+00,1.229203E+01,5.818670E+00,7.533765E-04,4.072103E-04,4.776015E+02,1.279100E+02,2.926800E-02,8.951311E-03,5.567493E+02,0.000000E+00,3.411829E-02,0.000000E+00,4.775617E+02,1.466634E+02,2.926557E-02,1.026372E-02,6.001718E+02,1.134574E+02,3.677728E-02,7.939886E-03,5.566349E+02,0.000000E+00,3.411127E-02,0.000000E+00,4.776015E+02,1.656321E+02,2.926800E-02,1.159119E-02,5.566349E+02,0.000000E+00,3.411127E-02,0.000000E+00,1.270651E+01,0.000000E+00,7.788052E-04,0.000000E+00,9.018962E+00,5.832921E+00,5.527888E-04,4.082116E-04,6.001620E+02,1.088858E+02,3.677668E-02,7.619962E-03,6.001718E+02,1.270148E+02,3.677728E-02,8.888661E-03 
02:15:00,6.001644E+02,1.385997E+02,3.677682E-02,9.699381E-03,4.775638E+02,1.293656E+02,2.926569E-02,9.053164E-03,5.567507E+02,0.000000E+00,3.411837E-02,0.000000E+00,1.229222E+01,5.620612E+00,7.533876E-04,3.933494E-04,4.776035E+02,1.247065E+02,2.926813E-02,8.727125E-03,5.567507E+02,0.000000E+00,3.411837E-02,0.000000E+00,4.775638E+02,1.428454E+02,2.926569E-02,9.996516E-03,6.001742E+02,1.099384E+02,3.677742E-02,7.693618E-03,5.566362E+02,0.000000E+00,3.411136E-02,0.000000E+00,4.776035E+02,1.599862E+02,2.926813E-02,1.119607E-02,5.566362E+02,0.000000E+00,3.411136E-02,0.000000E+00,1.270663E+01,0.000000E+00,7.788128E-04,0.000000E+00,9.019100E+00,5.653100E+00,5.527972E-04,3.956269E-04,6.001644E+02,1.055438E+02,3.677682E-02,7.386086E-03,6.001742E+02,1.223260E+02,3.677742E-02,8.560533E-03 
02:30:00,6.001667E+02,1.328501E+02,3.677696E-02,9.297020E-03,4.775657E+02,1.260016E+02,2.926581E-02,8.817756E-03,5.567519E+02,0.000000E+00,3.411844E-02,0.000000E+00,1.229239E+01,5.428366E+00,7.533980E-04,3.798953E-04,4.776055E+02,1.214225E+02,2.926825E-02,8.497314E-03,5.567519E+02,0.000000E+00,3.411844E-02,0.000000E+00,4.775657E+02,1.393306E+02,2.926581E-02,9.750534E-03,6.001765E+02,1.065195E+02,3.677756E-02,7.454363E-03,5.566375E+02,0.000000E+00,3.411143E-02,0.000000E+00,4.776055E+02,1.547166E+02,2.926825E-02,1.082729E-02,5.566375E+02,0.000000E+00,3.411143E-02,0.000000E+00,1.270674E+01,0.000000E+00,7.788197E-04,0.000000E+00,9.019230E+00,5.480129E+00,5.528052E-04,3.835216E-04,6.001667E+02,1.022803E+02,3.677696E-02,7.157698E-03,6.001765E+02,1.180301E+02,3.677756E-02,8.259898E-03 
