Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,3.267717E+00,2.401362E-01,1.796125E+05,1.467846E+03 
00:30:00,3.267726E+00,2.401362E-01,1.796131E+05,1.430927E+03 
00:45:00,3.267735E+00,2.401362E-01,1.796135E+05,1.394007E+03 
01:00:00,3.267742E+00,2.401362E-01,1.796140E+05,1.357088E+03 
01:15:00,3.267749E+00,2.401362E-01,1.796143E+05,1.332475E+03 
01:30:00,3.267755E+00,2.401362E-01,1.796146E+05,1.307862E+03 
01:45:00,3.267760E+00,2.401362E-01,1.796149E+05,1.283249E+03 
02:00:00,3.267765E+00,2.401362E-01,1.796152E+05,1.258636E+03 
02:15:00,3.267769E+00,2.401362E-01,1.796154E+05,1.240177E+03 
02:30:00,3.267773E+00,2.401362E-01,1.796156E+05,1.221717E+03 
02:45:00,3.267776E+00,2.401362E-01,1.796158E+05,1.203257E+03 
03:00:00,3.267779E+00,2.401362E-01,1.796160E+05,1.184797E+03 
03:15:00,3.267782E+00,2.401362E-01,1.796161E+05,1.166338E+03 
03:30:00,3.267784E+00,2.401362E-01,1.796163E+05,1.147878E+03 
03:45:00,3.267787E+00,2.401362E-01,1.796164E+05,1.129418E+03 
04:00:00,3.267789E+00,2.401362E-01,1.796165E+05,1.110959E+03 
04:15:00,3.267791E+00,2.401362E-01,1.796166E+05,1.098652E+03 
04:30:00,3.267793E+00,2.401362E-01,1.796167E+05,1.086346E+03 
04:45:00,3.267794E+00,2.401362E-01,1.796168E+05,1.074039E+03 
05:00:00,3.267796E+00,2.401362E-01,1.796169E+05,1.061733E+03 
05:15:00,3.267797E+00,2.401362E-01,1.796170E+05,1.074039E+03 
05:30:00,3.267799E+00,2.401362E-01,1.796170E+05,1.086346E+03 
05:45:00,3.267800E+00,2.401362E-01,1.796171E+05,1.098652E+03 
06:00:00,3.267801E+00,2.401362E-01,1.796172E+05,1.110959E+03 
06:15:00,2.957649E+00,2.401362E-01,1.625694E+05,1.154031E+03 
06:30:00,2.647306E+00,2.401362E-01,1.455112E+05,1.197104E+03 
06:45:00,2.336995E+00,2.552156E-01,1.284547E+05,1.318053E+03 
07:00:00,2.026612E+00,2.764471E-01,1.113943E+05,1.477288E+03 
07:15:00,2.026339E+00,2.880350E-01,1.113793E+05,1.664682E+03 
07:30:00,2.026219E+00,2.973565E-01,1.113727E+05,1.848085E+03 
07:45:00,2.026031E+00,3.063447E-01,1.113623E+05,2.037393E+03 
08:00:00,2.025883E+00,3.146442E-01,1.113542E+05,2.229652E+03 
08:15:00,2.025751E+00,3.229860E-01,1.113470E+05,2.446011E+03 
08:30:00,2.025637E+00,3.312477E-01,1.113407E+05,2.669847E+03 
08:45:00,2.025540E+00,3.388470E-01,1.113354E+05,2.896066E+03 
09:00:00,2.025460E+00,3.456490E-01,1.113310E+05,3.122482E+03 
09:15:00,2.025394E+00,3.515913E-01,1.113274E+05,3.329318E+03 
09:30:00,2.025339E+00,3.690420E-01,1.113243E+05,3.655321E+03 
09:45:00,2.025292E+00,3.866773E-01,1.113217E+05,3.998435E+03 
10:00:00,2.025252E+00,4.007770E-01,1.113195E+05,4.318814E+03 
10:15:00,2.025218E+00,4.145025E-01,1.113177E+05,4.626039E+03 
10:30:00,2.025189E+00,4.272065E-01,1.113161E+05,4.932022E+03 
10:45:00,2.025164E+00,4.379953E-01,1.113147E+05,5.224924E+03 
11:00:00,2.025143E+00,4.494134E-01,1.113135E+05,5.533869E+03 
11:15:00,2.025124E+00,4.608910E-01,1.113125E+05,5.793296E+03 
11:30:00,2.025108E+00,4.719573E-01,1.113116E+05,6.053331E+03 
11:45:00,2.025094E+00,4.826459E-01,1.113108E+05,6.314096E+03 
12:00:00,2.025082E+00,4.925667E-01,1.113102E+05,6.570097E+03 
12:15:00,2.025071E+00,5.026294E-01,1.113096E+05,6.807354E+03 
12:30:00,2.025062E+00,5.108978E-01,1.113091E+05,7.024066E+03 
12:45:00,2.025054E+00,5.165273E-01,1.113086E+05,7.207346E+03 
13:00:00,2.025046E+00,5.203441E-01,1.113082E+05,7.367269E+03 
13:15:00,2.025040E+00,5.245050E-01,1.113079E+05,7.493381E+03 
13:30:00,2.025034E+00,5.306239E-01,1.113076E+05,7.648782E+03 
13:45:00,2.025029E+00,5.402200E-01,1.113073E+05,7.856320E+03 
14:00:00,2.025025E+00,5.528255E-01,1.113070E+05,8.110468E+03 
14:15:00,2.025021E+00,5.660054E-01,1.113068E+05,8.303828E+03 
14:30:00,2.025017E+00,5.775344E-01,1.113066E+05,8.472969E+03 
14:45:00,2.025014E+00,5.866737E-01,1.113064E+05,8.607052E+03 
15:00:00,2.025011E+00,5.946339E-01,1.113063E+05,8.723836E+03 
15:15:00,2.025008E+00,6.018153E-01,1.113061E+05,8.736668E+03 
15:30:00,2.025005E+00,6.089741E-01,1.113060E+05,8.746968E+03 
15:45:00,2.025003E+00,6.163448E-01,1.113058E+05,8.758078E+03 
16:00:00,2.025001E+00,6.226417E-01,1.113057E+05,8.751828E+03 
16:15:00,2.024999E+00,6.279117E-01,1.113056E+05,8.697187E+03 
16:30:00,2.024997E+00,6.319414E-01,1.113055E+05,8.623459E+03 
16:45:00,2.024996E+00,6.345623E-01,1.113054E+05,8.529144E+03 
17:00:00,2.024994E+00,6.355558E-01,1.113054E+05,8.412215E+03 
17:15:00,2.024993E+00,6.347766E-01,1.113053E+05,8.239247E+03 
17:30:00,2.024992E+00,6.324317E-01,1.113052E+05,8.046757E+03 
17:45:00,2.024991E+00,6.276715E-01,1.113052E+05,7.825357E+03 
18:00:00,2.024989E+00,6.203497E-01,1.113051E+05,7.575117E+03 
18:15:00,2.335275E+00,6.106049E-01,1.283602E+05,7.221430E+03 
18:30:00,2.645620E+00,5.993934E-01,1.454185E+05,6.858454E+03 
18:45:00,2.956003E+00,5.887590E-01,1.624790E+05,6.510477E+03 
19:00:00,3.266409E+00,5.795641E-01,1.795407E+05,6.186040E+03 
19:15:00,3.266544E+00,5.722375E-01,1.795481E+05,5.946546E+03 
19:30:00,3.266651E+00,5.654221E-01,1.795539E+05,5.716351E+03 
19:45:00,3.266760E+00,5.577876E-01,1.795599E+05,5.481947E+03 
20:00:00,3.266879E+00,5.485665E-01,1.795665E+05,5.236702E+03 
20:15:00,3.267012E+00,5.374015E-01,1.795738E+05,5.006186E+03 
20:30:00,3.267134E+00,5.243405E-01,1.795805E+05,4.763594E+03 
20:45:00,3.267234E+00,5.096772E-01,1.795860E+05,4.512841E+03 
21:00:00,3.267315E+00,4.939897E-01,1.795905E+05,4.260017E+03 
21:15:00,3.267383E+00,4.771900E-01,1.795942E+05,4.005095E+03 
21:30:00,3.267440E+00,4.589654E-01,1.795973E+05,3.746289E+03 
21:45:00,3.267488E+00,4.400582E-01,1.796000E+05,3.490476E+03 
22:00:00,3.267530E+00,4.201555E-01,1.796023E+05,3.235716E+03 
22:15:00,3.267565E+00,3.609603E-01,1.796042E+05,2.715096E+03 
22:30:00,3.267595E+00,3.074107E-01,1.796059E+05,2.257163E+03 
22:45:00,3.267621E+00,2.662368E-01,1.796073E+05,1.907090E+03 
23:00:00,3.267643E+00,2.485461E-01,1.796085E+05,1.735788E+03 
23:15:00,3.267662E+00,2.414603E-01,1.796095E+05,1.642992E+03 
23:30:00,3.267679E+00,2.401362E-01,1.796105E+05,1.590910E+03 
23:45:00,3.267693E+00,2.401362E-01,1.796113E+05,1.547838E+03 
24:00:00,3.267706E+00,2.401362E-01,1.796119E+05,1.504765E+03 
Coinc Peak   ,3.267801E+00,6.355558E-01,1.796172E+05,9.549369E+03 
NonCoinc Peak,3.267801E+00,8.026157E-01,1.796172E+05,9.549369E+03 
