Time,THERMAL ZONE 1:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:15:00,7.983423E+03,0.000000E+00,4.889872E-01,0.000000E+00,7.983423E+03,0.000000E+00,4.889872E-01,0.000000E+00,7.991194E+03,0.000000E+00,4.894632E-01,0.000000E+00,7.991194E+03,1.121599E+02,4.894632E-01,7.849272E-03,1.072760E+04,9.591355E+02,6.572725E-01,6.712549E-02 
00:30:00,7.983446E+03,0.000000E+00,4.889886E-01,0.000000E+00,7.983446E+03,0.000000E+00,4.889886E-01,0.000000E+00,7.991217E+03,0.000000E+00,4.894646E-01,0.000000E+00,7.991217E+03,6.045580E+01,4.894646E-01,4.230872E-03,1.072763E+04,9.001830E+02,6.572747E-01,6.299920E-02 
00:45:00,7.983466E+03,0.000000E+00,4.889898E-01,0.000000E+00,7.983466E+03,0.000000E+00,4.889898E-01,0.000000E+00,7.991237E+03,0.000000E+00,4.894658E-01,0.000000E+00,7.991237E+03,2.321299E+01,4.894658E-01,1.624515E-03,1.072767E+04,8.420756E+02,6.572766E-01,5.893222E-02 
01:00:00,7.983483E+03,0.000000E+00,4.889909E-01,0.000000E+00,7.983483E+03,0.000000E+00,4.889909E-01,0.000000E+00,7.991254E+03,0.000000E+00,4.894669E-01,0.000000E+00,7.991254E+03,3.114048E+00,4.894669E-01,2.179317E-04,1.072769E+04,7.847410E+02,6.572782E-01,5.491944E-02 
01:15:00,7.983499E+03,0.000000E+00,4.889918E-01,0.000000E+00,7.983499E+03,0.000000E+00,4.889918E-01,0.000000E+00,7.991270E+03,0.000000E+00,4.894678E-01,0.000000E+00,7.991270E+03,0.000000E+00,4.894678E-01,0.000000E+00,1.072772E+04,7.333570E+02,6.572797E-01,5.132318E-02 
01:30:00,7.983513E+03,0.000000E+00,4.889927E-01,0.000000E+00,7.983513E+03,0.000000E+00,4.889927E-01,0.000000E+00,7.991284E+03,0.000000E+00,4.894687E-01,0.000000E+00,7.991284E+03,0.000000E+00,4.894687E-01,0.000000E+00,1.072774E+04,6.832276E+02,6.572810E-01,4.781479E-02 
01:45:00,7.983525E+03,0.000000E+00,4.889935E-01,0.000000E+00,7.983525E+03,0.000000E+00,4.889935E-01,0.000000E+00,7.991296E+03,0.000000E+00,4.894695E-01,0.000000E+00,7.991296E+03,0.000000E+00,4.894695E-01,0.000000E+00,1.072776E+04,6.341476E+02,6.572822E-01,4.437990E-02 
02:00:00,7.983536E+03,0.000000E+00,4.889941E-01,0.000000E+00,7.983536E+03,0.000000E+00,4.889941E-01,0.000000E+00,7.991307E+03,0.000000E+00,4.894701E-01,0.000000E+00,7.991307E+03,0.000000E+00,4.894701E-01,0.000000E+00,1.072777E+04,5.860085E+02,6.572832E-01,4.101088E-02 
02:15:00,7.983546E+03,0.000000E+00,4.889948E-01,0.000000E+00,7.983546E+03,0.000000E+00,4.889948E-01,0.000000E+00,7.991317E+03,0.000000E+00,4.894708E-01,0.000000E+00,7.991317E+03,0.000000E+00,4.894708E-01,0.000000E+00,1.072779E+04,5.383048E+02,6.572841E-01,3.767238E-02 
02:30:00,7.983555E+03,0.000000E+00,4.889953E-01,0.000000E+00,7.983555E+03,0.000000E+00,4.889953E-01,0.000000E+00,7.991326E+03,0.000000E+00,4.894713E-01,0.000000E+00,7.991326E+03,0.000000E+00,4.894713E-01,0.000000E+00,1.072780E+04,4.910519E+02,6.572849E-01,3.436543E-02 
