Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,1.610421E+00,2.977646E-01,2.136084E+04,2.988074E+03 
00:30:00,1.610426E+00,2.977646E-01,2.136090E+04,2.906838E+03 
00:45:00,1.610430E+00,2.977646E-01,2.136096E+04,2.825602E+03 
01:00:00,1.610434E+00,2.977646E-01,2.136102E+04,2.744366E+03 
01:15:00,1.610438E+00,2.977646E-01,2.136107E+04,2.690209E+03 
01:30:00,1.610441E+00,2.977646E-01,2.136111E+04,2.636052E+03 
01:45:00,1.610444E+00,2.977646E-01,2.136115E+04,2.581894E+03 
02:00:00,1.610447E+00,2.977646E-01,2.136118E+04,2.527737E+03 
02:15:00,1.610449E+00,2.977646E-01,2.136121E+04,2.487119E+03 
02:30:00,1.610451E+00,2.977646E-01,2.136124E+04,2.446501E+03 
02:45:00,1.610453E+00,2.977646E-01,2.136126E+04,2.405883E+03 
03:00:00,1.610455E+00,2.977646E-01,2.136128E+04,2.365265E+03 
03:15:00,1.610456E+00,2.977646E-01,2.136130E+04,2.324647E+03 
03:30:00,1.610457E+00,2.977646E-01,2.136132E+04,2.284029E+03 
03:45:00,1.610459E+00,2.977646E-01,2.136134E+04,2.243412E+03 
04:00:00,1.610460E+00,2.977646E-01,2.136135E+04,2.202794E+03 
04:15:00,1.610461E+00,2.977646E-01,2.136137E+04,2.175715E+03 
04:30:00,1.610462E+00,2.977646E-01,2.136138E+04,2.148636E+03 
04:45:00,1.610463E+00,2.977646E-01,2.136139E+04,2.121558E+03 
05:00:00,1.610464E+00,2.977646E-01,2.136140E+04,2.094479E+03 
05:15:00,1.610464E+00,2.977646E-01,2.136141E+04,2.121558E+03 
05:30:00,1.610465E+00,2.977646E-01,2.136142E+04,2.148636E+03 
05:45:00,1.610466E+00,2.977646E-01,2.136143E+04,2.175715E+03 
06:00:00,1.610466E+00,2.977646E-01,2.136144E+04,2.202794E+03 
06:15:00,1.494682E+00,2.977646E-01,1.982567E+04,2.297569E+03 
06:30:00,1.378795E+00,3.043650E-01,1.828852E+04,2.445374E+03 
06:45:00,1.262921E+00,3.311703E-01,1.675155E+04,2.766145E+03 
07:00:00,1.147002E+00,3.588995E-01,1.521399E+04,3.111990E+03 
07:15:00,1.146840E+00,3.759445E-01,1.521184E+04,3.550387E+03 
07:30:00,1.146760E+00,3.935558E-01,1.521077E+04,4.020920E+03 
07:45:00,1.146648E+00,4.103378E-01,1.520929E+04,4.509566E+03 
08:00:00,1.146565E+00,4.267428E-01,1.520819E+04,5.019722E+03 
08:15:00,1.146496E+00,4.456988E-01,1.520728E+04,5.627750E+03 
08:30:00,1.146438E+00,4.637468E-01,1.520650E+04,6.256282E+03 
08:45:00,1.146388E+00,4.813203E-01,1.520584E+04,6.909188E+03 
09:00:00,1.146345E+00,5.022396E-01,1.520527E+04,7.643375E+03 
09:15:00,1.146308E+00,5.311213E-01,1.520479E+04,8.493463E+03 
09:30:00,1.146277E+00,5.631403E-01,1.520437E+04,9.440798E+03 
09:45:00,1.146250E+00,5.927822E-01,1.520402E+04,1.039594E+04 
10:00:00,1.146228E+00,6.195906E-01,1.520372E+04,1.134503E+04 
10:15:00,1.146208E+00,6.433262E-01,1.520345E+04,1.221843E+04 
10:30:00,1.146191E+00,6.640700E-01,1.520323E+04,1.306533E+04 
10:45:00,1.146176E+00,6.819304E-01,1.520303E+04,1.388184E+04 
11:00:00,1.146164E+00,6.980792E-01,1.520287E+04,1.468670E+04 
11:15:00,1.146152E+00,7.122074E-01,1.520272E+04,1.530777E+04 
11:30:00,1.146143E+00,7.239094E-01,1.520259E+04,1.588845E+04 
11:45:00,1.146134E+00,7.329666E-01,1.520248E+04,1.642052E+04 
12:00:00,1.146127E+00,7.393789E-01,1.520238E+04,1.690037E+04 
12:15:00,1.146121E+00,7.438457E-01,1.520230E+04,1.727305E+04 
12:30:00,1.146115E+00,7.498276E-01,1.520222E+04,1.768471E+04 
12:45:00,1.146110E+00,7.597436E-01,1.520216E+04,1.819494E+04 
13:00:00,1.146106E+00,7.730965E-01,1.520210E+04,1.879595E+04 
13:15:00,1.146102E+00,7.897674E-01,1.520205E+04,1.938081E+04 
13:30:00,1.146098E+00,8.084777E-01,1.520200E+04,2.002377E+04 
13:45:00,1.146095E+00,8.281830E-01,1.520196E+04,2.070010E+04 
14:00:00,1.146093E+00,8.485733E-01,1.520192E+04,2.140267E+04 
14:15:00,1.146090E+00,8.695071E-01,1.520189E+04,2.193066E+04 
14:30:00,1.146088E+00,8.894057E-01,1.520186E+04,2.243255E+04 
14:45:00,1.146086E+00,9.072219E-01,1.520184E+04,2.288191E+04 
15:00:00,1.146084E+00,9.227577E-01,1.520181E+04,2.327375E+04 
15:15:00,1.146083E+00,9.360117E-01,1.520179E+04,2.335268E+04 
15:30:00,1.146081E+00,9.467413E-01,1.520177E+04,2.336208E+04 
15:45:00,1.146080E+00,9.543688E-01,1.520176E+04,2.328993E+04 
16:00:00,1.146079E+00,9.588096E-01,1.520174E+04,2.313672E+04 
16:15:00,1.146077E+00,9.604833E-01,1.520172E+04,2.282773E+04 
16:30:00,1.146076E+00,9.601605E-01,1.520171E+04,2.247079E+04 
16:45:00,1.146076E+00,9.590905E-01,1.520170E+04,2.209687E+04 
17:00:00,1.146075E+00,9.578610E-01,1.520169E+04,2.172011E+04 
