Time,THERMAL ZONE 2:SACRAMENTO EXECUTIVE ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:SACRAMENTO EXECUTIVE ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:SACRAMENTO EXECUTIVE ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:SACRAMENTO EXECUTIVE ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:SACRAMENTO EXECUTIVE ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:SACRAMENTO EXECUTIVE ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:SACRAMENTO EXECUTIVE ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:SACRAMENTO EXECUTIVE ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:SACRAMENTO EXECUTIVE ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:SACRAMENTO EXECUTIVE ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:SACRAMENTO EXECUTIVE ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:SACRAMENTO EXECUTIVE ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:SACRAMENTO EXECUTIVE ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:SACRAMENTO EXECUTIVE ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:SACRAMENTO EXECUTIVE ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:SACRAMENTO EXECUTIVE ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 1:SACRAMENTO EXECUTIVE ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:SACRAMENTO EXECUTIVE ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:SACRAMENTO EXECUTIVE ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:SACRAMENTO EXECUTIVE ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:15:00,3.629616E+03,2.953280E+02,2.223974E-01,2.066880E-02,6.499681E+03,1.929290E+03,3.983119E-01,1.350270E-01,3.629616E+03,9.317972E+01,2.223974E-01,6.521203E-03,3.633166E+03,9.358369E+01,2.226149E-01,6.549475E-03,3.633166E+03,6.761025E+01,2.226149E-01,4.731713E-03 
00:30:00,3.629627E+03,2.328343E+02,2.223981E-01,1.629503E-02,6.499703E+03,1.852762E+03,3.983133E-01,1.296700E-01,3.629627E+03,5.099232E+01,2.223981E-01,3.568693E-03,3.633177E+03,5.153182E+01,2.226156E-01,3.606450E-03,3.633177E+03,3.326204E+01,2.226156E-01,2.327838E-03 
00:45:00,3.629638E+03,1.723264E+02,2.223987E-01,1.206030E-02,6.499722E+03,1.777771E+03,3.983145E-01,1.244208E-01,3.629638E+03,2.140852E+01,2.223987E-01,1.498268E-03,3.633187E+03,2.190849E+01,2.226162E-01,1.533258E-03,3.633187E+03,1.076416E+01,2.226162E-01,7.533252E-04 
01:00:00,3.629646E+03,1.140730E+02,2.223993E-01,7.983395E-03,6.499739E+03,1.704342E+03,3.983155E-01,1.192810E-01,3.629646E+03,4.242483E+00,2.223993E-01,2.969077E-04,3.633196E+03,4.555597E+00,2.226168E-01,3.188208E-04,3.633196E+03,0.000000E+00,2.226168E-01,0.000000E+00 
01:15:00,3.629654E+03,6.433663E+01,2.223998E-01,4.502583E-03,6.499754E+03,1.639809E+03,3.983164E-01,1.147641E-01,3.629654E+03,0.000000E+00,2.223998E-01,0.000000E+00,3.633204E+03,0.000000E+00,2.226173E-01,0.000000E+00,3.633204E+03,0.000000E+00,2.226173E-01,0.000000E+00 
01:30:00,3.629662E+03,2.894506E+01,2.224002E-01,2.025707E-03,6.499767E+03,1.577915E+03,3.983172E-01,1.104320E-01,3.629662E+03,0.000000E+00,2.224002E-01,0.000000E+00,3.633211E+03,0.000000E+00,2.226177E-01,0.000000E+00,3.633211E+03,0.000000E+00,2.226177E-01,0.000000E+00 
01:45:00,3.629668E+03,7.679599E+00,2.224006E-01,5.374520E-04,6.499778E+03,1.518318E+03,3.983179E-01,1.062607E-01,3.629668E+03,0.000000E+00,2.224006E-01,0.000000E+00,3.633218E+03,0.000000E+00,2.226181E-01,0.000000E+00,3.633218E+03,0.000000E+00,2.226181E-01,0.000000E+00 
02:00:00,3.629674E+03,0.000000E+00,2.224010E-01,0.000000E+00,6.499789E+03,1.460630E+03,3.983185E-01,1.022231E-01,3.629674E+03,0.000000E+00,2.224010E-01,0.000000E+00,3.633223E+03,0.000000E+00,2.226184E-01,0.000000E+00,3.633223E+03,0.000000E+00,2.226184E-01,0.000000E+00 
02:15:00,3.629679E+03,0.000000E+00,2.224013E-01,0.000000E+00,6.499798E+03,1.403614E+03,3.983191E-01,9.823255E-02,3.629679E+03,0.000000E+00,2.224013E-01,0.000000E+00,3.633228E+03,0.000000E+00,2.226188E-01,0.000000E+00,3.633228E+03,0.000000E+00,2.226188E-01,0.000000E+00 
02:30:00,3.629684E+03,0.000000E+00,2.224016E-01,0.000000E+00,6.499806E+03,1.347200E+03,3.983196E-01,9.428427E-02,3.629684E+03,0.000000E+00,2.224016E-01,0.000000E+00,3.633233E+03,0.000000E+00,2.226190E-01,0.000000E+00,3.633233E+03,0.000000E+00,2.226190E-01,0.000000E+00 
02:45:00,3.629688E+03,0.000000E+00,2.224018E-01,0.000000E+00,6.499813E+03,1.291360E+03,3.983201E-01,9.037611E-02,3.629688E+03,0.000000E+00,2.224018E-01,0.000000E+00,3.633237E+03,0.000000E+00,2.226193E-01,0.000000E+00,3.633237E+03,0.000000E+00,2.226193E-01,0.000000E+00 
03:00:00,3.629692E+03,0.000000E+00,2.224020E-01,0.000000E+00,6.499820E+03,1.236173E+03,3.983205E-01,8.651373E-02,3.629692E+03,0.000000E+00,2.224020E-01,0.000000E+00,3.633241E+03,0.000000E+00,2.226195E-01,0.000000E+00,3.633241E+03,0.000000E+00,2.226195E-01,0.000000E+00 
03:15:00,3.629695E+03,0.000000E+00,2.224023E-01,0.000000E+00,6.499826E+03,1.180596E+03,3.983208E-01,8.262413E-02,3.629695E+03,0.000000E+00,2.224023E-01,0.000000E+00,3.633245E+03,0.000000E+00,2.226197E-01,0.000000E+00,3.633245E+03,0.000000E+00,2.226197E-01,0.000000E+00 
03:30:00,3.629698E+03,0.000000E+00,2.224025E-01,0.000000E+00,6.499831E+03,1.124696E+03,3.983212E-01,7.871183E-02,3.629698E+03,0.000000E+00,2.224025E-01,0.000000E+00,3.633248E+03,0.000000E+00,2.226199E-01,0.000000E+00,3.633248E+03,0.000000E+00,2.226199E-01,0.000000E+00 
03:45:00,3.629701E+03,0.000000E+00,2.224026E-01,0.000000E+00,6.499836E+03,1.068554E+03,3.983215E-01,7.478271E-02,3.629701E+03,0.000000E+00,2.224026E-01,0.000000E+00,3.633251E+03,0.000000E+00,2.226201E-01,0.000000E+00,3.633251E+03,0.000000E+00,2.226201E-01,0.000000E+00 
04:00:00,3.629704E+03,0.000000E+00,2.224028E-01,0.000000E+00,6.499841E+03,1.012256E+03,3.983217E-01,7.084262E-02,3.629704E+03,0.000000E+00,2.224028E-01,0.000000E+00,3.633253E+03,0.000000E+00,2.226203E-01,0.000000E+00,3.633253E+03,0.000000E+00,2.226203E-01,0.000000E+00 
04:15:00,3.629706E+03,0.000000E+00,2.224029E-01,0.000000E+00,6.499845E+03,9.569768E+02,3.983220E-01,6.697385E-02,3.629706E+03,0.000000E+00,2.224029E-01,0.000000E+00,3.633256E+03,0.000000E+00,2.226204E-01,0.000000E+00,3.633256E+03,0.000000E+00,2.226204E-01,0.000000E+00 
04:30:00,3.629708E+03,0.000000E+00,2.224031E-01,0.000000E+00,6.499849E+03,9.027936E+02,3.983222E-01,6.318181E-02,3.629708E+03,0.000000E+00,2.224031E-01,0.000000E+00,3.633258E+03,0.000000E+00,2.226206E-01,0.000000E+00,3.633258E+03,0.000000E+00,2.226206E-01,0.000000E+00 
04:45:00,3.629710E+03,0.000000E+00,2.224032E-01,0.000000E+00,6.499852E+03,8.497885E+02,3.983224E-01,5.947222E-02,3.629710E+03,0.000000E+00,2.224032E-01,0.000000E+00,3.633260E+03,0.000000E+00,2.226207E-01,0.000000E+00,3.633260E+03,0.000000E+00,2.226207E-01,0.000000E+00 
05:00:00,3.629712E+03,0.000000E+00,2.224033E-01,0.000000E+00,6.499855E+03,7.980493E+02,3.983226E-01,5.585124E-02,3.629712E+03,0.000000E+00,2.224033E-01,0.000000E+00,3.633262E+03,0.000000E+00,2.226208E-01,0.000000E+00,3.633262E+03,0.000000E+00,2.226208E-01,0.000000E+00 
05:15:00,3.629714E+03,0.000000E+00,2.224034E-01,0.000000E+00,6.499858E+03,7.510700E+02,3.983228E-01,5.256338E-02,3.629714E+03,0.000000E+00,2.224034E-01,0.000000E+00,3.633263E+03,0.000000E+00,2.226209E-01,0.000000E+00,3.633263E+03,0.000000E+00,2.226209E-01,0.000000E+00 
05:30:00,3.629716E+03,0.000000E+00,2.224035E-01,0.000000E+00,6.499861E+03,7.099986E+02,3.983229E-01,4.968897E-02,3.629716E+03,0.000000E+00,2.224035E-01,0.000000E+00,3.633265E+03,0.000000E+00,2.226210E-01,0.000000E+00,3.633265E+03,0.000000E+00,2.226210E-01,0.000000E+00 
05:45:00,3.629717E+03,0.000000E+00,2.224036E-01,0.000000E+00,6.499863E+03,6.772481E+02,3.983231E-01,4.739688E-02,3.629717E+03,0.000000E+00,2.224036E-01,0.000000E+00,3.633267E+03,0.000000E+00,2.226211E-01,0.000000E+00,3.633267E+03,0.000000E+00,2.226211E-01,0.000000E+00 
06:00:00,3.629718E+03,0.000000E+00,2.224037E-01,0.000000E+00,6.499865E+03,6.557495E+02,3.983232E-01,4.589226E-02,3.629718E+03,0.000000E+00,2.224037E-01,0.000000E+00,3.633268E+03,0.000000E+00,2.226212E-01,0.000000E+00,3.633268E+03,3.172002E+01,2.226212E-01,2.231559E-03 
06:15:00,3.367950E+03,0.000000E+00,2.063644E-01,0.000000E+00,6.035294E+03,9.102104E+02,3.698535E-01,6.370060E-02,3.367950E+03,2.332417E+01,2.063644E-01,1.649524E-03,3.371500E+03,0.000000E+00,2.065818E-01,0.000000E+00,3.371500E+03,2.415972E+02,2.065818E-01,1.693084E-02 
06:30:00,3.105947E+03,0.000000E+00,1.903135E-01,0.000000E+00,5.570080E+03,1.181920E+03,3.413473E-01,8.271630E-02,3.105947E+03,8.144245E+01,1.903135E-01,5.733526E-03,3.109497E+03,0.000000E+00,1.905310E-01,0.000000E+00,3.109497E+03,5.162537E+02,1.905310E-01,3.615351E-02 
06:45:00,2.843923E+03,0.000000E+00,1.742627E-01,0.000000E+00,5.105014E+03,1.468473E+03,3.128510E-01,1.027710E-01,2.843923E+03,1.796588E+02,1.742627E-01,1.260787E-02,2.847473E+03,0.000000E+00,1.744802E-01,0.000000E+00,2.847473E+03,8.492935E+02,1.744802E-01,5.946252E-02 
07:00:00,2.581774E+03,0.000000E+00,1.582059E-01,0.000000E+00,4.639748E+03,1.767536E+03,2.843431E-01,1.237017E-01,2.581774E+03,2.912727E+02,1.582059E-01,2.041941E-02,2.585324E+03,0.000000E+00,1.584234E-01,0.000000E+00,2.585324E+03,1.193949E+03,1.584234E-01,8.357483E-02 
07:15:00,2.581314E+03,0.000000E+00,1.581848E-01,0.000000E+00,4.638923E+03,1.813252E+03,2.842979E-01,1.269024E-01,2.581314E+03,3.898130E+02,1.581848E-01,2.729893E-02,2.584864E+03,0.000000E+00,1.584023E-01,0.000000E+00,2.584864E+03,1.405825E+03,1.584023E-01,9.839660E-02 
07:30:00,2.581030E+03,0.000000E+00,1.581724E-01,0.000000E+00,4.638633E+03,1.863052E+03,2.842831E-01,1.303892E-01,2.581030E+03,4.555527E+02,1.581724E-01,3.188362E-02,2.584579E+03,0.000000E+00,1.583899E-01,0.000000E+00,2.584579E+03,1.603577E+03,1.583899E-01,1.122412E-01 
07:45:00,2.580724E+03,1.956914E+01,1.581575E-01,1.376813E-03,4.638101E+03,1.916708E+03,2.842532E-01,1.341463E-01,2.580724E+03,4.796366E+02,1.581575E-01,3.356903E-02,2.584273E+03,7.701353E+00,1.583750E-01,5.441498E-04,2.584273E+03,1.787934E+03,1.583750E-01,1.251488E-01 
08:00:00,2.580506E+03,6.534070E+01,1.581467E-01,4.580234E-03,4.637689E+03,1.973175E+03,2.842303E-01,1.381000E-01,2.580506E+03,4.898292E+02,1.581467E-01,3.428273E-02,2.584055E+03,5.515315E+01,1.583642E-01,3.865105E-03,2.584055E+03,1.969646E+03,1.583642E-01,1.378699E-01 
08:15:00,2.580341E+03,1.281797E+02,1.581379E-01,8.978157E-03,4.637339E+03,2.029058E+03,2.842106E-01,1.420131E-01,2.580341E+03,4.962989E+02,1.581379E-01,3.473586E-02,2.583890E+03,1.188544E+02,1.583554E-01,8.323380E-03,2.583890E+03,2.142744E+03,1.583554E-01,1.499871E-01 
08:30:00,2.580209E+03,2.124970E+02,1.581304E-01,1.487941E-02,4.637037E+03,2.083963E+03,2.841935E-01,1.458577E-01,2.580209E+03,5.112217E+02,1.581304E-01,3.578060E-02,2.583758E+03,2.188205E+02,1.583479E-01,1.531988E-02,2.583758E+03,2.297099E+03,1.583479E-01,1.607916E-01 
08:45:00,2.580101E+03,2.955047E+02,1.581242E-01,2.068201E-02,4.636774E+03,2.137667E+03,2.841785E-01,1.496183E-01,2.580101E+03,5.395168E+02,1.581242E-01,3.776133E-02,2.583650E+03,3.498800E+02,1.583417E-01,2.448786E-02,2.583650E+03,2.433399E+03,1.583417E-01,1.703317E-01 
09:00:00,2.580012E+03,3.695896E+02,1.581189E-01,2.586762E-02,4.636547E+03,2.190345E+03,2.841654E-01,1.533069E-01,2.580012E+03,5.807325E+02,1.581189E-01,4.064650E-02,2.583561E+03,4.830041E+02,1.583364E-01,3.380636E-02,2.583561E+03,2.550911E+03,1.583364E-01,1.785563E-01 
09:15:00,2.579937E+03,4.434404E+02,1.581144E-01,3.103714E-02,4.636350E+03,2.241356E+03,2.841541E-01,1.568788E-01,2.579937E+03,6.283388E+02,1.581144E-01,4.397910E-02,2.583486E+03,6.412525E+02,1.583319E-01,4.488427E-02,2.583486E+03,2.643918E+03,1.583319E-01,1.850653E-01 
09:30:00,2.579874E+03,5.116938E+02,1.581106E-01,3.581511E-02,4.636181E+03,2.291229E+03,2.841442E-01,1.603710E-01,2.579874E+03,6.780595E+02,1.581106E-01,4.745979E-02,2.583423E+03,8.017464E+02,1.583281E-01,5.612041E-02,2.583423E+03,2.713305E+03,1.583281E-01,1.899209E-01 
09:45:00,2.579821E+03,5.766942E+02,1.581074E-01,4.036548E-02,4.636035E+03,2.340435E+03,2.841357E-01,1.638164E-01,2.579821E+03,7.279983E+02,1.581074E-01,5.095581E-02,2.583370E+03,9.586993E+02,1.583249E-01,6.710942E-02,2.583370E+03,2.760392E+03,1.583249E-01,1.932157E-01 
10:00:00,2.579776E+03,6.387742E+02,1.581047E-01,4.471149E-02,4.635910E+03,2.389291E+03,2.841284E-01,1.672372E-01,2.579776E+03,7.770037E+02,1.581047E-01,5.438652E-02,2.583325E+03,1.105911E+03,1.583222E-01,7.741676E-02,2.583325E+03,2.786219E+03,1.583222E-01,1.950225E-01 
10:15:00,2.579737E+03,6.972407E+02,1.581023E-01,4.880456E-02,4.635802E+03,2.438003E+03,2.841221E-01,1.706479E-01,2.579737E+03,8.238867E+02,1.581023E-01,5.766867E-02,2.583287E+03,1.236700E+03,1.583198E-01,8.657430E-02,2.583287E+03,2.796177E+03,1.583198E-01,1.957187E-01 
10:30:00,2.579704E+03,7.523025E+02,1.581003E-01,5.265926E-02,4.635710E+03,2.486687E+03,2.841166E-01,1.740566E-01,2.579704E+03,8.682595E+02,1.581003E-01,6.077505E-02,2.583253E+03,1.351524E+03,1.583178E-01,9.461373E-02,2.583253E+03,2.790885E+03,1.583178E-01,1.953476E-01 
10:45:00,2.579675E+03,8.041148E+02,1.580985E-01,5.628642E-02,4.635631E+03,2.535406E+03,2.841120E-01,1.774676E-01,2.579675E+03,9.105190E+02,1.580985E-01,6.373345E-02,2.583224E+03,1.451261E+03,1.583160E-01,1.015963E-01,2.583224E+03,2.770199E+03,1.583160E-01,1.938992E-01 
11:00:00,2.579650E+03,8.535001E+02,1.580970E-01,5.974358E-02,4.635563E+03,2.584161E+03,2.841079E-01,1.808810E-01,2.579650E+03,9.513368E+02,1.580970E-01,6.659082E-02,2.583199E+03,1.550433E+03,1.583145E-01,1.085385E-01,2.583199E+03,2.732664E+03,1.583145E-01,1.912715E-01 
11:15:00,2.579628E+03,8.999639E+02,1.580956E-01,6.299613E-02,4.635504E+03,2.632151E+03,2.841045E-01,1.842409E-01,2.579628E+03,9.898077E+02,1.580956E-01,6.928382E-02,2.583177E+03,1.653043E+03,1.583131E-01,1.157201E-01,2.583177E+03,2.672640E+03,1.583131E-01,1.870698E-01 
11:30:00,2.579609E+03,9.438856E+02,1.580944E-01,6.607062E-02,4.635454E+03,2.679189E+03,2.841015E-01,1.875341E-01,2.579609E+03,1.026384E+03,1.580944E-01,7.184416E-02,2.583158E+03,1.760308E+03,1.583120E-01,1.232265E-01,2.583158E+03,2.583226E+03,1.583120E-01,1.808110E-01 
11:45:00,2.579592E+03,9.856716E+02,1.580934E-01,6.899552E-02,4.635411E+03,2.724922E+03,2.840989E-01,1.907358E-01,2.579592E+03,1.060942E+03,1.580934E-01,7.426311E-02,2.583141E+03,1.872869E+03,1.583109E-01,1.311033E-01,2.583141E+03,2.461129E+03,1.583109E-01,1.722645E-01 
12:00:00,2.579577E+03,1.024844E+03,1.580925E-01,7.173739E-02,4.635374E+03,2.768833E+03,2.840967E-01,1.938099E-01,2.579577E+03,1.093105E+03,1.580925E-01,7.651441E-02,2.583126E+03,1.977250E+03,1.583100E-01,1.384074E-01,2.583126E+03,2.321186E+03,1.583100E-01,1.624690E-01 
12:15:00,2.579564E+03,1.062760E+03,1.580917E-01,7.439139E-02,4.635341E+03,2.811097E+03,2.840947E-01,1.967687E-01,2.579564E+03,1.123613E+03,1.580917E-01,7.864991E-02,2.583113E+03,2.073486E+03,1.583092E-01,1.451418E-01,2.583113E+03,2.169768E+03,1.583092E-01,1.518705E-01 
12:30:00,2.579552E+03,1.116390E+03,1.580910E-01,7.814527E-02,4.635313E+03,2.851394E+03,2.840931E-01,1.995897E-01,2.579552E+03,1.152522E+03,1.580910E-01,8.067341E-02,2.583102E+03,2.160223E+03,1.583085E-01,1.512117E-01,2.583102E+03,2.034522E+03,1.583085E-01,1.424040E-01 
12:45:00,2.579542E+03,1.201104E+03,1.580904E-01,8.407521E-02,4.635289E+03,2.890049E+03,2.840916E-01,2.022958E-01,2.579542E+03,1.179926E+03,1.580904E-01,8.259159E-02,2.583091E+03,2.236658E+03,1.583079E-01,1.565605E-01,2.583091E+03,1.930505E+03,1.583079E-01,1.351235E-01 
13:00:00,2.579533E+03,1.315435E+03,1.580898E-01,9.207893E-02,4.635268E+03,2.928158E+03,2.840903E-01,2.049635E-01,2.579533E+03,1.205957E+03,1.580898E-01,8.441374E-02,2.583082E+03,2.302424E+03,1.583073E-01,1.611627E-01,2.583082E+03,1.852143E+03,1.583073E-01,1.296390E-01 
13:15:00,2.579525E+03,1.452063E+03,1.580893E-01,1.016442E-01,4.635250E+03,2.967077E+03,2.840892E-01,2.076879E-01,2.579525E+03,1.230431E+03,1.580893E-01,8.612688E-02,2.583074E+03,2.357078E+03,1.583068E-01,1.649873E-01,2.583074E+03,1.804549E+03,1.583068E-01,1.263079E-01 
13:30:00,2.579517E+03,1.609854E+03,1.580888E-01,1.126917E-01,4.635234E+03,3.008386E+03,2.840883E-01,2.105796E-01,2.579517E+03,1.252852E+03,1.580888E-01,8.769639E-02,2.583067E+03,2.400360E+03,1.583064E-01,1.680160E-01,2.583067E+03,1.772145E+03,1.583064E-01,1.240404E-01 
13:45:00,2.579511E+03,1.781463E+03,1.580884E-01,1.247058E-01,4.635220E+03,3.053044E+03,2.840874E-01,2.137057E-01,2.579511E+03,1.273961E+03,1.580884E-01,8.917418E-02,2.583060E+03,2.431869E+03,1.583060E-01,1.702208E-01,2.583060E+03,1.748027E+03,1.583060E-01,1.223527E-01 
14:00:00,2.579505E+03,1.966193E+03,1.580881E-01,1.376371E-01,4.635207E+03,3.101138E+03,2.840866E-01,2.170724E-01,2.579505E+03,1.293953E+03,1.580881E-01,9.057367E-02,2.583054E+03,2.450947E+03,1.583056E-01,1.715555E-01,2.583054E+03,1.729424E+03,1.583056E-01,1.210511E-01 
14:15:00,2.579500E+03,2.168576E+03,1.580878E-01,1.518029E-01,4.635196E+03,3.151545E+03,2.840860E-01,2.206011E-01,2.579500E+03,1.312114E+03,1.580878E-01,9.184502E-02,2.583049E+03,2.455816E+03,1.583053E-01,1.718958E-01,2.583049E+03,1.713664E+03,1.583053E-01,1.199483E-01 
14:30:00,2.579495E+03,2.371796E+03,1.580875E-01,1.660260E-01,4.635186E+03,3.203253E+03,2.840854E-01,2.242208E-01,2.579495E+03,1.329038E+03,1.580875E-01,9.302964E-02,2.583044E+03,2.445613E+03,1.583050E-01,1.711813E-01,2.583044E+03,1.699235E+03,1.583050E-01,1.189386E-01 
14:45:00,2.579491E+03,2.566363E+03,1.580872E-01,1.796434E-01,4.635178E+03,3.255148E+03,2.840849E-01,2.278535E-01,2.579491E+03,1.343880E+03,1.580872E-01,9.406847E-02,2.583040E+03,2.419566E+03,1.583047E-01,1.693577E-01,2.583040E+03,1.685330E+03,1.583047E-01,1.179655E-01 
15:00:00,2.579487E+03,2.752247E+03,1.580870E-01,1.926530E-01,4.635170E+03,3.306211E+03,2.840844E-01,2.314280E-01,2.579487E+03,1.356218E+03,1.580870E-01,9.493202E-02,2.583036E+03,2.377602E+03,1.583045E-01,1.664201E-01,2.583036E+03,1.671031E+03,1.583045E-01,1.169648E-01 
15:15:00,2.579483E+03,2.931139E+03,1.580868E-01,2.051730E-01,4.635163E+03,3.355354E+03,2.840840E-01,2.348681E-01,2.579483E+03,1.364860E+03,1.580868E-01,9.553687E-02,2.583032E+03,2.321974E+03,1.583043E-01,1.625261E-01,2.583032E+03,1.654661E+03,1.583043E-01,1.158190E-01 
15:30:00,2.579480E+03,3.099438E+03,1.580866E-01,2.169515E-01,4.635157E+03,3.401835E+03,2.840836E-01,2.381219E-01,2.579480E+03,1.369549E+03,1.580866E-01,9.586512E-02,2.583029E+03,2.254467E+03,1.583041E-01,1.578009E-01,2.583029E+03,1.636012E+03,1.583041E-01,1.145138E-01 
15:45:00,2.579477E+03,3.253377E+03,1.580864E-01,2.277250E-01,4.635152E+03,3.445001E+03,2.840833E-01,2.411435E-01,2.579477E+03,1.370631E+03,1.580864E-01,9.594085E-02,2.583026E+03,2.172186E+03,1.583039E-01,1.520417E-01,2.583026E+03,1.614884E+03,1.583039E-01,1.130349E-01 
16:00:00,2.579474E+03,3.390482E+03,1.580862E-01,2.373203E-01,4.635147E+03,3.484271E+03,2.840830E-01,2.438924E-01,2.579474E+03,1.368111E+03,1.580862E-01,9.576438E-02,2.583024E+03,2.077383E+03,1.583037E-01,1.454059E-01,2.583024E+03,1.591020E+03,1.583037E-01,1.113646E-01 
