Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,6.729253E+00,5.932730E+00,6.085753E+04,5.009196E+04 
00:30:00,6.729270E+00,5.853387E+00,6.085768E+04,4.867211E+04 
00:45:00,6.729285E+00,5.777465E+00,6.085782E+04,4.730060E+04 
01:00:00,6.729300E+00,5.706828E+00,6.085795E+04,4.599113E+04 
01:15:00,6.729314E+00,5.645251E+00,6.085808E+04,4.501271E+04 
01:30:00,6.729327E+00,5.586832E+00,6.085820E+04,4.406971E+04 
01:45:00,6.729339E+00,5.531558E+00,6.085831E+04,4.316124E+04 
02:00:00,6.729351E+00,5.479228E+00,6.085841E+04,4.228493E+04 
02:15:00,6.729362E+00,5.429148E+00,6.085851E+04,4.155065E+04 
02:30:00,6.729372E+00,5.381018E+00,6.085861E+04,4.083759E+04 
02:45:00,6.729383E+00,5.334680E+00,6.085870E+04,4.014419E+04 
03:00:00,6.729392E+00,5.290208E+00,6.085879E+04,3.947064E+04 
03:15:00,6.729402E+00,5.246849E+00,6.085887E+04,3.881102E+04 
03:30:00,6.729410E+00,5.204424E+00,6.085895E+04,3.816381E+04 
03:45:00,6.729419E+00,5.162820E+00,6.085903E+04,3.752800E+04 
04:00:00,6.729427E+00,5.122018E+00,6.085910E+04,3.690330E+04 
04:15:00,6.729435E+00,5.082515E+00,6.085917E+04,3.640163E+04 
04:30:00,6.729443E+00,5.044547E+00,6.085924E+04,3.591426E+04 
04:45:00,6.729450E+00,5.007968E+00,6.085931E+04,3.543997E+04 
05:00:00,6.729457E+00,4.972661E+00,6.085937E+04,3.497775E+04 
05:15:00,6.729463E+00,4.941763E+00,6.085943E+04,3.497145E+04 
05:30:00,6.729470E+00,4.914128E+00,6.085949E+04,3.498575E+04 
05:45:00,6.729476E+00,4.911990E+00,6.085955E+04,3.518031E+04 
06:00:00,6.729482E+00,4.949030E+00,6.085960E+04,3.565695E+04 
06:15:00,6.383904E+00,5.272100E+00,5.773429E+04,3.877265E+04 
06:30:00,6.038055E+00,5.655393E+00,5.460652E+04,4.243683E+04 
06:45:00,5.692247E+00,6.130461E+00,5.147913E+04,4.691798E+04 
07:00:00,5.349831E+00,6.633610E+00,4.838241E+04,5.176024E+04 
07:15:00,5.349504E+00,6.879660E+00,4.837945E+04,5.617746E+04 
07:30:00,5.349307E+00,7.120218E+00,4.837767E+04,6.072647E+04 
07:45:00,5.349073E+00,7.356305E+00,4.837556E+04,6.541037E+04 
08:00:00,5.348904E+00,7.592273E+00,4.837403E+04,7.026457E+04 
08:15:00,5.348770E+00,7.827603E+00,4.837282E+04,7.561824E+04 
08:30:00,5.348661E+00,8.078634E+00,4.837184E+04,8.132091E+04 
08:45:00,5.348571E+00,8.338869E+00,4.837102E+04,8.732366E+04 
09:00:00,5.348496E+00,8.599637E+00,4.837034E+04,9.354336E+04 
09:15:00,5.348432E+00,8.859857E+00,4.836976E+04,9.959010E+04 
09:30:00,5.348378E+00,9.109409E+00,4.836927E+04,1.057020E+05 
09:45:00,5.348332E+00,9.345470E+00,4.836886E+04,1.118336E+05 
10:00:00,5.348293E+00,9.566929E+00,4.836850E+04,1.179565E+05 
10:15:00,5.348258E+00,9.773801E+00,4.836819E+04,1.236377E+05 
10:30:00,5.348227E+00,9.964299E+00,4.836791E+04,1.292391E+05 
10:45:00,5.348200E+00,1.013591E+01,4.836767E+04,1.347114E+05 
11:00:00,5.348176E+00,1.028673E+01,4.836745E+04,1.400107E+05 
11:15:00,5.348154E+00,1.041186E+01,4.836725E+04,1.439371E+05 
11:30:00,5.348134E+00,1.050453E+01,4.836707E+04,1.474613E+05 
11:45:00,5.348116E+00,1.055746E+01,4.836690E+04,1.504586E+05 
12:00:00,5.348099E+00,1.056875E+01,4.836675E+04,1.528763E+05 
12:15:00,5.348083E+00,1.055494E+01,4.836661E+04,1.544797E+05 
12:30:00,5.348069E+00,1.054506E+01,4.836648E+04,1.561364E+05 
12:45:00,5.348055E+00,1.056875E+01,4.836635E+04,1.582926E+05 
13:00:00,5.348043E+00,1.064198E+01,4.836624E+04,1.612073E+05 
13:15:00,5.348031E+00,1.076506E+01,4.836613E+04,1.642210E+05 
13:30:00,5.348019E+00,1.092006E+01,4.836603E+04,1.677516E+05 
13:45:00,5.348008E+00,1.108696E+01,4.836593E+04,1.714991E+05 
14:00:00,5.347998E+00,1.125474E+01,4.836584E+04,1.752961E+05 
14:15:00,5.347989E+00,1.141161E+01,4.836575E+04,1.777393E+05 
14:30:00,5.347979E+00,1.155440E+01,4.836567E+04,1.799633E+05 
14:45:00,5.347971E+00,1.168186E+01,4.836559E+04,1.819486E+05 
15:00:00,5.347962E+00,1.179223E+01,4.836551E+04,1.836676E+05 
15:15:00,5.347954E+00,1.188236E+01,4.836544E+04,1.835490E+05 
15:30:00,5.347946E+00,1.195069E+01,4.836537E+04,1.830734E+05 
15:45:00,5.347939E+00,1.199355E+01,4.836530E+04,1.821935E+05 
16:00:00,5.347932E+00,1.200753E+01,4.836524E+04,1.808674E+05 
16:15:00,5.347925E+00,1.199245E+01,4.836518E+04,1.785916E+05 
16:30:00,5.347919E+00,1.194641E+01,4.836512E+04,1.758653E+05 
16:45:00,5.347913E+00,1.187169E+01,4.836506E+04,1.727373E+05 
17:00:00,5.347907E+00,1.177072E+01,4.836501E+04,1.692574E+05 
17:15:00,5.347901E+00,1.165033E+01,4.836496E+04,1.650385E+05 
17:30:00,5.347895E+00,1.151682E+01,4.836491E+04,1.606879E+05 
17:45:00,5.347890E+00,1.137155E+01,4.836486E+04,1.562329E+05 
18:00:00,5.347885E+00,1.121115E+01,4.836481E+04,1.516353E+05 
18:15:00,5.689701E+00,1.102089E+01,5.145610E+04,1.455319E+05 
18:30:00,6.035431E+00,1.077997E+01,5.458279E+04,1.388977E+05 
18:45:00,6.381245E+00,1.046412E+01,5.771024E+04,1.314764E+05 
19:00:00,6.727177E+00,1.008472E+01,6.083875E+04,1.234793E+05 
19:15:00,6.727561E+00,9.688675E+00,6.084223E+04,1.163544E+05 
19:30:00,6.727880E+00,9.317918E+00,6.084511E+04,1.097132E+05 
19:45:00,6.728153E+00,9.009755E+00,6.084758E+04,1.039685E+05 
20:00:00,6.728341E+00,8.768324E+00,6.084928E+04,9.912291E+04 
20:15:00,6.728486E+00,8.567761E+00,6.085059E+04,9.520907E+04 
20:30:00,6.728605E+00,8.393084E+00,6.085167E+04,9.165500E+04 
20:45:00,6.728705E+00,8.237634E+00,6.085257E+04,8.837434E+04 
21:00:00,6.728789E+00,8.098722E+00,6.085333E+04,8.532767E+04 
21:15:00,6.728860E+00,7.969577E+00,6.085397E+04,8.243542E+04 
21:30:00,6.728919E+00,7.848842E+00,6.085451E+04,7.967818E+04 
21:45:00,6.728971E+00,7.735162E+00,6.085498E+04,7.703761E+04 
22:00:00,6.729015E+00,7.628509E+00,6.085538E+04,7.450936E+04 
22:15:00,6.729054E+00,7.306396E+00,6.085573E+04,7.027111E+04 
22:30:00,6.729089E+00,6.983167E+00,6.085604E+04,6.611858E+04 
22:45:00,6.729119E+00,6.665227E+00,6.085632E+04,6.211196E+04 
23:00:00,6.729147E+00,6.355070E+00,6.085657E+04,5.827177E+04 
23:15:00,6.729172E+00,6.262958E+00,6.085680E+04,5.649101E+04 
23:30:00,6.729195E+00,6.176572E+00,6.085700E+04,5.478860E+04 
23:45:00,6.729216E+00,6.094209E+00,6.085719E+04,5.314708E+04 
24:00:00,6.729235E+00,6.015216E+00,6.085737E+04,5.155909E+04 
Coinc Peak   ,6.729482E+00,1.200753E+01,6.085960E+04,1.959144E+05 
NonCoinc Peak,6.729482E+00,1.381328E+01,6.085960E+04,1.959144E+05 
