Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,1.829120E+00,9.404509E-01,1.654206E+04,7.940532E+03 
00:30:00,1.829126E+00,9.232747E-01,1.654212E+04,7.677218E+03 
00:45:00,1.829132E+00,9.068220E-01,1.654217E+04,7.424229E+03 
01:00:00,1.829138E+00,8.910873E-01,1.654222E+04,7.181242E+03 
01:15:00,1.829143E+00,8.771168E-01,1.654227E+04,6.993737E+03 
01:30:00,1.829148E+00,8.638981E-01,1.654231E+04,6.814549E+03 
01:45:00,1.829152E+00,8.513711E-01,1.654235E+04,6.643017E+03 
02:00:00,1.829156E+00,8.395137E-01,1.654239E+04,6.478791E+03 
02:15:00,1.829160E+00,8.281765E-01,1.654243E+04,6.338245E+03 
02:30:00,1.829164E+00,8.173026E-01,1.654246E+04,6.202669E+03 
02:45:00,1.829168E+00,8.068543E-01,1.654250E+04,6.071687E+03 
03:00:00,1.829171E+00,7.968353E-01,1.654253E+04,5.945248E+03 
03:15:00,1.829175E+00,7.869739E-01,1.654256E+04,5.821258E+03 
03:30:00,1.829178E+00,7.772767E-01,1.654258E+04,5.699735E+03 
03:45:00,1.829181E+00,7.677302E-01,1.654261E+04,5.580551E+03 
04:00:00,1.829184E+00,7.582858E-01,1.654264E+04,5.463325E+03 
04:15:00,1.829186E+00,7.491351E-01,1.654266E+04,5.365402E+03 
04:30:00,1.829189E+00,7.402209E-01,1.654269E+04,5.269946E+03 
04:45:00,1.829191E+00,7.315155E-01,1.654271E+04,5.176728E+03 
05:00:00,1.829194E+00,7.229541E-01,1.654273E+04,5.085267E+03 
05:15:00,1.829196E+00,7.150844E-01,1.654275E+04,5.060449E+03 
05:30:00,1.829198E+00,7.079963E-01,1.654277E+04,5.040526E+03 
05:45:00,1.829201E+00,7.064839E-01,1.654279E+04,5.059930E+03 
06:00:00,1.829203E+00,7.135435E-01,1.654281E+04,5.140964E+03 
06:15:00,1.715544E+00,7.818716E-01,1.551491E+04,5.750125E+03 
06:30:00,1.601806E+00,8.601306E-01,1.448630E+04,6.454232E+03 
06:45:00,1.488079E+00,9.551788E-01,1.345778E+04,7.310226E+03 
07:00:00,1.374318E+00,1.062545E+00,1.242895E+04,8.290752E+03 
07:15:00,1.374195E+00,1.116394E+00,1.242785E+04,9.116173E+03 
07:30:00,1.374136E+00,1.168887E+00,1.242731E+04,9.969131E+03 
07:45:00,1.374051E+00,1.222172E+00,1.242654E+04,1.086724E+04 
08:00:00,1.373989E+00,1.274716E+00,1.242598E+04,1.179718E+04 
08:15:00,1.373938E+00,1.327591E+00,1.242552E+04,1.282514E+04 
08:30:00,1.373896E+00,1.379885E+00,1.242514E+04,1.389016E+04 
08:45:00,1.373859E+00,1.443182E+00,1.242481E+04,1.511283E+04 
09:00:00,1.373828E+00,1.505002E+00,1.242452E+04,1.637080E+04 
09:15:00,1.373801E+00,1.564469E+00,1.242428E+04,1.758556E+04 
09:30:00,1.373777E+00,1.623196E+00,1.242407E+04,1.883493E+04 
09:45:00,1.373757E+00,1.680646E+00,1.242388E+04,2.011163E+04 
10:00:00,1.373739E+00,1.734692E+00,1.242372E+04,2.138809E+04 
10:15:00,1.373723E+00,1.785500E+00,1.242358E+04,2.258642E+04 
10:30:00,1.373709E+00,1.833254E+00,1.242345E+04,2.377769E+04 
10:45:00,1.373696E+00,1.877324E+00,1.242333E+04,2.495059E+04 
11:00:00,1.373685E+00,1.916746E+00,1.242323E+04,2.608847E+04 
11:15:00,1.373675E+00,1.950291E+00,1.242314E+04,2.696149E+04 
11:30:00,1.373665E+00,1.976253E+00,1.242306E+04,2.774239E+04 
11:45:00,1.373657E+00,1.992914E+00,1.242298E+04,2.840182E+04 
12:00:00,1.373649E+00,2.000489E+00,1.242291E+04,2.893695E+04 
12:15:00,1.373642E+00,2.001838E+00,1.242284E+04,2.929844E+04 
12:30:00,1.373635E+00,2.003945E+00,1.242278E+04,2.967159E+04 
12:45:00,1.373629E+00,2.013377E+00,1.242273E+04,3.015519E+04 
13:00:00,1.373623E+00,2.033242E+00,1.242268E+04,3.080005E+04 
13:15:00,1.373618E+00,2.062721E+00,1.242263E+04,3.146682E+04 
13:30:00,1.373613E+00,2.099400E+00,1.242258E+04,3.225051E+04 
13:45:00,1.373608E+00,2.138827E+00,1.242254E+04,3.308454E+04 
