Time,THERMAL ZONE 13:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 13:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 13:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 13:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 8:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 8:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 8:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 8:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 14:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 14:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 14:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 14:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 11:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 11:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 11:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 11:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 12:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 12:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 12:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 12:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 15:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 15:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 15:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 15:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 10:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 10:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 10:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 10:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 1:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 9:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 9:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 9:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 9:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 6:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 6:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 7:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 7:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 7:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 7:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:15:00,1.734381E+03,0.000000E+00,1.062882E-01,0.000000E+00,1.925295E+03,6.984961E+02,1.179800E-01,4.888224E-02,1.477759E+03,6.375311E+02,9.056164E-02,4.461668E-02,1.734381E+03,4.687783E+01,1.062882E-01,3.280719E-03,4.402660E+02,2.129360E+03,2.698471E-02,1.490297E-01,1.477755E+03,9.160133E+02,9.056137E-02,6.410521E-02,1.483679E+03,2.074403E+03,9.092825E-02,1.451761E-01,1.477755E+03,5.870659E+02,9.056137E-02,4.108508E-02,1.733199E+03,0.000000E+00,1.062158E-01,0.000000E+00,1.924579E+03,5.438764E+02,1.179361E-01,3.806183E-02,1.924579E+03,8.558296E+02,1.179361E-01,5.989251E-02,1.477759E+03,7.396814E+02,9.056164E-02,5.176529E-02,1.733199E+03,0.000000E+00,1.062158E-01,0.000000E+00,1.079729E+03,6.896606E+02,6.617856E-02,4.826879E-02,1.925295E+03,6.030475E+02,1.179800E-01,4.220268E-02 
00:30:00,1.734385E+03,0.000000E+00,1.062884E-01,0.000000E+00,1.925303E+03,6.722052E+02,1.179804E-01,4.704214E-02,1.477765E+03,6.211782E+02,9.056199E-02,4.347193E-02,1.734385E+03,2.455480E+01,1.062884E-01,1.718450E-03,4.402699E+02,2.120790E+03,2.698495E-02,1.484281E-01,1.477761E+03,8.813948E+02,9.056172E-02,6.168225E-02,1.483689E+03,2.056124E+03,9.092884E-02,1.438956E-01,1.477761E+03,5.744614E+02,9.056172E-02,4.020264E-02,1.733203E+03,0.000000E+00,1.062160E-01,0.000000E+00,1.924587E+03,5.273061E+02,1.179366E-01,3.690198E-02,1.924587E+03,8.202980E+02,1.179366E-01,5.740576E-02,1.477765E+03,7.159033E+02,9.056199E-02,5.010093E-02,1.733203E+03,0.000000E+00,1.062160E-01,0.000000E+00,1.079732E+03,6.768492E+02,6.617874E-02,4.737177E-02,1.925303E+03,5.822950E+02,1.179804E-01,4.075017E-02 
00:45:00,1.734388E+03,0.000000E+00,1.062886E-01,0.000000E+00,1.925310E+03,6.469901E+02,1.179809E-01,4.527744E-02,1.477771E+03,6.061358E+02,9.056232E-02,4.241900E-02,1.734388E+03,9.377739E+00,1.062886E-01,6.562930E-04,4.402736E+02,2.112594E+03,2.698518E-02,1.478532E-01,1.477766E+03,8.484489E+02,9.056205E-02,5.937646E-02,1.483698E+03,2.038162E+03,9.092940E-02,1.426376E-01,1.477766E+03,5.614030E+02,9.056205E-02,3.928855E-02,1.733206E+03,0.000000E+00,1.062162E-01,0.000000E+00,1.924595E+03,5.117595E+02,1.179371E-01,3.581386E-02,1.924595E+03,7.863355E+02,1.179371E-01,5.502891E-02,1.477771E+03,6.933074E+02,9.056232E-02,4.851942E-02,1.733206E+03,0.000000E+00,1.062162E-01,0.000000E+00,1.079734E+03,6.642501E+02,6.617891E-02,4.648966E-02,1.925310E+03,5.624374E+02,1.179809E-01,3.936036E-02 
01:00:00,1.734391E+03,0.000000E+00,1.062888E-01,0.000000E+00,1.925317E+03,6.228307E+02,1.179813E-01,4.358665E-02,1.477776E+03,5.921719E+02,9.056264E-02,4.144159E-02,1.734391E+03,1.039456E+00,1.062888E-01,7.274533E-05,4.402772E+02,2.104732E+03,2.698540E-02,1.473019E-01,1.477771E+03,8.171122E+02,9.056237E-02,5.718333E-02,1.483707E+03,2.020514E+03,9.092991E-02,1.414018E-01,1.477771E+03,5.482670E+02,9.056237E-02,3.836910E-02,1.733209E+03,0.000000E+00,1.062164E-01,0.000000E+00,1.924602E+03,4.972169E+02,1.179375E-01,3.479604E-02,1.924602E+03,7.538774E+02,1.179375E-01,5.275739E-02,1.477776E+03,6.718766E+02,9.056264E-02,4.701950E-02,1.733209E+03,0.000000E+00,1.062164E-01,0.000000E+00,1.079737E+03,6.517928E+02,6.617906E-02,4.561753E-02,1.925317E+03,5.435016E+02,1.179813E-01,3.803512E-02 
01:15:00,1.734394E+03,0.000000E+00,1.062890E-01,0.000000E+00,1.925323E+03,6.009107E+02,1.179817E-01,4.205259E-02,1.477781E+03,5.798641E+02,9.056294E-02,4.058012E-02,1.734394E+03,0.000000E+00,1.062890E-01,0.000000E+00,4.402807E+02,2.099418E+03,2.698561E-02,1.469291E-01,1.477776E+03,7.884602E+02,9.056267E-02,5.517810E-02,1.483715E+03,2.005657E+03,9.093039E-02,1.403615E-01,1.477776E+03,5.359983E+02,9.056267E-02,3.751040E-02,1.733212E+03,0.000000E+00,1.062166E-01,0.000000E+00,1.924608E+03,4.847014E+02,1.179379E-01,3.392009E-02,1.924608E+03,7.240706E+02,1.179379E-01,5.067141E-02,1.477781E+03,6.527295E+02,9.056294E-02,4.567943E-02,1.733212E+03,0.000000E+00,1.062166E-01,0.000000E+00,1.079739E+03,6.418061E+02,6.617920E-02,4.491833E-02,1.925323E+03,5.267310E+02,1.179817E-01,3.686142E-02 
01:30:00,1.734396E+03,0.000000E+00,1.062891E-01,0.000000E+00,1.925330E+03,5.803330E+02,1.179821E-01,4.061249E-02,1.477785E+03,5.679592E+02,9.056322E-02,3.974688E-02,1.734396E+03,0.000000E+00,1.062891E-01,0.000000E+00,4.402840E+02,2.094276E+03,2.698582E-02,1.465685E-01,1.477781E+03,7.615513E+02,9.056295E-02,5.329488E-02,1.483722E+03,1.991360E+03,9.093083E-02,1.393605E-01,1.477781E+03,5.238590E+02,9.056295E-02,3.666079E-02,1.733215E+03,0.000000E+00,1.062167E-01,0.000000E+00,1.924614E+03,4.726381E+02,1.179383E-01,3.307581E-02,1.924614E+03,6.959784E+02,1.179383E-01,4.870544E-02,1.477785E+03,6.349893E+02,9.056322E-02,4.443784E-02,1.733215E+03,0.000000E+00,1.062167E-01,0.000000E+00,1.079741E+03,6.319472E+02,6.617933E-02,4.422812E-02,1.925330E+03,5.113743E+02,1.179821E-01,3.578667E-02 
01:45:00,1.734398E+03,0.000000E+00,1.062893E-01,0.000000E+00,1.925335E+03,5.610932E+02,1.179825E-01,3.926602E-02,1.477790E+03,5.558712E+02,9.056349E-02,3.890086E-02,1.734398E+03,0.000000E+00,1.062893E-01,0.000000E+00,4.402872E+02,2.089447E+03,2.698601E-02,1.462299E-01,1.477785E+03,7.363316E+02,9.056323E-02,5.152988E-02,1.483729E+03,1.977602E+03,9.093125E-02,1.383973E-01,1.477785E+03,5.118899E+02,9.056323E-02,3.582311E-02,1.733217E+03,0.000000E+00,1.062169E-01,0.000000E+00,1.924620E+03,4.607244E+02,1.179386E-01,3.224203E-02,1.924620E+03,6.695516E+02,1.179386E-01,4.685602E-02,1.477790E+03,6.187069E+02,9.056349E-02,4.329828E-02,1.733217E+03,0.000000E+00,1.062169E-01,0.000000E+00,1.079743E+03,6.221219E+02,6.617944E-02,4.354028E-02,1.925335E+03,4.974671E+02,1.179825E-01,3.481336E-02 
02:00:00,1.734401E+03,0.000000E+00,1.062894E-01,0.000000E+00,1.925341E+03,5.432045E+02,1.179828E-01,3.801412E-02,1.477794E+03,5.436511E+02,9.056376E-02,3.804565E-02,1.734401E+03,0.000000E+00,1.062894E-01,0.000000E+00,4.402904E+02,2.084819E+03,2.698621E-02,1.459055E-01,1.477790E+03,7.127621E+02,9.056349E-02,4.988039E-02,1.483735E+03,1.964383E+03,9.093165E-02,1.374719E-01,1.477790E+03,5.002193E+02,9.056349E-02,3.500635E-02,1.733219E+03,0.000000E+00,1.062170E-01,0.000000E+00,1.924626E+03,4.487066E+02,1.179390E-01,3.140100E-02,1.924626E+03,6.447542E+02,1.179390E-01,4.512065E-02,1.477794E+03,6.039854E+02,9.056376E-02,4.226797E-02,1.733219E+03,0.000000E+00,1.062170E-01,0.000000E+00,1.079745E+03,6.122920E+02,6.617954E-02,4.285215E-02,1.925341E+03,4.848792E+02,1.179828E-01,3.393240E-02 
02:15:00,1.734403E+03,0.000000E+00,1.062895E-01,0.000000E+00,1.925346E+03,5.264236E+02,1.179831E-01,3.683975E-02,1.477798E+03,5.315192E+02,9.056401E-02,3.719663E-02,1.734403E+03,0.000000E+00,1.062895E-01,0.000000E+00,4.402934E+02,2.080445E+03,2.698639E-02,1.455990E-01,1.477794E+03,6.906122E+02,9.056374E-02,4.833027E-02,1.483741E+03,1.951515E+03,9.093203E-02,1.365711E-01,1.477794E+03,4.887013E+02,9.056374E-02,3.420028E-02,1.733221E+03,0.000000E+00,1.062171E-01,0.000000E+00,1.924631E+03,4.362924E+02,1.179393E-01,3.053226E-02,1.924631E+03,6.212817E+02,1.179393E-01,4.347801E-02,1.477798E+03,5.906950E+02,9.056401E-02,4.133782E-02,1.733221E+03,0.000000E+00,1.062171E-01,0.000000E+00,1.079746E+03,6.024505E+02,6.617964E-02,4.216323E-02,1.925346E+03,4.730176E+02,1.179831E-01,3.310227E-02 
02:30:00,1.734404E+03,0.000000E+00,1.062896E-01,0.000000E+00,1.925351E+03,5.108120E+02,1.179834E-01,3.574721E-02,1.477802E+03,5.195939E+02,9.056424E-02,3.636208E-02,1.734404E+03,0.000000E+00,1.062896E-01,0.000000E+00,4.402963E+02,2.076193E+03,2.698657E-02,1.453012E-01,1.477798E+03,6.698572E+02,9.056398E-02,4.687777E-02,1.483747E+03,1.939005E+03,9.093238E-02,1.356956E-01,1.477798E+03,4.773717E+02,9.056398E-02,3.340740E-02,1.733223E+03,0.000000E+00,1.062172E-01,0.000000E+00,1.924636E+03,4.239827E+02,1.179396E-01,2.967084E-02,1.924636E+03,5.991056E+02,1.179396E-01,4.192610E-02,1.477802E+03,5.783998E+02,9.056424E-02,4.047733E-02,1.733223E+03,0.000000E+00,1.062172E-01,0.000000E+00,1.079748E+03,5.926079E+02,6.617973E-02,4.147426E-02,1.925351E+03,4.610744E+02,1.179834E-01,3.226646E-02 
