Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,2.215487E+00,1.057754E+00,4.007252E+04,1.535350E+04 
00:30:00,2.215498E+00,1.033648E+00,4.007272E+04,1.480105E+04 
00:45:00,2.215508E+00,1.012725E+00,4.007290E+04,1.430301E+04 
01:00:00,2.215517E+00,9.955967E-01,4.007307E+04,1.386601E+04 
01:15:00,2.215526E+00,9.803765E-01,4.007323E+04,1.352597E+04 
01:30:00,2.215534E+00,9.659248E-01,4.007338E+04,1.320040E+04 
01:45:00,2.215542E+00,9.522199E-01,4.007352E+04,1.288872E+04 
02:00:00,2.215550E+00,9.400113E-01,4.007365E+04,1.260068E+04 
02:15:00,2.215556E+00,9.293076E-01,4.007378E+04,1.236615E+04 
02:30:00,2.215563E+00,9.190381E-01,4.007390E+04,1.213945E+04 
02:45:00,2.215569E+00,9.091969E-01,4.007401E+04,1.192038E+04 
03:00:00,2.215575E+00,8.997792E-01,4.007412E+04,1.170875E+04 
03:15:00,2.215581E+00,8.906067E-01,4.007422E+04,1.150214E+04 
03:30:00,2.215586E+00,8.816727E-01,4.007432E+04,1.130037E+04 
03:45:00,2.215591E+00,8.729712E-01,4.007441E+04,1.110332E+04 
04:00:00,2.215596E+00,8.644971E-01,4.007450E+04,1.091084E+04 
04:15:00,2.215601E+00,8.564227E-01,4.007458E+04,1.075299E+04 
04:30:00,2.215606E+00,8.487479E-01,4.007466E+04,1.060119E+04 
04:45:00,2.215610E+00,8.414749E-01,4.007474E+04,1.045539E+04 
05:00:00,2.215614E+00,8.346068E-01,4.007482E+04,1.031554E+04 
05:15:00,2.215618E+00,8.286805E-01,4.007489E+04,1.029642E+04 
05:30:00,2.215622E+00,8.240665E-01,4.007496E+04,1.029291E+04 
05:45:00,2.215625E+00,8.219099E-01,4.007502E+04,1.031966E+04 
06:00:00,2.215629E+00,8.232755E-01,4.007508E+04,1.039058E+04 
06:15:00,2.070811E+00,8.589796E-01,3.745570E+04,1.103757E+04 
06:30:00,1.925873E+00,9.138834E-01,3.483414E+04,1.195198E+04 
06:45:00,1.780948E+00,9.856008E-01,3.221282E+04,1.311523E+04 
07:00:00,1.635970E+00,1.066639E+00,2.959053E+04,1.443743E+04 
07:15:00,1.635780E+00,1.115216E+00,2.958710E+04,1.571409E+04 
07:30:00,1.635685E+00,1.164777E+00,2.958538E+04,1.705911E+04 
07:45:00,1.635556E+00,1.215951E+00,2.958304E+04,1.848367E+04 
08:00:00,1.635461E+00,1.268295E+00,2.958132E+04,1.998349E+04 
08:15:00,1.635381E+00,1.319668E+00,2.957988E+04,2.161178E+04 
08:30:00,1.635312E+00,1.369164E+00,2.957863E+04,2.327193E+04 
08:45:00,1.635252E+00,1.416476E+00,2.957754E+04,2.495503E+04 
09:00:00,1.635200E+00,1.462325E+00,2.957660E+04,2.667014E+04 
09:15:00,1.635155E+00,1.507290E+00,2.957579E+04,2.832705E+04 
09:30:00,1.635116E+00,1.551254E+00,2.957509E+04,3.001451E+04 
09:45:00,1.635082E+00,1.594003E+00,2.957448E+04,3.172661E+04 
10:00:00,1.635052E+00,1.634824E+00,2.957394E+04,3.344673E+04 
10:15:00,1.635026E+00,1.672677E+00,2.957346E+04,3.504056E+04 
