Time,THERMAL ZONE 9:EL PASO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 9:EL PASO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 9:EL PASO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 9:EL PASO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:EL PASO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:EL PASO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:EL PASO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:EL PASO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 10:EL PASO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 10:EL PASO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 10:EL PASO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 10:EL PASO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 7:EL PASO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 7:EL PASO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 7:EL PASO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 7:EL PASO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:EL PASO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:EL PASO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:EL PASO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:EL PASO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 1:EL PASO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:EL PASO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:EL PASO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:EL PASO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 6:EL PASO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6:EL PASO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 6:EL PASO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6:EL PASO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:EL PASO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:EL PASO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:EL PASO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:EL PASO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 8:EL PASO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 8:EL PASO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 8:EL PASO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 8:EL PASO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:EL PASO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:EL PASO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:EL PASO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:EL PASO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:15:00,2.672560E+03,3.593281E+02,1.637672E-01,2.514704E-02,3.157757E+03,1.386741E+03,1.934747E-01,9.704103E-02,3.564380E+03,4.272650E+03,2.184259E-01,2.990092E-01,3.157722E+03,1.391513E+03,1.934725E-01,9.737498E-02,3.157722E+03,1.364985E+03,1.934725E-01,9.551861E-02,2.033523E+03,1.502483E+03,1.246383E-01,1.051584E-01,3.157757E+03,1.632267E+03,1.934747E-01,1.142221E-01,2.672560E+03,3.595436E+02,1.637672E-01,2.516213E-02,2.675517E+03,3.651346E+02,1.639484E-01,2.555340E-02,2.675517E+03,5.086889E+02,1.639484E-01,3.559943E-02 
00:30:00,2.672569E+03,3.348285E+02,1.637677E-01,2.343232E-02,3.157775E+03,1.354442E+03,1.934757E-01,9.478041E-02,3.564406E+03,4.238714E+03,2.184275E-01,2.966311E-01,3.157740E+03,1.358543E+03,1.934736E-01,9.506742E-02,3.157740E+03,1.333744E+03,1.934736E-01,9.333205E-02,2.033533E+03,1.485407E+03,1.246390E-01,1.039622E-01,3.157775E+03,1.586755E+03,1.934757E-01,1.110370E-01,2.672569E+03,3.351913E+02,1.637677E-01,2.345771E-02,2.675525E+03,3.405002E+02,1.639489E-01,2.382923E-02,2.675525E+03,4.757593E+02,1.639489E-01,3.329470E-02 
00:45:00,2.672576E+03,3.112832E+02,1.637682E-01,2.178446E-02,3.157792E+03,1.322995E+03,1.934768E-01,9.257968E-02,3.564431E+03,4.205205E+03,2.184290E-01,2.942841E-01,3.157756E+03,1.326546E+03,1.934746E-01,9.282817E-02,3.157756E+03,1.303314E+03,1.934746E-01,9.120243E-02,2.033543E+03,1.469055E+03,1.246396E-01,1.028169E-01,3.157792E+03,1.542698E+03,1.934768E-01,1.079539E-01,2.672576E+03,3.117561E+02,1.637682E-01,2.181755E-02,2.675533E+03,3.168102E+02,1.639494E-01,2.217124E-02,2.675533E+03,4.442042E+02,1.639494E-01,3.108629E-02 
01:00:00,2.672583E+03,2.886256E+02,1.637686E-01,2.019876E-02,3.157807E+03,1.292469E+03,1.934777E-01,9.044344E-02,3.564454E+03,4.172144E+03,2.184305E-01,2.919690E-01,3.157772E+03,1.295433E+03,1.934756E-01,9.065085E-02,3.157772E+03,1.273763E+03,1.934756E-01,8.913444E-02,2.033552E+03,1.453319E+03,1.246401E-01,1.017148E-01,3.157807E+03,1.500130E+03,1.934777E-01,1.049750E-01,2.672583E+03,2.891761E+02,1.637686E-01,2.023728E-02,2.675539E+03,2.940008E+02,1.639498E-01,2.057492E-02,2.675539E+03,4.139558E+02,1.639498E-01,2.896938E-02 
01:15:00,2.672589E+03,2.683692E+02,1.637690E-01,1.878112E-02,3.157822E+03,1.264455E+03,1.934786E-01,8.848296E-02,3.564476E+03,4.144257E+03,2.184318E-01,2.900163E-01,3.157787E+03,1.266900E+03,1.934765E-01,8.865407E-02,3.157787E+03,1.246683E+03,1.934765E-01,8.723931E-02,2.033560E+03,1.442600E+03,1.246406E-01,1.009638E-01,3.157822E+03,1.460708E+03,1.934786E-01,1.022162E-01,2.672589E+03,2.689684E+02,1.637690E-01,1.882306E-02,2.675546E+03,2.735877E+02,1.639502E-01,1.914632E-02,2.675546E+03,3.865200E+02,1.639502E-01,2.704933E-02 
01:30:00,2.672595E+03,2.493539E+02,1.637694E-01,1.745037E-02,3.157836E+03,1.237822E+03,1.934795E-01,8.661911E-02,3.564497E+03,4.117437E+03,2.184331E-01,2.881383E-01,3.157800E+03,1.239790E+03,1.934773E-01,8.675682E-02,3.157800E+03,1.220944E+03,1.934773E-01,8.543800E-02,2.033568E+03,1.432587E+03,1.246411E-01,1.002625E-01,3.157836E+03,1.423263E+03,1.934795E-01,9.959579E-02,2.672595E+03,2.499761E+02,1.637694E-01,1.749391E-02,2.675552E+03,2.544130E+02,1.639505E-01,1.780441E-02,2.675552E+03,3.607343E+02,1.639505E-01,2.524478E-02 
01:45:00,2.672601E+03,2.315394E+02,1.637697E-01,1.620366E-02,3.157849E+03,1.212568E+03,1.934803E-01,8.485176E-02,3.564516E+03,4.091669E+03,2.184343E-01,2.863342E-01,3.157813E+03,1.214092E+03,1.934781E-01,8.495846E-02,3.157813E+03,1.196544E+03,1.934781E-01,8.373047E-02,2.033576E+03,1.423125E+03,1.246416E-01,9.959969E-02,3.157849E+03,1.387761E+03,1.934803E-01,9.711138E-02,2.672601E+03,2.321621E+02,1.637697E-01,1.624723E-02,2.675557E+03,2.364379E+02,1.639509E-01,1.654646E-02,2.675557E+03,3.365461E+02,1.639509E-01,2.355204E-02 
02:00:00,2.672606E+03,2.149036E+02,1.637700E-01,1.503944E-02,3.157861E+03,1.188700E+03,1.934810E-01,8.318147E-02,3.564535E+03,4.066970E+03,2.184354E-01,2.846051E-01,3.157826E+03,1.189812E+03,1.934789E-01,8.325931E-02,3.157826E+03,1.173494E+03,1.934789E-01,8.211737E-02,2.033583E+03,1.414142E+03,1.246420E-01,9.897054E-02,3.157861E+03,1.354183E+03,1.934810E-01,9.476158E-02,2.672606E+03,2.155073E+02,1.637700E-01,1.508169E-02,2.675563E+03,2.196417E+02,1.639512E-01,1.537102E-02,2.675563E+03,3.139167E+02,1.639512E-01,2.196841E-02 
02:15:00,2.672611E+03,1.990924E+02,1.637703E-01,1.393294E-02,3.157873E+03,1.165803E+03,1.934817E-01,8.157919E-02,3.564553E+03,4.042914E+03,2.184365E-01,2.829213E-01,3.157838E+03,1.166531E+03,1.934796E-01,8.163016E-02,3.157838E+03,1.151378E+03,1.934796E-01,8.056977E-02,2.033589E+03,1.405592E+03,1.246424E-01,9.837175E-02,3.157873E+03,1.322088E+03,1.934817E-01,9.251564E-02,2.672611E+03,1.996606E+02,1.637703E-01,1.397271E-02,2.675567E+03,2.036715E+02,1.639515E-01,1.425339E-02,2.675567E+03,2.924768E+02,1.639515E-01,2.046802E-02 
02:30:00,2.672615E+03,1.840735E+02,1.637706E-01,1.288189E-02,3.157884E+03,1.143871E+03,1.934824E-01,8.004441E-02,3.564570E+03,4.019525E+03,2.184375E-01,2.812843E-01,3.157849E+03,1.144243E+03,1.934803E-01,8.007043E-02,3.157849E+03,1.130193E+03,1.934803E-01,7.908729E-02,2.033596E+03,1.397434E+03,1.246428E-01,9.780049E-02,3.157884E+03,1.291438E+03,1.934824E-01,9.037087E-02,2.672615E+03,1.845930E+02,1.637706E-01,1.291825E-02,2.675572E+03,1.884959E+02,1.639518E-01,1.319137E-02,2.675572E+03,2.721749E+02,1.639518E-01,1.904727E-02 
