Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,2.785501E+00,8.306634E-01,9.180834E+04,9.793109E+03 
00:30:00,2.785520E+00,8.137755E-01,9.180895E+04,9.465216E+03 
00:45:00,2.785537E+00,7.984312E-01,9.180951E+04,9.160380E+03 
01:00:00,2.785553E+00,7.836274E-01,9.181004E+04,8.866515E+03 
01:15:00,2.785568E+00,7.702374E-01,9.181053E+04,8.633743E+03 
01:30:00,2.785582E+00,7.575488E-01,9.181099E+04,8.411585E+03 
01:45:00,2.785595E+00,7.455475E-01,9.181143E+04,8.199664E+03 
02:00:00,2.785607E+00,7.342229E-01,9.181184E+04,7.997646E+03 
02:15:00,2.785619E+00,7.234052E-01,9.181223E+04,7.822568E+03 
02:30:00,2.785630E+00,7.130853E-01,9.181260E+04,7.654545E+03 
02:45:00,2.785641E+00,7.032553E-01,9.181294E+04,7.493374E+03 
03:00:00,2.785651E+00,6.939094E-01,9.181328E+04,7.338881E+03 
03:15:00,2.785661E+00,6.848811E-01,9.181359E+04,7.189200E+03 
03:30:00,2.785670E+00,6.761689E-01,9.181389E+04,7.044240E+03 
03:45:00,2.785678E+00,6.677791E-01,9.181418E+04,6.903994E+03 
04:00:00,2.785687E+00,6.597079E-01,9.181445E+04,6.768343E+03 
04:15:00,2.785695E+00,6.520945E-01,9.181472E+04,6.655831E+03 
04:30:00,2.785702E+00,6.449251E-01,9.181497E+04,6.548632E+03 
04:45:00,2.785709E+00,6.388525E-01,9.181521E+04,6.453267E+03 
05:00:00,2.785716E+00,6.353426E-01,9.181543E+04,6.384294E+03 
05:15:00,2.785723E+00,6.361260E-01,9.181565E+04,6.425725E+03 
05:30:00,2.785729E+00,6.424307E-01,9.181586E+04,6.523303E+03 
05:45:00,2.785735E+00,6.541913E-01,9.181606E+04,6.677233E+03 
06:00:00,2.785741E+00,6.707616E-01,9.181626E+04,6.881750E+03 
06:15:00,2.565803E+00,7.298654E-01,8.456723E+04,7.622896E+03 
06:30:00,2.345712E+00,7.899920E-01,7.731317E+04,8.396739E+03 
06:45:00,2.125629E+00,8.541013E-01,7.005937E+04,9.235854E+03 
07:00:00,1.905471E+00,9.188534E-01,6.280310E+04,1.010571E+04 
07:15:00,1.905211E+00,9.464106E-01,6.279455E+04,1.083318E+04 
07:30:00,1.905069E+00,9.732577E-01,6.278986E+04,1.157691E+04 
07:45:00,1.904886E+00,1.000409E+00,6.278384E+04,1.234848E+04 
08:00:00,1.904750E+00,1.031496E+00,6.277933E+04,1.319474E+04 
08:15:00,1.904632E+00,1.063898E+00,6.277545E+04,1.414242E+04 
08:30:00,1.904528E+00,1.097988E+00,6.277202E+04,1.514586E+04 
08:45:00,1.904436E+00,1.133496E+00,6.276901E+04,1.620375E+04 
09:00:00,1.904358E+00,1.169794E+00,6.276641E+04,1.730890E+04 
09:15:00,1.904290E+00,1.205764E+00,6.276417E+04,1.838183E+04 
09:30:00,1.904231E+00,1.240808E+00,6.276222E+04,1.947247E+04 
09:45:00,1.904179E+00,1.274552E+00,6.276051E+04,2.057356E+04 
10:00:00,1.904133E+00,1.306560E+00,6.275900E+04,2.167612E+04 
10:15:00,1.904092E+00,1.336603E+00,6.275765E+04,2.270338E+04 
10:30:00,1.904055E+00,1.364673E+00,6.275644E+04,2.372012E+04 
10:45:00,1.904022E+00,1.390467E+00,6.275535E+04,2.471862E+04 
11:00:00,1.903992E+00,1.413570E+00,6.275437E+04,2.568863E+04 
11:15:00,1.903965E+00,1.433197E+00,6.275347E+04,2.642334E+04 
11:30:00,1.903940E+00,1.448370E+00,6.275265E+04,2.708512E+04 
11:45:00,1.903917E+00,1.458598E+00,6.275190E+04,2.766114E+04 
12:00:00,1.903896E+00,1.465190E+00,6.275121E+04,2.817263E+04 
12:15:00,1.903877E+00,1.471810E+00,6.275056E+04,2.861050E+04 
12:30:00,1.903859E+00,1.481755E+00,6.274997E+04,2.911649E+04 
12:45:00,1.903842E+00,1.497186E+00,6.274941E+04,2.973566E+04 
13:00:00,1.903826E+00,1.518033E+00,6.274889E+04,3.047003E+04 
13:15:00,1.903811E+00,1.541792E+00,6.274841E+04,3.115028E+04 
13:30:00,1.903798E+00,1.566467E+00,6.274795E+04,3.185539E+04 
13:45:00,1.903784E+00,1.590700E+00,6.274752E+04,3.255800E+04 
14:00:00,1.903772E+00,1.614029E+00,6.274711E+04,3.324836E+04 
14:15:00,1.903760E+00,1.635948E+00,6.274673E+04,3.369988E+04 
14:30:00,1.903749E+00,1.656052E+00,6.274637E+04,3.411401E+04 
14:45:00,1.903739E+00,1.674004E+00,6.274602E+04,3.448382E+04 
15:00:00,1.903729E+00,1.689196E+00,6.274569E+04,3.479676E+04 
15:15:00,1.903719E+00,1.700959E+00,6.274538E+04,3.476988E+04 
15:30:00,1.903710E+00,1.708833E+00,6.274508E+04,3.466038E+04 
15:45:00,1.903702E+00,1.712635E+00,6.274480E+04,3.446644E+04 
16:00:00,1.903694E+00,1.712407E+00,6.274453E+04,3.419085E+04 
16:15:00,1.903686E+00,1.709121E+00,6.274427E+04,3.376456E+04 
16:30:00,1.903678E+00,1.703888E+00,6.274402E+04,3.330165E+04 
16:45:00,1.903671E+00,1.697879E+00,6.274379E+04,3.282591E+04 
17:00:00,1.903664E+00,1.691756E+00,6.274356E+04,3.235053E+04 
17:15:00,1.903658E+00,1.685447E+00,6.274334E+04,3.178531E+04 
17:30:00,1.903651E+00,1.677910E+00,6.274314E+04,3.120059E+04 
17:45:00,1.903645E+00,1.667145E+00,6.274294E+04,3.056066E+04 
18:00:00,1.903640E+00,1.652093E+00,6.274275E+04,2.984895E+04 
18:15:00,2.123652E+00,1.631672E+00,6.999420E+04,2.883441E+04 
18:30:00,2.343716E+00,1.605259E+00,7.724739E+04,2.773250E+04 
18:45:00,2.563846E+00,1.572308E+00,8.450273E+04,2.654113E+04 
19:00:00,2.784027E+00,1.531861E+00,9.175974E+04,2.525228E+04 
