Time,THERMAL ZONE 1:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:15:00,5.677260E+03,1.213814E+02,3.477704E-01,8.495538E-03,5.657245E+03,9.027162E+01,3.465443E-01,6.318053E-03,5.677260E+03,1.054880E+02,3.477704E-01,7.383093E-03,5.677571E+03,2.517163E+02,3.477894E-01,1.761878E-02,7.411856E+03,1.374226E+03,4.541473E-01,9.618863E-02 
00:30:00,5.677279E+03,9.022500E+01,3.477715E-01,6.314807E-03,5.657264E+03,6.123224E+01,3.465454E-01,4.285556E-03,5.677279E+03,7.466554E+01,3.477715E-01,5.225768E-03,5.677590E+03,2.105091E+02,3.477906E-01,1.473429E-02,7.411887E+03,1.329594E+03,4.541492E-01,9.306435E-02 
00:45:00,5.677295E+03,6.021327E+01,3.477725E-01,4.214246E-03,5.657280E+03,3.492627E+01,3.465464E-01,2.444415E-03,5.677295E+03,4.501200E+01,3.477725E-01,3.150312E-03,5.677606E+03,1.712258E+02,3.477916E-01,1.198452E-02,7.411914E+03,1.286273E+03,4.541508E-01,9.003190E-02 
01:00:00,5.677309E+03,3.364987E+01,3.477734E-01,2.355082E-03,5.657294E+03,1.584070E+01,3.465473E-01,1.108644E-03,5.677309E+03,2.238536E+01,3.477734E-01,1.566694E-03,5.677621E+03,1.337785E+02,3.477924E-01,9.363335E-03,7.411937E+03,1.244208E+03,4.541523E-01,8.708736E-02 
01:15:00,5.677322E+03,1.547969E+01,3.477742E-01,1.083377E-03,5.657307E+03,4.644232E+00,3.465481E-01,3.250317E-04,5.677322E+03,8.063491E+00,3.477742E-01,5.643358E-04,5.677633E+03,9.977204E+01,3.477932E-01,6.983060E-03,7.411958E+03,1.208614E+03,4.541535E-01,8.459574E-02 
01:30:00,5.677333E+03,4.322756E+00,3.477748E-01,3.025329E-04,5.657319E+03,0.000000E+00,3.465488E-01,0.000000E+00,5.677333E+03,6.624689E-01,3.477748E-01,4.636317E-05,5.677645E+03,6.793866E+01,3.477939E-01,4.754964E-03,7.411976E+03,1.174818E+03,4.541547E-01,8.223005E-02 
01:45:00,5.677344E+03,0.000000E+00,3.477755E-01,0.000000E+00,5.657329E+03,0.000000E+00,3.465494E-01,0.000000E+00,5.677344E+03,0.000000E+00,3.477755E-01,0.000000E+00,5.677655E+03,3.910332E+01,3.477945E-01,2.736770E-03,7.411993E+03,1.142656E+03,4.541557E-01,7.997868E-02 
02:00:00,5.677353E+03,0.000000E+00,3.477760E-01,0.000000E+00,5.657338E+03,0.000000E+00,3.465500E-01,0.000000E+00,5.677353E+03,0.000000E+00,3.477760E-01,0.000000E+00,5.677664E+03,1.881024E+01,3.477951E-01,1.316478E-03,7.412007E+03,1.111951E+03,4.541565E-01,7.782942E-02 
02:15:00,5.677361E+03,0.000000E+00,3.477765E-01,0.000000E+00,5.657346E+03,0.000000E+00,3.465505E-01,0.000000E+00,5.677361E+03,0.000000E+00,3.477765E-01,0.000000E+00,5.677672E+03,5.875876E+00,3.477956E-01,4.112316E-04,7.412020E+03,1.082086E+03,4.541573E-01,7.573889E-02 
02:30:00,5.677368E+03,0.000000E+00,3.477770E-01,0.000000E+00,5.657353E+03,0.000000E+00,3.465509E-01,0.000000E+00,5.677368E+03,0.000000E+00,3.477770E-01,0.000000E+00,5.677679E+03,0.000000E+00,3.477960E-01,0.000000E+00,7.412031E+03,1.052912E+03,4.541580E-01,7.369674E-02 
02:45:00,5.677375E+03,0.000000E+00,3.477774E-01,0.000000E+00,5.657360E+03,0.000000E+00,3.465513E-01,0.000000E+00,5.677375E+03,0.000000E+00,3.477774E-01,0.000000E+00,5.677686E+03,0.000000E+00,3.477965E-01,0.000000E+00,7.412042E+03,1.024309E+03,4.541587E-01,7.169464E-02 
03:00:00,5.677381E+03,0.000000E+00,3.477777E-01,0.000000E+00,5.657366E+03,0.000000E+00,3.465517E-01,0.000000E+00,5.677381E+03,0.000000E+00,3.477777E-01,0.000000E+00,5.677692E+03,0.000000E+00,3.477968E-01,0.000000E+00,7.412051E+03,9.961975E+02,4.541592E-01,6.972686E-02 
