Time,THERMAL ZONE 1:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:FAIRBANKS/INT'L AIRPOR ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:FAIRBANKS/INT'L AIRPOR ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:15:00,6.804340E+03,1.029700E+02,4.167667E-01,7.206132E-03,6.797902E+03,0.000000E+00,4.163724E-01,0.000000E+00,6.804340E+03,0.000000E+00,4.167667E-01,0.000000E+00,6.797902E+03,0.000000E+00,4.163724E-01,0.000000E+00,7.137958E+03,6.311170E+02,4.373421E-01,4.416893E-02 
00:30:00,6.804361E+03,5.729131E+01,4.167679E-01,4.009410E-03,6.797923E+03,0.000000E+00,4.163736E-01,0.000000E+00,6.804361E+03,0.000000E+00,4.167679E-01,0.000000E+00,6.797923E+03,0.000000E+00,4.163736E-01,0.000000E+00,7.137986E+03,5.889557E+02,4.373438E-01,4.121796E-02 
00:45:00,6.804378E+03,2.455434E+01,4.167690E-01,1.718386E-03,6.797940E+03,0.000000E+00,4.163747E-01,0.000000E+00,6.804378E+03,0.000000E+00,4.167690E-01,0.000000E+00,6.797940E+03,0.000000E+00,4.163747E-01,0.000000E+00,7.138010E+03,5.473897E+02,4.373452E-01,3.830876E-02 
01:00:00,6.804394E+03,5.101364E+00,4.167700E-01,3.570102E-04,6.797956E+03,0.000000E+00,4.163756E-01,0.000000E+00,6.804394E+03,0.000000E+00,4.167700E-01,0.000000E+00,6.797956E+03,0.000000E+00,4.163756E-01,0.000000E+00,7.138031E+03,5.063625E+02,4.373466E-01,3.543733E-02 
01:15:00,6.804408E+03,0.000000E+00,4.167709E-01,0.000000E+00,6.797970E+03,0.000000E+00,4.163765E-01,0.000000E+00,6.804408E+03,0.000000E+00,4.167709E-01,0.000000E+00,6.797970E+03,0.000000E+00,4.163765E-01,0.000000E+00,7.138050E+03,4.692393E+02,4.373477E-01,3.283918E-02 
01:30:00,6.804421E+03,0.000000E+00,4.167716E-01,0.000000E+00,6.797983E+03,0.000000E+00,4.163773E-01,0.000000E+00,6.804421E+03,0.000000E+00,4.167716E-01,0.000000E+00,6.797983E+03,0.000000E+00,4.163773E-01,0.000000E+00,7.138066E+03,4.329504E+02,4.373487E-01,3.029947E-02 
01:45:00,6.804432E+03,0.000000E+00,4.167723E-01,0.000000E+00,6.797994E+03,0.000000E+00,4.163780E-01,0.000000E+00,6.804432E+03,0.000000E+00,4.167723E-01,0.000000E+00,6.797994E+03,0.000000E+00,4.163780E-01,0.000000E+00,7.138081E+03,3.973551E+02,4.373496E-01,2.780832E-02 
02:00:00,6.804442E+03,0.000000E+00,4.167729E-01,0.000000E+00,6.798004E+03,0.000000E+00,4.163786E-01,0.000000E+00,6.804442E+03,0.000000E+00,4.167729E-01,0.000000E+00,6.798004E+03,0.000000E+00,4.163786E-01,0.000000E+00,7.138094E+03,3.623713E+02,4.373504E-01,2.535999E-02 
02:15:00,6.804451E+03,0.000000E+00,4.167735E-01,0.000000E+00,6.798013E+03,0.000000E+00,4.163791E-01,0.000000E+00,6.804451E+03,0.000000E+00,4.167735E-01,0.000000E+00,6.798013E+03,0.000000E+00,4.163791E-01,0.000000E+00,7.138105E+03,3.276592E+02,4.373511E-01,2.293070E-02 
02:30:00,6.804459E+03,0.000000E+00,4.167740E-01,0.000000E+00,6.798021E+03,0.000000E+00,4.163796E-01,0.000000E+00,6.804459E+03,0.000000E+00,4.167740E-01,0.000000E+00,6.798021E+03,0.000000E+00,4.163796E-01,0.000000E+00,7.138116E+03,2.932234E+02,4.373517E-01,2.052076E-02 
